goId	name	refNum	interestNum	interestGene	expect	ratio	pValue	FDR
GO:0042440	pigment metabolic process	67	11	BLVRA|1;CPOX|1;CTNS|1;FECH|1;HMBS|1;NFE2L1|1;SLC11A2|1;UROD|1;UROS|1;GMPS|1;SLC7A11|1	0.6635527147573225	16.577431988991215	4.8531956231556705e-11	2.810090950304082e-7
GO:0006779	porphyrin-containing compound biosynthetic process	24	8	CPOX|1;FECH|1;HMBS|1;NFE2L1|1;SLC11A2|1;SPTA1|1;UROD|1;UROS|1	0.2376905246891901	33.657210401891255	4.875899684009255e-11	2.810090950304082e-7
GO:0006778	porphyrin-containing compound metabolic process	36	9	BLVRA|1;CPOX|1;FECH|1;HMBS|1;NFE2L1|1;SLC11A2|1;SPTA1|1;UROD|1;UROS|1	0.3565357870337852	25.24290780141844	5.316436180180517e-11	2.810090950304082e-7
GO:0046148	pigment biosynthetic process	53	10	CPOX|1;CTNS|1;FECH|1;HMBS|1;NFE2L1|1;SLC11A2|1;UROD|1;UROS|1;GMPS|1;SLC7A11|1	0.5248999086886282	19.05125117088184	8.925082894961633e-11	3.5381259866351655e-7
GO:0033014	tetrapyrrole biosynthetic process	27	8	CPOX|1;FECH|1;HMBS|1;NFE2L1|1;SLC11A2|1;SPTA1|1;UROD|1;UROS|1	0.26740184027533886	29.917520357236675	1.4354717414732932e-10	4.552455080908402e-7
GO:0042168	heme metabolic process	29	8	BLVRA|1;CPOX|1;FECH|1;HMBS|1;NFE2L1|1;SLC11A2|1;UROD|1;UROS|1	0.2872093839994381	27.854243091220347	2.7293578508391647e-10	7.213237906792773e-7
GO:0006783	heme biosynthetic process	20	7	CPOX|1;FECH|1;HMBS|1;NFE2L1|1;SLC11A2|1;UROD|1;UROS|1	0.19807543724099178	35.34007092198582	5.60101631741361e-10	1.268790224931823e-6
GO:0033013	tetrapyrrole metabolic process	56	9	BLVRA|1;CPOX|1;FECH|1;HMBS|1;NFE2L1|1;SLC11A2|1;SPTA1|1;UROD|1;UROS|1	0.5546112242747769	16.227583586626142	3.6182913332183375e-9	7.171905708855397e-6
GO:0051186	cofactor metabolic process	511	22	BLVRA|1;CAT|1;CPOX|1;CTNS|1;FECH|1;GCLC|1;GCLM|1;HAGH|1;HBZ|1;HMBS|1;NFE2L1|1;SLC11A2|1;SLC2A1|1;SNCA|1;SPTA1|1;PRDX2|1;UROD|1;UROS|1;NNT|1;SLC7A11|1;MOCOS|1;ISCA1|1	5.06082742150734	4.347115237817657	5.897976773638902e-9	1.0391579744399118e-5
GO:0046501	protoporphyrinogen IX metabolic process	11	5	CPOX|1;FECH|1;HMBS|1;UROD|1;UROS|1	0.10894149048254548	45.89619600257898	3.9083334457679086e-8	6.197444344954174e-5
GO:0051188	cofactor biosynthetic process	264	15	CPOX|1;CTNS|1;FECH|1;GCLC|1;GCLM|1;HAGH|1;HMBS|1;NFE2L1|1;SLC11A2|1;SNCA|1;SPTA1|1;UROD|1;UROS|1;SLC7A11|1;MOCOS|1	2.6145957715810915	5.737024500322373	5.38695588137017e-8	7.765541764626072e-5
GO:0030218	erythrocyte differentiation	105	10	ADD1|1;EPB42|1;FOXO3|1;GATA1|1;HBZ|1;NFE2L1|1;SLC11A2|1;RHAG|1;TAL1|1;MFHAS1|1	1.0398960455152069	9.616345829111786	8.531215711649054e-8	1.1273290628301588e-4
