"GO.ID"	"GO.Term"	"NetBAS"	"DAVID"
"GO:0051056"	"regulation of small GTPase mediated signal transduction"	"18.847"	NA
"GO:0007165"	"signal transduction"	"18.762"	"7.453878764840444E-13"
"GO:0035709"	"memory T cell activation"	"18.221"	NA
"GO:0035712"	"T-helper 2 cell activation"	"18.221"	NA
"GO:0035713"	"response to nitrogen dioxide"	"18.221"	NA
"GO:0071954"	"chemokine (C-C motif) ligand 11 production"	"18.221"	NA
"GO:1900281"	"positive regulation of CD4-positive, alpha-beta T cell costimulation"	"18.221"	NA
"GO:2000572"	"positive regulation of interleukin-4-dependent isotype switching to IgE isotypes"	"18.221"	NA
"GO:0007186"	"G-protein coupled receptor signaling pathway"	"17.432"	NA
"GO:0019221"	"cytokine-mediated signaling pathway"	"16.248"	"3.5464991221229517E-12"
