"GO.ID"	"GO.Term"	"zscore"	"obs"	"mean"	"std"
"GO:0005886"	"plasma membrane"	"46.169"	"4031"	"2213.876"	"39.358"
"GO:0009897"	"external side of plasma membrane"	"37.198"	"547"	"133.287"	"11.122"
"GO:0005887"	"integral component of plasma membrane"	"36.603"	"1375"	"555.881"	"22.379"
"GO:0005576"	"extracellular region"	"28.121"	"1680"	"901.534"	"27.683"
"GO:0005615"	"extracellular space"	"27.84"	"1364"	"699.186"	"23.88"
"GO:0043235"	"receptor complex"	"27.218"	"453"	"141.743"	"11.436"
"GO:0005896"	"interleukin-6 receptor complex"	"26.209"	"27"	"0.791"	"0.883"
"GO:0070110"	"ciliary neurotrophic factor receptor complex"	"22.158"	"23"	"0.842"	"0.909"
"GO:0045121"	"membrane raft"	"21.746"	"546"	"240.787"	"14.035"
"GO:0005942"	"phosphatidylinositol 3-kinase complex"	"20.377"	"99"	"16.987"	"4.025"
"GO:0009986"	"cell surface"	"19.06"	"661"	"336.378"	"17.032"
"GO:0016021"	"integral component of membrane"	"17.369"	"1141"	"705.144"	"25.094"
"GO:0005622"	"intracellular"	"16.617"	"549"	"284.38"	"15.924"
"GO:0042629"	"mast cell granule"	"14.694"	"80"	"18.39"	"4.193"
"GO:0035631"	"CD40 receptor complex"	"14.112"	"79"	"18.604"	"4.28"
"GO:0043514"	"interleukin-12 complex"	"12.715"	"13"	"0.285"	"0.527"
"GO:0031234"	"extrinsic component of cytoplasmic side of plasma membrane"	"12.267"	"138"	"51.734"	"7.033"
"GO:0070195"	"growth hormone receptor complex"	"11.509"	"15"	"1.441"	"1.178"
"GO:0005900"	"oncostatin-M receptor complex"	"11.415"	"12"	"0.585"	"0.783"
"GO:0005768"	"endosome"	"10.944"	"412"	"248.22"	"14.965"
"GO:0031226"	"intrinsic component of plasma membrane"	"10.905"	"55"	"14.08"	"3.752"
"GO:0070743"	"interleukin-23 complex"	"10.702"	"11"	"0.298"	"0.555"
"GO:0005911"	"cell-cell junction"	"10.663"	"274"	"151.485"	"11.49"
"GO:0005943"	"phosphatidylinositol 3-kinase complex, class IA"	"10.442"	"30"	"5.746"	"2.323"
"GO:0019815"	"B cell receptor complex"	"10.404"	"21"	"3.183"	"1.712"
"GO:0005856"	"cytoskeleton"	"10.356"	"412"	"249.464"	"15.694"
"GO:0016323"	"basolateral plasma membrane"	"10.188"	"222"	"116.347"	"10.371"
"GO:0099091"	NA	"10.124"	"36"	"8.752"	"2.691"
"GO:0062023"	NA	"9.983"	"140"	"64.615"	"7.551"
"GO:0009898"	"cytoplasmic side of plasma membrane"	"9.891"	"110"	"44.712"	"6.601"
"GO:0031904"	"endosome lumen"	"9.891"	"70"	"25.515"	"4.497"
"GO:0005899"	"insulin receptor complex"	"9.861"	"23"	"3.884"	"1.939"
"GO:0009925"	"basal plasma membrane"	"9.671"	"83"	"29.549"	"5.527"
"GO:0043679"	"axon terminus"	"9.505"	"108"	"47.836"	"6.33"
"GO:0008305"	"integrin complex"	"9.372"	"47"	"13.715"	"3.551"
"GO:0005925"	"focal adhesion"	"9.271"	"843"	"628.417"	"23.145"
"GO:0097342"	"ripoptosome"	"9.229"	"26"	"5.267"	"2.246"
"GO:0042599"	"lamellar body"	"9.137"	"12"	"1.384"	"1.162"
"GO:0099056"	"integral component of presynaptic membrane"	"9.01"	"85"	"33.885"	"5.673"
"GO:0099055"	"integral component of postsynaptic membrane"	"8.915"	"66"	"24.071"	"4.703"
"GO:0042105"	"alpha-beta T cell receptor complex"	"8.897"	"29"	"6.709"	"2.505"
"GO:0042101"	"T cell receptor complex"	"8.881"	"45"	"13.902"	"3.502"
"GO:0031264"	"death-inducing signaling complex"	"8.805"	"31"	"7.562"	"2.662"
"GO:0005901"	"caveola"	"8.788"	"131"	"61.372"	"7.923"
"GO:0031093"	"platelet alpha granule lumen"	"8.413"	"126"	"62.696"	"7.524"
"GO:0030425"	"dendrite"	"8.404"	"502"	"353.096"	"17.719"
"GO:0034666"	"integrin alpha2-beta1 complex"	"8.314"	"23"	"4.844"	"2.184"
"GO:0035867"	"alphav-beta3 integrin-IGF-1-IGF1R complex"	"7.985"	"15"	"2.546"	"1.56"
"GO:0005938"	"cell cortex"	"7.961"	"200"	"115.807"	"10.576"
"GO:0032009"	"early phagosome"	"7.954"	"21"	"4.632"	"2.058"
"GO:1990578"	"perinuclear endoplasmic reticulum membrane"	"7.929"	"19"	"3.851"	"1.911"
"GO:0098978"	"glutamatergic synapse"	"7.89"	"506"	"364.796"	"17.896"
"GO:0035354"	"Toll-like receptor 1-Toll-like receptor 2 protein complex"	"7.588"	"8"	"0.412"	"0.649"
"GO:0038039"	"G-protein coupled receptor heterodimeric complex"	"7.324"	"17"	"3.733"	"1.811"
"GO:0010008"	"endosome membrane"	"7.227"	"330"	"225.587"	"14.447"
"GO:0030665"	"clathrin-coated vesicle membrane"	"7.187"	"127"	"68.449"	"8.147"
"GO:0005788"	"endoplasmic reticulum lumen"	"7.184"	"222"	"142.548"	"11.059"
"GO:0016324"	"apical plasma membrane"	"7.159"	"264"	"174.591"	"12.489"
"GO:0070435"	"Shc-EGFR complex"	"7.127"	"34"	"11.352"	"3.178"
"GO:0005623"	"cell"	"6.898"	"36"	"12.605"	"3.392"
"GO:0071438"	"invadopodium membrane"	"6.875"	"16"	"3.419"	"1.83"
"GO:0014069"	"postsynaptic density"	"6.827"	"333"	"231.97"	"14.799"
"GO:0030027"	"lamellipodium"	"6.801"	"241"	"159.587"	"11.971"
"GO:0071062"	"alphav-beta3 integrin-vitronectin complex"	"6.772"	"12"	"2.15"	"1.455"
"GO:0030667"	"secretory granule membrane"	"6.767"	"121"	"66.531"	"8.05"
"GO:1904724"	"tertiary granule lumen"	"6.728"	"60"	"26.058"	"5.045"
"GO:0042734"	"presynaptic membrane"	"6.723"	"81"	"39.06"	"6.238"
"GO:0035579"	"specific granule membrane"	"6.574"	"77"	"37.563"	"5.999"
"GO:0032587"	"ruffle membrane"	"6.569"	"161"	"99.11"	"9.422"
"GO:0008385"	"IkappaB kinase complex"	"6.485"	"38"	"14.252"	"3.662"
"GO:0042995"	"cell projection"	"6.459"	"126"	"73.496"	"8.128"
"GO:0031092"	"platelet alpha granule membrane"	"6.428"	"24"	"7.754"	"2.527"
"GO:0030061"	"mitochondrial crista"	"6.385"	"15"	"3.394"	"1.818"
"GO:0030122"	"AP-2 adaptor complex"	"6.34"	"66"	"31.886"	"5.381"
"GO:0045095"	"keratin filament"	"6.333"	"68"	"32.182"	"5.655"
"GO:0031012"	"extracellular matrix"	"6.292"	"120"	"70.487"	"7.869"
"GO:0005884"	"actin filament"	"6.285"	"153"	"94.726"	"9.271"
"GO:0060170"	"ciliary membrane"	"6.217"	"76"	"38.687"	"6.001"
"GO:1990682"	"CSF1-CSF1R complex"	"6.207"	"7"	"0.793"	"0.901"
"GO:0035525"	"NF-kappaB p50/p65 complex"	"6.026"	"15"	"3.891"	"1.844"
"GO:0097444"	"spine apparatus"	"6.024"	"18"	"5.115"	"2.139"
"GO:0035868"	"alphav-beta3 integrin-HMGB1 complex"	"5.947"	"11"	"2.311"	"1.461"
"GO:0031091"	"platelet alpha granule"	"5.866"	"21"	"6.383"	"2.492"
"GO:1990604"	"IRE1-TRAF2-ASK1 complex"	"5.836"	"18"	"5.001"	"2.228"
"GO:0046581"	"intercellular canaliculus"	"5.835"	"7"	"1.04"	"1.021"
