"GO.ID"	"GO.Term"	"Z-score"
"GO:0007186"	"G-protein coupled receptor signaling pathway"	"157.204"
"GO:0007204"	"positive regulation of cytosolic calcium ion concentration"	"77.471"
"GO:0007218"	"neuropeptide signaling pathway"	"77.066"
"GO:0010469"	"regulation of receptor activity"	"72.394"
"GO:0006954"	"inflammatory response"	"69.574"
"GO:0070098"	"chemokine-mediated signaling pathway"	"67.93"
"GO:0006935"	"chemotaxis"	"61.535"
"GO:0006955"	"immune response"	"61.491"
"GO:0007187"	"G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger"	"58.771"
"GO:0007200"	"phospholipase C-activating G-protein coupled receptor signaling pathway"	"56.946"
"GO:0007193"	"adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway"	"52.566"
"GO:0060326"	"cell chemotaxis"	"51.946"
"GO:0030593"	"neutrophil chemotaxis"	"50.868"
"GO:0001580"	"detection of chemical stimulus involved in sensory perception of bitter taste"	"49.629"
"GO:0007267"	"cell-cell signaling"	"48.992"
"GO:0007166"	"cell surface receptor signaling pathway"	"47.26"
"GO:0007189"	"adenylate cyclase-activating G-protein coupled receptor signaling pathway"	"46.519"
"GO:0051482"	"positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway"	"45.881"
"GO:0019722"	"calcium-mediated signaling"	"44.634"
"GO:0007268"	"chemical synaptic transmission"	"42.939"
"GO:0007188"	"adenylate cyclase-modulating G-protein coupled receptor signaling pathway"	"38.782"
"GO:0007165"	"signal transduction"	"38.394"
"GO:0030595"	"leukocyte chemotaxis"	"38.298"
"GO:0007202"	"activation of phospholipase C activity"	"36.939"
"GO:0007631"	"feeding behavior"	"36.346"
"GO:0051930"	"regulation of sensory perception of pain"	"35.205"
"GO:0042755"	"eating behavior"	"35.004"
"GO:0070374"	"positive regulation of ERK1 and ERK2 cascade"	"34.78"
"GO:0048247"	"lymphocyte chemotaxis"	"33.834"
"GO:0007194"	"negative regulation of adenylate cyclase activity"	"33.07"
"GO:0002548"	"monocyte chemotaxis"	"33.05"
"GO:0002407"	"dendritic cell chemotaxis"	"32.659"
"GO:0045777"	"positive regulation of blood pressure"	"30.767"
"GO:0035815"	"positive regulation of renal sodium excretion"	"30.121"
"GO:0035025"	"positive regulation of Rho protein signal transduction"	"30.106"
"GO:0071222"	"cellular response to lipopolysaccharide"	"29.965"
"GO:0042310"	"vasoconstriction"	"29.922"
"GO:0035589"	"G-protein coupled purinergic nucleotide receptor signaling pathway"	"29.632"
"GO:0019233"	"sensory perception of pain"	"29.117"
"GO:0019221"	"cytokine-mediated signaling pathway"	"28.993"
"GO:0045907"	"positive regulation of vasoconstriction"	"28.809"
"GO:0030168"	"platelet activation"	"28.235"
"GO:0045776"	"negative regulation of blood pressure"	"27.433"
"GO:0051281"	"positive regulation of release of sequestered calcium ion into cytosol"	"27.373"
"GO:0006968"	"cellular defense response"	"26.79"
"GO:0050482"	"arachidonic acid secretion"	"26.427"
"GO:0006874"	"cellular calcium ion homeostasis"	"26.067"
"GO:0010700"	"negative regulation of norepinephrine secretion"	"25.748"
"GO:0019229"	"regulation of vasoconstriction"	"25.736"
"GO:0071880"	"adenylate cyclase-activating adrenergic receptor signaling pathway"	"25.403"
"GO:0070474"	"positive regulation of uterine smooth muscle contraction"	"24.903"
"GO:0045987"	"positive regulation of smooth muscle contraction"	"24.813"
"GO:0007205"	"protein kinase C-activating G-protein coupled receptor signaling pathway"	"24.747"
"GO:0042311"	"vasodilation"	"24.478"
"GO:0001659"	"temperature homeostasis"	"24.431"
"GO:0007216"	"G-protein coupled glutamate receptor signaling pathway"	"24.155"
"GO:0007197"	"adenylate cyclase-inhibiting G-protein coupled acetylcholine receptor signaling pathway"	"24.073"
"GO:0038003"	"opioid receptor signaling pathway"	"24.008"
"GO:0002430"	"complement receptor mediated signaling pathway"	"23.957"
"GO:0048016"	"inositol phosphate-mediated signaling"	"23.687"
"GO:0014824"	"artery smooth muscle contraction"	"23.467"
"GO:0043123"	"positive regulation of I-kappaB kinase/NF-kappaB signaling"	"23.206"
"GO:0043950"	"positive regulation of cAMP-mediated signaling"	"23.129"
"GO:0034695"	"response to prostaglandin E"	"23.099"
"GO:0007196"	"adenylate cyclase-inhibiting G-protein coupled glutamate receptor signaling pathway"	"22.891"
"GO:0090026"	"positive regulation of monocyte chemotaxis"	"22.711"
"GO:0014050"	"negative regulation of glutamate secretion"	"22.61"
"GO:0090023"	"positive regulation of neutrophil chemotaxis"	"22.579"
"GO:0001973"	"adenosine receptor signaling pathway"	"22.43"
"GO:0032496"	"response to lipopolysaccharide"	"22.361"
"GO:0003376"	"sphingosine-1-phosphate signaling pathway"	"22.278"
"GO:0007213"	"G-protein coupled acetylcholine receptor signaling pathway"	"22.039"
"GO:0045766"	"positive regulation of angiogenesis"	"22.015"
"GO:0042119"	"neutrophil activation"	"21.761"
"GO:0008015"	"blood circulation"	"21.616"
"GO:0007191"	"adenylate cyclase-activating dopamine receptor signaling pathway"	"21.548"
"GO:0008217"	"regulation of blood pressure"	"21.487"
"GO:0071347"	"cellular response to interleukin-1"	"21.329"
"GO:0090280"	"positive regulation of calcium ion import"	"21.271"
"GO:0007625"	"grooming behavior"	"21.215"
"GO:0048245"	"eosinophil chemotaxis"	"21.109"
"GO:0007600"	"sensory perception"	"21.026"
"GO:0001696"	"gastric acid secretion"	"20.968"
"GO:2000669"	"negative regulation of dendritic cell apoptotic process"	"20.895"
