"GO.ID"	"GO.Term"	"NetBAS"	"DAVID"
"GO:0005887"	"integral component of plasma membrane"	"96.487"	"3.1294231215539754E-54"
"GO:0005886"	"plasma membrane"	"79.193"	"2.0756537911168767E-42"
"GO:0016021"	"integral component of membrane"	"41.515"	"6.938959064151543E-23"
"GO:0005576"	"extracellular region"	"40.289"	"6.4406764154087145E-9"
"GO:0009897"	"external side of plasma membrane"	"40.154"	"1.7770238459118484E-11"
"GO:0005615"	"extracellular space"	"32.13"	"8.187938549816515E-17"
"GO:0005622"	"intracellular"	"31.804"	NA
"GO:0099056"	"integral component of presynaptic membrane"	"28.207"	NA
"GO:0043679"	"axon terminus"	"27.968"	NA
"GO:0005623"	"cell"	"24.883"	"0.0034460602690903606"
