"GO.ID"	"GO.Term"	"zscore"
"GO:0005125"	"cytokine activity"	"16.12"
"GO:0008009"	"chemokine activity"	"16.055"
"GO:0048020"	"CCR chemokine receptor binding"	"15.857"
"GO:0031729"	"CCR4 chemokine receptor binding"	"14.322"
"GO:0042008"	"interleukin-18 receptor activity"	"14.322"
"GO:0017002"	"activin-activated receptor activity"	"14.283"
"GO:0034711"	"inhibin binding"	"13.041"
"GO:0048248"	"CXCR3 chemokine receptor binding"	"12.592"
"GO:0005375"	"copper ion transmembrane transporter activity"	"11.743"
"GO:0004995"	"tachykinin receptor activity"	"11.563"
"GO:0031700"	"adrenomedullin receptor binding"	"11.503"
"GO:0047280"	"nicotinamide phosphoribosyltransferase activity"	"10.8"
"GO:0016496"	"substance P receptor activity"	"10.612"
"GO:0005102"	"receptor binding"	"10.435"
"GO:0019962"	"type I interferon binding"	"10.377"
"GO:0042497"	"triacyl lipopeptide binding"	"10.377"
"GO:0001856"	"complement component C5a binding"	"10.321"
"GO:0038023"	"signaling receptor activity"	"10.289"
"GO:0003934"	"GTP cyclohydrolase I activity"	"10.265"
"GO:0031628"	"opioid receptor binding"	"10.265"
"GO:0005130"	"granulocyte colony-stimulating factor receptor binding"	"10.157"
"GO:0046817"	"chemokine receptor antagonist activity"	"10.051"
"GO:0005141"	"interleukin-10 receptor binding"	"10"
"GO:0005147"	"oncostatin-M receptor binding"	"10"
"GO:0030377"	"urokinase plasminogen activator receptor activity"	"10"
"GO:0019912"	"cyclin-dependent protein kinase activating kinase activity"	"9.899"
"GO:0019978"	"interleukin-3 binding"	"9.899"
"GO:0051916"	"granulocyte colony-stimulating factor binding"	"9.899"
"GO:0005161"	"platelet-derived growth factor receptor binding"	"9.885"
"GO:0004876"	"complement component C3a receptor activity"	"9.85"
"GO:0043208"	"glycosphingolipid binding"	"9.769"
"GO:0015087"	"cobalt ion transmembrane transporter activity"	"9.754"
"GO:0015094"	"lead ion transmembrane transporter activity"	"9.754"
"GO:0015099"	"nickel cation transmembrane transporter activity"	"9.754"
"GO:0031775"	"lutropin-choriogonadotropic hormone receptor binding"	"9.754"
"GO:0086039"	"calcium-transporting ATPase activity involved in regulation of cardiac muscle cell membrane potential"	"9.754"
"GO:0030169"	"low-density lipoprotein particle binding"	"9.746"
"GO:0031707"	"endothelin A receptor binding"	"9.707"
"GO:0035757"	"chemokine (C-C motif) ligand 19 binding"	"9.661"
"GO:0035758"	"chemokine (C-C motif) ligand 21 binding"	"9.661"
"GO:0038117"	"C-C motif chemokine 19 receptor activity"	"9.661"
"GO:0038121"	"C-C motif chemokine 21 receptor activity"	"9.661"
"GO:0005345"	"purine nucleobase transmembrane transporter activity"	"9.615"
"GO:0005350"	"pyrimidine nucleobase transmembrane transporter activity"	"9.615"
"GO:0031737"	"CX3C chemokine receptor binding"	"9.615"
"GO:0045237"	"CXCR1 chemokine receptor binding"	"9.615"
"GO:0046943"	"carboxylic acid transmembrane transporter activity"	"9.615"
"GO:0015181"	"arginine transmembrane transporter activity"	"9.574"
"GO:0015189"	"L-lysine transmembrane transporter activity"	"9.574"
"GO:0019969"	"interleukin-10 binding"	"9.57"
"GO:0045515"	"interleukin-18 receptor binding"	"9.57"
"GO:0097626"	"low-affinity L-arginine transmembrane transporter activity"	"9.57"
"GO:0097627"	"high-affinity L-ornithine transmembrane transporter activity"	"9.57"
"GO:0004896"	"cytokine receptor activity"	"9.536"
"GO:0031727"	"CCR2 chemokine receptor binding"	"9.422"
"GO:0038048"	"dynorphin receptor activity"	"9.312"
"GO:0005008"	"hepatocyte growth factor-activated receptor activity"	"9.271"
"GO:0060422"	"peptidyl-dipeptidase inhibitor activity"	"9.271"
"GO:1990939"	"ATP-dependent microtubule motor activity"	"9.23"
"GO:0001618"	"virus receptor activity"	"9.184"
