goId	name	refNum	interestNum	interestGene	expect	ratio	pValue	FDR
GO:0001775	cell activation	1254	39	AHR|1;AXL|1;C3AR1|1;C5AR1|1;CD14|1;CD40|1;CD55|1;GPR183|1;FPR1|1;IL1B|1;IL4R|1;IL6|1;IL7R|1;IL10|1;INHBA|1;ITGB3|1;LCK|1;LCP2|1;LYN|1;MMP14|1;NFKB1|1;PLAUR|1;PSEN1|1;PTGER4|1;RAF1|1;CCL2|1;CCL5|1;SELL|1;SLC7A2|1;TIMP1|1;TLR1|1;TLR2|1;TLR3|1;TNFRSF1B|1;TNFSF9|1;RIPK2|1;PIK3R5|1;NOD2|1;NLRP3|1	7.134508674580319	5.466389036564475	0	0
GO:0001816	cytokine production	657	32	ABCA1|1;AXL|1;C3AR1|1;C5AR1|1;CD14|1;CD40|1;CD55|1;HIF1A|1;IL1B|1;IL1R1|1;IL4R|1;IL6|1;IL10|1;INHBA|1;IRF7|1;LCP2|1;LTA|1;LYN|1;MEFV|1;NFKB1|1;OSM|1;EIF2AK2|1;PTGER4|1;RELA|1;TLR1|1;TLR2|1;TLR3|1;TNFRSF1B|1;RIPK2|1;NMI|1;NOD2|1;NLRP3|1	3.7379363629978224	8.560873405114908	0	0
GO:0001817	regulation of cytokine production	595	29	AXL|1;C3AR1|1;C5AR1|1;CD14|1;CD40|1;HIF1A|1;IL1B|1;IL1R1|1;IL4R|1;IL6|1;IL10|1;INHBA|1;IRF7|1;LTA|1;LYN|1;MEFV|1;NFKB1|1;OSM|1;EIF2AK2|1;PTGER4|1;RELA|1;TLR1|1;TLR2|1;TLR3|1;TNFRSF1B|1;RIPK2|1;NMI|1;NOD2|1;NLRP3|1	3.385193509868652	8.56671853926756	0	0
GO:0001819	positive regulation of cytokine production	390	23	C3AR1|1;C5AR1|1;CD14|1;CD40|1;HIF1A|1;IL1B|1;IL1R1|1;IL4R|1;IL6|1;IL10|1;IRF7|1;LTA|1;NFKB1|1;OSM|1;EIF2AK2|1;PTGER4|1;RELA|1;TLR1|1;TLR2|1;TLR3|1;RIPK2|1;NOD2|1;NLRP3|1	2.2188663341996206	10.365653687875911	0	0
GO:0002237	response to molecule of bacterial origin	305	27	ABCA1|1;AXL|1;C5AR1|1;CD14|1;CD40|1;CD55|1;IL1B|1;IL6|1;IL10|1;IL10RA|1;IRAK2|1;LTA|1;LYN|1;NFKB1|1;NFKBIA|1;PTGER4|1;PTGIR|1;RELA|1;CCL2|1;CCL5|1;SELE|1;TLR1|1;TLR2|1;TNFRSF1B|1;RIPK2|1;NOD2|1;NLRP3|1	1.7352672613612419	15.559562841530054	0	0
GO:0002376	immune system process	2539	59	ACVR1B|1;ACVR2A|1;AHR|1;AXL|1;C3AR1|1;C5AR1|1;CD14|1;CD40|1;CD48|1;CD70|1;CSF3R|1;CD55|1;GPR183|1;FPR1|1;GPC3|1;HIF1A|1;HRH1|1;IL1B|1;IL1R1|1;IL4R|1;IL6|1;IL7R|1;IL10|1;INHBA|1;IRAK2|1;IRF7|1;ITGA5|1;ITGB3|1;LCK|1;LCP2|1;LTA|1;LYN|1;MEFV|1;MMP14|1;MYC|1;NFKB1|1;NFKBIA|1;OSM|1;PLAUR|1;EIF2AK2|1;PSEN1|1;PTGER4|1;PVR|1;RAF1|1;RELA|1;CCL2|1;CCL5|1;SELE|1;SELL|1;SLC7A2|1;TLR1|1;TLR2|1;TLR3|1;TNFRSF1B|1;TNFSF9|1;RIPK2|1;NMI|1;NOD2|1;NLRP3|1	14.445388775725222	4.0843483630670185	0	0
GO:0002682	regulation of immune system process	1278	50	ACVR1B|1;ACVR2A|1;AHR|1;AXL|1;C3AR1|1;C5AR1|1;CD14|1;CD40|1;CD48|1;CSF3R|1;CD55|1;GPR183|1;FPR1|1;HIF1A|1;IL1B|1;IL1R1|1;IL4R|1;IL6|1;IL7R|1;IL10|1;INHBA|1;IRAK2|1;IRF7|1;LCK|1;LCP2|1;LTA|1;LYN|1;MMP14|1;MYC|1;NFKB1|1;NFKBIA|1;EIF2AK2|1;PSEN1|1;PTGER4|1;PVR|1;RAF1|1;RELA|1;CCL2|1;CCL5|1;SELL|1;SLC7A2|1;TLR1|1;TLR2|1;TLR3|1;TNFRSF1B|1;TNFSF9|1;RIPK2|1;NMI|1;NOD2|1;NLRP3|1	7.271054295146449	6.876581850499431	0	0
GO:0002684	positive regulation of immune system process	894	40	ACVR1B|1;ACVR2A|1;AXL|1;C3AR1|1;C5AR1|1;CD14|1;CD40|1;CD55|1;GPR183|1;FPR1|1;HIF1A|1;IL1B|1;IL1R1|1;IL4R|1;IL6|1;IL7R|1;IL10|1;INHBA|1;IRAK2|1;IRF7|1;LCK|1;LCP2|1;LTA|1;LYN|1;MMP14|1;NFKB1|1;NFKBIA|1;PSEN1|1;PVR|1;RAF1|1;RELA|1;CCL2|1;CCL5|1;TLR1|1;TLR2|1;TLR3|1;TNFSF9|1;RIPK2|1;NOD2|1;NLRP3|1	5.086324366088361	7.864225149832906	0	0
GO:0006915	apoptotic process	1782	45	ACVR1B|1;AHR|1;AXL|1;C5AR1|1;CD14|1;CD40|1;CD70|1;CDKN1A|1;LPAR1|1;GNAI3|1;HIF1A|1;IL1B|1;IL2RB|1;IL6|1;IL7R|1;IL10|1;TNFRSF9|1;INHBA|1;IRF7|1;ITGA5|1;LCK|1;LTA|1;LYN|1;MET|1;MYC|1;NFKB1|1;NFKBIA|1;PLAUR|1;EIF2AK2|1;PSEN1|1;RAF1|1;RELA|1;CCL2|1;CCL5|1;TIMP1|1;TLR2|1;TLR3|1;TNFRSF1B|1;VIP|1;TNFSF9|1;RIPK2|1;KIF1B|1;NOD2|1;NLRP3|1;RNF144B|1	10.13851232703519	4.4385210125950865	0	0
GO:0006950	response to stress	3399	58	ABCA1|1;AXL|1;C3AR1|1;C5AR1|1;CD14|1;CD40|1;CD48|1;CDKN1A|1;CSF3R|1;CD55|1;HBEGF|1;FPR1|1;HIF1A|1;HRH1|1;IL1B|1;IL1R1|1;IL4R|1;IL6|1;IL10|1;INHBA|1;IRAK2|1;IRF7|1;ITGA5|1;ITGB3|1;LCK|1;LCP2|1;LTA|1;LYN|1;MEFV|1;MET|1;MMP14|1;MYC|1;NFKB1|1;NFKBIA|1;OSM|1;PLAUR|1;EIF2AK2|1;PSEN1|1;PTGER4|1;PTGIR|1;PVR|1;RAF1|1;RELA|1;CCL2|1;CCL5|1;SELE|1;SLC7A2|1;TIMP1|1;TLR1|1;TLR2|1;TLR3|1;TNFRSF1B|1;RIPK2|1;NMI|1;OSMR|1;PIK3R5|1;NOD2|1;NLRP3|1	19.33827351267823	2.999233616277845	0	0
