"GO.ID"	"GO.Term"	"zscore"	"obs"	"mean"	"std"
"GO:0009897"	"external side of plasma membrane"	"26.453"	"588"	"211.764"	"14.223"
"GO:0000502"	"proteasome complex"	"24.464"	"570"	"227.454"	"14.002"
"GO:0005839"	"proteasome core complex"	"23.759"	"240"	"59.477"	"7.598"
"GO:0042613"	"MHC class II protein complex"	"23.175"	"104"	"15.799"	"3.806"
"GO:0035631"	"CD40 receptor complex"	"22.802"	"152"	"30.946"	"5.309"
"GO:0071556"	"integral component of lumenal side of endoplasmic reticulum membrane"	"21.491"	"162"	"34.962"	"5.911"
"GO:0005886"	"plasma membrane"	"21.423"	"4824"	"3678.527"	"53.469"
"GO:0097342"	"ripoptosome"	"21.079"	"67"	"8.233"	"2.788"
"GO:0019774"	"proteasome core complex, beta-subunit complex"	"19.309"	"121"	"24.933"	"4.975"
"GO:0005576"	"extracellular region"	"18.959"	"2190"	"1521.458"	"35.263"
"GO:0005887"	"integral component of plasma membrane"	"17.643"	"1400"	"903.098"	"28.165"
"GO:0008385"	"IkappaB kinase complex"	"16.986"	"101"	"23.594"	"4.557"
"GO:0031265"	"CD95 death-inducing signaling complex"	"16.753"	"56"	"8.61"	"2.829"
"GO:0042825"	"TAP complex"	"15.834"	"20"	"1.351"	"1.178"
"GO:0031264"	"death-inducing signaling complex"	"15.25"	"66"	"12.275"	"3.523"
"GO:0045121"	"membrane raft"	"14.762"	"686"	"409.52"	"18.729"
"GO:0042571"	"immunoglobulin complex, circulating"	"14.548"	"74"	"16.019"	"3.986"
"GO:0005615"	"extracellular space"	"14.314"	"1678"	"1197.44"	"33.573"
"GO:0042101"	"T cell receptor complex"	"14.111"	"86"	"22.32"	"4.513"
"GO:0005896"	"interleukin-6 receptor complex"	"14.005"	"16"	"1.138"	"1.061"
"GO:0030658"	"transport vesicle membrane"	"13.999"	"93"	"25.568"	"4.817"
"GO:0042105"	"alpha-beta T cell receptor complex"	"13.971"	"56"	"10.954"	"3.224"
"GO:0005737"	"cytoplasm"	"13.91"	"6748"	"5906.094"	"60.525"
"GO:0019005"	"SCF ubiquitin ligase complex"	"13.762"	"263"	"118.548"	"10.496"
"GO:0009898"	"cytoplasmic side of plasma membrane"	"13.314"	"186"	"72.689"	"8.511"
"GO:0019773"	"proteasome core complex, alpha-subunit complex"	"13.184"	"103"	"32.617"	"5.338"
"GO:1990111"	"spermatoproteasome complex"	"12.73"	"48"	"9.423"	"3.03"
"GO:0005829"	"cytosol"	"12.396"	"8968"	"8244.834"	"58.34"
"GO:0008537"	"proteasome activator complex"	"11.64"	"29"	"4.566"	"2.099"
"GO:0010008"	"endosome membrane"	"11.639"	"623"	"404.442"	"18.778"
"GO:0022624"	"proteasome accessory complex"	"11.226"	"221"	"109.478"	"9.934"
"GO:0012507"	"ER to Golgi transport vesicle membrane"	"11.146"	"222"	"108.304"	"10.201"
"GO:0042612"	"MHC class I protein complex"	"11.143"	"52"	"12.52"	"3.543"
"GO:0070110"	"ciliary neurotrophic factor receptor complex"	"11.065"	"14"	"1.281"	"1.15"
"GO:0009986"	"cell surface"	"10.544"	"801"	"563.56"	"22.519"
"GO:0005838"	"proteasome regulatory particle"	"10.535"	"109"	"43.797"	"6.189"
"GO:0030669"	"clathrin-coated endocytic vesicle membrane"	"10.488"	"153"	"68.649"	"8.043"
"GO:0008540"	"proteasome regulatory particle, base subcomplex"	"10.361"	"147"	"67.24"	"7.698"
"GO:0071797"	"LUBAC complex"	"9.764"	"24"	"4.306"	"2.017"
"GO:0070195"	"growth hormone receptor complex"	"9.617"	"16"	"2.201"	"1.435"
"GO:0005942"	"phosphatidylinositol 3-kinase complex"	"9.601"	"77"	"27.734"	"5.131"
"GO:0035525"	"NF-kappaB p50/p65 complex"	"9.521"	"30"	"6.747"	"2.442"
"GO:0072557"	"IPAF inflammasome complex"	"9.109"	"10"	"0.891"	"0.952"
"GO:0072558"	"NLRP1 inflammasome complex"	"8.827"	"13"	"1.645"	"1.286"
"GO:0032449"	"CBM complex"	"8.599"	"16"	"2.611"	"1.557"
"GO:0043235"	"receptor complex"	"8.449"	"358"	"238.366"	"14.159"
"GO:0001772"	"immunological synapse"	"8.112"	"103"	"48.667"	"6.698"
"GO:0042629"	"mast cell granule"	"8.049"	"73"	"30.643"	"5.262"
"GO:0008541"	"proteasome regulatory particle, lid subcomplex"	"8.036"	"81"	"35.864"	"5.617"
"GO:0005622"	"intracellular"	"7.834"	"631"	"468.02"	"20.805"
"GO:0072559"	"NLRP3 inflammasome complex"	"7.635"	"16"	"3"	"1.703"
"GO:0032588"	"trans-Golgi network membrane"	"7.409"	"215"	"133.139"	"11.05"
"GO:0097179"	"protease inhibitor complex"	"7.277"	"8"	"0.723"	"0.843"
"GO:0000151"	"ubiquitin ligase complex"	"7.255"	"431"	"308.802"	"16.844"
"GO:0097169"	"AIM2 inflammasome complex"	"7.221"	"15"	"2.891"	"1.677"
"GO:0043293"	"apoptosome"	"7.14"	"8"	"0.86"	"0.953"
"GO:1990604"	"IRE1-TRAF2-ASK1 complex"	"6.958"	"28"	"8.348"	"2.824"
"GO:0035370"	"UBC13-UEV1A complex"	"6.929"	"25"	"6.993"	"2.599"
"GO:0005899"	"insulin receptor complex"	"6.899"	"23"	"6.076"	"2.453"
"GO:0042824"	"MHC class I peptide loading complex"	"6.62"	"14"	"3.091"	"1.648"
"GO:0016021"	"integral component of membrane"	"6.607"	"1338"	"1124.758"	"32.274"
"GO:0043514"	"interleukin-12 complex"	"6.547"	"7"	"0.453"	"0.678"
"GO:0070743"	"interleukin-23 complex"	"6.526"	"7"	"0.474"	"0.687"
"GO:0030666"	"endocytic vesicle membrane"	"6.495"	"399"	"290.664"	"16.68"
"GO:0034774"	"secretory granule lumen"	"6.441"	"577"	"451.202"	"19.531"
"GO:0044393"	"microspike"	"6.381"	"12"	"2.408"	"1.503"
"GO:0005900"	"oncostatin-M receptor complex"	"6.122"	"7"	"0.878"	"0.95"
"GO:0036398"	"TCR signalosome"	"6.086"	"18"	"4.66"	"2.192"
"GO:1904724"	"tertiary granule lumen"	"6.049"	"81"	"42.521"	"6.361"
"GO:0000159"	"protein phosphatase type 2A complex"	"6.043"	"124"	"74.026"	"8.27"
"GO:0097057"	"TRAF2-GSTP1 complex"	"5.911"	"22"	"6.842"	"2.564"
"GO:0035580"	"specific granule lumen"	"5.832"	"93"	"52.883"	"6.879"
"GO:0045323"	"interleukin-1 receptor complex"	"5.824"	"20"	"5.961"	"2.411"
"GO:0048471"	"perinuclear region of cytoplasm"	"5.79"	"1239"	"1066.489"	"29.797"
"GO:0030670"	"phagocytic vesicle membrane"	"5.667"	"150"	"94.126"	"9.86"
"GO:1990597"	"AIP1-IRE1 complex"	"5.576"	"22"	"7.323"	"2.632"
"GO:0005768"	"endosome"	"5.518"	"526"	"422.521"	"18.753"
"GO:0072536"	"interleukin-23 receptor complex"	"5.489"	"6"	"0.511"	"0.707"
"GO:0031901"	"early endosome membrane"	"5.398"	"234"	"167.715"	"12.28"
"GO:0032398"	"MHC class Ib protein complex"	"5.308"	"7"	"1.221"	"1.089"
"GO:0016323"	"basolateral plasma membrane"	"5.12"	"264"	"195.948"	"13.291"
"GO:0098636"	"protein complex involved in cell adhesion"	"5.056"	"6"	"0.944"	"0.97"
"GO:0031234"	"extrinsic component of cytoplasmic side of plasma membrane"	"4.898"	"130"	"85.026"	"9.182"
"GO:0032991"	"macromolecular complex"	"4.874"	"1567"	"1398.611"	"34.546"
"GO:0042734"	"presynaptic membrane"	"4.868"	"97"	"61.563"	"7.279"
"GO:0042599"	"lamellar body"	"4.817"	"9"	"2.116"	"1.429"
"GO:1904813"	"ficolin-1-rich granule lumen"	"4.778"	"627"	"526.238"	"21.087"
"GO:0005765"	"lysosomal membrane"	"4.729"	"450"	"362.424"	"18.518"
"GO:0031467"	"Cul7-RING ubiquitin ligase complex"	"4.702"	"51"	"27.511"	"4.996"
"GO:0043224"	"nuclear SCF ubiquitin ligase complex"	"4.697"	"21"	"8.321"	"2.699"
"GO:0036021"	"endolysosome lumen"	"4.696"	"11"	"2.933"	"1.718"
"GO:0031597"	"cytosolic proteasome complex"	"4.674"	"73"	"43.179"	"6.38"
"GO:0005943"	"phosphatidylinositol 3-kinase complex, class IA"	"4.597"	"24"	"9.823"	"3.084"
"GO:0031226"	"intrinsic component of plasma membrane"	"4.485"	"42"	"21.698"	"4.527"
"GO:0031981"	"nuclear lumen"	"4.482"	"10"	"2.785"	"1.61"
"GO:0019815"	"B cell receptor complex"	"4.433"	"15"	"5.299"	"2.188"
"GO:0031466"	"Cul5-RING ubiquitin ligase complex"	"4.414"	"32"	"15.66"	"3.702"
"GO:0032009"	"early phagosome"	"4.398"	"19"	"7.467"	"2.623"
"GO:0005623"	"cell"	"4.397"	"39"	"20.311"	"4.251"
"GO:0031966"	"mitochondrial membrane"	"4.367"	"136"	"95.831"	"9.198"
"GO:0001891"	"phagocytic cup"	"4.34"	"57"	"33.39"	"5.44"
"GO:0031462"	"Cul2-RING ubiquitin ligase complex"	"4.321"	"40"	"20.951"	"4.408"
"GO:0070435"	"Shc-EGFR complex"	"4.306"	"39"	"20.746"	"4.239"
"GO:0034274"	"Atg12-Atg5-Atg16 complex"	"4.304"	"13"	"4.236"	"2.036"
"GO:0099055"	"integral component of postsynaptic membrane"	"4.3"	"65"	"38.997"	"6.047"
"GO:1902911"	"protein kinase complex"	"4.265"	"7"	"1.633"	"1.259"
"GO:0005811"	"lipid particle"	"4.234"	"143"	"101.036"	"9.912"
"GO:0099056"	"integral component of presynaptic membrane"	"4.161"	"84"	"54.328"	"7.132"
"GO:0099091"	NA	"4.14"	"31"	"15.357"	"3.778"
"GO:0030127"	"COPII vesicle coat"	"4.13"	"73"	"46.129"	"6.507"
"GO:0031372"	"UBC13-MMS2 complex"	"4.101"	"16"	"6.093"	"2.416"
"GO:0016605"	"PML body"	"4.096"	"347"	"281.057"	"16.101"
