"GO.ID"	"GO.Term"	"Z-score"
"GO:0005132"	"type I interferon receptor binding"	"49.197"
"GO:0005126"	"cytokine receptor binding"	"28.543"
"GO:0005125"	"cytokine activity"	"23.319"
"GO:0004842"	"ubiquitin-protein transferase activity"	"22.931"
"GO:0004298"	"threonine-type endopeptidase activity"	"22.091"
"GO:0042605"	"peptide antigen binding"	"22.069"
"GO:0005164"	"tumor necrosis factor receptor binding"	"21.764"
"GO:0004175"	"endopeptidase activity"	"20.516"
"GO:0004896"	"cytokine receptor activity"	"19.545"
"GO:0019955"	"cytokine binding"	"18.689"
"GO:0097153"	"cysteine-type endopeptidase activity involved in apoptotic process"	"18.473"
"GO:0004906"	"interferon-gamma receptor activity"	"18.302"
"GO:0050700"	"CARD domain binding"	"17.672"
"GO:0005131"	"growth hormone receptor binding"	"17.661"
"GO:0030109"	"HLA-B specific inhibitory MHC class I receptor activity"	"17.59"
"GO:0003823"	"antigen binding"	"17.415"
"GO:0004930"	"G-protein coupled receptor activity"	"17.315"
"GO:0030107"	"HLA-A specific inhibitory MHC class I receptor activity"	"17.179"
"GO:0035877"	"death effector domain binding"	"17.023"
"GO:0004905"	"type I interferon receptor activity"	"16.432"
"GO:0005123"	"death receptor binding"	"16.217"
"GO:0032395"	"MHC class II receptor activity"	"16.092"
"GO:0004715"	"non-membrane spanning protein tyrosine kinase activity"	"15.894"
"GO:0031730"	"CCR5 chemokine receptor binding"	"15.881"
"GO:0015433"	"peptide antigen-transporting ATPase activity"	"15.834"
"GO:0008009"	"chemokine activity"	"15.74"
"GO:0008384"	"IkappaB kinase activity"	"15.5"
"GO:0023029"	"MHC class Ib protein binding"	"15.465"
"GO:0034987"	"immunoglobulin receptor binding"	"14.872"
"GO:0046978"	"TAP1 binding"	"14.651"
"GO:0097199"	"cysteine-type endopeptidase activity involved in apoptotic signaling pathway"	"14.536"
"GO:0004252"	"serine-type endopeptidase activity"	"13.768"
"GO:0008811"	"chloramphenicol O-acetyltransferase activity"	"13.527"
"GO:0033038"	"bitter taste receptor activity"	"13.502"
"GO:0042802"	"identical protein binding"	"13.177"
"GO:0004911"	"interleukin-2 receptor activity"	"13.075"
"GO:0019976"	"interleukin-2 binding"	"13.075"
"GO:0005138"	"interleukin-6 receptor binding"	"13.056"
"GO:0061630"	"ubiquitin protein ligase activity"	"12.937"
"GO:0019957"	"C-C chemokine binding"	"12.918"
"GO:0001784"	"phosphotyrosine binding"	"12.749"
"GO:0016493"	"C-C chemokine receptor activity"	"12.662"
"GO:0019956"	"chemokine binding"	"12.63"
"GO:0004713"	"protein tyrosine kinase activity"	"12.555"
"GO:1904680"	"peptide transmembrane transporter activity"	"12.521"
"GO:0005515"	"protein binding"	"12.416"
"GO:0004897"	"ciliary neurotrophic factor receptor activity"	"12.354"
"GO:0042608"	"T cell receptor binding"	"12.089"
"GO:0089720"	"caspase binding"	"11.887"
"GO:0042803"	"protein homodimerization activity"	"11.572"
"GO:0070119"	"ciliary neurotrophic factor binding"	"11.567"
"GO:0005143"	"interleukin-12 receptor binding"	"11.516"
"GO:0046980"	"tapasin binding"	"11.452"
"GO:0004197"	"cysteine-type endopeptidase activity"	"11.45"
"GO:0031996"	"thioesterase binding"	"11.064"
"GO:0031625"	"ubiquitin protein ligase binding"	"10.988"
"GO:0004915"	"interleukin-6 receptor activity"	"10.962"
"GO:0019981"	"interleukin-6 binding"	"10.962"
"GO:0045569"	"TRAIL binding"	"10.82"
"GO:0019962"	"type I interferon binding"	"10.814"
"GO:0031624"	"ubiquitin conjugating enzyme binding"	"10.777"
"GO:0042164"	"interleukin-12 alpha subunit binding"	"10.691"
"GO:0046979"	"TAP2 binding"	"10.667"
"GO:0005133"	"interferon-gamma receptor binding"	"10.656"
"GO:0042169"	"SH2 domain binding"	"10.457"
"GO:0030881"	"beta-2-microglobulin binding"	"10.453"
"GO:0019903"	"protein phosphatase binding"	"10.344"
"GO:0042287"	"MHC protein binding"	"10.277"
"GO:0032396"	"inhibitory MHC class I receptor activity"	"10"
"GO:0061631"	"ubiquitin conjugating enzyme activity"	"9.956"
"GO:0005353"	"fructose transmembrane transporter activity"	"9.945"
"GO:0004888"	"transmembrane signaling receptor activity"	"9.929"
"GO:0005127"	"ciliary neurotrophic factor receptor binding"	"9.926"
"GO:0032500"	"muramyl dipeptide binding"	"9.87"
"GO:0004950"	"chemokine receptor activity"	"9.839"
"GO:0004866"	"endopeptidase inhibitor activity"	"9.803"
"GO:0043560"	"insulin receptor substrate binding"	"9.731"
"GO:0046934"	"phosphatidylinositol-4,5-bisphosphate 3-kinase activity"	"9.713"
"GO:0004913"	"interleukin-4 receptor activity"	"9.683"
"GO:0070513"	"death domain binding"	"9.603"
"GO:0045519"	"interleukin-23 receptor binding"	"9.501"
"GO:0043130"	"ubiquitin binding"	"9.498"
"GO:0043548"	"phosphatidylinositol 3-kinase binding"	"9.272"
"GO:0032393"	"MHC class I receptor activity"	"9.174"
"GO:0042296"	"ISG15 transferase activity"	"9.166"
"GO:0042923"	"neuropeptide binding"	"9.06"
"GO:0008527"	"taste receptor activity"	"9.053"
"GO:0045515"	"interleukin-18 receptor binding"	"9.037"
"GO:0004706"	"JUN kinase kinase kinase activity"	"8.847"
"GO:0019901"	"protein kinase binding"	"8.779"
