"Pathway"	"Z-score"
"Influenza A"	"22.617"
"Herpes simplex infection"	"21.734"
"Measles"	"17.725"
"NOD-like receptor signaling pathway"	"17.683"
"TNF signaling pathway"	"15.157"
"Jak-STAT signaling pathway"	"15.021"
"Antigen processing and presentation"	"14.886"
"Kaposi's sarcoma-associated herpesvirus infection"	"14.456"
"Toll-like receptor signaling pathway"	"14.349"
"Staphylococcus aureus infection"	"14.024"
"Allograft rejection"	"13.91"
"Viral myocarditis"	"13.587"
"Hepatitis C"	"13.377"
"Graft-versus-host disease"	"13.315"
"Cytosolic DNA-sensing pathway"	"12.84"
"Toxoplasmosis"	"12.758"
"Necroptosis"	"12.625"
"Pertussis"	"12.575"
"Intestinal immune network for IgA production"	"12.334"
"RIG-I-like receptor signaling pathway"	"12.054"
"Leishmaniasis"	"11.649"
"Autoimmune thyroid disease"	"11.513"
"Type I diabetes mellitus"	"11.444"
"Proteasome"	"11.376"
"Th17 cell differentiation"	"11.296"
"Hepatitis B"	"11.034"
"Malaria"	"10.591"
"Epstein-Barr virus infection"	"10.452"
"Inflammatory bowel disease (IBD)"	"10.173"
"NF-kappa B signaling pathway"	"10.118"
"Legionellosis"	"9.915"
"Cytokine-cytokine receptor interaction"	"9.767"
"Tuberculosis"	"9.606"
"African trypanosomiasis"	"9.572"
"Cell adhesion molecules (CAMs)"	"9.444"
"Th1 and Th2 cell differentiation"	"9.347"
"IL-17 signaling pathway"	"9.181"
"AGE-RAGE signaling pathway in diabetic complications"	"8.867"
"Human papillomavirus infection"	"8.728"
"C-type lectin receptor signaling pathway"	"8.668"
"Pathways in cancer"	"8.548"
"Rheumatoid arthritis"	"8.41"
"Natural killer cell mediated cytotoxicity"	"8.371"
"HTLV-I infection"	"8.343"
"Chemokine signaling pathway"	"8.16"
"Osteoclast differentiation"	"7.574"
"Prolactin signaling pathway"	"7.377"
"Hematopoietic cell lineage"	"7.092"
"Viral carcinogenesis"	"6.833"
"Chagas disease (American trypanosomiasis)"	"6.787"
"Asthma"	"6.713"
"Systemic lupus erythematosus"	"6.58"
"Apoptosis"	"6.353"
"Phagosome"	"6"
"Acute myeloid leukemia"	"5.239"
"Transcriptional misregulation in cancer"	"5.159"
"Epithelial cell signaling in Helicobacter pylori infection"	"5.123"
"Adipocytokine signaling pathway"	"5.086"
"Nicotinate and nicotinamide metabolism"	"4.995"
