Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_ALL	GO:0008015~blood circulation	26	13.402061855670103	2.367385984347825E-10	ENSG00000135312, ENSG00000108878, ENSG00000159251, ENSG00000089250, ENSG00000111537, ENSG00000102001, ENSG00000159197, ENSG00000185313, ENSG00000127129, ENSG00000092969, ENSG00000184160, ENSG00000176387, ENSG00000149177, ENSG00000092054, ENSG00000145936, ENSG00000196218, ENSG00000101405, ENSG00000179546, ENSG00000102057, ENSG00000198626, ENSG00000151090, ENSG00000177000, ENSG00000179142, ENSG00000129991, ENSG00000078401, ENSG00000118515	183	506	16792	4.714918248774271	9.284884707749796E-7	9.284884707749796E-7	4.390077745775045E-7
GOTERM_BP_ALL	GO:0003013~circulatory system process	26	13.402061855670103	2.7913687759078403E-10	ENSG00000135312, ENSG00000108878, ENSG00000159251, ENSG00000089250, ENSG00000111537, ENSG00000102001, ENSG00000159197, ENSG00000185313, ENSG00000127129, ENSG00000092969, ENSG00000184160, ENSG00000176387, ENSG00000149177, ENSG00000092054, ENSG00000145936, ENSG00000196218, ENSG00000101405, ENSG00000179546, ENSG00000102057, ENSG00000198626, ENSG00000151090, ENSG00000177000, ENSG00000179142, ENSG00000129991, ENSG00000078401, ENSG00000118515	183	510	16792	4.677938497803493	1.0947740276545659E-6	5.47387163596369E-7	5.17630927010515E-7
GOTERM_BP_ALL	GO:0032501~multicellular organismal process	117	60.30927835051546	1.8432054990567402E-9	ENSG00000185345, ENSG00000131808, ENSG00000089250, ENSG00000250722, ENSG00000175325, ENSG00000179546, ENSG00000173898, ENSG00000179142, ENSG00000121594, ENSG00000138376, ENSG00000099957, ENSG00000113302, ENSG00000102001, ENSG00000115112, ENSG00000184160, ENSG00000196811, ENSG00000145242, ENSG00000100146, ENSG00000148200, ENSG00000167768, ENSG00000139182, ENSG00000106804, ENSG00000168621, ENSG00000134321, ENSG00000129455, ENSG00000108878, ENSG00000127364, ENSG00000133256, ENSG00000002745, ENSG00000136603, ENSG00000107807, ENSG00000159388, ENSG00000142319, ENSG00000149177, ENSG00000008196, ENSG00000178522, ENSG00000145936, ENSG00000196218, ENSG00000143126, ENSG00000137948, ENSG00000151090, ENSG00000091482, ENSG00000133101, ENSG00000078401, ENSG00000135960, ENSG00000115468, ENSG00000111537, ENSG00000135773, ENSG00000159197, ENSG00000160181, ENSG00000092054, ENSG00000101405, ENSG00000188389, ENSG00000132671, ENSG00000168779, ENSG00000149021, ENSG00000120729, ENSG00000152208, ENSG00000138798, ENSG00000138696, ENSG00000113946, ENSG00000196468, ENSG00000148308, ENSG00000063176, ENSG00000100721, ENSG00000176387, ENSG00000130005, ENSG00000187323, ENSG00000115457, ENSG00000107864, ENSG00000102245, ENSG00000099284, ENSG00000116039, ENSG00000042832, ENSG00000175040, ENSG00000135903, ENSG00000081277, ENSG00000185313, ENSG00000197632, ENSG00000185652, ENSG00000146233, ENSG00000198626, ENSG00000106331, ENSG00000185245, ENSG00000092295, ENSG00000135312, ENSG00000133863, ENSG00000188338, ENSG00000135100, ENSG00000127129, ENSG00000091536, ENSG00000163209, ENSG00000092969, ENSG00000183049, ENSG00000006047, ENSG00000102057, ENSG00000153234, ENSG00000177000, ENSG00000129991, ENSG00000159251, ENSG00000075043, ENSG00000103313, ENSG00000171401, ENSG00000181690, ENSG00000122756, ENSG00000122420, ENSG00000137392, ENSG00000113525, ENSG00000179477, ENSG00000068078, ENSG00000140093, ENSG00000139219, ENSG00000109906, ENSG00000106003, ENSG00000147166, ENSG00000198074, ENSG00000118515	183	7027	16792	1.527802597475312	7.229025758448415E-6	2.409681059356572E-6	3.418037564095755E-6
GOTERM_BP_ALL	GO:0006936~muscle contraction	20	10.309278350515463	3.5179755062158534E-9	ENSG00000108878, ENSG00000099957, ENSG00000159251, ENSG00000089250, ENSG00000159197, ENSG00000185313, ENSG00000127129, ENSG00000184160, ENSG00000130005, ENSG00000196811, ENSG00000092054, ENSG00000196218, ENSG00000101405, ENSG00000179546, ENSG00000168621, ENSG00000198626, ENSG00000091482, ENSG00000129991, ENSG00000120729, ENSG00000078401	183	331	16792	5.54438446172387	1.3797404618820508E-5	3.4493690018733147E-6	6.523728512952687E-6
GOTERM_BP_ALL	GO:0044707~single-multicellular organism process	103	53.09278350515464	8.89318654192822E-9	ENSG00000185345, ENSG00000131808, ENSG00000089250, ENSG00000250722, ENSG00000175325, ENSG00000173898, ENSG00000179142, ENSG00000121594, ENSG00000138376, ENSG00000099957, ENSG00000102001, ENSG00000115112, ENSG00000113302, ENSG00000184160, ENSG00000145242, ENSG00000100146, ENSG00000139182, ENSG00000167768, ENSG00000106804, ENSG00000168621, ENSG00000134321, ENSG00000129455, ENSG00000108878, ENSG00000127364, ENSG00000133256, ENSG00000002745, ENSG00000136603, ENSG00000107807, ENSG00000159388, ENSG00000142319, ENSG00000008196, ENSG00000178522, ENSG00000145936, ENSG00000196218, ENSG00000143126, ENSG00000151090, ENSG00000078401, ENSG00000135960, ENSG00000115468, ENSG00000111537, ENSG00000135773, ENSG00000159197, ENSG00000160181, ENSG00000092054, ENSG00000101405, ENSG00000188389, ENSG00000132671, ENSG00000168779, ENSG00000149021, ENSG00000138798, ENSG00000152208, ENSG00000138696, ENSG00000196468, ENSG00000148308, ENSG00000063176, ENSG00000100721, ENSG00000130005, ENSG00000187323, ENSG00000107864, ENSG00000102245, ENSG00000116039, ENSG00000099284, ENSG00000042832, ENSG00000175040, ENSG00000135903, ENSG00000081277, ENSG00000185313, ENSG00000197632, ENSG00000185652, ENSG00000146233, ENSG00000198626, ENSG00000106331, ENSG00000185245, ENSG00000092295, ENSG00000135312, ENSG00000133863, ENSG00000188338, ENSG00000135100, ENSG00000091536, ENSG00000127129, ENSG00000163209, ENSG00000092969, ENSG00000183049, ENSG00000102057, ENSG00000153234, ENSG00000129991, ENSG00000159251, ENSG00000075043, ENSG00000103313, ENSG00000171401, ENSG00000181690, ENSG00000122756, ENSG00000137392, ENSG00000113525, ENSG00000179477, ENSG00000068078, ENSG00000140093, ENSG00000139219, ENSG00000109906, ENSG00000106003, ENSG00000147166, ENSG00000118515, ENSG00000198074	183	5943	16792	1.5903138099743557	3.487846942062944E-5	6.97579120678693E-6	1.6491511178884366E-5
GOTERM_BP_ALL	GO:0048513~animal organ development	67	34.5360824742268	1.3569042593877582E-8	ENSG00000152208, ENSG00000138798, ENSG00000131808, ENSG00000138696, ENSG00000148308, ENSG00000196468, ENSG00000250722, ENSG00000063176, ENSG00000175325, ENSG00000130005, ENSG00000187323, ENSG00000173898, ENSG00000102245, ENSG00000099284, ENSG00000116039, ENSG00000121594, ENSG00000042832, ENSG00000135903, ENSG00000113302, ENSG00000115112, ENSG00000185313, ENSG00000145242, ENSG00000100146, ENSG00000167768, ENSG00000168621, ENSG00000198626, ENSG00000106331, ENSG00000134321, ENSG00000092295, ENSG00000133863, ENSG00000188338, ENSG00000135100, ENSG00000133256, ENSG00000163209, ENSG00000091536, ENSG00000127129, ENSG00000002745, ENSG00000136603, ENSG00000092969, ENSG00000142319, ENSG00000159388, ENSG00000008196, ENSG00000178522, ENSG00000196218, ENSG00000143126, ENSG00000151090, ENSG00000153234, ENSG00000129991, ENSG00000078401, ENSG00000135960, ENSG00000159251, ENSG00000111537, ENSG00000171401, ENSG00000181690, ENSG00000159197, ENSG00000122756, ENSG00000092054, ENSG00000113525, ENSG00000101405, ENSG00000179477, ENSG00000068078, ENSG00000132671, ENSG00000139219, ENSG00000109906, ENSG00000168779, ENSG00000106003, ENSG00000147166	183	3129	16792	1.9648100704322513	5.321636922539508E-5	8.86959154267064E-6	2.516241027761268E-5
GOTERM_BP_ALL	GO:1903522~regulation of blood circulation	18	9.278350515463918	2.966401622378039E-8	ENSG00000108878, ENSG00000089250, ENSG00000111537, ENSG00000102001, ENSG00000159197, ENSG00000185313, ENSG00000127129, ENSG00000092969, ENSG00000184160, ENSG00000092054, ENSG00000145936, ENSG00000196218, ENSG00000101405, ENSG00000102057, ENSG00000198626, ENSG00000151090, ENSG00000129991, ENSG00000078401	183	300	16792	5.505573770491804	1.163355059322635E-4	1.6620186659155323E-5	5.5008895338826136E-5
GOTERM_BP_ALL	GO:0008016~regulation of heart contraction	16	8.24742268041237	3.7529571844897244E-8	ENSG00000108878, ENSG00000089250, ENSG00000111537, ENSG00000102001, ENSG00000159197, ENSG00000185313, ENSG00000127129, ENSG00000092969, ENSG00000092054, ENSG00000196218, ENSG00000101405, ENSG00000102057, ENSG00000198626, ENSG00000151090, ENSG00000129991, ENSG00000078401	183	233	16792	6.301085860362579	1.4718015167136667E-4	1.83987037083444E-5	6.95947619866466E-5
GOTERM_BP_ALL	GO:0060047~heart contraction	16	8.24742268041237	7.296096554684757E-8	ENSG00000092054, ENSG00000108878, ENSG00000196218, ENSG00000101405, ENSG00000102057, ENSG00000159251, ENSG00000111537, ENSG00000198626, ENSG00000089250, ENSG00000102001, ENSG00000159197, ENSG00000185313, ENSG00000127129, ENSG00000129991, ENSG00000092969, ENSG00000078401	183	245	16792	5.992461246793799	2.861119792555433E-4	3.1794263117945754E-5	1.3529862433747653E-4
GOTERM_BP_ALL	GO:0003015~heart process	16	8.24742268041237	8.586217815162749E-8	ENSG00000092054, ENSG00000108878, ENSG00000196218, ENSG00000101405, ENSG00000102057, ENSG00000159251, ENSG00000111537, ENSG00000198626, ENSG00000089250, ENSG00000102001, ENSG00000159197, ENSG00000185313, ENSG00000127129, ENSG00000129991, ENSG00000092969, ENSG00000078401	183	248	16792	5.919971796227745	3.366947827281308E-4	3.367458071279472E-5	1.5922258145284474E-4
