"GO.ID"	"GO.Term"	"NetBAS"	"DAVID"
"GO:0005887"	"integral component of plasma membrane"	"40.905"	"1.148583652620039E-5"
"GO:0005886"	"plasma membrane"	"33.177"	"2.3785586950748465E-4"
"GO:0005576"	"extracellular region"	"19.382"	"2.3785626425281214E-6"
"GO:0016021"	"integral component of membrane"	"17.16"	"0.03616076510178194"
"GO:0009897"	"external side of plasma membrane"	"15.442"	NA
"GO:0005622"	"intracellular"	"15.389"	NA
"GO:0043679"	"axon terminus"	"14.965"	NA
"GO:0099056"	"integral component of presynaptic membrane"	"14.651"	NA
"GO:0005615"	"extracellular space"	"13.22"	"6.68873300871558E-7"
"GO:0099055"	"integral component of postsynaptic membrane"	"12.14"	NA
