"Pathway"	"zscore"
"Neuroactive ligand-receptor interaction"	"50.515"
"Taste transduction"	"28.25"
"Cytokine-cytokine receptor interaction"	"24.339"
"Chemokine signaling pathway"	"22.97"
"cAMP signaling pathway"	"17.217"
"Phospholipase D signaling pathway"	"17.005"
"Complement and coagulation cascades"	"15.953"
"Calcium signaling pathway"	"15.261"
"Rap1 signaling pathway"	"13.917"
"Serotonergic synapse"	"13.873"
"Cholinergic synapse"	"13.014"
"Regulation of lipolysis in adipocytes"	"12.324"
"Renin secretion"	"12.115"
"Staphylococcus aureus infection"	"11.908"
"Steroid hormone biosynthesis"	"11.762"
"Glutamatergic synapse"	"11.735"
"Axon guidance"	"11.201"
"Intestinal immune network for IgA production"	"10.735"
"cGMP-PKG signaling pathway"	"10.502"
"Regulation of actin cytoskeleton"	"10.341"
"Circadian entrainment"	"10.256"
"Relaxin signaling pathway"	"9.794"
"Metabolism of xenobiotics by cytochrome P450"	"8.957"
"Retinol metabolism"	"8.941"
"Pathways in cancer"	"8.874"
"Chemical carcinogenesis"	"8.758"
"Sphingolipid signaling pathway"	"8.652"
"Ras signaling pathway"	"8.528"
"Gastric acid secretion"	"8.413"
"Kaposi's sarcoma-associated herpesvirus infection"	"8.408"
"Natural killer cell mediated cytotoxicity"	"8.368"
"Apelin signaling pathway"	"8.261"
"Prolactin signaling pathway"	"7.881"
"Oxytocin signaling pathway"	"7.773"
"Melanoma"	"7.648"
"Melanogenesis"	"7.588"
"Drug metabolism - cytochrome P450"	"7.537"
"Aldosterone-regulated sodium reabsorption"	"7.487"
"Glioma"	"7.484"
"Adrenergic signaling in cardiomyocytes"	"7.41"
"Long-term depression"	"7.408"
"Pentose and glucuronate interconversions"	"7.369"
"Estrogen signaling pathway"	"7.289"
"Morphine addiction"	"7.288"
"VEGF signaling pathway"	"6.973"
"GABAergic synapse"	"6.833"
"T cell receptor signaling pathway"	"6.828"
"Inflammatory mediator regulation of TRP channels"	"6.826"
"Aldosterone synthesis and secretion"	"6.769"
"Fc epsilon RI signaling pathway"	"6.699"
"Long-term potentiation"	"6.639"
"Carbohydrate digestion and absorption"	"6.542"
"Gastric cancer"	"6.476"
"B cell receptor signaling pathway"	"6.473"
"Amoebiasis"	"6.417"
