"Pathway"	"Z-score"
"Allograft rejection"	"7.417"
"Hypertrophic cardiomyopathy (HCM)"	"6.652"
"Dilated cardiomyopathy (DCM)"	"6.298"
"Autoimmune thyroid disease"	"6.036"
"Cardiac muscle contraction"	"5.809"
"Neuroactive ligand-receptor interaction"	"5.585"
"Arginine and proline metabolism"	"5.029"
"Adrenergic signaling in cardiomyocytes"	"4.487"
"Calcium signaling pathway"	"4.485"
"Oxytocin signaling pathway"	"4.432"
"Cytokine-cytokine receptor interaction"	"4.294"
"Aldosterone synthesis and secretion"	"4.022"
"Inflammatory bowel disease (IBD)"	"3.988"
"Type I diabetes mellitus"	"3.791"
"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	"3.775"
"Pathways in cancer"	"3.683"
"Gastric cancer"	"3.669"
"Pentose and glucuronate interconversions"	"3.605"
"Intestinal immune network for IgA production"	"3.588"
"Malaria"	"3.581"
"Steroid hormone biosynthesis"	"3.555"
"cAMP signaling pathway"	"3.418"
"Taste transduction"	"3.416"
"cGMP-PKG signaling pathway"	"3.355"
"Insulin secretion"	"3.343"
"Maturity onset diabetes of the young"	"3.341"
"Colorectal cancer"	"3.335"
"Collecting duct acid secretion"	"3.295"
"Rheumatoid arthritis"	"3.224"
"Phototransduction"	"3.207"
"Viral myocarditis"	"3.161"
"Long-term depression"	"3.148"
"Systemic lupus erythematosus"	"3.137"
"Apelin signaling pathway"	"3.059"
"Signaling pathways regulating pluripotency of stem cells"	"3.01"
"T cell receptor signaling pathway"	"3.003"
"Circadian entrainment"	"3.001"
"Cell adhesion molecules (CAMs)"	"2.989"
"Asthma"	"2.98"
"MAPK signaling pathway"	"2.902"
"Melanogenesis"	"2.879"
"Breast cancer"	"2.874"
"Acute myeloid leukemia"	"2.854"
"African trypanosomiasis"	"2.778"
"Serotonergic synapse"	"2.691"
"Melanoma"	"2.647"
"Toxoplasmosis"	"2.641"
"Aldosterone-regulated sodium reabsorption"	"2.623"
"Leishmaniasis"	"2.571"
"Thyroid hormone synthesis"	"2.569"
"Jak-STAT signaling pathway"	"2.559"
"Gastric acid secretion"	"2.519"
"Pertussis"	"2.498"
"Bladder cancer"	"2.432"
"Graft-versus-host disease"	"2.428"
"Ras signaling pathway"	"2.373"
"FoxO signaling pathway"	"2.309"
"Tuberculosis"	"2.299"
"TGF-beta signaling pathway"	"2.297"
"PI3K-Akt signaling pathway"	"2.291"
"Transcriptional misregulation in cancer"	"2.268"
"ABC transporters"	"2.226"
"Glycosaminoglycan biosynthesis - keratan sulfate"	"2.169"
"Fluid shear stress and atherosclerosis"	"2.163"
"Protein digestion and absorption"	"2.122"
"GnRH signaling pathway"	"2.116"
"Th1 and Th2 cell differentiation"	"2.093"
"Human papillomavirus infection"	"2.033"
"Pancreatic secretion"	"2.03"
"Amoebiasis"	"2.011"
"Ascorbate and aldarate metabolism"	"1.984"
"Primary bile acid biosynthesis"	"1.983"
"Rap1 signaling pathway"	"1.975"
"HIF-1 signaling pathway"	"1.958"
"Regulation of lipolysis in adipocytes"	"1.951"
"Hippo signaling pathway"	"1.946"
"Chagas disease (American trypanosomiasis)"	"1.91"
"Endometrial cancer"	"1.834"
"One carbon pool by folate"	"1.834"
"Glycosaminoglycan degradation"	"1.763"
"Arginine biosynthesis"	"1.717"
"Basal cell carcinoma"	"1.687"
"Influenza A"	"1.643"
"Other types of O-glycan biosynthesis"	"1.625"
"Neurotrophin signaling pathway"	"1.619"
"Renin secretion"	"1.612"
"Proximal tubule bicarbonate reclamation"	"1.587"
"Oocyte meiosis"	"1.575"
"Vascular smooth muscle contraction"	"1.569"
"Amphetamine addiction"	"1.522"
"Glioma"	"1.49"
"Adherens junction"	"1.486"
"Folate biosynthesis"	"1.464"
"Relaxin signaling pathway"	"1.444"
"Hepatitis C"	"1.427"
"Pancreatic cancer"	"1.38"
"Estrogen signaling pathway"	"1.359"
"Measles"	"1.351"
"Complement and coagulation cascades"	"1.307"
"Regulation of actin cytoskeleton"	"1.304"
"Phospholipase D signaling pathway"	"1.241"
"ECM-receptor interaction"	"1.23"
"Porphyrin and chlorophyll metabolism"	"1.182"
"Galactose metabolism"	"1.176"
"mTOR signaling pathway"	"1.167"
"GABAergic synapse"	"1.132"
"Cushing's syndrome"	"1.11"
"Fructose and mannose metabolism"	"1.106"
"Salivary secretion"	"1.102"
"Prion diseases"	"1.066"
"IL-17 signaling pathway"	"1.054"
"Cellular senescence"	"1.053"
"Tyrosine metabolism"	"1.019"
"Progesterone-mediated oocyte maturation"	"1.011"
"Primary immunodeficiency"	"1.009"
"Hematopoietic cell lineage"	"1.001"
"Prostate cancer"	"0.996"
"Hepatocellular carcinoma"	"0.987"
"Thyroid cancer"	"0.987"
"AGE-RAGE signaling pathway in diabetic complications"	"0.96"
"Tight junction"	"0.936"
"Alzheimer's disease"	"0.926"
"Glycine, serine and threonine metabolism"	"0.919"
"Axon guidance"	"0.91"
"C-type lectin receptor signaling pathway"	"0.892"
"Homologous recombination"	"0.889"
"Toll-like receptor signaling pathway"	"0.878"
"Fat digestion and absorption"	"0.87"
"Alcoholism"	"0.853"
"Leukocyte transendothelial migration"	"0.799"
"Vasopressin-regulated water reabsorption"	"0.796"
"Proteasome"	"0.78"
"Herpes simplex infection"	"0.779"
"Cholinergic synapse"	"0.777"
"Type II diabetes mellitus"	"0.745"
"Sphingolipid metabolism"	"0.737"
"Notch signaling pathway"	"0.734"
"Cocaine addiction"	"0.682"
"Vibrio cholerae infection"	"0.682"
"AMPK signaling pathway"	"0.678"
"Cholesterol metabolism"	"0.673"
"Proteoglycans in cancer"	"0.672"
"Amyotrophic lateral sclerosis (ALS)"	"0.668"
"Ovarian steroidogenesis"	"0.666"
"Cell cycle"	"0.623"
"Retinol metabolism"	"0.619"
"Osteoclast differentiation"	"0.614"
"Staphylococcus aureus infection"	"0.571"
"Legionellosis"	"0.56"
"Dopaminergic synapse"	"0.556"
"VEGF signaling pathway"	"0.535"
"Oxidative phosphorylation"	"0.533"
"Drug metabolism - cytochrome P450"	"0.497"
"Insulin signaling pathway"	"0.487"
"Arachidonic acid metabolism"	"0.461"
"Longevity regulating pathway - multiple species"	"0.454"
"Glycerolipid metabolism"	"0.447"
"Synaptic vesicle cycle"	"0.437"
"Cortisol synthesis and secretion"	"0.425"
"Metabolism of xenobiotics by cytochrome P450"	"0.42"
"Wnt signaling pathway"	"0.411"
"Fc epsilon RI signaling pathway"	"0.409"
"Central carbon metabolism in cancer"	"0.396"
"Hepatitis B"	"0.396"
"Non-small cell lung cancer"	"0.384"
"Phagosome"	"0.381"
"Long-term potentiation"	"0.376"
"Renal cell carcinoma"	"0.372"
"Drug metabolism - other enzymes"	"0.369"
"Epithelial cell signaling in Helicobacter pylori infection"	"0.364"
"MicroRNAs in cancer"	"0.343"
"Adipocytokine signaling pathway"	"0.342"
"RIG-I-like receptor signaling pathway"	"0.314"
"Bile secretion"	"0.306"
"Chemical carcinogenesis"	"0.293"
"Chronic myeloid leukemia"	"0.249"
"Antigen processing and presentation"	"0.229"
"RNA degradation"	"0.228"
"Necroptosis"	"0.226"
"ErbB signaling pathway"	"0.163"
"Gap junction"	"0.116"
"Salmonella infection"	"0.113"
"Longevity regulating pathway"	"0.077"
"Fc gamma R-mediated phagocytosis"	"0.071"
"Kaposi's sarcoma-associated herpesvirus infection"	"0.047"
"NF-kappa B signaling pathway"	"0.026"
"Inflammatory mediator regulation of TRP channels"	"0.006"
"Choline metabolism in cancer"	"-0.002"
"Phosphatidylinositol signaling system"	"-0.027"
"Epstein-Barr virus infection"	"-0.032"
"Focal adhesion"	"-0.042"
"Viral carcinogenesis"	"-0.046"
"Glucagon signaling pathway"	"-0.079"
"D-Arginine and D-ornithine metabolism"	"-0.102"
"Th17 cell differentiation"	"-0.119"
"TNF signaling pathway"	"-0.122"
"Glutamatergic synapse"	"-0.163"
"Lipoic acid metabolism"	"-0.174"
"Biotin metabolism"	"-0.175"
"Sphingolipid signaling pathway"	"-0.189"
"Thyroid hormone signaling pathway"	"-0.19"
"Valine, leucine and isoleucine biosynthesis"	"-0.205"
"Phenylalanine, tyrosine and tryptophan biosynthesis"	"-0.217"
"D-Glutamine and D-glutamate metabolism"	"-0.23"
"Neomycin, kanamycin and gentamicin biosynthesis"	"-0.235"
