"GO.ID"	"GO.Term"	"Z-score"
"GO:0005886"	"plasma membrane"	"22.03"
"GO:0005576"	"extracellular region"	"15.716"
"GO:0005887"	"integral component of plasma membrane"	"15.6"
"GO:0009897"	"external side of plasma membrane"	"15.14"
"GO:0005615"	"extracellular space"	"13.703"
"GO:0045121"	"membrane raft"	"10.869"
"GO:0009986"	"cell surface"	"10.309"
"GO:0035631"	"CD40 receptor complex"	"9.195"
"GO:0097342"	"ripoptosome"	"9.116"
"GO:0043235"	"receptor complex"	"8.514"
"GO:0031264"	"death-inducing signaling complex"	"8.355"
"GO:0070062"	"extracellular exosome"	"7.886"
"GO:0009898"	"cytoplasmic side of plasma membrane"	"7.654"
"GO:0005942"	"phosphatidylinositol 3-kinase complex"	"7.567"
"GO:0031012"	"extracellular matrix"	"7.163"
"GO:0005943"	"phosphatidylinositol 3-kinase complex, class IA"	"7.108"
"GO:0030027"	"lamellipodium"	"6.95"
"GO:0005911"	"cell-cell junction"	"6.876"
"GO:0035692"	"macrophage migration inhibitory factor receptor complex"	"6.84"
"GO:0098978"	"glutamatergic synapse"	"6.826"
"GO:0042629"	"mast cell granule"	"6.551"
"GO:0031234"	"extrinsic component of cytoplasmic side of plasma membrane"	"6.492"
"GO:0071797"	"LUBAC complex"	"6.333"
"GO:0005896"	"interleukin-6 receptor complex"	"6.266"
"GO:0036024"	"protein C inhibitor-TMPRSS7 complex"	"6.25"
"GO:0036025"	"protein C inhibitor-TMPRSS11E complex"	"6.25"
"GO:0036026"	"protein C inhibitor-PLAT complex"	"6.25"
"GO:0036027"	"protein C inhibitor-PLAU complex"	"6.25"
"GO:0036028"	"protein C inhibitor-thrombin complex"	"6.25"
"GO:0036029"	"protein C inhibitor-KLK3 complex"	"6.25"
"GO:0036030"	"protein C inhibitor-plasma kallikrein complex"	"6.25"
"GO:0097181"	"protein C inhibitor-coagulation factor V complex"	"6.25"
"GO:0097182"	"protein C inhibitor-coagulation factor Xa complex"	"6.25"
"GO:0097183"	"protein C inhibitor-coagulation factor XI complex"	"6.25"
