goId	name	refNum	interestNum	interestGene	expect	ratio	pValue	FDR
GO:2000145	regulation of cell motility	787	32	AKT2|1;APOD|1;APP|0;BMP2|1;ACE|1;HBEGF|1;EGFR|0;ENG|1;EREG|1;ETS1|1;F2RL1|1;FLT4|1;IGFBP3|1;IL1B|1;ITGA2|1;JUP|1;LMNA|0;MMP10|1;PECAM1|1;PLAU|1;RELN|1;PTGS2|1;PTPRR|1;ADAM17|1;SEMA3B|1;NRP1|1;KLF4|1;HDAC9|1;TRIB1|1;SPRY2|1;GPNMB|1;PLVAP|1	6.467584463018894	4.9477513873956065	1.8762769116165146e-14	1.5140133591273752e-10
GO:0030334	regulation of cell migration	737	31	AKT2|1;APOD|1;APP|0;BMP2|1;ACE|1;HBEGF|1;EGFR|0;ENG|1;ETS1|1;F2RL1|1;FLT4|1;IGFBP3|1;IL1B|1;ITGA2|1;JUP|1;LMNA|0;MMP10|1;PECAM1|1;PLAU|1;RELN|1;PTGS2|1;PTPRR|1;ADAM17|1;SEMA3B|1;NRP1|1;KLF4|1;HDAC9|1;TRIB1|1;SPRY2|1;GPNMB|1;PLVAP|1	6.056683290018964	5.1183128645815215	2.1316282072803006e-14	1.5140133591273752e-10
GO:0040012	regulation of locomotion	861	33	AKT2|1;APOD|1;APP|0;BMP2|1;ACE|1;HBEGF|1;EGFR|0;ENG|1;EREG|1;ETS1|1;F2RL1|1;FLT4|1;IGFBP3|1;IL1B|1;ITGA2|1;JUP|1;LMNA|0;MMP10|1;PECAM1|1;PLAU|1;RELN|1;PTGS2|1;PTPRR|1;ADAM17|1;TRIM25|0;SEMA3B|1;NRP1|1;KLF4|1;HDAC9|1;TRIB1|1;SPRY2|1;GPNMB|1;PLVAP|1	7.07571819905879	4.663837517496054	3.574918139293004e-14	1.5140133591273752e-10
GO:0051270	regulation of cellular component movement	863	33	AKT2|1;APOD|1;APP|0;BMP2|1;ACE|1;HBEGF|1;EGFR|0;ENG|1;EREG|1;ETS1|1;F2RL1|1;FLT4|1;IGFBP3|1;IL1B|1;ITGA2|1;JUP|1;LMNA|0;MMP10|1;PECAM1|1;PLAU|1;RELN|1;PTGS2|1;PTPRR|1;ADAM17|1;TNNT2|1;SEMA3B|1;NRP1|1;KLF4|1;HDAC9|1;TRIB1|1;SPRY2|1;GPNMB|1;PLVAP|1	7.092154245978787	4.653029087559794	3.8191672047105385e-14	1.5140133591273752e-10
GO:0051239	regulation of multicellular organismal process	2670	57	BIRC3|1;APOD|1;APP|0;ARG1|1;PRDM1|1;BMP2|1;CA2|1;CSF2|1;ACE|1;HBEGF|1;EGFR|0;ELAVL1|0;ENG|1;EREG|1;ETS1|1;ETV5|1;F2RL1|1;FCER1G|1;FLT4|1;GLP1R|0;IRF8|1;ID2|1;IGF2|1;IL1B|1;IL7R|1;ITGA2|1;ITGB2|1;JUP|1;LMNA|0;PLAT|1;PLAU|1;PLAUR|1;RELN|1;PTGS2|1;PTPRR|1;SNAP25|1;ADAM17|1;TFPI|1;TNFAIP3|1;TNFRSF1B|1;TNNT2|1;TPH1|1;TRIM25|0;SEMA3B|1;NRP1|1;KLF4|1;HDAC9|1;TRIB1|1;SPRY2|1;GPNMB|1;GADD45G|1;MMD|1;TRIB2|1;TMEM176B|1;CLEC4A|1;NIN|1;ANKH|1	21.942122638196246	2.5977432056083747	1.6586731987899839e-13	5.260316182642555e-10
GO:0040011	locomotion	1585	43	AKT2|1;APOD|1;APP|0;BMP2|1;ACE|1;HBEGF|1;EGFR|0;ENG|1;EREG|1;ETS1|1;ETV1|1;F2RL1|1;FCER1G|1;FLT4|1;GYPC|1;ID2|1;IGFBP3|1;IL1B|1;ITGA2|1;ITGB2|1;JUP|1;KIF5C|1;LMNA|0;MMP10|1;PECAM1|1;PLAT|1;PLAU|1;PLAUR|1;RELN|1;PTGS2|1;PTPRR|1;ADAM17|1;TNFAIP3|1;TRIM25|0;SEMA3B|1;NRP1|1;KLF4|1;HDAC9|1;TRIB1|1;SPRY2|1;GPNMB|1;SDCCAG8|1;PLVAP|1	13.025567184097772	3.3011998166572303	2.9742874829707944e-13	7.860546102911314e-10
GO:0016477	cell migration	1250	37	AKT2|1;APOD|1;APP|0;BMP2|1;ACE|1;HBEGF|1;EGFR|0;ENG|1;ETS1|1;F2RL1|1;FCER1G|1;FLT4|1;GYPC|1;IGFBP3|1;IL1B|1;ITGA2|1;ITGB2|1;JUP|1;LMNA|0;MMP10|1;PECAM1|1;PLAT|1;PLAU|1;RELN|1;PTGS2|1;PTPRR|1;ADAM17|1;TNFAIP3|1;SEMA3B|1;NRP1|1;KLF4|1;HDAC9|1;TRIB1|1;SPRY2|1;GPNMB|1;SDCCAG8|1;PLVAP|1	10.272529324998244	3.601839316239316	1.925237747002484e-12	4.361213564888341e-9
GO:0048870	cell motility	1379	38	AKT2|1;APOD|1;APP|0;BMP2|1;ACE|1;HBEGF|1;EGFR|0;ENG|1;EREG|1;ETS1|1;F2RL1|1;FCER1G|1;FLT4|1;GYPC|1;IGFBP3|1;IL1B|1;ITGA2|1;ITGB2|1;JUP|1;LMNA|0;MMP10|1;PECAM1|1;PLAT|1;PLAU|1;RELN|1;PTGS2|1;PTPRR|1;ADAM17|1;TNFAIP3|1;SEMA3B|1;NRP1|1;KLF4|1;HDAC9|1;TRIB1|1;SPRY2|1;GPNMB|1;SDCCAG8|1;PLVAP|1	11.332654351338062	3.3531420638019624	7.749578756488518e-12	1.2761724232923655e-8
GO:0051674	localization of cell	1379	38	AKT2|1;APOD|1;APP|0;BMP2|1;ACE|1;HBEGF|1;EGFR|0;ENG|1;EREG|1;ETS1|1;F2RL1|1;FCER1G|1;FLT4|1;GYPC|1;IGFBP3|1;IL1B|1;ITGA2|1;ITGB2|1;JUP|1;LMNA|0;MMP10|1;PECAM1|1;PLAT|1;PLAU|1;RELN|1;PTGS2|1;PTPRR|1;ADAM17|1;TNFAIP3|1;SEMA3B|1;NRP1|1;KLF4|1;HDAC9|1;TRIB1|1;SPRY2|1;GPNMB|1;SDCCAG8|1;PLVAP|1	11.332654351338062	3.3531420638019624	7.749578756488518e-12	1.2761724232923655e-8
GO:0032879	regulation of localization	2391	51	AKT2|1;APOD|1;APP|0;ARG1|1;BMP2|1;CA2|1;CBL|1;ACE|1;HBEGF|1;EGFR|0;ENG|1;EREG|1;ETS1|1;F2RL1|1;FCER1G|1;FLT4|1;GLP1R|0;GLRX|1;IGFBP3|1;IL1B|1;ITGA2|1;ITGB2|1;JUP|1;LMNA|0;MMP10|1;PECAM1|1;ABCB1|1;PLAU|1;RELN|1;PTGS2|1;PTPRR|1;RBM4|1;SNAP25|1;ADAM17|1;TNFAIP3|1;TNFRSF1B|1;TNNT2|1;SEMA3B|1;NR0B2|1;NRP1|1;KLF4|1;HDAC9|1;RABGAP1L|1;TRIB1|1;SPRY2|1;GPNMB|1;MMD|1;FBXO4|1;TSPAN13|1;ANO1|1;PLVAP|1	19.64929409285664	2.5955130886122104	8.04800670550776e-12	1.2761724232923655e-8
GO:0042127	regulation of cell proliferation	1448	37	AKT2|1;APOD|1;APP|0;ARG1|1;PRDM1|1;BMP2|1;CSF2|1;ACE|1;HBEGF|1;EGFR|0;ENG|1;EREG|1;ETS1|1;ETV5|1;FLT4|1;ID2|1;IGF2|1;IGFBP3|1;IL1B|1;IL7R|1;ITGA2|1;JUP|1;LMNA|0;PLAU|1;PTGS2|1;STRN|1;ADAM17|1;TNFAIP3|1;TNFRSF1B|1;NRP1|1;KLF4|1;TRIB1|1;SPRY2|1;GPNMB|1;FBXO4|1;CBX8|1;PTBP2|1	11.899697970077964	3.1093226141568686	1.4568946049564602e-10	2.1001797955267806e-7
GO:0007166	cell surface receptor signaling pathway	2546	50	AKT2|1;BIRC3|1;APOD|1;APP|0;ARG1|1;BMP2|1;CBL|1;CSF2|1;CSF2RA|1;HBEGF|1;EGFR|0;ENG|1;EREG|1;F2RL1|1;FCER1G|1;FLT4|1;GLP1R|0;PDIA3|0;IRF8|1;IGF2|1;IGFBP3|1;IL1B|1;IL7R|1;ITGA2|1;ITGB2|1;JUP|1;LMNA|0;PLAT|1;PLAUR|1;RELN|1;PSMB8|1;PTGS2|1;PTPRR|1;STRN|1;ADAM17|1;TSPAN7|1;TNFAIP3|1;TNFRSF1B|1;TRAF1|1;TRIM25|0;SEMA3B|1;NR0B2|1;NRP1|1;KLF4|1;TRIB1|1;SPRY2|1;TSPAN13|1;CLEC4A|1;TNIP2|0;PLVAP|1	20.92308772915642	2.389704648149267	3.1583713422378423e-10	4.0728625948875206e-7
GO:0030335	positive regulation of cell migration	435	20	AKT2|1;APP|0;BMP2|1;HBEGF|1;EGFR|0;ETS1|1;F2RL1|1;FLT4|1;IL1B|1;ITGA2|1;PLAU|1;RELN|1;PTGS2|1;ADAM17|1;SEMA3B|1;NRP1|1;HDAC9|1;SPRY2|1;GPNMB|1;PLVAP|1	3.5748402050993886	5.5946556636211815	3.6027758554268985e-10	4.0728625948875206e-7
