"GO.ID"	"GO.Term"	"zscore"
"GO:0008017"	"microtubule binding"	"27.228"
"GO:0051010"	"microtubule plus-end binding"	"23.324"
"GO:0005089"	"Rho guanyl-nucleotide exchange factor activity"	"21.105"
"GO:0005085"	"guanyl-nucleotide exchange factor activity"	"18.89"
"GO:0043015"	"gamma-tubulin binding"	"17.455"
"GO:0003779"	"actin binding"	"16.807"
"GO:0003777"	"microtubule motor activity"	"16.387"
"GO:0070840"	"dynein complex binding"	"15.821"
"GO:0005096"	"GTPase activator activity"	"15.554"
"GO:0051011"	"microtubule minus-end binding"	"14.448"
"GO:0030676"	"Rac guanyl-nucleotide exchange factor activity"	"13.396"
"GO:0017049"	"GTP-Rho binding"	"13.171"
"GO:0045296"	"cadherin binding"	"12.574"
"GO:0051015"	"actin filament binding"	"12.367"
"GO:0048487"	"beta-tubulin binding"	"12.3"
"GO:0043515"	"kinetochore binding"	"12.128"
"GO:0048365"	"Rac GTPase binding"	"11.523"
"GO:0120170"	NA	"10.973"
"GO:0005515"	"protein binding"	"10.966"
"GO:0016887"	"ATPase activity"	"10.694"
"GO:0033682"	"ATP-dependent 5'-3' DNA/RNA helicase activity"	"9.707"
"GO:0005200"	"structural constituent of cytoskeleton"	"9.663"
"GO:0036033"	"mediator complex binding"	"9.541"
"GO:1990939"	"ATP-dependent microtubule motor activity"	"9.312"
"GO:0008574"	"ATP-dependent microtubule motor activity, plus-end-directed"	"9.269"
"GO:0019901"	"protein kinase binding"	"9.093"
"GO:0015631"	"tubulin binding"	"8.831"
"GO:0000146"	"microfilament motor activity"	"8.65"
"GO:0031434"	"mitogen-activated protein kinase kinase binding"	"8.199"
"GO:0017048"	"Rho GTPase binding"	"7.982"
"GO:0008022"	"protein C-terminus binding"	"7.936"
"GO:0051018"	"protein kinase A binding"	"7.85"
"GO:0008093"	"cytoskeletal adaptor activity"	"7.742"
"GO:0051219"	"phosphoprotein binding"	"7.737"
"GO:0030742"	"GTP-dependent protein binding"	"7.724"
"GO:0004674"	"protein serine/threonine kinase activity"	"7.453"
"GO:0005524"	"ATP binding"	"7.437"
"GO:0045505"	"dynein intermediate chain binding"	"7.037"
"GO:0071074"	"eukaryotic initiation factor eIF2 binding"	"6.895"
"GO:0034988"	"Fc-gamma receptor I complex binding"	"6.861"
"GO:0051959"	"dynein light intermediate chain binding"	"6.861"
"GO:0099609"	"microtubule lateral binding"	"6.811"
"GO:0042903"	"tubulin deacetylase activity"	"6.778"
"GO:0008568"	"microtubule-severing ATPase activity"	"6.596"
"GO:0017116"	"single-stranded DNA-dependent ATP-dependent DNA helicase activity"	"6.591"
"GO:0032427"	"GBD domain binding"	"6.591"
"GO:0003918"	"DNA topoisomerase type II (ATP-hydrolyzing) activity"	"6.576"
"GO:0010484"	"H3 histone acetyltransferase activity"	"6.546"
"GO:0003774"	"motor activity"	"6.501"
"GO:0061860"	NA	"6.391"
"GO:0038191"	"neuropilin binding"	"6.312"
"GO:0002162"	"dystroglycan binding"	"6.271"
"GO:0042805"	"actinin binding"	"5.969"
"GO:0098919"	"structural constituent of postsynaptic density"	"5.892"
"GO:0017124"	"SH3 domain binding"	"5.873"
"GO:0031267"	"small GTPase binding"	"5.869"
"GO:0097472"	"cyclin-dependent protein kinase activity"	"5.696"
"GO:0005516"	"calmodulin binding"	"5.652"
"GO:0022843"	"voltage-gated cation channel activity"	"5.647"
"GO:0031996"	"thioesterase binding"	"5.601"
"GO:0008013"	"beta-catenin binding"	"5.583"
"GO:0005172"	"vascular endothelial growth factor receptor binding"	"5.447"
"GO:0032947"	"protein complex scaffold"	"5.395"
"GO:0043398"	"HLH domain binding"	"5.38"
"GO:0034452"	"dynactin binding"	"5.368"
"GO:0005094"	"Rho GDP-dissociation inhibitor activity"	"5.338"
"GO:0030898"	"actin-dependent ATPase activity"	"5.231"
"GO:0042731"	"PH domain binding"	"5.08"
"GO:0043495"	"protein anchor"	"5.045"
"GO:0017160"	"Ral GTPase binding"	"5.026"
"GO:0031852"	"mu-type opioid receptor binding"	"4.944"
"GO:0005080"	"protein kinase C binding"	"4.929"
"GO:0043014"	"alpha-tubulin binding"	"4.905"
"GO:0004672"	"protein kinase activity"	"4.877"
"GO:0004515"	"nicotinate-nucleotide adenylyltransferase activity"	"4.806"
"GO:0019904"	"protein domain specific binding"	"4.752"
"GO:0097016"	"L27 domain binding"	"4.735"
"GO:0035173"	"histone kinase activity"	"4.706"
"GO:0001515"	"opioid peptide activity"	"4.701"
"GO:0048763"	"calcium-induced calcium release activity"	"4.678"
"GO:0050321"	"tau-protein kinase activity"	"4.669"
"GO:0034191"	"apolipoprotein A-I receptor binding"	"4.661"
"GO:0050815"	"phosphoserine binding"	"4.65"
"GO:0051022"	"Rho GDP-dissociation inhibitor binding"	"4.639"
"GO:0001882"	"nucleoside binding"	"4.623"
"GO:0051020"	"GTPase binding"	"4.618"
"GO:0043274"	"phospholipase binding"	"4.573"
"GO:0051371"	"muscle alpha-actinin binding"	"4.537"
"GO:0042802"	"identical protein binding"	"4.517"
"GO:0097110"	"scaffold protein binding"	"4.368"
"GO:0017034"	"Rap guanyl-nucleotide exchange factor activity"	"4.279"
"GO:1990948"	"ubiquitin ligase inhibitor activity"	"4.278"
"GO:0061676"	"importin-alpha family protein binding"	"4.253"
"GO:0042030"	"ATPase inhibitor activity"	"4.24"
"GO:0005086"	"ARF guanyl-nucleotide exchange factor activity"	"4.236"
"GO:0045159"	"myosin II binding"	"4.235"
"GO:0005525"	"GTP binding"	"4.183"
"GO:0043531"	"ADP binding"	"4.154"
"GO:0048495"	"Roundabout binding"	"4.149"
"GO:0098641"	"cadherin binding involved in cell-cell adhesion"	"4.138"
"GO:0034237"	"protein kinase A regulatory subunit binding"	"4.133"
"GO:0035174"	"histone serine kinase activity"	"4.106"
"GO:0015459"	"potassium channel regulator activity"	"4.077"
"GO:0001784"	"phosphotyrosine binding"	"4.072"
"GO:0070064"	"proline-rich region binding"	"4.068"
"GO:0048156"	"tau protein binding"	"4.057"
"GO:0031435"	"mitogen-activated protein kinase kinase kinase binding"	"4.046"
"GO:0004721"	"phosphoprotein phosphatase activity"	"4.026"
"GO:0003924"	"GTPase activity"	"4.011"
"GO:0019894"	"kinesin binding"	"4.007"
"GO:0010997"	"anaphase-promoting complex binding"	"3.837"
"GO:0005543"	"phospholipid binding"	"3.812"
"GO:0060090"	"binding, bridging"	"3.784"
"GO:0008092"	"cytoskeletal protein binding"	"3.782"
"GO:0019870"	"potassium channel inhibitor activity"	"3.723"
"GO:0047485"	"protein N-terminus binding"	"3.716"
"GO:0043141"	"ATP-dependent 5'-3' DNA helicase activity"	"3.714"
"GO:0019237"	"centromeric DNA binding"	"3.665"
"GO:0030159"	"receptor signaling complex scaffold activity"	"3.574"
"GO:0044877"	"macromolecular complex binding"	"3.547"
"GO:0019209"	"kinase activator activity"	"3.51"
"GO:0045503"	"dynein light chain binding"	"3.501"
"GO:0017112"	"Rab guanyl-nucleotide exchange factor activity"	"3.487"
"GO:0042608"	"T cell receptor binding"	"3.472"
"GO:0015280"	"ligand-gated sodium channel activity"	"3.439"
"GO:0046982"	"protein heterodimerization activity"	"3.423"
"GO:0044325"	"ion channel binding"	"3.382"
"GO:0046875"	"ephrin receptor binding"	"3.372"
"GO:0005088"	"Ras guanyl-nucleotide exchange factor activity"	"3.369"
"GO:0000287"	"magnesium ion binding"	"3.362"
"GO:0005070"	"SH3/SH2 adaptor activity"	"3.34"
"GO:0004691"	"cAMP-dependent protein kinase activity"	"3.324"
"GO:0030507"	"spectrin binding"	"3.304"
"GO:0042803"	"protein homodimerization activity"	"3.303"
"GO:0051880"	"G-quadruplex DNA binding"	"3.279"
"GO:0004706"	"JUN kinase kinase kinase activity"	"3.232"
"GO:0005078"	"MAP-kinase scaffold activity"	"3.226"
"GO:0030971"	"receptor tyrosine kinase binding"	"3.214"
"GO:0008432"	"JUN kinase binding"	"3.199"
"GO:0004536"	"deoxyribonuclease activity"	"3.118"
"GO:0003689"	"DNA clamp loader activity"	"3.097"
"GO:0001664"	"G-protein coupled receptor binding"	"3.088"
