Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa01130:Biosynthesis of antibiotics	27	13.636363636363635	9.720643854110424E-14	ENSG00000182199, ENSG00000111669, ENSG00000138413, ENSG00000162433, ENSG00000146733, ENSG00000104549, ENSG00000074800, ENSG00000067064, ENSG00000060982, ENSG00000092621, ENSG00000131473, ENSG00000159399, ENSG00000160211, ENSG00000141959, ENSG00000135069, ENSG00000134333, ENSG00000111640, ENSG00000102144, ENSG00000113161, ENSG00000149925, ENSG00000149809, ENSG00000105220, ENSG00000112972, ENSG00000001630, ENSG00000116761, ENSG00000120053, ENSG00000079739	143	212	6879	6.126566829397017	2.013189615013289E-11	2.013189615013289E-11	1.2259082637910979E-10
KEGG_PATHWAY	hsa01230:Biosynthesis of amino acids	14	7.07070707070707	1.7788921430641198E-9	ENSG00000141959, ENSG00000182199, ENSG00000135069, ENSG00000111669, ENSG00000111640, ENSG00000138413, ENSG00000146733, ENSG00000074800, ENSG00000102144, ENSG00000149925, ENSG00000060982, ENSG00000092621, ENSG00000120053, ENSG00000116761	143	72	6879	9.353729603729604	3.68230606451192E-7	1.8411532021200827E-7	2.242212771008667E-6
KEGG_PATHWAY	hsa01100:Metabolic pathways	55	27.77777777777778	5.7529464343406295E-9	ENSG00000198805, ENSG00000123983, ENSG00000147155, ENSG00000104549, ENSG00000122884, ENSG00000072042, ENSG00000060982, ENSG00000105835, ENSG00000136628, ENSG00000163738, ENSG00000160211, ENSG00000172893, ENSG00000135069, ENSG00000111640, ENSG00000102144, ENSG00000113161, ENSG00000149925, ENSG00000112972, ENSG00000001630, ENSG00000256269, ENSG00000182199, ENSG00000165704, ENSG00000146733, ENSG00000074800, ENSG00000163902, ENSG00000131473, ENSG00000070669, ENSG00000163655, ENSG00000001084, ENSG00000113356, ENSG00000120053, ENSG00000100554, ENSG00000111669, ENSG00000162433, ENSG00000065833, ENSG00000111144, ENSG00000134333, ENSG00000114480, ENSG00000151552, ENSG00000149809, ENSG00000105220, ENSG00000116761, ENSG00000140263, ENSG00000079739, ENSG00000138413, ENSG00000067064, ENSG00000228716, ENSG00000159199, ENSG00000092621, ENSG00000159399, ENSG00000141959, ENSG00000065911, ENSG00000278540, ENSG00000116133, ENSG00000171848	143	1219	6879	2.1704423550198775	1.1908592100207116E-6	3.9695322762156593E-7	7.2513276161423335E-6
KEGG_PATHWAY	hsa01200:Carbon metabolism	16	8.080808080808081	8.055048358713932E-9	ENSG00000182199, ENSG00000111669, ENSG00000138413, ENSG00000146733, ENSG00000074800, ENSG00000065833, ENSG00000092621, ENSG00000159399, ENSG00000160211, ENSG00000141959, ENSG00000135069, ENSG00000111640, ENSG00000102144, ENSG00000149925, ENSG00000105220, ENSG00000120053	143	113	6879	6.811312581224085	1.667393636717307E-6	4.168486698041818E-7	1.0153022389491895E-5
KEGG_PATHWAY	hsa03050:Proteasome	10	5.05050505050505	2.0250873736651963E-7	ENSG00000115233, ENSG00000041357, ENSG00000131467, ENSG00000100519, ENSG00000013275, ENSG00000185627, ENSG00000100804, ENSG00000161057, ENSG00000197170, ENSG00000100567	143	44	6879	10.932930705657979	4.191843427070463E-5	8.383827430069601E-6	2.5525277079774256E-4
KEGG_PATHWAY	hsa00010:Glycolysis / Gluconeogenesis	10	5.05050505050505	8.16160936620692E-6	ENSG00000141959, ENSG00000134333, ENSG00000111669, ENSG00000111640, ENSG00000074800, ENSG00000102144, ENSG00000149925, ENSG00000105220, ENSG00000159399, ENSG00000079739	143	67	6879	7.179835090282852	0.001688033698931668	2.8153703320532575E-4	0.010286850965812722
KEGG_PATHWAY	hsa00100:Steroid biosynthesis	6	3.0303030303030303	4.218492787752042E-5	ENSG00000172893, ENSG00000147155, ENSG00000104549, ENSG00000149809, ENSG00000116133, ENSG00000001630	143	20	6879	14.431468531468534	0.008694447036932562	0.001246717096158978	0.053159173711470054
KEGG_PATHWAY	hsa05169:Epstein-Barr virus infection	11	5.555555555555555	1.964729110353235E-4	ENSG00000115233, ENSG00000100519, ENSG00000013275, ENSG00000185627, ENSG00000117461, ENSG00000161057, ENSG00000183735, ENSG00000197170, ENSG00000104825, ENSG00000124762, ENSG00000034152	143	122	6879	4.337326607818411	0.03985780756986401	0.0050713331949436835	0.24736306873202052
KEGG_PATHWAY	hsa05230:Central carbon metabolism in cancer	8	4.040404040404041	3.202553335082912E-4	ENSG00000141959, ENSG00000103257, ENSG00000152256, ENSG00000117461, ENSG00000117394, ENSG00000105281, ENSG00000159399, ENSG00000160211	143	64	6879	6.013111888111888	0.06415318175917173	0.0073399821887139005	0.4029180605231608
KEGG_PATHWAY	hsa04066:HIF-1 signaling pathway	9	4.545454545454546	7.766332689149621E-4	ENSG00000072274, ENSG00000111640, ENSG00000074800, ENSG00000152256, ENSG00000117461, ENSG00000129521, ENSG00000117394, ENSG00000124762, ENSG00000159399	143	96	6879	4.509833916083917	0.14855940461978145	0.01595392082723257	0.9745118622738524
