Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_ALL	GO:0042254tribosome biogenesis	22	37.93103448275862	2.960760505304355E-22	ENSG00000184967, ENSG00000120158, ENSG00000100029, ENSG00000053372, ENSG00000112578, ENSG00000130810, ENSG00000132603, ENSG00000120800, ENSG00000136718, ENSG00000077348, ENSG00000181163, ENSG00000111641, ENSG00000163938, ENSG00000163811, ENSG00000162851, ENSG00000170515, ENSG00000048162, ENSG00000166197, ENSG00000124383, ENSG00000114767, ENSG00000133316, ENSG00000001497	55	335	16792	20.050149253731345	5.154684039734882E-19	5.154684039734882E-19	5.008041824435035E-19
GOTERM_BP_ALL	GO:0022613tribonucleoprotein complex biogenesis	22	37.93103448275862	5.125970279165585E-19	ENSG00000184967, ENSG00000120158, ENSG00000100029, ENSG00000053372, ENSG00000112578, ENSG00000130810, ENSG00000132603, ENSG00000120800, ENSG00000136718, ENSG00000077348, ENSG00000181163, ENSG00000111641, ENSG00000163938, ENSG00000163811, ENSG00000162851, ENSG00000170515, ENSG00000048162, ENSG00000166197, ENSG00000124383, ENSG00000114767, ENSG00000133316, ENSG00000001497	55	480	16792	13.993333333333334	8.924314256027283E-16	4.462157128013642E-16	8.670432310509795E-16
GOTERM_BP_ALL	GO:0006364trRNA processing	16	27.586206896551722	3.898593284943992E-15	ENSG00000184967, ENSG00000120158, ENSG00000100029, ENSG00000053372, ENSG00000112578, ENSG00000120800, ENSG00000136718, ENSG00000077348, ENSG00000111641, ENSG00000163811, ENSG00000162851, ENSG00000170515, ENSG00000166197, ENSG00000124383, ENSG00000114767, ENSG00000001497	55	269	16792	18.15964852990875	6.765144000553391E-12	2.255085007618618E-12	6.572520305780927E-12
GOTERM_BP_ALL	GO:0016072trRNA metabolic process	16	27.586206896551722	5.7553640810717525E-15	ENSG00000184967, ENSG00000120158, ENSG00000100029, ENSG00000053372, ENSG00000112578, ENSG00000120800, ENSG00000136718, ENSG00000077348, ENSG00000111641, ENSG00000163811, ENSG00000162851, ENSG00000170515, ENSG00000166197, ENSG00000124383, ENSG00000114767, ENSG00000001497	55	276	16792	17.699077733860342	1.0051071086536467E-11	2.5127677716341168E-12	9.769962616701378E-12
GOTERM_BP_ALL	GO:0034660tncRNA metabolic process	19	32.758620689655174	8.538707420104631E-14	ENSG00000177192, ENSG00000184967, ENSG00000120158, ENSG00000106305, ENSG00000100029, ENSG00000053372, ENSG00000112578, ENSG00000120800, ENSG00000136718, ENSG00000077348, ENSG00000111641, ENSG00000163811, ENSG00000162851, ENSG00000170515, ENSG00000166197, ENSG00000124383, ENSG00000114767, ENSG00000001497, ENSG00000179115	55	570	16792	10.176969696969698	1.4863987818358737E-10	2.9727997841177967E-11	1.444067088129941E-10
GOTERM_BP_ALL	GO:0034470tncRNA processing	17	29.310344827586203	1.1192619018632821E-13	ENSG00000177192, ENSG00000184967, ENSG00000120158, ENSG00000100029, ENSG00000053372, ENSG00000112578, ENSG00000120800, ENSG00000136718, ENSG00000077348, ENSG00000111641, ENSG00000163811, ENSG00000162851, ENSG00000170515, ENSG00000166197, ENSG00000124383, ENSG00000114767, ENSG00000001497	55	411	16792	12.628356558283565	1.9483614721593767E-10	3.247269120265628E-11	1.892930256985892E-10
GOTERM_BP_ALL	GO:0044085tcellular component biogenesis	30	51.724137931034484	1.4040830110985456E-9	ENSG00000142731, ENSG00000184967, ENSG00000136997, ENSG00000053372, ENSG00000130810, ENSG00000179958, ENSG00000136718, ENSG00000077348, ENSG00000181163, ENSG00000111641, ENSG00000114767, ENSG00000124383, ENSG00000133316, ENSG00000001497, ENSG00000179115, ENSG00000166851, ENSG00000196497, ENSG00000120158, ENSG00000100029, ENSG00000112578, ENSG00000144381, ENSG00000132603, ENSG00000120800, ENSG00000162851, ENSG00000163938, ENSG00000163811, ENSG00000170515, ENSG00000048162, ENSG00000166197, ENSG00000123545	55	2914	16792	3.1431958569913268	2.444505449061829E-6	3.4921543001775746E-7	2.374966201479367E-6
GOTERM_BP_ALL	GO:0042273tribosomal large subunit biogenesis	8	13.793103448275861	1.781855177709407E-9	ENSG00000111641, ENSG00000048162, ENSG00000100029, ENSG00000053372, ENSG00000130810, ENSG00000132603, ENSG00000133316, ENSG00000001497	55	67	16792	36.45481682496607	3.1022051271145656E-6	3.8777616717666774E-7	3.0139571616238925E-6
GOTERM_BP_ALL	GO:0006396tRNA processing	18	31.03448275862069	1.8264090917374879E-9	ENSG00000177192, ENSG00000184967, ENSG00000120158, ENSG00000100029, ENSG00000053372, ENSG00000112578, ENSG00000120800, ENSG00000136718, ENSG00000077348, ENSG00000111641, ENSG00000163811, ENSG00000162851, ENSG00000170515, ENSG00000166197, ENSG00000124383, ENSG00000114767, ENSG00000001497, ENSG00000156502	55	910	16792	6.039080919080919	3.179773251482665E-6	3.5330863834559523E-7	3.089318834081922E-6
GOTERM_BP_ALL	GO:0071840tcellular component organization or biogenesis	41	70.6896551724138	4.1648198547811796E-8	ENSG00000142731, ENSG00000184967, ENSG00000136997, ENSG00000053372, ENSG00000130810, ENSG00000122565, ENSG00000179958, ENSG00000077348, ENSG00000136718, ENSG00000111641, ENSG00000181163, ENSG00000148840, ENSG00000100297, ENSG00000114767, ENSG00000124383, ENSG00000133316, ENSG00000001497, ENSG00000156502, ENSG00000104738, ENSG00000179115, ENSG00000166851, ENSG00000185238, ENSG00000135446, ENSG00000196497, ENSG00000177192, ENSG00000120158, ENSG00000100029, ENSG00000112578, ENSG00000144381, ENSG00000132603, ENSG00000120800, ENSG00000159399, ENSG00000109084, ENSG00000163811, ENSG00000162851, ENSG00000163938, ENSG00000170515, ENSG00000048162, ENSG00000166197, ENSG00000123545, ENSG00000167085	55	6265	16792	1.9980323587027498	7.250688644555581E-5	7.250925231572225E-6	7.044671488376508E-5
