Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0008307~structural constituent of muscle	20	10.050251256281408	1.0803942201720494E-26	ENSG00000165887, ENSG00000168530, ENSG00000111245, ENSG00000133055, ENSG00000134571, ENSG00000196465, ENSG00000173991, ENSG00000143549, ENSG00000036448, ENSG00000160808, ENSG00000129170, ENSG00000198947, ENSG00000183963, ENSG00000101605, ENSG00000077522, ENSG00000133020, ENSG00000180209, ENSG00000133392, ENSG00000198467, ENSG00000248746	189	42	16881	42.53212396069539	4.256753227477875E-24	4.256753227477875E-24	1.5036255316036548E-23
GOTERM_MF_DIRECT	GO:0003779~actin binding	28	14.07035175879397	5.637282384183999E-18	ENSG00000177731, ENSG00000095637, ENSG00000065534, ENSG00000129170, ENSG00000058404, ENSG00000183963, ENSG00000099204, ENSG00000197879, ENSG00000125414, ENSG00000117519, ENSG00000118194, ENSG00000159173, ENSG00000150093, ENSG00000134571, ENSG00000149591, ENSG00000092054, ENSG00000101470, ENSG00000148180, ENSG00000177791, ENSG00000130598, ENSG00000198947, ENSG00000264424, ENSG00000109061, ENSG00000197694, ENSG00000130595, ENSG00000198467, ENSG00000248746, ENSG00000100345	189	278	16881	8.996003197442045	2.2210892593684956E-15	1.1105446296842478E-15	7.845619278089761E-15
GOTERM_MF_DIRECT	GO:0005516~calmodulin binding	19	9.547738693467336	3.743613768687571E-12	ENSG00000035664, ENSG00000065534, ENSG00000089250, ENSG00000143473, ENSG00000092054, ENSG00000196218, ENSG00000109063, ENSG00000058404, ENSG00000264424, ENSG00000197694, ENSG00000109061, ENSG00000133020, ENSG00000197879, ENSG00000125414, ENSG00000143622, ENSG00000117519, ENSG00000133392, ENSG00000100345, ENSG00000176170	189	189	16881	8.979003947257915	1.4749630405930247E-9	4.916543838717757E-10	5.210054609960935E-9
GOTERM_MF_DIRECT	GO:0005515~protein binding	136	68.34170854271356	2.105174576026266E-8	ENSG00000196923, ENSG00000173991, ENSG00000089250, ENSG00000119938, ENSG00000197321, ENSG00000121769, ENSG00000166833, ENSG00000124212, ENSG00000099204, ENSG00000077522, ENSG00000107262, ENSG00000168398, ENSG00000143549, ENSG00000196296, ENSG00000087085, ENSG00000170276, ENSG00000146674, ENSG00000196811, ENSG00000108639, ENSG00000101470, ENSG00000177791, ENSG00000130598, ENSG00000151967, ENSG00000175084, ENSG00000055118, ENSG00000018408, ENSG00000148400, ENSG00000100345, ENSG00000133055, ENSG00000108878, ENSG00000171033, ENSG00000105048, ENSG00000163453, ENSG00000113140, ENSG00000100151, ENSG00000143847, ENSG00000084764, ENSG00000196218, ENSG00000142192, ENSG00000178188, ENSG00000105221, ENSG00000101605, ENSG00000082781, ENSG00000034713, ENSG00000068305, ENSG00000197879, ENSG00000135424, ENSG00000152137, ENSG00000133392, ENSG00000152556, ENSG00000068976, ENSG00000134571, ENSG00000111907, ENSG00000065361, ENSG00000178104, ENSG00000149591, ENSG00000120896, ENSG00000130528, ENSG00000134107, ENSG00000114812, ENSG00000092054, ENSG00000132470, ENSG00000189058, ENSG00000109846, ENSG00000211445, ENSG00000173599, ENSG00000138685, ENSG00000177731, ENSG00000122180, ENSG00000196465, ENSG00000142173, ENSG00000081189, ENSG00000068903, ENSG00000134769, ENSG00000184481, ENSG00000099860, ENSG00000102554, ENSG00000104879, ENSG00000129170, ENSG00000058404, ENSG00000150281, ENSG00000125414, ENSG00000119782, ENSG00000143622, ENSG00000176170, ENSG00000106631, ENSG00000118194, ENSG00000159173, ENSG00000188157, ENSG00000036448, ENSG00000197905, ENSG00000108823, ENSG00000108821, ENSG00000148180, ENSG00000134363, ENSG00000171867, ENSG00000104936, ENSG00000116604, ENSG00000109061, ENSG00000022267, ENSG00000068615, ENSG00000143632, ENSG00000135218, ENSG00000143801, ENSG00000100842, ENSG00000105329, ENSG00000035664, ENSG00000065534, ENSG00000095637, ENSG00000143473, ENSG00000158186, ENSG00000136717, ENSG00000162688, ENSG00000181019, ENSG00000109610, ENSG00000118729, ENSG00000124762, ENSG00000140859, ENSG00000111245, ENSG00000150093, ENSG00000188130, ENSG00000182533, ENSG00000166165, ENSG00000134871, ENSG00000196576, ENSG00000122367, ENSG00000108840, ENSG00000198947, ENSG00000197694, ENSG00000114854, ENSG00000103197, ENSG00000017427, ENSG00000170290, ENSG00000248746, ENSG00000139687, ENSG00000102683	189	8785	16881	1.3827176554552763	8.294353530668985E-6	2.0735948323968856E-6	2.9298507486785752E-5
GOTERM_MF_DIRECT	GO:0051015~actin filament binding	13	6.532663316582915	2.791218428670831E-8	ENSG00000101470, ENSG00000136717, ENSG00000109063, ENSG00000198336, ENSG00000143549, ENSG00000114854, ENSG00000077522, ENSG00000133020, ENSG00000198467, ENSG00000133392, ENSG00000197321, ENSG00000100345, ENSG00000100151	189	132	16881	8.796416546416546	1.0997340312846049E-5	2.199477737940825E-6	3.884643648977004E-5
GOTERM_MF_DIRECT	GO:0000146~microfilament motor activity	7	3.5175879396984926	5.996780075511884E-8	ENSG00000092054, ENSG00000109063, ENSG00000264424, ENSG00000133020, ENSG00000197879, ENSG00000125414, ENSG00000100345	189	20	16881	31.26111111111111	2.3627035071305258E-5	3.93787794561451E-6	8.34594258591892E-5
GOTERM_MF_DIRECT	GO:0044325~ion channel binding	11	5.527638190954774	5.315913359715358E-7	ENSG00000171867, ENSG00000182533, ENSG00000173991, ENSG00000089250, ENSG00000022267, ENSG00000077522, ENSG00000143473, ENSG00000119782, ENSG00000266964, ENSG00000130528, ENSG00000248746	189	113	16881	8.694620030903216	2.0942510953414484E-4	2.9920558376139716E-5	7.398332440566868E-4
GOTERM_MF_DIRECT	GO:0003774~motor activity	9	4.522613065326634	6.743827875619999E-7	ENSG00000160808, ENSG00000092054, ENSG00000196465, ENSG00000109063, ENSG00000109061, ENSG00000197879, ENSG00000125414, ENSG00000133392, ENSG00000100345	189	66	16881	12.17965367965368	2.656716109595836E-4	3.321281193158221E-5	9.385599644251563E-4
GOTERM_MF_DIRECT	GO:0005509~calcium ion binding	24	12.060301507537687	5.071818523418708E-6	ENSG00000168530, ENSG00000111245, ENSG00000188157, ENSG00000140945, ENSG00000196465, ENSG00000196296, ENSG00000113140, ENSG00000108823, ENSG00000130528, ENSG00000160808, ENSG00000101470, ENSG00000148180, ENSG00000196218, ENSG00000143318, ENSG00000198336, ENSG00000197694, ENSG00000114854, ENSG00000077522, ENSG00000118729, ENSG00000100362, ENSG00000180209, ENSG00000248746, ENSG00000106631, ENSG00000148400	189	717	16881	2.989705784684864	0.0019963062904301276	2.2200885968826078E-4	0.007058410601523679
GOTERM_MF_DIRECT	GO:0042803~protein homodimerization activity	23	11.557788944723619	2.174938127623902E-5	ENSG00000140945, ENSG00000111907, ENSG00000105329, ENSG00000065361, ENSG00000196296, ENSG00000087085, ENSG00000134107, ENSG00000113739, ENSG00000116604, ENSG00000109846, ENSG00000058404, ENSG00000114854, ENSG00000101605, ENSG00000103197, ENSG00000077522, ENSG00000118729, ENSG00000055118, ENSG00000100362, ENSG00000108515, ENSG00000018408, ENSG00000248746, ENSG00000100345, ENSG00000152556	189	730	16881	2.8141117634268316	0.008532737193113316	8.565678773289065E-4	0.03026518552983193
