"GO.ID"	"GO.Term"	"NetBAS"	"DAVID"
"GO:0030049"	"muscle filament sliding"	"73.619"	"8.760546178988803E-43"
"GO:0006936"	"muscle contraction"	"50.681"	"2.2020409583218835E-71"
"GO:0060048"	"cardiac muscle contraction"	"43.844"	"4.053196471820132E-18"
"GO:0006942"	"regulation of striated muscle contraction"	"40.777"	"8.609684993647324E-17"
"GO:0045214"	"sarcomere organization"	"38.57"	"5.432010691528915E-8"
"GO:0055010"	"ventricular cardiac muscle tissue morphogenesis"	"35.622"	"4.7976452780912044E-8"
"GO:0003009"	"skeletal muscle contraction"	"34.157"	"1.401549784783804E-26"
"GO:0048739"	"cardiac muscle fiber development"	"30.8"	"0.09687746620128627"
"GO:0032972"	"regulation of muscle filament sliding speed"	"29.732"	"0.022384699045976272"
"GO:0035995"	"detection of muscle stretch"	"29.5"	"7.449402270167595E-4"
