"GO.ID"	"GO.Term"	"zscore"	"obs"	"mean"	"std"
"GO:0008307"	"structural constituent of muscle"	"59.723"	"586"	"79.88"	"8.474"
"GO:0051015"	"actin filament binding"	"44.385"	"1349"	"448.982"	"20.278"
"GO:0030172"	"troponin C binding"	"37.306"	"58"	"2.419"	"1.49"
"GO:0031014"	"troponin T binding"	"36.919"	"79"	"4.296"	"2.023"
"GO:0031013"	"troponin I binding"	"35.545"	"61"	"2.695"	"1.64"
"GO:0003779"	"actin binding"	"35.034"	"1090"	"415.869"	"19.242"
"GO:0032038"	"myosin II heavy chain binding"	"32.031"	"41"	"1.554"	"1.232"
"GO:0030899"	"calcium-dependent ATPase activity"	"30.233"	"56"	"3.256"	"1.745"
"GO:0005509"	"calcium ion binding"	"28.884"	"1194"	"541.124"	"22.603"
"GO:0005523"	"tropomyosin binding"	"28.028"	"127"	"16.422"	"3.945"
"GO:0031432"	"titin binding"	"26.67"	"183"	"32.28"	"5.651"
"GO:0051371"	"muscle alpha-actinin binding"	"25.949"	"129"	"21.001"	"4.162"
"GO:0031433"	"telethonin binding"	"24.697"	"53"	"4.078"	"1.981"
"GO:0051373"	"FATZ binding"	"24.008"	"68"	"7.096"	"2.537"
"GO:0005516"	"calmodulin binding"	"22.715"	"768"	"361.861"	"17.88"
"GO:0070080"	"titin Z domain binding"	"20.878"	"57"	"6.332"	"2.427"
"GO:0000146"	"microfilament motor activity"	"19.834"	"243"	"78.564"	"8.291"
"GO:0017018"	"myosin phosphatase activity"	"19.374"	"111"	"22.794"	"4.553"
"GO:0003785"	"actin monomer binding"	"19.053"	"149"	"37.81"	"5.836"
"GO:0032036"	"myosin heavy chain binding"	"16.475"	"66"	"11.121"	"3.331"
"GO:0017166"	"vinculin binding"	"15.996"	"103"	"26.651"	"4.773"
"GO:0097493"	"structural molecule activity conferring elasticity"	"15.612"	"36"	"4.203"	"2.037"
"GO:0005212"	"structural constituent of eye lens"	"15.168"	"67"	"13.398"	"3.534"
"GO:0005178"	"integrin binding"	"15.057"	"430"	"216.482"	"14.18"
"GO:0036122"	"BMP binding"	"14.937"	"31"	"3.767"	"1.823"
"GO:0008092"	"cytoskeletal protein binding"	"14.442"	"231"	"92.615"	"9.582"
"GO:0044325"	"ion channel binding"	"14.136"	"593"	"348.296"	"17.311"
"GO:0030898"	"actin-dependent ATPase activity"	"13.924"	"131"	"44.106"	"6.241"
"GO:0002162"	"dystroglycan binding"	"12.929"	"73"	"18.946"	"4.181"
"GO:0005201"	"extracellular matrix structural constituent"	"12.753"	"178"	"71.696"	"8.336"
"GO:0005524"	"ATP binding"	"11.577"	"4382"	"3707.823"	"58.232"
"GO:0005200"	"structural constituent of cytoskeleton"	"11.438"	"762"	"515.037"	"21.592"
"GO:0004687"	"myosin light chain kinase activity"	"11.235"	"15"	"1.431"	"1.208"
"GO:0003774"	"motor activity"	"11.138"	"231"	"114.335"	"10.474"
"GO:0050998"	"nitric-oxide synthase binding"	"11.064"	"148"	"64.268"	"7.568"
"GO:0005518"	"collagen binding"	"11.032"	"177"	"81.698"	"8.639"
"GO:0032027"	"myosin light chain binding"	"10.959"	"53"	"14.219"	"3.539"
"GO:0017022"	"myosin binding"	"10.856"	"151"	"65.306"	"7.894"
"GO:0004021"	"L-alanine:2-oxoglutarate aminotransferase activity"	"10.559"	"17"	"2.07"	"1.414"
"GO:0005088"	"Ras guanyl-nucleotide exchange factor activity"	"10.168"	"417"	"261.482"	"15.296"
"GO:0098639"	"collagen binding involved in cell-matrix adhesion"	"9.228"	"29"	"6.383"	"2.451"
"GO:0030274"	"LIM domain binding"	"9.126"	"46"	"13.342"	"3.579"
"GO:0015037"	"peptide disulfide oxidoreductase activity"	"8.879"	"84"	"33.912"	"5.641"
"GO:0042802"	"identical protein binding"	"8.773"	"3031"	"2617.983"	"47.076"
"GO:0070856"	"myosin VI light chain binding"	"8.699"	"13"	"1.743"	"1.294"
"GO:0019855"	"calcium channel inhibitor activity"	"8.575"	"84"	"35.851"	"5.615"
"GO:0015269"	"calcium-activated potassium channel activity"	"8.514"	"29"	"7.333"	"2.545"
"GO:0031994"	"insulin-like growth factor I binding"	"8.38"	"41"	"12.267"	"3.429"
"GO:0060072"	"large conductance calcium-activated potassium channel activity"	"8.378"	"26"	"6.113"	"2.374"
"GO:0030170"	"pyridoxal phosphate binding"	"8.234"	"193"	"111.777"	"9.865"
"GO:0048306"	"calcium-dependent protein binding"	"8.051"	"187"	"106.275"	"10.026"
"GO:0045296"	"cadherin binding"	"8.043"	"1268"	"1027.949"	"29.847"
"GO:0004683"	"calmodulin-dependent protein kinase activity"	"7.813"	"95"	"45.348"	"6.355"
"GO:0097016"	"L27 domain binding"	"7.763"	"29"	"7.798"	"2.731"
"GO:0035276"	"ethanol binding"	"7.728"	"24"	"5.614"	"2.379"
"GO:0030020"	"extracellular matrix structural constituent conferring tensile strength"	"7.697"	"48"	"17.179"	"4.004"
"GO:0001016"	"RNA polymerase III regulatory region DNA binding"	"7.511"	"57"	"23.555"	"4.453"
"GO:0030234"	"enzyme regulator activity"	"7.494"	"149"	"82.067"	"8.932"
"GO:0030546"	"receptor activator activity"	"7.435"	"23"	"5.527"	"2.35"
"GO:0003756"	"protein disulfide isomerase activity"	"7.428"	"82"	"38.174"	"5.9"
"GO:0043237"	"laminin-1 binding"	"7.425"	"21"	"5.137"	"2.137"
