"Pathway"	"Z-score"
"Dilated cardiomyopathy (DCM)"	"23.396"
"Hypertrophic cardiomyopathy (HCM)"	"23.048"
"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	"14.272"
"Cardiac muscle contraction"	"12.515"
"Apelin signaling pathway"	"12.506"
"ECM-receptor interaction"	"11.09"
"Adrenergic signaling in cardiomyocytes"	"10.531"
"Focal adhesion"	"9.948"
"Proteoglycans in cancer"	"8.421"
"Regulation of actin cytoskeleton"	"7.536"
"Calcium signaling pathway"	"7.486"
"Viral myocarditis"	"7.042"
"Relaxin signaling pathway"	"6.688"
"Human papillomavirus infection"	"6.481"
"Tight junction"	"6.159"
"Small cell lung cancer"	"6.153"
"Glioma"	"6.137"
"Melanoma"	"6.062"
"PI3K-Akt signaling pathway"	"6.054"
"Oxytocin signaling pathway"	"5.976"
"FoxO signaling pathway"	"5.771"
"cGMP-PKG signaling pathway"	"5.72"
"Cellular senescence"	"5.679"
"Bladder cancer"	"5.487"
"Protein digestion and absorption"	"5.284"
"p53 signaling pathway"	"5.167"
"Platelet activation"	"5.141"
"Circadian entrainment"	"5.042"
"Pathways in cancer"	"5.037"
"AGE-RAGE signaling pathway in diabetic complications"	"5.004"
"PPAR signaling pathway"	"4.927"
"Arginine and proline metabolism"	"4.913"
"Pancreatic cancer"	"4.828"
"Chronic myeloid leukemia"	"4.745"
"MAPK signaling pathway"	"4.627"
"Toxoplasmosis"	"4.556"
"ErbB signaling pathway"	"4.468"
"Prion diseases"	"4.433"
"Breast cancer"	"4.425"
"Starch and sucrose metabolism"	"4.38"
"Long-term depression"	"4.363"
"AMPK signaling pathway"	"4.303"
"Thyroid cancer"	"4.273"
"Longevity regulating pathway - multiple species"	"4.25"
"Amoebiasis"	"4.107"
"Non-small cell lung cancer"	"4.045"
"Inflammatory mediator regulation of TRP channels"	"4.04"
"Rap1 signaling pathway"	"4.036"
"HIF-1 signaling pathway"	"3.93"
"Fluid shear stress and atherosclerosis"	"3.896"
"Chagas disease (American trypanosomiasis)"	"3.879"
"Tuberculosis"	"3.805"
"Cholinergic synapse"	"3.645"
"Leukocyte transendothelial migration"	"3.643"
"Gastric cancer"	"3.611"
"Neurotrophin signaling pathway"	"3.441"
"Colorectal cancer"	"3.306"
"Hepatocellular carcinoma"	"3.289"
"Longevity regulating pathway"	"3.264"
"Autophagy - animal"	"3.251"
"Hippo signaling pathway - multiple species"	"3.225"
"Fc gamma R-mediated phagocytosis"	"3.219"
"Alzheimer's disease"	"3.206"
"GnRH signaling pathway"	"3.169"
"VEGF signaling pathway"	"3.13"
"Endometrial cancer"	"3.107"
"Insulin signaling pathway"	"3.078"
"Progesterone-mediated oocyte maturation"	"3.035"
"Galactose metabolism"	"3.021"
"Prostate cancer"	"2.99"
"Kaposi's sarcoma-associated herpesvirus infection"	"2.937"
"Hepatitis B"	"2.881"
"Central carbon metabolism in cancer"	"2.874"
"Glucagon signaling pathway"	"2.845"
"Phospholipase D signaling pathway"	"2.838"
"C-type lectin receptor signaling pathway"	"2.802"
"Insulin resistance"	"2.78"
"Epstein-Barr virus infection"	"2.775"
"Renal cell carcinoma"	"2.761"
"Cushing's syndrome"	"2.753"
"Epithelial cell signaling in Helicobacter pylori infection"	"2.753"
"Phagosome"	"2.74"
"Glycolysis / Gluconeogenesis"	"2.708"
"Adipocytokine signaling pathway"	"2.707"
"HTLV-I infection"	"2.679"
"Leishmaniasis"	"2.603"
"Ubiquinone and other terpenoid-quinone biosynthesis"	"2.595"
"Gastric acid secretion"	"2.546"
"Sphingolipid signaling pathway"	"2.541"
"Vascular smooth muscle contraction"	"2.521"
"Ferroptosis"	"2.457"
"Oocyte meiosis"	"2.437"
"Thermogenesis"	"2.401"
"Cell cycle"	"2.395"
"Axon guidance"	"2.386"
"Fatty acid biosynthesis"	"2.373"
"Complement and coagulation cascades"	"2.369"
"Dopaminergic synapse"	"2.292"
"Transcriptional misregulation in cancer"	"2.246"
"GABAergic synapse"	"2.214"
"Estrogen signaling pathway"	"2.198"
"Thiamine metabolism"	"2.191"
"Endocrine and other factor-regulated calcium reabsorption"	"2.17"
"Signaling pathways regulating pluripotency of stem cells"	"2.17"
"Malaria"	"2.132"
"Notch signaling pathway"	"2.129"
"Ovarian steroidogenesis"	"2.097"
"Aldosterone synthesis and secretion"	"2.04"
"Vibrio cholerae infection"	"2.034"
"Amyotrophic lateral sclerosis (ALS)"	"2.022"
"Non-alcoholic fatty liver disease (NAFLD)"	"1.987"
"Melanogenesis"	"1.976"
"mTOR signaling pathway"	"1.976"
"Regulation of lipolysis in adipocytes"	"1.93"
"Neuroactive ligand-receptor interaction"	"1.841"
"Jak-STAT signaling pathway"	"1.83"
"Arachidonic acid metabolism"	"1.749"
"Arginine biosynthesis"	"1.732"
"Ras signaling pathway"	"1.715"
"Basal cell carcinoma"	"1.69"
"Cortisol synthesis and secretion"	"1.669"
"Thyroid hormone signaling pathway"	"1.65"
"Mitophagy - animal"	"1.621"
"Fc epsilon RI signaling pathway"	"1.61"
"Shigellosis"	"1.609"
"Terpenoid backbone biosynthesis"	"1.607"
"Biosynthesis of unsaturated fatty acids"	"1.556"
"Prolactin signaling pathway"	"1.491"
"Osteoclast differentiation"	"1.476"
"Bacterial invasion of epithelial cells"	"1.41"
"Thyroid hormone synthesis"	"1.41"
"Hepatitis C"	"1.406"
"cAMP signaling pathway"	"1.401"
"Oxidative phosphorylation"	"1.398"
"Pertussis"	"1.354"
"RNA degradation"	"1.344"
