"ID"	"Pathway"	"zscore"	"obs"	"mean"	"std"
"hsa04330"	"Notch signaling pathway"	"35.248"	"243"	"37.409"	"5.833"
"hsa05217"	"Basal cell carcinoma"	"25.417"	"152"	"29.28"	"4.828"
"hsa05165"	"Human papillomavirus infection"	"18.11"	"492"	"233.775"	"14.259"
"hsa05224"	"Breast cancer"	"16.807"	"300"	"123.557"	"10.498"
"hsa04310"	"Wnt signaling pathway"	"14.923"	"273"	"117.783"	"10.401"
"hsa04390"	"Hippo signaling pathway"	"13.644"	"290"	"140.655"	"10.946"
"hsa04120"	"Ubiquitin mediated proteolysis"	"13.088"	"275"	"128.029"	"11.229"
"hsa05200"	"Pathways in cancer"	"12.23"	"620"	"386.912"	"19.058"
"hsa00514"	"Other types of O-glycan biosynthesis"	"11.853"	"21"	"2.368"	"1.572"
"hsa04658"	"Th1 and Th2 cell differentiation"	"11.615"	"153"	"65.51"	"7.532"
"hsa04934"	"Cushing's syndrome"	"10.983"	"197"	"94.041"	"9.374"
"hsa05226"	"Gastric cancer"	"10.663"	"225"	"116.129"	"10.21"
"hsa05225"	"Hepatocellular carcinoma"	"10.384"	"253"	"134.377"	"11.423"
"hsa04919"	"Thyroid hormone signaling pathway"	"10.004"	"237"	"129.177"	"10.778"
"hsa05166"	"HTLV-I infection"	"9.998"	"355"	"215.899"	"13.912"
"hsa05206"	"MicroRNAs in cancer"	"9.706"	"252"	"137.672"	"11.779"
"hsa04550"	"Signaling pathways regulating pluripotency of stem cells"	"9.121"	"188"	"101.108"	"9.527"
"hsa04916"	"Melanogenesis"	"8.851"	"142"	"69.566"	"8.184"
"hsa04110"	"Cell cycle"	"8.143"	"275"	"169.951"	"12.9"
"hsa04150"	"mTOR signaling pathway"	"7.653"	"189"	"111.397"	"10.14"
"hsa04340"	"Hedgehog signaling pathway"	"6.82"	"91"	"46.13"	"6.579"
"hsa05215"	"Prostate cancer"	"6.619"	"184"	"115.606"	"10.334"
"hsa00430"	"Taurine and hypotaurine metabolism"	"6.533"	"7"	"0.467"	"0.692"
"hsa05222"	"Small cell lung cancer"	"6.317"	"146"	"88.462"	"9.108"
"hsa05202"	"Transcriptional misregulation in cancer"	"5.21"	"185"	"129.89"	"10.577"
"hsa05161"	"Hepatitis B"	"5.153"	"213"	"151.109"	"12.01"
"hsa04350"	"TGF-beta signaling pathway"	"5.129"	"117"	"74.727"	"8.242"
"hsa05220"	"Chronic myeloid leukemia"	"4.633"	"147"	"101.773"	"9.762"
"hsa05203"	"Viral carcinogenesis"	"4.535"	"335"	"267.466"	"14.89"
"hsa04115"	"p53 signaling pathway"	"4.469"	"82"	"51.685"	"6.783"
"hsa04630"	"Jak-STAT signaling pathway"	"4.446"	"105"	"69.482"	"7.989"
"hsa04920"	"Adipocytokine signaling pathway"	"4.134"	"80"	"50.735"	"7.078"
"hsa05168"	"Herpes simplex infection"	"4.123"	"215"	"164.911"	"12.149"
"hsa05213"	"Endometrial cancer"	"3.978"	"103"	"71.553"	"7.905"
"hsa03420"	"Nucleotide excision repair"	"3.542"	"79"	"54.355"	"6.958"
"hsa05212"	"Pancreatic cancer"	"3.426"	"118"	"86.778"	"9.112"
"hsa04710"	"Circadian rhythm"	"3.282"	"50"	"31.25"	"5.712"
"hsa00592"	"alpha-Linolenic acid metabolism"	"3.279"	"5"	"1.261"	"1.14"
"hsa04530"	"Tight junction"	"3.225"	"211"	"169.785"	"12.78"
"hsa04144"	"Endocytosis"	"3.083"	"257"	"213.63"	"14.068"
"hsa05205"	"Proteoglycans in cancer"	"3.066"	"224"	"183.786"	"13.115"
"hsa05162"	"Measles"	"3.04"	"168"	"134.82"	"10.914"
"hsa05167"	"Kaposi's sarcoma-associated herpesvirus infection"	"2.947"	"217"	"179.225"	"12.817"
"hsa04657"	"IL-17 signaling pathway"	"2.93"	"118"	"91.393"	"9.082"
"hsa04659"	"Th17 cell differentiation"	"2.864"	"121"	"94.886"	"9.116"
"hsa04668"	"TNF signaling pathway"	"2.847"	"117"	"90.442"	"9.328"
"hsa04151"	"PI3K-Akt signaling pathway"	"2.822"	"313"	"267.588"	"16.094"
"hsa04064"	"NF-kappa B signaling pathway"	"2.732"	"98"	"75.061"	"8.397"
"hsa05210"	"Colorectal cancer"	"2.706"	"128"	"101.388"	"9.835"
"hsa04721"	"Synaptic vesicle cycle"	"2.58"	"75"	"57.057"	"6.955"
"hsa05120"	"Epithelial cell signaling in Helicobacter pylori infection"	"2.53"	"102"	"80.665"	"8.432"
"hsa05160"	"Hepatitis C"	"2.529"	"137"	"111.236"	"10.186"
"hsa05216"	"Thyroid cancer"	"2.523"	"68"	"51.114"	"6.693"
"hsa05010"	"Alzheimer's disease"	"2.43"	"115"	"91.973"	"9.477"
"hsa05131"	"Shigellosis"	"2.381"	"99"	"79.147"	"8.337"
"hsa04210"	"Apoptosis"	"2.304"	"168"	"141.632"	"11.444"
"hsa04218"	"Cellular senescence"	"2.237"	"200"	"171.94"	"12.546"
"hsa04623"	"Cytosolic DNA-sensing pathway"	"2.235"	"58"	"44.575"	"6.007"
"hsa04979"	"Cholesterol metabolism"	"2.15"	"28"	"18.931"	"4.218"
"hsa05221"	"Acute myeloid leukemia"	"2.05"	"82"	"66.256"	"7.679"
"hsa04622"	"RIG-I-like receptor signaling pathway"	"2.048"	"60"	"46.588"	"6.55"
"hsa04917"	"Prolactin signaling pathway"	"1.955"	"88"	"72.058"	"8.156"
"hsa05219"	"Bladder cancer"	"1.871"	"71"	"57.309"	"7.317"
"hsa03410"	"Base excision repair"	"1.812"	"23"	"15.979"	"3.874"
"hsa05169"	"Epstein-Barr virus infection"	"1.777"	"360"	"329.702"	"17.045"
"hsa04660"	"T cell receptor signaling pathway"	"1.749"	"115"	"98.557"	"9.403"
"hsa04142"	"Lysosome"	"1.747"	"46"	"35.739"	"5.872"
"hsa00450"	"Selenocompound metabolism"	"1.721"	"6"	"3.149"	"1.657"
"hsa04380"	"Osteoclast differentiation"	"1.675"	"113"	"97.062"	"9.517"
"hsa00790"	"Folate biosynthesis"	"1.61"	"10"	"6.091"	"2.427"
"hsa04978"	"Mineral absorption"	"1.566"	"13"	"8.463"	"2.897"
"hsa04931"	"Insulin resistance"	"1.554"	"94"	"80.776"	"8.512"
"hsa03030"	"DNA replication"	"1.509"	"50"	"40.595"	"6.231"
"hsa04392"	"Hippo signaling pathway - multiple species"	"1.5"	"20"	"14.506"	"3.663"
"hsa05140"	"Leishmaniasis"	"1.493"	"65"	"54.565"	"6.99"
"hsa00071"	"Fatty acid degradation"	"1.437"	"24"	"18.248"	"4.002"
"hsa04068"	"FoxO signaling pathway"	"1.376"	"154"	"138.43"	"11.314"
"hsa04977"	"Vitamin digestion and absorption"	"1.234"	"4"	"2.181"	"1.475"
"hsa00562"	"Inositol phosphate metabolism"	"1.17"	"25"	"19.897"	"4.361"
"hsa03450"	"Non-homologous end-joining"	"1.16"	"12"	"8.757"	"2.796"
"hsa04961"	"Endocrine and other factor-regulated calcium reabsorption"	"1.118"	"53"	"45.697"	"6.535"
"hsa05145"	"Toxoplasmosis"	"1.116"	"136"	"124.334"	"10.454"
"hsa04010"	"MAPK signaling pathway"	"1.067"	"256"	"240.377"	"14.637"
"hsa04964"	"Proximal tubule bicarbonate reclamation"	"1.042"	"8"	"5.547"	"2.355"
"hsa04620"	"Toll-like receptor signaling pathway"	"1.034"	"84"	"75.373"	"8.341"
"hsa03320"	"PPAR signaling pathway"	"1.032"	"52"	"45.565"	"6.233"
"hsa04722"	"Neurotrophin signaling pathway"	"1.008"	"140"	"128.992"	"10.922"
"hsa00750"	"Vitamin B6 metabolism"	"0.994"	"2"	"1.006"	"0.983"
"hsa03430"	"Mismatch repair"	"0.983"	"33"	"27.834"	"5.256"
"hsa04662"	"B cell receptor signaling pathway"	"0.951"	"81"	"73.08"	"8.328"
"hsa05142"	"Chagas disease (American trypanosomiasis)"	"0.905"	"113"	"104.186"	"9.736"
"hsa05033"	"Nicotine addiction"	"0.851"	"9"	"6.765"	"2.625"
"hsa00780"	"Biotin metabolism"	"0.786"	"1"	"0.214"	"0.454"
"hsa05016"	"Huntington's disease"	"0.78"	"162"	"152.804"	"11.788"
"hsa04066"	"HIF-1 signaling pathway"	"0.732"	"114"	"106.565"	"10.15"
"hsa00290"	"Valine, leucine and isoleucine biosynthesis"	"0.723"	"6"	"4.497"	"2.078"
"hsa04974"	"Protein digestion and absorption"	"0.697"	"13"	"10.658"	"3.358"
"hsa05223"	"Non-small cell lung cancer"	"0.66"	"78"	"72.378"	"8.518"
"hsa00564"	"Glycerophospholipid metabolism"	"0.646"	"14"	"11.914"	"3.231"
"hsa05412"	"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	"0.618"	"39"	"35.523"	"5.626"
"hsa04520"	"Adherens junction"	"0.601"	"95"	"89.638"	"8.927"
"hsa00770"	"Pantothenate and CoA biosynthesis"	"0.585"	"3"	"2.168"	"1.423"
"hsa05130"	"Pathogenic Escherichia coli infection"	"0.558"	"123"	"117.403"	"10.03"
"hsa04973"	"Carbohydrate digestion and absorption"	"0.546"	"21"	"18.75"	"4.123"
"hsa00051"	"Fructose and mannose metabolism"	"0.537"	"30"	"27.366"	"4.909"
"hsa00561"	"Glycerolipid metabolism"	"0.527"	"17"	"15.015"	"3.768"
"hsa00100"	"Steroid biosynthesis"	"0.482"	"7"	"5.867"	"2.352"
"hsa04114"	"Oocyte meiosis"	"0.472"	"140"	"134.85"	"10.909"
"hsa05164"	"Influenza A"	"0.463"	"190"	"184.165"	"12.61"
"hsa04625"	"C-type lectin receptor signaling pathway"	"0.427"	"95"	"91.124"	"9.085"
"hsa00061"	"Fatty acid biosynthesis"	"0.419"	"8"	"6.94"	"2.53"
"hsa04966"	"Collecting duct acid secretion"	"0.415"	"28"	"26.037"	"4.725"
"hsa04215"	"Apoptosis - multiple species"	"0.317"	"18"	"16.704"	"4.084"
"hsa00630"	"Glyoxylate and dicarboxylate metabolism"	"0.306"	"19"	"17.725"	"4.166"
"hsa00260"	"Glycine, serine and threonine metabolism"	"0.26"	"29"	"27.707"	"4.975"
"hsa04137"	"Mitophagy - animal"	"0.22"	"75"	"73.187"	"8.237"
"hsa05321"	"Inflammatory bowel disease (IBD)"	"0.21"	"34"	"32.817"	"5.636"
"hsa04070"	"Phosphatidylinositol signaling system"	"0.201"	"35"	"33.861"	"5.656"
"hsa05218"	"Melanoma"	"0.2"	"66"	"64.441"	"7.778"
"hsa04621"	"NOD-like receptor signaling pathway"	"0.195"	"124"	"121.994"	"10.305"
"hsa00603"	"Glycosphingolipid biosynthesis - globo and isoglobo series"	"0.192"	"1"	"0.808"	"0.898"
"hsa04152"	"AMPK signaling pathway"	"0.141"	"114"	"112.606"	"9.859"
"hsa00590"	"Arachidonic acid metabolism"	"0.131"	"6"	"5.684"	"2.416"
"hsa00531"	"Glycosaminoglycan degradation"	"0.104"	"1"	"0.896"	"0.887"
"hsa05100"	"Bacterial invasion of epithelial cells"	"0.04"	"82"	"81.663"	"8.351"
"hsa03460"	"Fanconi anemia pathway"	"0.026"	"33"	"32.855"	"5.504"
"hsa05031"	"Amphetamine addiction"	"0.013"	"63"	"62.904"	"7.55"
"hsa04216"	"Ferroptosis"	"0.002"	"27"	"26.99"	"4.958"
"hsa00472"	"D-Arginine and D-ornithine metabolism"	"-0.003"	"0"	"0.003"	"0.055"
"hsa00970"	"Aminoacyl-tRNA biosynthesis"	"-0.067"	"25"	"25.316"	"4.699"
"hsa00524"	"Neomycin, kanamycin and gentamicin biosynthesis"	"-0.094"	"6"	"6.216"	"2.308"
"hsa00910"	"Nitrogen metabolism"	"-0.103"	"2"	"2.15"	"1.457"
"hsa00600"	"Sphingolipid metabolism"	"-0.137"	"5"	"5.319"	"2.337"
"hsa04925"	"Aldosterone synthesis and secretion"	"-0.148"	"48"	"48.985"	"6.648"
"hsa05014"	"Amyotrophic lateral sclerosis (ALS)"	"-0.173"	"36"	"37.003"	"5.806"
"hsa04510"	"Focal adhesion"	"-0.173"	"147"	"149.034"	"11.765"
"hsa00920"	"Sulfur metabolism"	"-0.223"	"1"	"1.234"	"1.051"
"hsa00511"	"Other glycan degradation"	"-0.241"	"1"	"1.263"	"1.093"
"hsa05030"	"Cocaine addiction"	"-0.242"	"42"	"43.531"	"6.328"
"hsa04927"	"Cortisol synthesis and secretion"	"-0.25"	"26"	"27.245"	"4.99"
"hsa05152"	"Tuberculosis"	"-0.325"	"112"	"115.266"	"10.05"
"hsa00591"	"Linoleic acid metabolism"	"-0.345"	"2"	"2.536"	"1.553"
"hsa05418"	"Fluid shear stress and atherosclerosis"	"-0.374"	"146"	"150.355"	"11.646"
"hsa04930"	"Type II diabetes mellitus"	"-0.377"	"39"	"41.268"	"6.009"
"hsa05020"	"Prion diseases"	"-0.378"	"39"	"41.359"	"6.24"
"hsa00601"	"Glycosphingolipid biosynthesis - lacto and neolacto series"	"-0.413"	"1"	"1.516"	"1.248"
"hsa00565"	"Ether lipid metabolism"	"-0.443"	"3"	"3.839"	"1.893"
"hsa04024"	"cAMP signaling pathway"	"-0.452"	"144"	"149.192"	"11.477"
"hsa00232"	"Caffeine metabolism"	"-0.454"	"0"	"0.454"	"0.681"
"hsa00785"	"Lipoic acid metabolism"	"-0.498"	"0"	"0.498"	"0.693"
"hsa00515"	"Mannose type O-glycan biosynthesis"	"-0.504"	"1"	"1.673"	"1.334"
"hsa04976"	"Bile secretion"	"-0.537"	"18"	"20.356"	"4.386"
"hsa05134"	"Legionellosis"	"-0.548"	"96"	"101.257"	"9.592"
"hsa00740"	"Riboflavin metabolism"	"-0.571"	"0"	"0.571"	"0.725"
"hsa04960"	"Aldosterone-regulated sodium reabsorption"	"-0.577"	"26"	"28.983"	"5.167"
"hsa04914"	"Progesterone-mediated oocyte maturation"	"-0.602"	"85"	"90.533"	"9.191"
"hsa00410"	"beta-Alanine metabolism"	"-0.613"	"12"	"14.15"	"3.505"
"hsa04728"	"Dopaminergic synapse"	"-0.616"	"109"	"115.253"	"10.148"
"hsa05214"	"Glioma"	"-0.621"	"77"	"82.449"	"8.774"
"hsa00310"	"Lysine degradation"	"-0.658"	"24"	"27.323"	"5.05"
"hsa04512"	"ECM-receptor interaction"	"-0.687"	"18"	"21.132"	"4.56"
"hsa05340"	"Primary immunodeficiency"	"-0.693"	"10"	"12.46"	"3.548"
"hsa00030"	"Pentose phosphate pathway"	"-0.703"	"24"	"27.635"	"5.172"
"hsa00052"	"Galactose metabolism"	"-0.721"	"21"	"24.412"	"4.73"
"hsa00340"	"Histidine metabolism"	"-0.736"	"9"	"11.304"	"3.13"
"hsa04012"	"ErbB signaling pathway"	"-0.743"	"90"	"96.904"	"9.286"
"hsa00533"	"Glycosaminoglycan biosynthesis - keratan sulfate"	"-0.752"	"1"	"2.131"	"1.505"
"hsa04122"	"Sulfur relay system"	"-0.754"	"1"	"2.08"	"1.432"
"hsa00471"	"D-Glutamine and D-glutamate metabolism"	"-0.77"	"0"	"0.77"	"0.844"
"hsa00400"	"Phenylalanine, tyrosine and tryptophan biosynthesis"	"-0.804"	"1"	"2.184"	"1.473"
"hsa00053"	"Ascorbate and aldarate metabolism"	"-0.806"	"7"	"9.382"	"2.956"
"hsa04933"	"AGE-RAGE signaling pathway in diabetic complications"	"-0.814"	"81"	"88.632"	"9.381"
"hsa00563"	"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	"-0.823"	"1"	"2.219"	"1.482"
"hsa00020"	"Citrate cycle (TCA cycle)"	"-0.825"	"29"	"33.844"	"5.874"
"hsa01040"	"Biosynthesis of unsaturated fatty acids"	"-0.923"	"4"	"6.254"	"2.443"
"hsa04260"	"Cardiac muscle contraction"	"-0.936"	"21"	"25.556"	"4.865"
"hsa04911"	"Insulin secretion"	"-0.939"	"35"	"40.787"	"6.163"
"hsa04146"	"Peroxisome"	"-0.95"	"18"	"22.525"	"4.763"
"hsa00604"	"Glycosphingolipid biosynthesis - ganglio series"	"-0.962"	"0"	"0.962"	"0.969"
"hsa04918"	"Thyroid hormone synthesis"	"-0.965"	"32"	"37.807"	"6.018"
"hsa04666"	"Fc gamma R-mediated phagocytosis"	"-0.966"	"63"	"71.045"	"8.329"
