"GO.ID"	"GO.Term"	"Z-score"
"GO:0008137"	"NADH dehydrogenase (ubiquinone) activity"	"143.608"
"GO:0004129"	"cytochrome-c oxidase activity"	"71.112"
"GO:0003954"	"NADH dehydrogenase activity"	"62.818"
"GO:0009055"	"electron carrier activity"	"41.228"
"GO:0004321"	"fatty-acyl-CoA synthase activity"	"37.522"
"GO:0015645"	"fatty acid ligase activity"	"37.522"
"GO:0008121"	"ubiquinol-cytochrome-c reductase activity"	"34.773"
"GO:0004466"	"long-chain-acyl-CoA dehydrogenase activity"	"33.485"
"GO:0046961"	"proton-transporting ATPase activity, rotational mechanism"	"30.206"
"GO:0051537"	"2 iron, 2 sulfur cluster binding"	"30.097"
"GO:0004332"	"fructose-bisphosphate aldolase activity"	"29.061"
"GO:0047760"	"butyrate-CoA ligase activity"	"27.83"
"GO:0048039"	"ubiquinone binding"	"27.518"
"GO:0008553"	"hydrogen-exporting ATPase activity, phosphorylative mechanism"	"25.081"
"GO:0017099"	"very-long-chain-acyl-CoA dehydrogenase activity"	"24.127"
"GO:0045155"	"electron transporter, transferring electrons from CoQH2-cytochrome c reductase complex and cytochrome c oxidase complex activity"	"23.416"
"GO:0016405"	"CoA-ligase activity"	"22.35"
"GO:0005338"	"nucleotide-sugar transmembrane transporter activity"	"22.327"
"GO:0015067"	"amidinotransferase activity"	"22.327"
"GO:0015068"	"glycine amidinotransferase activity"	"22.327"
"GO:0061609"	"fructose-1-phosphate aldolase activity"	"22.038"
"GO:0000036"	"ACP phosphopantetheine attachment site binding involved in fatty acid biosynthetic process"	"21.172"
"GO:0048038"	"quinone binding"	"20.902"
"GO:0070991"	"medium-chain-acyl-CoA dehydrogenase activity"	"20.883"
"GO:0042625"	"ATPase coupled ion transmembrane transporter activity"	"20.868"
"GO:0051539"	"4 iron, 4 sulfur cluster binding"	"20.682"
"GO:0046933"	"proton-transporting ATP synthase activity, rotational mechanism"	"20.278"
"GO:0070061"	"fructose binding"	"20.164"
"GO:0050660"	"flavin adenine dinucleotide binding"	"19.811"
"GO:0022857"	"transmembrane transporter activity"	"19.467"
"GO:0051287"	"NAD binding"	"19.302"
"GO:0000062"	"fatty-acyl-CoA binding"	"19.235"
"GO:0061690"	"lipoamidase activity"	"18.832"
"GO:0005471"	"ATP:ADP antiporter activity"	"18.794"
"GO:0003996"	"acyl-CoA ligase activity"	"18.758"
"GO:0015453"	"oxidoreduction-driven active transmembrane transporter activity"	"17.914"
"GO:0047708"	"biotinidase activity"	"17.787"
"GO:0003995"	"acyl-CoA dehydrogenase activity"	"17.57"
"GO:0045153"	"electron transporter, transferring electrons within CoQH2-cytochrome c reductase complex activity"	"16.956"
"GO:0008320"	"protein transmembrane transporter activity"	"16.775"
"GO:0000035"	"acyl binding"	"16.363"
"GO:0008709"	"cholate 7-alpha-dehydrogenase activity"	"16.329"
"GO:0030283"	"testosterone dehydrogenase [NAD(P)] activity"	"16.329"
"GO:0047015"	"3-hydroxy-2-methylbutyryl-CoA dehydrogenase activity"	"16.329"
"GO:0030170"	"pyridoxal phosphate binding"	"16.164"
"GO:0005525"	"GTP binding"	"16.066"
"GO:0015207"	"adenine transmembrane transporter activity"	"16.021"
"GO:0008177"	"succinate dehydrogenase (ubiquinone) activity"	"15.654"
"GO:0034604"	"pyruvate dehydrogenase (NAD+) activity"	"15.372"
"GO:0015078"	"hydrogen ion transmembrane transporter activity"	"14.504"
"GO:0047369"	"succinate-hydroxymethylglutarate CoA-transferase activity"	"14.476"
"GO:0051082"	"unfolded protein binding"	"13.912"
"GO:0015288"	"porin activity"	"13.803"
"GO:0003924"	"GTPase activity"	"13.687"
"GO:0016787"	"hydrolase activity"	"13.652"
"GO:0008962"	"phosphatidylglycerophosphatase activity"	"13.461"
"GO:0031177"	"phosphopantetheine binding"	"12.975"
"GO:0060961"	"phospholipase D inhibitor activity"	"12.78"
"GO:0004082"	"bisphosphoglycerate mutase activity"	"12.75"
"GO:0000104"	"succinate dehydrogenase activity"	"12.622"
"GO:0004591"	"oxoglutarate dehydrogenase (succinyl-transferring) activity"	"12.546"
"GO:0008308"	"voltage-gated anion channel activity"	"11.81"
"GO:0004619"	"phosphoglycerate mutase activity"	"11.745"
"GO:0016655"	"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor"	"11.721"
"GO:0016651"	"oxidoreductase activity, acting on NAD(P)H"	"11.483"
"GO:0004740"	"pyruvate dehydrogenase (acetyl-transferring) kinase activity"	"11.259"
"GO:0016887"	"ATPase activity"	"11.141"
"GO:0003857"	"3-hydroxyacyl-CoA dehydrogenase activity"	"11.042"
"GO:0005200"	"structural constituent of cytoskeleton"	"11.034"
"GO:0016208"	"AMP binding"	"10.726"
"GO:0051538"	"3 iron, 4 sulfur cluster binding"	"10.664"
"GO:1903136"	"cuprous ion binding"	"10.612"
"GO:0030976"	"thiamine pyrophosphate binding"	"10.569"
"GO:0003746"	"translation elongation factor activity"	"10.522"
"GO:0016491"	"oxidoreductase activity"	"10.484"
"GO:0004741"	"[pyruvate dehydrogenase (lipoamide)] phosphatase activity"	"10.355"
"GO:0000253"	"3-keto sterol reductase activity"	"10.217"
"GO:0000287"	"magnesium ion binding"	"10.086"
"GO:0010181"	"FMN binding"	"9.988"
"GO:0048029"	"monosaccharide binding"	"9.859"
"GO:0004029"	"aldehyde dehydrogenase (NAD) activity"	"9.848"
"GO:0008184"	"glycogen phosphorylase activity"	"9.841"
"GO:0102250"	NA	"9.841"
"GO:0102499"	NA	"9.841"
"GO:0015450"	"P-P-bond-hydrolysis-driven protein transmembrane transporter activity"	"9.816"
"GO:0005524"	"ATP binding"	"9.814"
"GO:0008379"	"thioredoxin peroxidase activity"	"9.786"
"GO:0031072"	"heat shock protein binding"	"9.69"
"GO:0004047"	"aminomethyltransferase activity"	"9.528"
"GO:0001760"	"aminocarboxymuconate-semialdehyde decarboxylase activity"	"9.477"
"GO:0004148"	"dihydrolipoyl dehydrogenase activity"	"9.379"
"GO:0043544"	"lipoamide binding"	"9.379"
"GO:0004828"	"serine-tRNA ligase activity"	"9.354"
"GO:0051087"	"chaperone binding"	"9.341"
"GO:0004459"	"L-lactate dehydrogenase activity"	"9.287"
"GO:0004739"	"pyruvate dehydrogenase (acetyl-transferring) activity"	"9.242"
"GO:0005504"	"fatty acid binding"	"9.239"
"GO:0050662"	"coenzyme binding"	"9.211"
"GO:0004303"	"estradiol 17-beta-dehydrogenase activity"	"9.183"
"GO:0002083"	"4-hydroxybenzoate decaprenyltransferase activity"	"9.149"
