"GO.ID"	"GO.Term"	"zscore"
"GO:0006120"	"mitochondrial electron transport, NADH to ubiquinone"	"45.719"
"GO:0006099"	"tricarboxylic acid cycle"	"37.099"
"GO:0032981"	"mitochondrial respiratory chain complex I assembly"	"35.319"
"GO:1902600"	"hydrogen ion transmembrane transport"	"28.016"
"GO:0042776"	"mitochondrial ATP synthesis coupled proton transport"	"22.92"
"GO:0006102"	"isocitrate metabolic process"	"22.714"
"GO:0009060"	"aerobic respiration"	"22.191"
"GO:0006122"	"mitochondrial electron transport, ubiquinol to cytochrome c"	"22.024"
"GO:0006123"	"mitochondrial electron transport, cytochrome c to oxygen"	"20.636"
"GO:0022900"	"electron transport chain"	"20.09"
"GO:0006635"	"fatty acid beta-oxidation"	"18.965"
"GO:0033572"	"transferrin transport"	"17.831"
"GO:0015853"	"adenine transport"	"17.452"
"GO:0042407"	"cristae formation"	"16.066"
"GO:0015991"	"ATP hydrolysis coupled proton transport"	"15.924"
"GO:0006103"	"2-oxoglutarate metabolic process"	"15.673"
"GO:0061732"	"mitochondrial acetyl-CoA biosynthetic process from pyruvate"	"15.503"
"GO:0006104"	"succinyl-CoA metabolic process"	"15.388"
"GO:0006121"	"mitochondrial electron transport, succinate to ubiquinone"	"15.119"
"GO:0006097"	"glyoxylate cycle"	"15.033"
"GO:0033539"	"fatty acid beta-oxidation using acyl-CoA dehydrogenase"	"14.93"
"GO:0006754"	"ATP biosynthetic process"	"14.872"
"GO:0006091"	"generation of precursor metabolites and energy"	"14.608"
"GO:0006119"	"oxidative phosphorylation"	"14.533"
"GO:0106077"	NA	"14.396"
"GO:0006784"	"heme a biosynthetic process"	"14.284"
"GO:0006626"	"protein targeting to mitochondrion"	"13.938"
"GO:0072321"	"chaperone-mediated protein transport"	"13.577"
"GO:0008535"	"respiratory chain complex IV assembly"	"13.456"
"GO:0006086"	"acetyl-CoA biosynthetic process from pyruvate"	"13.426"
"GO:0044281"	"small molecule metabolic process"	"12.752"
"GO:0008286"	"insulin receptor signaling pathway"	"12.685"
"GO:0009083"	"branched-chain amino acid catabolic process"	"12.185"
"GO:0006105"	"succinate metabolic process"	"12.124"
"GO:0006740"	"NADPH regeneration"	"11.995"
"GO:0007006"	"mitochondrial membrane organization"	"11.563"
"GO:0043602"	"nitrate catabolic process"	"11.352"
"GO:0046210"	"nitric oxide catabolic process"	"11.352"
"GO:0090031"	"positive regulation of steroid hormone biosynthetic process"	"11.352"
"GO:0090346"	"cellular organofluorine metabolic process"	"11.352"
"GO:0015986"	"ATP synthesis coupled proton transport"	"10.902"
"GO:0060696"	"regulation of phospholipid catabolic process"	"10.864"
"GO:0071071"	"regulation of phospholipid biosynthetic process"	"10.864"
"GO:0097250"	"mitochondrial respiratory chain supercomplex assembly"	"10.843"
"GO:0010121"	"arginine catabolic process to proline via ornithine"	"10.736"
"GO:0019544"	"arginine catabolic process to glutamate"	"10.736"
"GO:0072229"	"metanephric proximal convoluted tubule development"	"10.736"
"GO:1902224"	"ketone body metabolic process"	"10.736"
"GO:1902860"	"propionyl-CoA biosynthetic process"	"10.736"
"GO:0070126"	"mitochondrial translational termination"	"10.652"
"GO:0009061"	"anaerobic respiration"	"10.612"
"GO:0006734"	"NADH metabolic process"	"10.443"
"GO:0006106"	"fumarate metabolic process"	"10.377"
"GO:0006108"	"malate metabolic process"	"10.372"
"GO:1903976"	"negative regulation of glial cell migration"	"10.321"
"GO:1904465"	"negative regulation of matrix metallopeptidase secretion"	"10.321"
"GO:0021539"	"subthalamus development"	"10.265"
"GO:0021548"	"pons development"	"10.265"
"GO:1901006"	"ubiquinone-6 biosynthetic process"	"10.265"
"GO:0045333"	"cellular respiration"	"10.264"
"GO:0045039"	"protein import into mitochondrial inner membrane"	"10.218"
"GO:0019859"	"thymine metabolic process"	"10.21"
"GO:0048034"	"heme O biosynthetic process"	"10.21"
"GO:0047497"	"mitochondrion transport along microtubule"	"10.061"
"GO:0009245"	"lipid A biosynthetic process"	"9.949"
"GO:0034640"	"establishment of mitochondrion localization by microtubule attachment"	"9.949"
"GO:1904045"	"cellular response to aldosterone"	"9.802"
"GO:0009106"	"lipoate metabolic process"	"9.754"
"GO:0051068"	"dihydrolipoamide metabolic process"	"9.754"
"GO:0015866"	"ADP transport"	"9.736"
"GO:0007005"	"mitochondrion organization"	"9.703"
"GO:0018063"	"cytochrome c-heme linkage"	"9.661"
"GO:0006781"	"succinyl-CoA pathway"	"9.615"
"GO:0010722"	"regulation of ferrochelatase activity"	"9.615"
"GO:0070125"	"mitochondrial translational elongation"	"9.6"
"GO:0001777"	"T cell homeostatic proliferation"	"9.57"
"GO:0032976"	"release of matrix enzymes from mitochondria"	"9.57"
"GO:0048087"	"positive regulation of developmental pigmentation"	"9.57"
"GO:1990117"	"B cell receptor apoptotic signaling pathway"	"9.57"
"GO:0016226"	"iron-sulfur cluster assembly"	"9.551"
"GO:1904643"	"response to curcumin"	"9.525"
"GO:0006089"	"lactate metabolic process"	"9.519"
"GO:0019290"	"siderophore biosynthetic process"	"9.482"
"GO:0032272"	"negative regulation of protein polymerization"	"9.482"
"GO:0019742"	"pentacyclic triterpenoid metabolic process"	"9.438"
"GO:1904924"	"negative regulation of mitophagy in response to mitochondrial depolarization"	"9.438"
"GO:0042775"	"mitochondrial ATP synthesis coupled electron transport"	"9.413"
"GO:0046732"	"active induction of host immune response by virus"	"9.353"
"GO:0008053"	"mitochondrial fusion"	"9.34"
"GO:0033353"	"S-adenosylmethionine cycle"	"9.312"
"GO:0110076"	NA	"9.312"
"GO:1904042"	"negative regulation of cystathionine beta-synthase activity"	"9.312"
"GO:0048569"	"post-embryonic animal organ development"	"9.271"
"GO:0016241"	"regulation of macroautophagy"	"9.155"
"GO:0055114"	"oxidation-reduction process"	"9.057"
"GO:1904960"	"positive regulation of cytochrome-c oxidase activity"	"8.852"
"GO:0006107"	"oxaloacetate metabolic process"	"8.837"
"GO:0035945"	"mitochondrial ncRNA surveillance"	"8.817"
"GO:0035946"	"mitochondrial mRNA surveillance"	"8.817"
"GO:2000827"	"mitochondrial RNA surveillance"	"8.817"
"GO:0009437"	"carnitine metabolic process"	"8.718"
"GO:0021762"	"substantia nigra development"	"8.702"
"GO:0015867"	"ATP transport"	"8.649"
"GO:0006094"	"gluconeogenesis"	"8.504"
"GO:0006783"	"heme biosynthetic process"	"8.483"
"GO:0072593"	"reactive oxygen species metabolic process"	"8.389"
"GO:0070584"	"mitochondrion morphogenesis"	"8.268"
"GO:0022904"	"respiratory electron transport chain"	"8.096"
"GO:0006851"	"mitochondrial calcium ion transport"	"8.056"
"GO:0007035"	"vacuolar acidification"	"7.924"
"GO:0006627"	"protein processing involved in protein targeting to mitochondrion"	"7.771"
"GO:0006537"	"glutamate biosynthetic process"	"7.644"
"GO:0003420"	"regulation of growth plate cartilage chondrocyte proliferation"	"7.559"
"GO:0006979"	"response to oxidative stress"	"7.537"
"GO:0016540"	"protein autoprocessing"	"7.534"
"GO:0006550"	"isoleucine catabolic process"	"7.471"
"GO:0099132"	NA	"7.455"
"GO:0032770"	"positive regulation of monooxygenase activity"	"7.428"
"GO:0010124"	"phenylacetate catabolic process"	"7.386"
"GO:0021860"	"pyramidal neuron development"	"7.359"
"GO:0046356"	"acetyl-CoA catabolic process"	"7.244"
"GO:0008635"	"activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c"	"7.236"
"GO:0019550"	"glutamate catabolic process to aspartate"	"7.147"
"GO:0019551"	"glutamate catabolic process to 2-oxoglutarate"	"7.147"
"GO:0051349"	"positive regulation of lyase activity"	"7.128"
"GO:1904231"	"positive regulation of succinate dehydrogenase activity"	"7.128"
"GO:1904234"	"positive regulation of aconitate hydratase activity"	"7.128"
"GO:0006720"	"isoprenoid metabolic process"	"7.091"
"GO:0036295"	"cellular response to increased oxygen levels"	"7.088"
"GO:0006739"	"NADP metabolic process"	"7.042"
"GO:0097089"	"methyl-branched fatty acid metabolic process"	"6.912"
"GO:0018283"	"iron incorporation into metallo-sulfur cluster"	"6.895"
"GO:0061034"	"olfactory bulb mitral cell layer development"	"6.861"
"GO:1902616"	"acyl carnitine transmembrane transport"	"6.861"
"GO:0007039"	"protein catabolic process in the vacuole"	"6.794"
"GO:0010565"	"regulation of cellular ketone metabolic process"	"6.778"
"GO:0045136"	"development of secondary sexual characteristics"	"6.778"
"GO:1901029"	"negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway"	"6.778"
"GO:0007270"	"neuron-neuron synaptic transmission"	"6.763"
"GO:0002358"	"B cell homeostatic proliferation"	"6.762"
"GO:0015980"	"energy derivation by oxidation of organic compounds"	"6.762"
"GO:0046666"	"retinal cell programmed cell death"	"6.762"
"GO:1903281"	"positive regulation of calcium:sodium antiporter activity"	"6.762"
"GO:1903285"	"positive regulation of hydrogen peroxide catabolic process"	"6.762"
"GO:0002352"	"B cell negative selection"	"6.746"
"GO:0044861"	"protein transport into plasma membrane raft"	"6.746"
"GO:0042168"	"heme metabolic process"	"6.73"
"GO:0010510"	"regulation of acetyl-CoA biosynthetic process from pyruvate"	"6.622"
"GO:0006853"	"carnitine shuttle"	"6.611"
"GO:0000961"	"negative regulation of mitochondrial RNA catabolic process"	"6.591"
"GO:0097749"	NA	"6.576"
"GO:0000962"	"positive regulation of mitochondrial RNA catabolic process"	"6.532"
"GO:0000965"	"mitochondrial RNA 3'-end processing"	"6.532"
"GO:0030150"	"protein import into mitochondrial matrix"	"6.523"
"GO:0034220"	"ion transmembrane transport"	"6.521"
"GO:0045851"	"pH reduction"	"6.503"
"GO:0032543"	"mitochondrial translation"	"6.48"
"GO:0097345"	"mitochondrial outer membrane permeabilization"	"6.474"
"GO:1904024"	"negative regulation of glucose catabolic process to lactate via pyruvate"	"6.418"
"GO:0006808"	"regulation of nitrogen utilization"	"6.404"
"GO:0034551"	"mitochondrial respiratory chain complex III assembly"	"6.344"
