"GO.ID"	"GO.Term"	"zscore"
"GO:0070557"	"PCNA-p21 complex"	"13.9"
"GO:1990622"	"CHOP-ATF3 complex"	"13.834"
"GO:0035976"	"transcription factor AP-1 complex"	"13.055"
"GO:0035189"	"Rb-E2F complex"	"11.621"
"GO:0043626"	"PCNA complex"	"10.493"
"GO:0098594"	"mucin granule"	"9.802"
"GO:0097145"	"BAK complex"	"9.525"
"GO:0097144"	"BAX complex"	"9.482"
"GO:0061845"	NA	"9.312"
"GO:0061846"	NA	"9.312"
"GO:0032144"	"4-aminobutyrate transaminase complex"	"8.998"
"GO:0070724"	"BMP receptor complex"	"8.998"
"GO:0000307"	"cyclin-dependent protein kinase holoenzyme complex"	"7.599"
"GO:0002945"	"cyclin K-CDK13 complex"	"7.386"
"GO:0033065"	"Rad51C-XRCC3 complex"	"7.072"
"GO:0005791"	"rough endoplasmic reticulum"	"6.895"
"GO:0097180"	"serine protease inhibitor complex"	"6.861"
"GO:0002944"	"cyclin K-CDK12 complex"	"6.844"
"GO:1990617"	"CHOP-ATF4 complex"	"6.811"
"GO:0005829"	"cytosol"	"6.679"
"GO:0046930"	"pore complex"	"6.484"
"GO:0097179"	"protease inhibitor complex"	"6.46"
"GO:0072557"	"IPAF inflammasome complex"	"6.418"
"GO:0036488"	"CHOP-C/EBP complex"	"6.323"
"GO:0043202"	"lysosomal lumen"	"6.196"
"GO:0043293"	"apoptosome"	"6.157"
"GO:0005657"	"replication fork"	"6.056"
"GO:0005634"	"nucleus"	"6.01"
"GO:0031094"	"platelet dense tubular network"	"5.902"
"GO:0005737"	"cytoplasm"	"5.709"
"GO:0035985"	"senescence-associated heterochromatin focus"	"5.647"
"GO:0009986"	"cell surface"	"5.579"
"GO:1990761"	"growth cone lamellipodium"	"5.563"
"GO:0042825"	"TAP complex"	"5.536"
"GO:0097169"	"AIM2 inflammasome complex"	"5.482"
"GO:0000111"	"nucleotide-excision repair factor 2 complex"	"5.456"
"GO:0045323"	"interleukin-1 receptor complex"	"5.404"
"GO:0005719"	"nuclear euchromatin"	"5.399"
"GO:0002193"	"MAML1-RBP-Jkappa- ICN1 complex"	"5.396"
"GO:0071942"	"XPC complex"	"5.379"
"GO:0030894"	"replisome"	"5.371"
"GO:0032993"	"protein-DNA complex"	"5.362"
"GO:0016533"	"cyclin-dependent protein kinase 5 holoenzyme complex"	"5.355"
"GO:1990452"	"Parkin-FBXW7-Cul1 ubiquitin ligase complex"	"5.338"
"GO:0097129"	"cyclin D2-CDK4 complex"	"5.29"
"GO:0048471"	"perinuclear region of cytoplasm"	"5.142"
"GO:0005654"	"nucleoplasm"	"4.876"
"GO:0005757"	"mitochondrial permeability transition pore complex"	"4.794"
"GO:0005730"	"nucleolus"	"4.783"
"GO:0033063"	"Rad51B-Rad51C-Rad51D-XRCC2 complex"	"4.77"
"GO:0060205"	"cytoplasmic membrane-bounded vesicle lumen"	"4.746"
"GO:0072558"	"NLRP1 inflammasome complex"	"4.661"
"GO:1990812"	"growth cone filopodium"	"4.601"
"GO:0000790"	"nuclear chromatin"	"4.548"
"GO:0017053"	"transcriptional repressor complex"	"4.527"
"GO:0001652"	"granular component"	"4.439"
"GO:0044194"	"cytolytic granule"	"4.27"
"GO:0097449"	"astrocyte projection"	"4.236"
"GO:0033553"	"rDNA heterochromatin"	"4.194"
"GO:0071944"	"cell periphery"	"4.194"
"GO:0005902"	"microvillus"	"4.191"
"GO:0032421"	"stereocilium bundle"	"4.182"
"GO:0030896"	"checkpoint clamp complex"	"4.137"
"GO:0070062"	"extracellular exosome"	"4.135"
"GO:1990393"	"3M complex"	"4.106"
"GO:0048476"	"Holliday junction resolvase complex"	"4.094"
"GO:0031465"	"Cul4B-RING E3 ubiquitin ligase complex"	"4.09"
"GO:0097136"	"Bcl-2 family protein complex"	"3.948"
"GO:0005663"	"DNA replication factor C complex"	"3.818"
"GO:0005784"	"Sec61 translocon complex"	"3.756"
"GO:0072559"	"NLRP3 inflammasome complex"	"3.682"
"GO:0031265"	"CD95 death-inducing signaling complex"	"3.643"
"GO:0000408"	"EKC/KEOPS complex"	"3.629"
"GO:0032991"	"macromolecular complex"	"3.574"
"GO:0005677"	"chromatin silencing complex"	"3.545"
"GO:0043292"	"contractile fiber"	"3.482"
"GO:0048179"	"activin receptor complex"	"3.451"
"GO:0044304"	"main axon"	"3.434"
"GO:0043235"	"receptor complex"	"3.43"
"GO:0031264"	"death-inducing signaling complex"	"3.383"
"GO:0030056"	"hemidesmosome"	"3.342"
"GO:0019897"	"extrinsic component of plasma membrane"	"3.296"
"GO:0045121"	"membrane raft"	"3.225"
"GO:0035253"	"ciliary rootlet"	"3.182"
"GO:0008024"	"cyclin/CDK positive transcription elongation factor complex"	"3.178"
"GO:0035577"	"azurophil granule membrane"	"3.086"
"GO:0005641"	"nuclear envelope lumen"	"3.014"
"GO:0005861"	"troponin complex"	"3.014"
"GO:0016605"	"PML body"	"2.991"
"GO:0016591"	"DNA-directed RNA polymerase II, holoenzyme"	"2.978"
"GO:0031256"	"leading edge membrane"	"2.971"
"GO:0031209"	"SCAR complex"	"2.942"
"GO:0005796"	"Golgi lumen"	"2.936"
"GO:0042788"	"polysomal ribosome"	"2.884"
"GO:0000785"	"chromatin"	"2.842"
"GO:0031093"	"platelet alpha granule lumen"	"2.805"
"GO:0000164"	"protein phosphatase type 1 complex"	"2.794"
"GO:0030175"	"filopodium"	"2.792"
"GO:0005856"	"cytoskeleton"	"2.76"
"GO:0090575"	"RNA polymerase II transcription factor complex"	"2.728"
"GO:0002116"	"semaphorin receptor complex"	"2.713"
"GO:0043596"	"nuclear replication fork"	"2.691"
"GO:0043198"	"dendritic shaft"	"2.67"
"GO:0005901"	"caveola"	"2.66"
"GO:0061700"	"GATOR2 complex"	"2.66"
"GO:0043005"	"neuron projection"	"2.65"
"GO:0000118"	"histone deacetylase complex"	"2.621"
"GO:0055038"	"recycling endosome membrane"	"2.595"
"GO:0070821"	"tertiary granule membrane"	"2.567"
"GO:0031224"	"intrinsic component of membrane"	"2.512"
"GO:0031594"	"neuromuscular junction"	"2.505"
"GO:0005675"	"holo TFIIH complex"	"2.491"
"GO:0016604"	"nuclear body"	"2.446"
"GO:0005886"	"plasma membrane"	"2.431"
"GO:0033270"	"paranode region of axon"	"2.421"
"GO:0099523"	"presynaptic cytosol"	"2.388"
"GO:0031932"	"TORC2 complex"	"2.377"
"GO:0005739"	"mitochondrion"	"2.284"
"GO:0022627"	"cytosolic small ribosomal subunit"	"2.283"
"GO:0000788"	"nuclear nucleosome"	"2.28"
"GO:0031588"	"nucleotide-activated protein kinase complex"	"2.276"
"GO:0005789"	"endoplasmic reticulum membrane"	"2.273"
"GO:0031982"	"vesicle"	"2.23"
"GO:0099524"	"postsynaptic cytosol"	"2.228"
"GO:0031965"	"nuclear membrane"	"2.222"
"GO:0005615"	"extracellular space"	"2.187"
"GO:0005764"	"lysosome"	"2.16"
"GO:0099092"	NA	"2.15"
"GO:0016514"	"SWI/SNF complex"	"2.145"
"GO:0005903"	"brush border"	"2.137"
"GO:0035579"	"specific granule membrane"	"2.13"
"GO:0030014"	"CCR4-NOT complex"	"2.092"
"GO:0005662"	"DNA replication factor A complex"	"2.073"
"GO:0032426"	"stereocilium tip"	"2.044"
"GO:0031904"	"endosome lumen"	"1.982"
"GO:0005913"	"cell-cell adherens junction"	"1.937"
"GO:0044291"	"cell-cell contact zone"	"1.929"
"GO:0042470"	"melanosome"	"1.915"
"GO:0000151"	"ubiquitin ligase complex"	"1.826"
"GO:0005741"	"mitochondrial outer membrane"	"1.782"
"GO:0044306"	"neuron projection terminus"	"1.781"
"GO:0022625"	"cytosolic large ribosomal subunit"	"1.78"
"GO:0000786"	"nucleosome"	"1.735"
"GO:0005942"	"phosphatidylinositol 3-kinase complex"	"1.726"
"GO:0031307"	"integral component of mitochondrial outer membrane"	"1.711"
"GO:0016020"	"membrane"	"1.688"
"GO:0000159"	"protein phosphatase type 2A complex"	"1.627"
"GO:0031258"	"lamellipodium membrane"	"1.61"
"GO:0097060"	"synaptic membrane"	"1.604"
"GO:0044798"	"nuclear transcription factor complex"	"1.598"
"GO:0033116"	"endoplasmic reticulum-Golgi intermediate compartment membrane"	"1.553"
"GO:0035327"	"transcriptionally active chromatin"	"1.552"
"GO:0030054"	"cell junction"	"1.548"
"GO:0030666"	"endocytic vesicle membrane"	"1.546"
"GO:0051233"	"spindle midzone"	"1.509"
"GO:0030057"	"desmosome"	"1.483"
"GO:0030670"	"phagocytic vesicle membrane"	"1.466"
"GO:0016323"	"basolateral plasma membrane"	"1.46"
"GO:0005576"	"extracellular region"	"1.432"
"GO:0005814"	"centriole"	"1.426"
"GO:0005640"	"nuclear outer membrane"	"1.414"
"GO:0005758"	"mitochondrial intermembrane space"	"1.413"
"GO:0005790"	"smooth endoplasmic reticulum"	"1.367"
"GO:0080008"	"Cul4-RING E3 ubiquitin ligase complex"	"1.361"
"GO:0001650"	"fibrillar center"	"1.351"
"GO:0005887"	"integral component of plasma membrane"	"1.338"
"GO:0008305"	"integrin complex"	"1.327"
"GO:0005811"	"lipid particle"	"1.324"
"GO:0016342"	"catenin complex"	"1.313"
"GO:0043231"	"intracellular membrane-bounded organelle"	"1.279"
"GO:0060076"	"excitatory synapse"	"1.268"
"GO:0005771"	"multivesicular body"	"1.234"
"GO:0030424"	"axon"	"1.232"
"GO:0030141"	"secretory granule"	"1.221"
"GO:0005759"	"mitochondrial matrix"	"1.219"
"GO:0000228"	"nuclear chromosome"	"1.177"
"GO:0043025"	"neuronal cell body"	"1.171"
"GO:0032839"	"dendrite cytoplasm"	"1.167"
"GO:0001772"	"immunological synapse"	"1.144"
"GO:0048786"	"presynaptic active zone"	"1.13"
"GO:0030669"	"clathrin-coated endocytic vesicle membrane"	"1.113"
"GO:0035578"	"azurophil granule lumen"	"1.112"
"GO:0005815"	"microtubule organizing center"	"1.092"
"GO:0009925"	"basal plasma membrane"	"1.089"
"GO:0005795"	"Golgi stack"	"1.063"
"GO:0032587"	"ruffle membrane"	"1.054"
"GO:0005874"	"microtubule"	"1.001"
"GO:0031252"	"cell leading edge"	"0.959"
"GO:0005876"	"spindle microtubule"	"0.956"
"GO:0005669"	"transcription factor TFIID complex"	"0.941"
"GO:0005635"	"nuclear envelope"	"0.931"
"GO:0005813"	"centrosome"	"0.926"
"GO:0005925"	"focal adhesion"	"0.898"
"GO:0030134"	"ER to Golgi transport vesicle"	"0.897"
"GO:0005622"	"intracellular"	"0.892"
"GO:0030176"	"integral component of endoplasmic reticulum membrane"	"0.892"
"GO:0072562"	"blood microparticle"	"0.826"
"GO:0014704"	"intercalated disc"	"0.779"
"GO:0035861"	"site of double-strand break"	"0.766"
"GO:0005783"	"endoplasmic reticulum"	"0.762"
"GO:0045111"	"intermediate filament cytoskeleton"	"0.747"
"GO:0030665"	"clathrin-coated vesicle membrane"	"0.745"
"GO:0009898"	"cytoplasmic side of plasma membrane"	"0.703"
"GO:0062023"	NA	"0.689"
"GO:0031201"	"SNARE complex"	"0.685"
"GO:0005923"	"bicellular tight junction"	"0.676"
"GO:0005881"	"cytoplasmic microtubule"	"0.673"
"GO:0005871"	"kinesin complex"	"0.665"
"GO:0005667"	"transcription factor complex"	"0.658"
"GO:1904813"	"ficolin-1-rich granule lumen"	"0.655"
"GO:0005770"	"late endosome"	"0.653"
"GO:0030426"	"growth cone"	"0.642"
"GO:0012507"	"ER to Golgi transport vesicle membrane"	"0.59"
"GO:0005905"	"clathrin-coated pit"	"0.583"
"GO:1903561"	"extracellular vesicle"	"0.577"
"GO:1904724"	"tertiary granule lumen"	"0.574"
"GO:0019005"	"SCF ubiquitin ligase complex"	"0.545"
"GO:0016328"	"lateral plasma membrane"	"0.512"
"GO:0005912"	"adherens junction"	"0.509"
"GO:0043209"	"myelin sheath"	"0.487"
"GO:0019898"	"extrinsic component of membrane"	"0.467"
"GO:0035580"	"specific granule lumen"	"0.439"
"GO:0098982"	"GABA-ergic synapse"	"0.438"
"GO:0043197"	"dendritic spine"	"0.428"
"GO:0001533"	"cornified envelope"	"0.415"
"GO:0036464"	"cytoplasmic ribonucleoprotein granule"	"0.406"
"GO:1990904"	"ribonucleoprotein complex"	"0.383"
"GO:0045177"	"apical part of cell"	"0.337"
"GO:0005643"	"nuclear pore"	"0.238"
"GO:0098685"	NA	"0.217"
"GO:0045202"	"synapse"	"0.213"
"GO:0005768"	"endosome"	"0.197"
"GO:0009897"	"external side of plasma membrane"	"0.179"
"GO:0000932"	"cytoplasmic mRNA processing body"	"0.149"
"GO:0031090"	"organelle membrane"	"0.142"
"GO:0001726"	"ruffle"	"0.119"
