"GO.ID"	"GO.Term"	"zscore"	"obs"	"mean"	"std"
"GO:0006614"	"SRP-dependent cotranslational protein targeting to membrane"	"28.637"	"442"	"113.903"	"11.457"
"GO:0000184"	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"	"23.239"	"429"	"142.703"	"12.32"
"GO:0006413"	"translational initiation"	"22.236"	"451"	"157.252"	"13.21"
"GO:0006412"	"translation"	"22.009"	"445"	"159.447"	"12.975"
"GO:0002181"	"cytoplasmic translation"	"20.893"	"150"	"33.1"	"5.595"
"GO:0007186"	"G-protein coupled receptor signaling pathway"	"19.135"	"584"	"282.826"	"15.739"
"GO:0007189"	"adenylate cyclase-activating G-protein coupled receptor signaling pathway"	"14.223"	"107"	"30.609"	"5.371"
"GO:0010469"	"regulation of receptor activity"	"10.569"	"164"	"75.212"	"8.4"
"GO:0070741"	"response to interleukin-6"	"10.405"	"11"	"0.595"	"0.737"
"GO:0043950"	"positive regulation of cAMP-mediated signaling"	"10.343"	"30"	"5.855"	"2.334"
"GO:0006613"	"cotranslational protein targeting to membrane"	"10.271"	"24"	"4.01"	"1.946"
"GO:0007190"	"activation of adenylate cyclase activity"	"9.361"	"54"	"16.369"	"4.02"
"GO:0052697"	"xenobiotic glucuronidation"	"9.188"	"10"	"0.812"	"0.87"
"GO:0000028"	"ribosomal small subunit assembly"	"8.972"	"42"	"11.572"	"3.392"
"GO:0033132"	"negative regulation of glucokinase activity"	"8.481"	"9"	"0.519"	"0.696"
"GO:0052696"	"flavonoid glucuronidation"	"8.314"	"9"	"0.686"	"0.814"
"GO:0007204"	"positive regulation of cytosolic calcium ion concentration"	"8.242"	"139"	"72.371"	"8.084"
"GO:0052695"	"cellular glucuronidation"	"8.043"	"9"	"0.957"	"0.975"
"GO:0031018"	"endocrine pancreas development"	"8.009"	"26"	"6.113"	"2.483"
"GO:0007187"	"G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger"	"7.999"	"76"	"32.287"	"5.464"
"GO:0033993"	"response to lipid"	"7.983"	"24"	"5.633"	"2.301"
"GO:0045047"	"protein targeting to ER"	"7.952"	"26"	"6.608"	"2.439"
"GO:0019543"	"propionate catabolic process"	"7.684"	"8"	"0.316"	"0.564"
"GO:0046327"	"glycerol biosynthetic process from pyruvate"	"7.684"	"8"	"0.316"	"0.564"
"GO:0015808"	"L-alanine transport"	"7.427"	"8"	"0.573"	"0.77"
"GO:0007218"	"neuropeptide signaling pathway"	"7.289"	"88"	"41.9"	"6.325"
"GO:0046010"	"positive regulation of circadian sleep/wake cycle, non-REM sleep"	"7.244"	"11"	"1.786"	"1.272"
"GO:0003333"	"amino acid transmembrane transport"	"7.118"	"9"	"1.178"	"1.099"
"GO:0009755"	"hormone-mediated signaling pathway"	"7.097"	"39"	"13.376"	"3.61"
"GO:0007565"	"female pregnancy"	"7.056"	"56"	"22.645"	"4.727"
"GO:0007267"	"cell-cell signaling"	"6.987"	"95"	"49.128"	"6.565"
"GO:0042274"	"ribosomal small subunit biogenesis"	"6.821"	"42"	"16.107"	"3.796"
"GO:0060124"	"positive regulation of growth hormone secretion"	"6.796"	"15"	"3.048"	"1.759"
"GO:0097647"	"amylin receptor signaling pathway"	"6.741"	"11"	"1.84"	"1.359"
"GO:0042594"	"response to starvation"	"6.644"	"39"	"14.138"	"3.742"
"GO:0006646"	"phosphatidylethanolamine biosynthetic process"	"6.61"	"9"	"1.324"	"1.161"
"GO:0015816"	"glycine transport"	"6.531"	"7"	"0.469"	"0.707"
"GO:0070094"	"positive regulation of glucagon secretion"	"6.512"	"7"	"0.488"	"0.676"
"GO:0006465"	"signal peptide processing"	"6.434"	"13"	"2.545"	"1.625"
"GO:0006616"	"SRP-dependent cotranslational protein targeting to membrane, translocation"	"6.304"	"18"	"4.711"	"2.108"
"GO:1904640"	"response to methionine"	"6.225"	"7"	"0.775"	"0.859"
"GO:0042322"	"negative regulation of circadian sleep/wake cycle, REM sleep"	"6.217"	"7"	"0.783"	"0.887"
"GO:0007188"	"adenylate cyclase-modulating G-protein coupled receptor signaling pathway"	"6.201"	"62"	"29.312"	"5.271"
"GO:0048665"	"neuron fate specification"	"6.161"	"8"	"1.286"	"1.09"
"GO:1990410"	"adrenomedullin receptor signaling pathway"	"6.129"	"8"	"1.221"	"1.106"
"GO:0071377"	"cellular response to glucagon stimulus"	"6.122"	"37"	"14.564"	"3.665"
"GO:0071332"	"cellular response to fructose stimulus"	"6.095"	"7"	"0.905"	"0.922"
"GO:0051552"	"flavone metabolic process"	"6.078"	"7"	"0.922"	"0.936"
"GO:0016486"	"peptide hormone processing"	"6.039"	"9"	"1.635"	"1.22"
"GO:0035774"	"positive regulation of insulin secretion involved in cellular response to glucose stimulus"	"5.822"	"24"	"8.191"	"2.715"
"GO:0021527"	"spinal cord association neuron differentiation"	"5.783"	"7"	"1.05"	"1.029"
"GO:0032024"	"positive regulation of insulin secretion"	"5.738"	"38"	"15.791"	"3.871"
"GO:0000027"	"ribosomal large subunit assembly"	"5.64"	"57"	"27.096"	"5.302"
"GO:0035524"	"proline transmembrane transport"	"5.569"	"6"	"0.431"	"0.672"
"GO:0120162"	NA	"5.407"	"53"	"26.618"	"4.879"
"GO:0032870"	"cellular response to hormone stimulus"	"5.395"	"43"	"19.318"	"4.389"
"GO:0031290"	"retinal ganglion cell axon guidance"	"5.384"	"13"	"3.306"	"1.8"
"GO:0017157"	"regulation of exocytosis"	"5.382"	"23"	"8.198"	"2.75"
"GO:0060059"	"embryonic retina morphogenesis in camera-type eye"	"5.27"	"6"	"0.73"	"0.827"
"GO:0044342"	"type B pancreatic cell proliferation"	"5.245"	"6"	"0.755"	"0.877"
"GO:0042593"	"glucose homeostasis"	"5.244"	"83"	"47.618"	"6.747"
"GO:0001963"	"synaptic transmission, dopaminergic"	"5.212"	"11"	"2.583"	"1.615"
"GO:0051461"	"positive regulation of corticotropin secretion"	"5.204"	"9"	"1.887"	"1.367"
"GO:0021702"	"cerebellar Purkinje cell differentiation"	"5.192"	"6"	"0.808"	"0.88"
"GO:0006364"	"rRNA processing"	"5.182"	"140"	"91.054"	"9.446"
"GO:0040013"	"negative regulation of locomotion"	"5.152"	"6"	"0.848"	"0.927"
"GO:0007263"	"nitric oxide mediated signal transduction"	"5.15"	"16"	"4.973"	"2.141"
"GO:0010269"	"response to selenium ion"	"5.134"	"13"	"3.594"	"1.832"
"GO:0045762"	"positive regulation of adenylate cyclase activity"	"5.104"	"9"	"1.869"	"1.397"
"GO:0001561"	"fatty acid alpha-oxidation"	"5.064"	"6"	"0.936"	"0.971"
"GO:0006701"	"progesterone biosynthetic process"	"5.054"	"6"	"0.946"	"0.954"
"GO:2000852"	"regulation of corticosterone secretion"	"5.053"	"7"	"1.331"	"1.122"
"GO:0061178"	"regulation of insulin secretion involved in cellular response to glucose stimulus"	"5.041"	"11"	"2.638"	"1.659"
"GO:0002155"	"regulation of thyroid hormone mediated signaling pathway"	"5.036"	"6"	"0.964"	"0.97"
"GO:0055123"	"digestive system development"	"4.992"	"6"	"1.008"	"0.995"
"GO:0007268"	"chemical synaptic transmission"	"4.979"	"102"	"63.666"	"7.698"
"GO:0009062"	"fatty acid catabolic process"	"4.973"	"6"	"1.027"	"0.988"
"GO:0007269"	"neurotransmitter secretion"	"4.969"	"18"	"6.004"	"2.414"
"GO:0030252"	"growth hormone secretion"	"4.964"	"11"	"2.885"	"1.635"
"GO:0006887"	"exocytosis"	"4.961"	"46"	"23.009"	"4.635"
"GO:0042273"	"ribosomal large subunit biogenesis"	"4.944"	"41"	"20.504"	"4.145"
"GO:0061844"	NA	"4.942"	"50"	"25.375"	"4.983"
"GO:0000461"	"endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	"4.903"	"11"	"2.911"	"1.65"
"GO:0043627"	"response to estrogen"	"4.898"	"47"	"24.113"	"4.672"
"GO:0007200"	"phospholipase C-activating G-protein coupled receptor signaling pathway"	"4.886"	"61"	"33.713"	"5.585"
"GO:0071333"	"cellular response to glucose stimulus"	"4.861"	"44"	"21.862"	"4.554"
"GO:0051464"	"positive regulation of cortisol secretion"	"4.822"	"9"	"2.149"	"1.421"
"GO:0048278"	"vesicle docking"	"4.808"	"19"	"6.951"	"2.506"
"GO:0030325"	"adrenal gland development"	"4.777"	"18"	"6.305"	"2.448"
"GO:0030073"	"insulin secretion"	"4.762"	"25"	"10.126"	"3.123"
"GO:0060265"	"positive regulation of respiratory burst involved in inflammatory response"	"4.762"	"6"	"1.142"	"1.02"
"GO:0021520"	"spinal cord motor neuron cell fate specification"	"4.752"	"5"	"0.248"	"0.501"
