Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0005102~receptor binding	23	22.330097087378643	3.560272743780932E-17	ENSG00000119912, ENSG00000142655, ENSG00000138413, ENSG00000126432, ENSG00000104823, ENSG00000116906, ENSG00000198721, ENSG00000116171, ENSG00000182985, ENSG00000197448, ENSG00000133835, ENSG00000214253, ENSG00000101473, ENSG00000161533, ENSG00000113790, ENSG00000103150, ENSG00000116882, ENSG00000213965, ENSG00000140284, ENSG00000117305, ENSG00000120915, ENSG00000095321, ENSG00000121691	97	353	16881	11.339125609649251	1.2389749148357644E-14	1.2389749148357644E-14	4.8651615953100256E-14
GOTERM_MF_DIRECT	GO:0008022~protein C-terminus binding	15	14.563106796116504	1.919551239608521E-12	ENSG00000196470, ENSG00000131747, ENSG00000163161, ENSG00000134058, ENSG00000159692, ENSG00000119541, ENSG00000012061, ENSG00000124788, ENSG00000132535, ENSG00000148408, ENSG00000095002, ENSG00000124587, ENSG00000139197, ENSG00000142867, ENSG00000174775	97	182	16881	14.343208338053701	6.680123121327597E-10	3.3400615606637984E-10	2.6231239402818574E-9
GOTERM_MF_DIRECT	GO:0042803~protein homodimerization activity	19	18.446601941747574	1.3059538835521662E-7	ENSG00000150967, ENSG00000119912, ENSG00000131747, ENSG00000138413, ENSG00000131779, ENSG00000142168, ENSG00000182985, ENSG00000159692, ENSG00000133835, ENSG00000119541, ENSG00000117528, ENSG00000173208, ENSG00000128973, ENSG00000117305, ENSG00000166821, ENSG00000095002, ENSG00000120915, ENSG00000101986, ENSG00000121691	97	730	16881	4.529572094336958	4.544616541990454E-5	1.514895129617333E-5	1.7846024403800342E-4
GOTERM_MF_DIRECT	GO:0042626~ATPase activity, coupled to transmembrane movement of substances	7	6.796116504854369	1.7124790904300022E-7	ENSG00000006071, ENSG00000085563, ENSG00000114770, ENSG00000101986, ENSG00000005471, ENSG00000173208, ENSG00000117528	97	44	16881	27.686738519212746	5.9592501757244065E-5	1.489845838209547E-5	2.3401236561859662E-4
GOTERM_MF_DIRECT	GO:0102391~decanoate--CoA ligase activity	4	3.8834951456310676	9.776988721677357E-6	ENSG00000151726, ENSG00000140284, ENSG00000197142, ENSG00000068366	97	8	16881	87.01546391752576	0.0033966270743569504	6.802502663767473E-4	0.013359562192960528
GOTERM_MF_DIRECT	GO:0003824~catalytic activity	9	8.737864077669903	1.1716758397397357E-5	ENSG00000170835, ENSG00000066583, ENSG00000113790, ENSG00000119912, ENSG00000104823, ENSG00000198721, ENSG00000151726, ENSG00000120915, ENSG00000068366	97	188	16881	8.331267821890766	0.004069154273564468	6.79345108820617E-4	0.016009923323601072
GOTERM_MF_DIRECT	GO:0019899~enzyme binding	11	10.679611650485436	1.9581738806802738E-5	ENSG00000113790, ENSG00000131747, ENSG00000140009, ENSG00000140284, ENSG00000095002, ENSG00000128245, ENSG00000116133, ENSG00000101986, ENSG00000121691, ENSG00000139197, ENSG00000142867	97	333	16881	5.7487693879446455	0.0067913456911011805	9.730279902405714E-4	0.026755397082467436
GOTERM_MF_DIRECT	GO:0004467~long-chain fatty acid-CoA ligase activity	4	3.8834951456310676	4.8910852173611784E-5	ENSG00000151726, ENSG00000140284, ENSG00000197142, ENSG00000068366	97	13	16881	53.54797779540047	0.016877347361142214	0.002125412209084465	0.0668166534714576
GOTERM_MF_DIRECT	GO:0016887~ATPase activity	8	7.766990291262135	8.29725384530827E-5	ENSG00000119912, ENSG00000163161, ENSG00000095002, ENSG00000124587, ENSG00000101986, ENSG00000119541, ENSG00000005471, ENSG00000117528	97	183	16881	7.607909413554165	0.028462723972607407	0.0032032631634799635	0.11332355761149993
GOTERM_MF_DIRECT	GO:0016209~antioxidant activity	4	3.8834951456310676	1.894055014648642E-4	ENSG00000117450, ENSG00000126432, ENSG00000121691, ENSG00000163631	97	20	16881	34.80618556701031	0.0637936406855818	0.006570256598702029	0.25851500624471946
