"GO.ID"	"GO.Term"	"Z-score"
"GO:0016558"	"protein import into peroxisome matrix"	"27.461"
"GO:1901094"	"negative regulation of protein homotetramerization"	"24.297"
"GO:0016560"	"protein import into peroxisome matrix, docking"	"24.192"
"GO:0007031"	"peroxisome organization"	"22.127"
"GO:0045046"	"protein import into peroxisome membrane"	"21.493"
"GO:0033540"	"fatty acid beta-oxidation using acyl-CoA oxidase"	"17.502"
"GO:0044375"	"regulation of peroxisome size"	"17.16"
"GO:0006625"	"protein targeting to peroxisome"	"17.099"
"GO:0009446"	"putrescine biosynthetic process"	"15.772"
"GO:1901307"	"positive regulation of spermidine biosynthetic process"	"15.772"
"GO:1904427"	"positive regulation of calcium ion transmembrane transport"	"15.772"
"GO:0016557"	"peroxisome membrane biogenesis"	"15.23"
"GO:0016561"	"protein import into peroxisome matrix, translocation"	"12.102"
"GO:0036153"	"triglyceride acyl-chain remodeling"	"11.728"
"GO:0032385"	"positive regulation of intracellular cholesterol transport"	"11.288"
"GO:1901373"	"lipid hydroperoxide transport"	"11.288"
"GO:0036109"	"alpha-linolenic acid metabolic process"	"11.253"
"GO:0036250"	"peroxisome transport along microtubule"	"10.985"
"GO:0044721"	"protein import into peroxisome matrix, substrate release"	"10.985"
"GO:0046272"	"stilbene catabolic process"	"10.394"
"GO:0006744"	"ubiquinone biosynthetic process"	"9.757"
"GO:0016559"	"peroxisome fission"	"9.519"
"GO:0055114"	"oxidation-reduction process"	"9.213"
"GO:0042026"	"protein refolding"	"9.19"
"GO:0006635"	"fatty acid beta-oxidation"	"8.961"
"GO:0002355"	"detection of tumor cell"	"8.709"
"GO:0009132"	"nucleoside diphosphate metabolic process"	"8.709"
"GO:0015938"	"coenzyme A catabolic process"	"8.709"
"GO:0032788"	"saturated monocarboxylic acid metabolic process"	"8.709"
"GO:0032789"	"unsaturated monocarboxylic acid metabolic process"	"8.709"
"GO:0006986"	"response to unfolded protein"	"8.656"
"GO:0055085"	"transmembrane transport"	"8.587"
"GO:0036088"	"D-serine catabolic process"	"8.388"
"GO:0055130"	"D-alanine catabolic process"	"8.388"
"GO:0015698"	"inorganic anion transport"	"8.338"
"GO:0034620"	"cellular response to unfolded protein"	"8.314"
"GO:0045454"	"cell redox homeostasis"	"8.233"
"GO:0098656"	"anion transmembrane transport"	"8.219"
"GO:0010711"	"negative regulation of collagen catabolic process"	"7.898"
"GO:0043067"	"regulation of programmed cell death"	"7.898"
"GO:0060311"	"negative regulation of elastin catabolic process"	"7.898"
"GO:0015853"	"adenine transport"	"7.888"
"GO:2001280"	"positive regulation of unsaturated fatty acid biosynthetic process"	"7.838"
"GO:0000038"	"very long-chain fatty acid metabolic process"	"7.696"
"GO:0006637"	"acyl-CoA metabolic process"	"7.695"
"GO:0006094"	"gluconeogenesis"	"7.635"
"GO:0019478"	"D-amino acid catabolic process"	"7.6"
