"Pathway"	"Z-score"
"Olfactory transduction - Homo sapiens (human)"	"33.228"
"Ras signaling pathway - Homo sapiens (human)"	"30.423"
"MAPK signaling pathway - Homo sapiens (human)"	"29.43"
"PI3K-Akt signaling pathway - Homo sapiens (human)"	"26.933"
"Rap1 signaling pathway - Homo sapiens (human)"	"24.68"
"Regulation of actin cytoskeleton - Homo sapiens (human)"	"23.904"
"Pathways in cancer - Homo sapiens (human)"	"22.853"
"Jak-STAT signaling pathway - Homo sapiens (human)"	"22.824"
"Neurotrophin signaling pathway - Homo sapiens (human)"	"22.661"
"Toll-like receptor signaling pathway - Homo sapiens (human)"	"22.606"
"Natural killer cell mediated cytotoxicity - Homo sapiens (human)"	"22.337"
"T cell receptor signaling pathway - Homo sapiens (human)"	"21.841"
"Melanoma - Homo sapiens (human)"	"21.648"
"ErbB signaling pathway - Homo sapiens (human)"	"21.319"
"mTOR signaling pathway - Homo sapiens (human)"	"21.285"
"Osteoclast differentiation - Homo sapiens (human)"	"20.989"
"Fc gamma R-mediated phagocytosis - Homo sapiens (human)"	"20.957"
"Fc epsilon RI signaling pathway - Homo sapiens (human)"	"20.825"
"Gastric cancer - Homo sapiens (human)"	"20.666"
"Focal adhesion - Homo sapiens (human)"	"20.661"
"Axon guidance - Homo sapiens (human)"	"20.248"
"Hepatitis B - Homo sapiens (human)"	"20.012"
"B cell receptor signaling pathway - Homo sapiens (human)"	"19.933"
"Choline metabolism in cancer - Homo sapiens (human)"	"19.924"
"Breast cancer - Homo sapiens (human)"	"19.805"
"TNF signaling pathway - Homo sapiens (human)"	"19.236"
"Insulin signaling pathway - Homo sapiens (human)"	"19.072"
"Tuberculosis - Homo sapiens (human)"	"18.699"
"Proteoglycans in cancer - Homo sapiens (human)"	"18.422"
"Acute myeloid leukemia - Homo sapiens (human)"	"18.38"
"Prostate cancer - Homo sapiens (human)"	"18.199"
"C-type lectin receptor signaling pathway - Homo sapiens (human)"	"18.083"
"VEGF signaling pathway - Homo sapiens (human)"	"18.072"
"Hepatitis C - Homo sapiens (human)"	"17.953"
"Kaposi,s sarcoma-associated herpesvirus infection - Homo sapiens (human)"	"17.908"
"Pancreatic cancer - Homo sapiens (human)"	"17.725"
"Prolactin signaling pathway - Homo sapiens (human)"	"17.681"
"MicroRNAs in cancer - Homo sapiens (human)"	"17.643"
"NF-kappa B signaling pathway - Homo sapiens (human)"	"17.633"
"Autophagy - animal - Homo sapiens (human)"	"17.481"
"Non-small cell lung cancer - Homo sapiens (human)"	"16.952"
"Human papillomavirus infection - Homo sapiens (human)"	"16.829"
"Glioma - Homo sapiens (human)"	"16.812"
"Th1 and Th2 cell differentiation - Homo sapiens (human)"	"16.715"
"Measles - Homo sapiens (human)"	"16.69"
"Th17 cell differentiation - Homo sapiens (human)"	"16.443"
"Insulin resistance - Homo sapiens (human)"	"16.391"
"Chronic myeloid leukemia - Homo sapiens (human)"	"16.373"
"Phospholipase D signaling pathway - Homo sapiens (human)"	"16.361"
"Apoptosis - Homo sapiens (human)"	"16.243"
"AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human)"	"16.208"
"Bacterial invasion of epithelial cells - Homo sapiens (human)"	"16.186"
"Longevity regulating pathway - Homo sapiens (human)"	"16.033"
"NOD-like receptor signaling pathway - Homo sapiens (human)"	"15.423"
"HTLV-I infection - Homo sapiens (human)"	"15.36"
"Adipocytokine signaling pathway - Homo sapiens (human)"	"15.265"
"Hepatocellular carcinoma - Homo sapiens (human)"	"15.163"
"Fluid shear stress and atherosclerosis - Homo sapiens (human)"	"15.078"
"FoxO signaling pathway - Homo sapiens (human)"	"14.732"
"Toxoplasmosis - Homo sapiens (human)"	"14.683"
"Cellular senescence - Homo sapiens (human)"	"14.663"
"Type II diabetes mellitus - Homo sapiens (human)"	"14.661"
"RIG-I-like receptor signaling pathway - Homo sapiens (human)"	"14.648"
"Colorectal cancer - Homo sapiens (human)"	"14.507"
"Leishmaniasis - Homo sapiens (human)"	"14.48"
"Small cell lung cancer - Homo sapiens (human)"	"14.418"
"Renal cell carcinoma - Homo sapiens (human)"	"14.311"
"GnRH signaling pathway - Homo sapiens (human)"	"14.078"
"Chagas disease (American trypanosomiasis) - Homo sapiens (human)"	"13.986"
"Endometrial cancer - Homo sapiens (human)"	"13.978"
"Central carbon metabolism in cancer - Homo sapiens (human)"	"13.878"
"Shigellosis - Homo sapiens (human)"	"13.802"
"Endocytosis - Homo sapiens (human)"	"13.688"
"Hematopoietic cell lineage - Homo sapiens (human)"	"13.652"
"HIF-1 signaling pathway - Homo sapiens (human)"	"13.307"
"AMPK signaling pathway - Homo sapiens (human)"	"13.248"
"Sphingolipid signaling pathway - Homo sapiens (human)"	"13.218"
"Apoptosis - multiple species - Homo sapiens (human)"	"13.215"
"Influenza A - Homo sapiens (human)"	"12.922"
