"GO.ID"	"GO.Term"	"zscore"
"GO:0004705"	"JUN kinase activity"	"22.806"
"GO:0004674"	"protein serine/threonine kinase activity"	"16.767"
"GO:0009931"	"calcium-dependent protein serine/threonine kinase activity"	"16.093"
"GO:0004707"	"MAP kinase activity"	"14.325"
"GO:0097472"	"cyclin-dependent protein kinase activity"	"14.141"
"GO:0042910"	"xenobiotic transporter activity"	"14.106"
"GO:0050815"	"phosphoserine binding"	"14.105"
"GO:0031370"	"eukaryotic initiation factor 4G binding"	"13.831"
"GO:0035033"	"histone deacetylase regulator activity"	"13.571"
"GO:0004708"	"MAP kinase kinase activity"	"13.365"
"GO:1990583"	"phospholipase D activator activity"	"13.207"
"GO:0019912"	"cyclin-dependent protein kinase activating kinase activity"	"12.98"
"GO:0016301"	"kinase activity"	"12.888"
"GO:0070976"	"TIR domain binding"	"12.871"
"GO:0035173"	"histone kinase activity"	"12.723"
"GO:0030332"	"cyclin binding"	"11.986"
"GO:0004693"	"cyclin-dependent protein serine/threonine kinase activity"	"11.703"
"GO:0019901"	"protein kinase binding"	"11.47"
"GO:0016303"	"1-phosphatidylinositol-3-kinase activity"	"11.46"
"GO:0005524"	"ATP binding"	"11.049"
"GO:0046934"	"phosphatidylinositol-4,5-bisphosphate 3-kinase activity"	"10.918"
"GO:0004672"	"protein kinase activity"	"10.665"
"GO:0030971"	"receptor tyrosine kinase binding"	"10.641"
"GO:0005006"	"epidermal growth factor-activated receptor activity"	"10.552"
"GO:0001784"	"phosphotyrosine binding"	"10.366"
"GO:0004679"	"AMP-activated protein kinase activity"	"10.3"
"GO:0030235"	"nitric-oxide synthase regulator activity"	"10.277"
"GO:0035403"	"histone kinase activity (H3-T6 specific)"	"10.265"
"GO:0008603"	"cAMP-dependent protein kinase regulator activity"	"10.255"
"GO:0004860"	"protein kinase inhibitor activity"	"10.217"
"GO:0005072"	"transforming growth factor beta receptor, cytoplasmic mediator activity"	"10.104"
"GO:0005168"	"neurotrophin TRKA receptor binding"	"10.065"
"GO:0031625"	"ubiquitin protein ligase binding"	"10.05"
"GO:0004917"	"interleukin-7 receptor activity"	"10"
"GO:0005123"	"death receptor binding"	"9.949"
"GO:0004711"	"ribosomal protein S6 kinase activity"	"9.741"
"GO:0004712"	"protein serine/threonine/tyrosine kinase activity"	"9.669"
"GO:0003989"	"acetyl-CoA carboxylase activity"	"9.615"
"GO:0042610"	"CD8 receptor binding"	"9.57"
"GO:0005163"	"nerve growth factor receptor binding"	"9.438"
"GO:0051717"	"inositol-1,3,4,5-tetrakisphosphate 3-phosphatase activity"	"9.438"
"GO:0004913"	"interleukin-4 receptor activity"	"9.396"
"GO:0005174"	"CD40 receptor binding"	"9.23"
"GO:0019903"	"protein phosphatase binding"	"9.107"
"GO:0047322"	"[hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity"	"8.998"
"GO:0050405"	"[acetyl-CoA carboxylase] kinase activity"	"8.998"
"GO:0071074"	"eukaryotic initiation factor eIF2 binding"	"8.998"
"GO:0033549"	"MAP kinase phosphatase activity"	"8.961"
"GO:0043120"	"tumor necrosis factor binding"	"8.852"
"GO:0051219"	"phosphoprotein binding"	"8.703"
"GO:0051800"	"phosphatidylinositol-3,4-bisphosphate 3-phosphatase activity"	"8.646"
"GO:0005515"	"protein binding"	"8.53"
"GO:0005070"	"SH3/SH2 adaptor activity"	"8.483"
"GO:0050750"	"low-density lipoprotein particle receptor binding"	"8.481"
"GO:0004629"	"phospholipase C activity"	"8.38"
"GO:0004683"	"calmodulin-dependent protein kinase activity"	"8.352"
"GO:0001156"	"TFIIIC-class transcription factor binding"	"8.244"
"GO:0008426"	"protein kinase C inhibitor activity"	"8.187"
"GO:0005111"	"type 2 fibroblast growth factor receptor binding"	"7.969"
"GO:0005136"	"interleukin-4 receptor binding"	"7.943"
"GO:0005220"	"inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity"	"7.817"
"GO:0004075"	"biotin carboxylase activity"	"7.792"
"GO:0043560"	"insulin receptor substrate binding"	"7.758"
"GO:0001030"	"RNA polymerase III type 1 promoter DNA binding"	"7.744"
"GO:0001031"	"RNA polymerase III type 2 promoter DNA binding"	"7.744"
"GO:0043325"	"phosphatidylinositol-3,4-bisphosphate binding"	"7.743"
"GO:0031996"	"thioesterase binding"	"7.679"
"GO:0004861"	"cyclin-dependent protein serine/threonine kinase inhibitor activity"	"7.644"
"GO:0005094"	"Rho GDP-dissociation inhibitor activity"	"7.536"
"GO:0031434"	"mitogen-activated protein kinase kinase binding"	"7.515"
"GO:0050816"	"phosphothreonine binding"	"7.514"
"GO:0055106"	"ubiquitin-protein transferase regulator activity"	"7.471"
"GO:0046625"	"sphingolipid binding"	"7.407"
"GO:0004911"	"interleukin-2 receptor activity"	"7.324"
"GO:0019976"	"interleukin-2 binding"	"7.324"
"GO:0016314"	"phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase activity"	"7.304"
"GO:0032794"	"GTPase activating protein binding"	"7.215"
"GO:0008179"	"adenylate cyclase binding"	"7.161"
"GO:0042802"	"identical protein binding"	"7.143"
"GO:0019899"	"enzyme binding"	"6.983"
"GO:0004698"	"calcium-dependent protein kinase C activity"	"6.929"
"GO:0034236"	"protein kinase A catalytic subunit binding"	"6.851"
"GO:0048408"	"epidermal growth factor binding"	"6.794"
"GO:0004713"	"protein tyrosine kinase activity"	"6.755"
"GO:0005105"	"type 1 fibroblast growth factor receptor binding"	"6.714"
"GO:0015085"	"calcium ion transmembrane transporter activity"	"6.698"
"GO:1990381"	"ubiquitin-specific protease binding"	"6.67"
"GO:0010856"	"adenylate cyclase activator activity"	"6.667"
"GO:0005088"	"Ras guanyl-nucleotide exchange factor activity"	"6.649"
"GO:0004740"	"pyruvate dehydrogenase (acetyl-transferring) kinase activity"	"6.606"
"GO:0001032"	"RNA polymerase III type 3 promoter DNA binding"	"6.591"
"GO:0051022"	"Rho GDP-dissociation inhibitor binding"	"6.46"
"GO:0005048"	"signal sequence binding"	"6.391"
"GO:0033300"	"dehydroascorbic acid transporter activity"	"6.377"
"GO:0004709"	"MAP kinase kinase kinase activity"	"6.317"
"GO:0043813"	"phosphatidylinositol-3,5-bisphosphate 5-phosphatase activity"	"6.297"
"GO:0004722"	"protein serine/threonine phosphatase activity"	"6.282"
"GO:0008353"	"RNA polymerase II carboxy-terminal domain kinase activity"	"6.262"
"GO:0005547"	"phosphatidylinositol-3,4,5-trisphosphate binding"	"6.237"
"GO:0004721"	"phosphoprotein phosphatase activity"	"6.021"
"GO:0044877"	"macromolecular complex binding"	"5.997"
"GO:0030618"	"transforming growth factor beta receptor, pathway-specific cytoplasmic mediator activity"	"5.991"
"GO:0030676"	"Rac guanyl-nucleotide exchange factor activity"	"5.971"
"GO:0019904"	"protein domain specific binding"	"5.969"
"GO:0070513"	"death domain binding"	"5.87"
"GO:0031435"	"mitogen-activated protein kinase kinase kinase binding"	"5.863"
"GO:0098641"	"cadherin binding involved in cell-cell adhesion"	"5.806"
"GO:0035174"	"histone serine kinase activity"	"5.776"
"GO:0032027"	"myosin light chain binding"	"5.581"
"GO:0010997"	"anaphase-promoting complex binding"	"5.527"
"GO:0035254"	"glutamate receptor binding"	"5.527"
"GO:0000287"	"magnesium ion binding"	"5.488"
"GO:0016651"	"oxidoreductase activity, acting on NAD(P)H"	"5.405"
"GO:0031267"	"small GTPase binding"	"5.403"
"GO:0005080"	"protein kinase C binding"	"5.383"
"GO:0043027"	"cysteine-type endopeptidase inhibitor activity involved in apoptotic process"	"5.286"
"GO:0005104"	"fibroblast growth factor receptor binding"	"5.273"
"GO:0019902"	"phosphatase binding"	"5.24"
"GO:0060090"	"binding, bridging"	"5.227"
"GO:0016494"	"C-X-C chemokine receptor activity"	"5.13"
"GO:0004435"	"phosphatidylinositol phospholipase C activity"	"5.098"
"GO:0016308"	"1-phosphatidylinositol-4-phosphate 5-kinase activity"	"4.997"
"GO:0004691"	"cAMP-dependent protein kinase activity"	"4.951"
"GO:0030295"	"protein kinase activator activity"	"4.912"
"GO:0042609"	"CD4 receptor binding"	"4.912"
"GO:0071889"	"14-3-3 protein binding"	"4.873"
"GO:0004726"	"non-membrane spanning protein tyrosine phosphatase activity"	"4.855"
"GO:0032051"	"clathrin light chain binding"	"4.812"
"GO:0102991"	NA	"4.794"
"GO:0042608"	"T cell receptor binding"	"4.782"
"GO:0046875"	"ephrin receptor binding"	"4.736"
"GO:0008140"	"cAMP response element binding protein binding"	"4.723"
"GO:0019003"	"GDP binding"	"4.722"
"GO:0004706"	"JUN kinase kinase kinase activity"	"4.683"
"GO:0070878"	"primary miRNA binding"	"4.628"
"GO:0001849"	"complement component C1q binding"	"4.585"
