"GO.ID"	"GO.Term"	"zscore"
"GO:0006888"	"ER to Golgi vesicle-mediated transport"	"75.723"
"GO:0048208"	"COPII vesicle coating"	"56.713"
"GO:0006890"	"retrograde vesicle-mediated transport, Golgi to ER"	"54.865"
"GO:0006886"	"intracellular protein transport"	"53.917"
"GO:0015031"	"protein transport"	"45.45"
"GO:0061024"	"membrane organization"	"45.337"
"GO:0019886"	"antigen processing and presentation of exogenous peptide antigen via MHC class II"	"43.51"
"GO:0006891"	"intra-Golgi vesicle-mediated transport"	"37.284"
"GO:0006906"	"vesicle fusion"	"36.529"
"GO:0048280"	"vesicle fusion with Golgi apparatus"	"35.685"
"GO:0042147"	"retrograde transport, endosome to Golgi"	"35.657"
"GO:0007030"	"Golgi organization"	"33.1"
"GO:0048278"	"vesicle docking"	"31.892"
"GO:0043001"	"Golgi to plasma membrane protein transport"	"30.074"
"GO:0016192"	"vesicle-mediated transport"	"29.033"
"GO:0072583"	"clathrin-dependent endocytosis"	"27.962"
"GO:0035493"	"SNARE complex assembly"	"27.805"
"GO:0006904"	"vesicle docking involved in exocytosis"	"26.267"
"GO:0048268"	"clathrin coat assembly"	"25.795"
"GO:0006887"	"exocytosis"	"25.283"
"GO:0006896"	"Golgi to vacuole transport"	"24.536"
"GO:0007018"	"microtubule-based movement"	"24.369"
"GO:0034498"	"early endosome to Golgi transport"	"23.977"
"GO:0061025"	"membrane fusion"	"23.866"
"GO:0006897"	"endocytosis"	"23.127"
"GO:0031629"	"synaptic vesicle fusion to presynaptic active zone membrane"	"22.673"
"GO:0070254"	"mucus secretion"	"22.536"
"GO:0043308"	"eosinophil degranulation"	"22.308"
"GO:0090110"	"cargo loading into COPII-coated vesicle"	"22.082"
"GO:0017156"	"calcium ion regulated exocytosis"	"21.885"
"GO:0097320"	"membrane tubulation"	"21.721"
"GO:0034383"	"low-density lipoprotein particle clearance"	"21.161"
"GO:0030100"	"regulation of endocytosis"	"20.823"
"GO:0007041"	"lysosomal transport"	"20.784"
"GO:0090161"	"Golgi ribbon formation"	"20.75"
"GO:0016082"	"synaptic vesicle priming"	"20.684"
"GO:0050690"	"regulation of defense response to virus by virus"	"20.253"
"GO:0048205"	"COPI coating of Golgi vesicle"	"20.023"
"GO:1903593"	"regulation of histamine secretion by mast cell"	"19.628"
"GO:0051693"	"actin filament capping"	"19.556"
"GO:0006898"	"receptor-mediated endocytosis"	"19.502"
"GO:1903531"	"negative regulation of secretion by cell"	"18.908"
"GO:0002474"	"antigen processing and presentation of peptide antigen via MHC class I"	"18.697"
"GO:1903595"	"positive regulation of histamine secretion by mast cell"	"18.551"
"GO:0016189"	"synaptic vesicle to endosome fusion"	"18.369"
"GO:0072272"	"proximal/distal pattern formation involved in metanephric nephron development"	"18.221"
"GO:0086065"	"cell communication involved in cardiac conduction"	"18.221"
"GO:0010638"	"positive regulation of organelle organization"	"17.724"
"GO:0032456"	"endocytic recycling"	"17.523"
"GO:0006623"	"protein targeting to vacuole"	"17.52"
"GO:0032802"	"low-density lipoprotein particle receptor catabolic process"	"17.441"
"GO:0016079"	"synaptic vesicle exocytosis"	"17.263"
"GO:0002443"	"leukocyte mediated immunity"	"16.88"
"GO:2000369"	"regulation of clathrin-dependent endocytosis"	"16.86"
"GO:0032482"	"Rab protein signal transduction"	"16.554"
"GO:1903076"	"regulation of protein localization to plasma membrane"	"16.422"
"GO:0016191"	"synaptic vesicle uncoating"	"16.027"
"GO:1902117"	"positive regulation of organelle assembly"	"15.979"
"GO:0098967"	"exocytic insertion of neurotransmitter receptor to postsynaptic membrane"	"15.517"
"GO:0090158"	"endoplasmic reticulum membrane organization"	"15.484"
"GO:0007029"	"endoplasmic reticulum organization"	"15.048"
"GO:0042059"	"negative regulation of epidermal growth factor receptor signaling pathway"	"14.73"
"GO:0098884"	"postsynaptic neurotransmitter receptor internalization"	"14.69"
"GO:0017157"	"regulation of exocytosis"	"14.59"
"GO:0048013"	"ephrin receptor signaling pathway"	"14.537"
"GO:0043320"	"natural killer cell degranulation"	"14.526"
"GO:0060988"	"lipid tube assembly"	"14.409"
"GO:1903358"	"regulation of Golgi organization"	"14.313"
"GO:0031664"	"regulation of lipopolysaccharide-mediated signaling pathway"	"14.24"
"GO:0016240"	"autophagosome docking"	"14.175"
"GO:0033572"	"transferrin transport"	"14.141"
"GO:0016081"	"synaptic vesicle docking"	"14.115"
"GO:0006661"	"phosphatidylinositol biosynthetic process"	"14.073"
"GO:0010807"	"regulation of synaptic vesicle priming"	"14.054"
"GO:1902953"	"positive regulation of ER to Golgi vesicle-mediated transport"	"13.992"
"GO:0016050"	"vesicle organization"	"13.989"
"GO:0006892"	"post-Golgi vesicle-mediated transport"	"13.956"
"GO:0010324"	"membrane invagination"	"13.772"
"GO:0032527"	"protein exit from endoplasmic reticulum"	"13.755"
"GO:1904447"	"folic acid import into cell"	"13.723"
"GO:0034067"	"protein localization to Golgi apparatus"	"13.697"
"GO:1900483"	"regulation of protein targeting to vacuolar membrane"	"13.649"
"GO:0048260"	"positive regulation of receptor-mediated endocytosis"	"13.574"
"GO:0035459"	"cargo loading into vesicle"	"13.505"
"GO:1902902"	"negative regulation of autophagosome assembly"	"13.475"
"GO:0008333"	"endosome to lysosome transport"	"13.426"
"GO:2000588"	"positive regulation of platelet-derived growth factor receptor-beta signaling pathway"	"13.423"
"GO:0045022"	"early endosome to late endosome transport"	"13.37"
"GO:2000370"	"positive regulation of clathrin-dependent endocytosis"	"13.323"
"GO:0043312"	"neutrophil degranulation"	"13.289"
"GO:0099003"	"vesicle-mediated transport in synapse"	"13.188"
"GO:0051050"	"positive regulation of transport"	"13.182"
"GO:0099180"	NA	"13.182"
"GO:0030301"	"cholesterol transport"	"13.143"
"GO:0060628"	"regulation of ER to Golgi vesicle-mediated transport"	"13.112"
"GO:1990668"	"vesicle fusion with endoplasmic reticulum-Golgi intermediate compartment (ERGIC) membrane"	"12.96"
"GO:0048488"	"synaptic vesicle endocytosis"	"12.92"
"GO:0042636"	"negative regulation of hair cycle"	"12.865"
"GO:1905671"	NA	"12.843"
"GO:0034314"	"Arp2/3 complex-mediated actin nucleation"	"12.802"
"GO:0015884"	"folic acid transport"	"12.793"
"GO:0048209"	"regulation of vesicle targeting, to, from or within Golgi"	"12.751"
"GO:0007173"	"epidermal growth factor receptor signaling pathway"	"12.731"
"GO:0002479"	"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent"	"12.728"
"GO:0072318"	"clathrin coat disassembly"	"12.675"
"GO:0001971"	"negative regulation of activation of membrane attack complex"	"12.562"
"GO:0003147"	"neural crest cell migration involved in heart formation"	"12.546"
"GO:0061713"	"anterior neural tube closure"	"12.546"
"GO:0071231"	"cellular response to folic acid"	"12.546"
"GO:1904978"	"regulation of endosome organization"	"12.438"
"GO:1903020"	"positive regulation of glycoprotein metabolic process"	"12.397"
"GO:0060907"	"positive regulation of macrophage cytokine production"	"12.394"
"GO:0070863"	"positive regulation of protein exit from endoplasmic reticulum"	"12.281"
"GO:0036258"	"multivesicular body assembly"	"12.264"
"GO:0006486"	"protein glycosylation"	"12.256"
"GO:0006621"	"protein retention in ER lumen"	"12.138"
"GO:0061156"	"pulmonary artery morphogenesis"	"12.104"
"GO:0072657"	"protein localization to membrane"	"12.084"
"GO:0071709"	"membrane assembly"	"12.022"
"GO:0090166"	"Golgi disassembly"	"11.993"
"GO:0048791"	"calcium ion-regulated exocytosis of neurotransmitter"	"11.96"
"GO:0006895"	"Golgi to endosome transport"	"11.949"
"GO:0097753"	NA	"11.904"
"GO:0099502"	"calcium-dependent activation of synaptic vesicle fusion"	"11.749"
"GO:0006903"	"vesicle targeting"	"11.748"
"GO:0048211"	"Golgi vesicle docking"	"11.718"
"GO:0035494"	"SNARE complex disassembly"	"11.67"
"GO:0003400"	"regulation of COPII vesicle coating"	"11.667"
"GO:0072659"	"protein localization to plasma membrane"	"11.666"
"GO:1902684"	"negative regulation of receptor localization to synapse"	"11.654"
"GO:1903743"	"negative regulation of anterograde synaptic vesicle transport"	"11.654"
"GO:0048213"	"Golgi vesicle prefusion complex stabilization"	"11.63"
"GO:0046718"	"viral entry into host cell"	"11.524"
"GO:0033292"	"T-tubule organization"	"11.481"
"GO:0010650"	"positive regulation of cell communication by electrical coupling"	"11.404"
"GO:0072660"	"maintenance of protein location in plasma membrane"	"11.404"
"GO:1900827"	"positive regulation of membrane depolarization during cardiac muscle cell action potential"	"11.404"
"GO:0060071"	"Wnt signaling pathway, planar cell polarity pathway"	"11.371"
"GO:0032940"	"secretion by cell"	"11.305"
"GO:0072383"	"plus-end-directed vesicle transport along microtubule"	"11.302"
"GO:0035743"	"CD4-positive, alpha-beta T cell cytokine production"	"11.29"
"GO:0045916"	"negative regulation of complement activation"	"11.29"
"GO:2000516"	"positive regulation of CD4-positive, alpha-beta T cell activation"	"11.29"
"GO:0070973"	"protein localization to endoplasmic reticulum exit site"	"11.262"
"GO:0090118"	"receptor-mediated endocytosis of low-density lipoprotein particle involved in cholesterol transport"	"11.259"
"GO:0045058"	"T cell selection"	"11.258"
"GO:0015991"	"ATP hydrolysis coupled proton transport"	"11.247"
"GO:0034197"	"triglyceride transport"	"11.163"
"GO:0006900"	"membrane budding"	"11.12"
"GO:0002504"	"antigen processing and presentation of peptide or polysaccharide antigen via MHC class II"	"11.012"
"GO:0060598"	"dichotomous subdivision of terminal units involved in mammary gland duct morphogenesis"	"10.975"
"GO:1902259"	"regulation of delayed rectifier potassium channel activity"	"10.964"
"GO:0008645"	"hexose transport"	"10.944"
"GO:0002090"	"regulation of receptor internalization"	"10.939"
"GO:0006996"	"organelle organization"	"10.924"
"GO:0034220"	"ion transmembrane transport"	"10.871"
"GO:0035249"	"synaptic transmission, glutamatergic"	"10.839"
"GO:0045807"	"positive regulation of endocytosis"	"10.838"
"GO:0006893"	"Golgi to plasma membrane transport"	"10.713"
"GO:0106001"	NA	"10.537"
"GO:0002506"	"polysaccharide assembly with MHC class II protein complex"	"10.459"
"GO:0002532"	"production of molecular mediator involved in inflammatory response"	"10.447"
"GO:0016320"	"endoplasmic reticulum membrane fusion"	"10.432"
"GO:0001921"	"positive regulation of receptor recycling"	"10.411"
"GO:0008286"	"insulin receptor signaling pathway"	"10.405"
"GO:0007032"	"endosome organization"	"10.368"
"GO:0060333"	"interferon-gamma-mediated signaling pathway"	"10.366"
"GO:1902003"	"regulation of beta-amyloid formation"	"10.327"
"GO:0031623"	"receptor internalization"	"10.315"
"GO:0033299"	"secretion of lysosomal enzymes"	"10.262"
"GO:0002792"	"negative regulation of peptide secretion"	"10.255"
"GO:0035691"	"macrophage migration inhibitory factor signaling pathway"	"10.255"
"GO:0048193"	"Golgi vesicle transport"	"10.222"
"GO:0090178"	"regulation of establishment of planar polarity involved in neural tube closure"	"10.219"
"GO:1901301"	"regulation of cargo loading into COPII-coated vesicle"	"10.219"
"GO:0051885"	"positive regulation of anagen"	"10.171"
"GO:0034499"	"late endosome to Golgi transport"	"10.113"
"GO:0099637"	"neurotransmitter receptor transport"	"10.113"
"GO:1901374"	"acetate ester transport"	"10.085"
"GO:0007010"	"cytoskeleton organization"	"10.083"
"GO:0006914"	"autophagy"	"10.054"
"GO:0090160"	"Golgi to lysosome transport"	"9.946"
"GO:0045956"	"positive regulation of calcium ion-dependent exocytosis"	"9.907"
"GO:0051223"	"regulation of protein transport"	"9.886"
"GO:0070358"	"actin polymerization-dependent cell motility"	"9.854"
"GO:0090205"	"positive regulation of cholesterol metabolic process"	"9.851"
"GO:0048641"	"regulation of skeletal muscle tissue development"	"9.838"
"GO:0097352"	"autophagosome maturation"	"9.824"
"GO:0045818"	"negative regulation of glycogen catabolic process"	"9.736"
"GO:0046631"	"alpha-beta T cell activation"	"9.736"
"GO:0015761"	"mannose transport"	"9.699"
"GO:0006622"	"protein targeting to lysosome"	"9.648"
"GO:1905123"	"regulation of glucosylceramidase activity"	"9.627"
"GO:1905167"	"positive regulation of lysosomal protein catabolic process"	"9.613"
"GO:0007009"	"plasma membrane organization"	"9.601"
"GO:0097111"	"endoplasmic reticulum-Golgi intermediate compartment organization"	"9.591"
"GO:0007411"	"axon guidance"	"9.577"
"GO:0036517"	"chemoattraction of serotonergic neuron axon"	"9.563"
"GO:0061347"	"planar cell polarity pathway involved in outflow tract morphogenesis"	"9.563"
"GO:0061348"	"planar cell polarity pathway involved in ventricular septum morphogenesis"	"9.563"
"GO:0061349"	"planar cell polarity pathway involved in cardiac right atrium morphogenesis"	"9.563"
"GO:0061350"	"planar cell polarity pathway involved in cardiac muscle tissue morphogenesis"	"9.563"
"GO:0061354"	"planar cell polarity pathway involved in pericardium morphogenesis"	"9.563"
"GO:1904934"	"negative regulation of cell proliferation in midbrain"	"9.563"
"GO:1904955"	"planar cell polarity pathway involved in midbrain dopaminergic neuron differentiation"	"9.563"
"GO:0097581"	"lamellipodium organization"	"9.535"
"GO:0042159"	"lipoprotein catabolic process"	"9.522"
"GO:0030947"	"regulation of vascular endothelial growth factor receptor signaling pathway"	"9.5"
"GO:0014047"	"glutamate secretion"	"9.454"
"GO:0060809"	"mesodermal to mesenchymal transition involved in gastrulation"	"9.439"
"GO:0061301"	"cerebellum vasculature morphogenesis"	"9.422"
"GO:0060029"	"convergent extension involved in organogenesis"	"9.415"
"GO:0060775"	"planar cell polarity pathway involved in gastrula mediolateral intercalation"	"9.353"
"GO:0043547"	"positive regulation of GTPase activity"	"9.348"
"GO:0039702"	"viral budding via host ESCRT complex"	"9.33"
"GO:0097749"	NA	"9.314"
"GO:0046855"	"inositol phosphate dephosphorylation"	"9.299"
"GO:0010986"	"positive regulation of lipoprotein particle clearance"	"9.273"
"GO:0061889"	NA	"9.273"
"GO:0045922"	"negative regulation of fatty acid metabolic process"	"9.245"
"GO:0051256"	"mitotic spindle midzone assembly"	"9.231"
"GO:1903979"	"negative regulation of microglial cell activation"	"9.218"
"GO:1904980"	"positive regulation of endosome organization"	"9.201"
"GO:0021940"	"positive regulation of cerebellar granule cell precursor proliferation"	"9.195"
"GO:0016197"	"endosomal transport"	"9.194"
"GO:0045324"	"late endosome to vacuole transport"	"9.158"
"GO:0048850"	"hypophysis morphogenesis"	"9.14"
"GO:0036371"	"protein localization to T-tubule"	"9.085"
"GO:0086066"	"atrial cardiac muscle cell to AV node cell communication"	"9.085"
"GO:0086070"	"SA node cell to atrial cardiac muscle cell communication"	"9.085"
"GO:1901021"	"positive regulation of calcium ion transmembrane transporter activity"	"9.085"
"GO:0097325"	"melanocyte proliferation"	"9.083"
"GO:0021686"	"cerebellar granular layer maturation"	"9.069"
"GO:0021933"	"radial glia guided migration of cerebellar granule cell"	"9.069"
"GO:0097061"	"dendritic spine organization"	"9.046"
"GO:0042701"	"progesterone secretion"	"9.036"
"GO:0045056"	"transcytosis"	"9.007"
"GO:0008356"	"asymmetric cell division"	"8.975"
"GO:1905445"	NA	"8.961"
"GO:0032402"	"melanosome transport"	"8.924"
"GO:0036155"	"acylglycerol acyl-chain remodeling"	"8.905"
"GO:0033365"	"protein localization to organelle"	"8.895"
"GO:0070085"	"glycosylation"	"8.886"
"GO:0021747"	"cochlear nucleus development"	"8.885"
"GO:0032438"	"melanosome organization"	"8.827"
"GO:0035646"	"endosome to melanosome transport"	"8.801"
"GO:0002263"	"cell activation involved in immune response"	"8.787"
"GO:1903420"	"protein localization to endoplasmic reticulum tubular network"	"8.787"
"GO:0070861"	"regulation of protein exit from endoplasmic reticulum"	"8.783"
"GO:0048858"	"cell projection morphogenesis"	"8.761"
"GO:0097494"	"regulation of vesicle size"	"8.757"
"GO:0051024"	"positive regulation of immunoglobulin secretion"	"8.737"
"GO:0010750"	"positive regulation of nitric oxide mediated signal transduction"	"8.728"
"GO:0043555"	"regulation of translation in response to stress"	"8.711"
"GO:0003253"	"cardiac neural crest cell migration involved in outflow tract morphogenesis"	"8.655"
"GO:1900223"	"positive regulation of beta-amyloid clearance"	"8.654"
"GO:1903409"	"reactive oxygen species biosynthetic process"	"8.617"
"GO:0007035"	"vacuolar acidification"	"8.579"
"GO:0051653"	"spindle localization"	"8.564"
"GO:0060638"	"mesenchymal-epithelial cell signaling"	"8.545"
"GO:0010899"	"regulation of phosphatidylcholine catabolic process"	"8.541"
