"GO.ID"	"GO.Term"	"NetBAS"	"DAVID"
"GO:0006888"	"ER to Golgi vesicle-mediated transport"	"75.723"	"6.691602121768231E-24"
"GO:0048208"	"COPII vesicle coating"	"56.713"	"1.318764465774179E-12"
"GO:0006890"	"retrograde vesicle-mediated transport, Golgi to ER"	"54.865"	"9.365339955676219E-13"
"GO:0006886"	"intracellular protein transport"	"53.917"	"2.0308006913754504E-15"
"GO:0015031"	"protein transport"	"45.45"	"4.1390191382430065E-43"
"GO:0061024"	"membrane organization"	"45.337"	"3.990152141410928E-19"
"GO:0019886"	"antigen processing and presentation of exogenous peptide antigen via MHC class II"	"43.51"	"4.5116996270289515E-8"
"GO:0006891"	"intra-Golgi vesicle-mediated transport"	"37.284"	"9.738644899180216E-9"
"GO:0006906"	"vesicle fusion"	"36.529"	"1.1510505569472245E-12"
"GO:0048280"	"vesicle fusion with Golgi apparatus"	"35.685"	"1.8845552218750045E-7"
