"Pathway"	"Z-score"
"SNARE interactions in vesicular transport"	"24.157"
"Lysosome"	"18.54"
"Endocytosis"	"18.214"
"Synaptic vesicle cycle"	"14.002"
"Endocrine and other factor-regulated calcium reabsorption"	"13.856"
"Phagosome"	"9.659"
"Vibrio cholerae infection"	"7.677"
"Epithelial cell signaling in Helicobacter pylori infection"	"6.381"
"Sphingolipid metabolism"	"5.605"
"Legionellosis"	"5.197"
"Huntington's disease"	"5.119"
"Bacterial invasion of epithelial cells"	"4.424"
"Prion diseases"	"4.408"
"Aldosterone-regulated sodium reabsorption"	"4.087"
"Estrogen signaling pathway"	"4.085"
"Bladder cancer"	"3.921"
"Gap junction"	"3.902"
"Phospholipase D signaling pathway"	"3.809"
"mTOR signaling pathway"	"3.793"
"GnRH signaling pathway"	"3.744"
"Vasopressin-regulated water reabsorption"	"3.699"
"Amyotrophic lateral sclerosis (ALS)"	"3.573"
"Mineral absorption"	"3.442"
"Glycosphingolipid biosynthesis - globo and isoglobo series"	"3.396"
"Tuberculosis"	"3.377"
"Long-term depression"	"3.208"
"Endometrial cancer"	"3.198"
"Platelet activation"	"3.089"
"Proteoglycans in cancer"	"3.071"
"Central carbon metabolism in cancer"	"3.059"
"Autophagy - animal"	"2.985"
"FoxO signaling pathway"	"2.949"
"Non-small cell lung cancer"	"2.941"
"Relaxin signaling pathway"	"2.935"
"Long-term potentiation"	"2.908"
"Glioma"	"2.786"
"Adherens junction"	"2.746"
"Melanoma"	"2.731"
"Bile secretion"	"2.73"
"Pancreatic cancer"	"2.684"
"Thyroid hormone synthesis"	"2.671"
"Adrenergic signaling in cardiomyocytes"	"2.657"
"Gastric acid secretion"	"2.605"
"Oxytocin signaling pathway"	"2.604"
"Proximal tubule bicarbonate reclamation"	"2.592"
"ErbB signaling pathway"	"2.515"
"Cushing's syndrome"	"2.507"
"Protein processing in endoplasmic reticulum"	"2.459"
"Collecting duct acid secretion"	"2.425"
"Rheumatoid arthritis"	"2.393"
"Colorectal cancer"	"2.386"
"Insulin secretion"	"2.385"
"Fatty acid elongation"	"2.356"
"Salivary secretion"	"2.33"
"Amoebiasis"	"2.249"
"Choline metabolism in cancer"	"2.22"
"Pancreatic secretion"	"2.189"
"Galactose metabolism"	"2.181"
"Circadian entrainment"	"2.174"
"HIF-1 signaling pathway"	"2.171"
"Prostate cancer"	"2.159"
"Progesterone-mediated oocyte maturation"	"2.154"
"Chagas disease (American trypanosomiasis)"	"2.14"
"Aldosterone synthesis and secretion"	"2.109"
"Melanogenesis"	"2.088"
"Focal adhesion"	"2.074"
"cAMP signaling pathway"	"2.014"
"TNF signaling pathway"	"1.988"
"Serotonergic synapse"	"1.948"
"Rap1 signaling pathway"	"1.946"
"Glutamatergic synapse"	"1.914"
"Thyroid hormone signaling pathway"	"1.91"
"Thyroid cancer"	"1.904"
"Sphingolipid signaling pathway"	"1.843"
"Neurotrophin signaling pathway"	"1.827"
"AMPK signaling pathway"	"1.816"
"Vascular smooth muscle contraction"	"1.786"
"Oocyte meiosis"	"1.776"
"Fat digestion and absorption"	"1.743"
"Ras signaling pathway"	"1.74"
"Type I diabetes mellitus"	"1.717"
"Oxidative phosphorylation"	"1.688"
"Hepatitis C"	"1.687"
"Type II diabetes mellitus"	"1.632"
"Carbohydrate digestion and absorption"	"1.625"
"ABC transporters"	"1.6"
"Apoptosis"	"1.598"
"Ovarian steroidogenesis"	"1.53"
"Cocaine addiction"	"1.507"
"Cholesterol metabolism"	"1.493"
"Gastric cancer"	"1.476"
"MicroRNAs in cancer"	"1.471"
"Breast cancer"	"1.467"
"Pathogenic Escherichia coli infection"	"1.418"
"Regulation of lipolysis in adipocytes"	"1.387"
"Necroptosis"	"1.371"
"VEGF signaling pathway"	"1.339"
"Jak-STAT signaling pathway"	"1.321"
"MAPK signaling pathway"	"1.308"
"Hepatocellular carcinoma"	"1.303"
"cGMP-PKG signaling pathway"	"1.301"
"Alzheimer's disease"	"1.272"
"Glycerolipid metabolism"	"1.258"
"NOD-like receptor signaling pathway"	"1.246"
"Longevity regulating pathway - multiple species"	"1.234"
"Shigellosis"	"1.214"
"Acute myeloid leukemia"	"1.188"
"Cortisol synthesis and secretion"	"1.176"
"Renin secretion"	"1.173"
"Renal cell carcinoma"	"1.169"
"Mitophagy - animal"	"1.166"
"Alcoholism"	"1.162"
"Calcium signaling pathway"	"1.16"
"Fc epsilon RI signaling pathway"	"1.158"
"B cell receptor signaling pathway"	"1.135"
"Human papillomavirus infection"	"1.126"
"Amphetamine addiction"	"1.119"
"Leishmaniasis"	"1.114"
"Inositol phosphate metabolism"	"1.093"
"Prolactin signaling pathway"	"1.082"
"Pertussis"	"1.012"
"Chronic myeloid leukemia"	"0.991"
"Regulation of actin cytoskeleton"	"0.98"
"Cardiac muscle contraction"	"0.974"
"TGF-beta signaling pathway"	"0.913"
"Peroxisome"	"0.9"
"Salmonella infection"	"0.879"
"Fc gamma R-mediated phagocytosis"	"0.833"
"Dilated cardiomyopathy (DCM)"	"0.83"
"Th1 and Th2 cell differentiation"	"0.827"
"IL-17 signaling pathway"	"0.818"
"Morphine addiction"	"0.806"
"Protein digestion and absorption"	"0.801"
"Thermogenesis"	"0.791"
"Inflammatory mediator regulation of TRP channels"	"0.75"
"Phosphatidylinositol signaling system"	"0.748"
"AGE-RAGE signaling pathway in diabetic complications"	"0.735"
"T cell receptor signaling pathway"	"0.735"
"Glucagon signaling pathway"	"0.682"
"C-type lectin receptor signaling pathway"	"0.679"
"Th17 cell differentiation"	"0.674"
"Toll-like receptor signaling pathway"	"0.669"
"Insulin resistance"	"0.642"
"Toxoplasmosis"	"0.609"
"Cholinergic synapse"	"0.574"
"Osteoclast differentiation"	"0.48"
"Natural killer cell mediated cytotoxicity"	"0.443"
"Measles"	"0.415"
"Dopaminergic synapse"	"0.414"
"Apelin signaling pathway"	"0.39"
"Fluid shear stress and atherosclerosis"	"0.384"
"Insulin signaling pathway"	"0.376"
"Signaling pathways regulating pluripotency of stem cells"	"0.36"
"Hepatitis B"	"0.324"
"Retrograde endocannabinoid signaling"	"0.295"
"Pathways in cancer"	"0.235"
"Cellular senescence"	"0.221"
"PI3K-Akt signaling pathway"	"0.184"
"Influenza A"	"0.165"
"Axon guidance"	"0.159"
"Kaposi's sarcoma-associated herpesvirus infection"	"0.076"
"Chemokine signaling pathway"	"0.071"
"Viral carcinogenesis"	"-0.017"
"D-Arginine and D-ornithine metabolism"	"-0.07"
"Lipoic acid metabolism"	"-0.119"
"Biotin metabolism"	"-0.123"
"Valine, leucine and isoleucine biosynthesis"	"-0.136"
"Neomycin, kanamycin and gentamicin biosynthesis"	"-0.155"
"Phenylalanine, tyrosine and tryptophan biosynthesis"	"-0.159"
"Caffeine metabolism"	"-0.16"
"D-Glutamine and D-glutamate metabolism"	"-0.161"
"Phosphonate and phosphinate metabolism"	"-0.172"
"Vitamin B6 metabolism"	"-0.172"
"Riboflavin metabolism"	"-0.195"
"Sulfur relay system"	"-0.205"
"Synthesis and degradation of ketone bodies"	"-0.22"
"Sulfur metabolism"	"-0.224"
"Taurine and hypotaurine metabolism"	"-0.231"
"Ubiquinone and other terpenoid-quinone biosynthesis"	"-0.234"
"Non-homologous end-joining"	"-0.255"
