"Pathway"	"Z-score"
"Oxidative phosphorylation - Homo sapiens (human)"	"21.443"
"Parkinson,s disease - Homo sapiens (human)"	"19.033"
"Glutathione metabolism - Homo sapiens (human)"	"17.416"
"Retrograde endocannabinoid signaling - Homo sapiens (human)"	"16.667"
"Alzheimer,s disease - Homo sapiens (human)"	"15.855"
"Thermogenesis - Homo sapiens (human)"	"15.622"
"Glycolysis / Gluconeogenesis - Homo sapiens (human)"	"15.386"
"Drug metabolism - other enzymes - Homo sapiens (human)"	"13.05"
"Huntington,s disease - Homo sapiens (human)"	"13.049"
"Glycine, serine and threonine metabolism - Homo sapiens (human)"	"11.723"
"Pyruvate metabolism - Homo sapiens (human)"	"10.956"
"Citrate cycle (TCA cycle) - Homo sapiens (human)"	"10.649"
"Non-alcoholic fatty liver disease (NAFLD) - Homo sapiens (human)"	"10.55"
"Fructose and mannose metabolism - Homo sapiens (human)"	"10.244"
"Cysteine and methionine metabolism - Homo sapiens (human)"	"10.181"
"Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)"	"9.543"
"Valine, leucine and isoleucine degradation - Homo sapiens (human)"	"9.251"
"Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)"	"9.069"
"Phenylalanine, tyrosine and tryptophan biosynthesis - Homo sapiens (human)"	"9.06"
"Purine metabolism - Homo sapiens (human)"	"8.982"
"Fluid shear stress and atherosclerosis - Homo sapiens (human)"	"8.618"
"Arginine and proline metabolism - Homo sapiens (human)"	"8.578"
"Starch and sucrose metabolism - Homo sapiens (human)"	"8.532"
"Synthesis and degradation of ketone bodies - Homo sapiens (human)"	"8.514"
"Pentose phosphate pathway - Homo sapiens (human)"	"8.507"
"Aminoacyl-tRNA biosynthesis - Homo sapiens (human)"	"8.391"
"Tyrosine metabolism - Homo sapiens (human)"	"8.089"
"Phagosome - Homo sapiens (human)"	"7.963"
"Pyrimidine metabolism - Homo sapiens (human)"	"7.8"
"Drug metabolism - cytochrome P450 - Homo sapiens (human)"	"7.533"
"Phenylalanine metabolism - Homo sapiens (human)"	"7.504"
"Galactose metabolism - Homo sapiens (human)"	"7.503"
"Terpenoid backbone biosynthesis - Homo sapiens (human)"	"7.241"
"Glycerolipid metabolism - Homo sapiens (human)"	"7.141"
"Butanoate metabolism - Homo sapiens (human)"	"7.107"
"Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)"	"7.031"
"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)"	"6.802"
"Central carbon metabolism in cancer - Homo sapiens (human)"	"6.797"
"Propanoate metabolism - Homo sapiens (human)"	"6.614"
"Collecting duct acid secretion - Homo sapiens (human)"	"6.577"
"Peroxisome - Homo sapiens (human)"	"6.526"
"Vibrio cholerae infection - Homo sapiens (human)"	"6.38"
"Chemical carcinogenesis - Homo sapiens (human)"	"6.227"
"Pathogenic Escherichia coli infection - Homo sapiens (human)"	"6.191"
"Antigen processing and presentation - Homo sapiens (human)"	"6.069"
"Legionellosis - Homo sapiens (human)"	"6.069"
"Valine, leucine and isoleucine biosynthesis - Homo sapiens (human)"	"6.054"
"Epstein-Barr virus infection - Homo sapiens (human)"	"6.034"
"Amyotrophic lateral sclerosis (ALS) - Homo sapiens (human)"	"5.995"
"Glucagon signaling pathway - Homo sapiens (human)"	"5.887"
"NOD-like receptor signaling pathway - Homo sapiens (human)"	"5.833"
"Tryptophan metabolism - Homo sapiens (human)"	"5.731"
"Protein processing in endoplasmic reticulum - Homo sapiens (human)"	"5.729"
"Tight junction - Homo sapiens (human)"	"5.726"
"Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human)"	"5.696"
"HIF-1 signaling pathway - Homo sapiens (human)"	"5.632"
"Toxoplasmosis - Homo sapiens (human)"	"5.552"
"Histidine metabolism - Homo sapiens (human)"	"5.476"
"Fat digestion and absorption - Homo sapiens (human)"	"5.457"
"Proteasome - Homo sapiens (human)"	"5.423"
"Gap junction - Homo sapiens (human)"	"5.298"
"Necroptosis - Homo sapiens (human)"	"5.15"
"Arachidonic acid metabolism - Homo sapiens (human)"	"5.045"
"beta-Alanine metabolism - Homo sapiens (human)"	"4.959"
"Prion diseases - Homo sapiens (human)"	"4.959"
"Influenza A - Homo sapiens (human)"	"4.921"
"Adrenergic signaling in cardiomyocytes - Homo sapiens (human)"	"4.799"
"Basal transcription factors - Homo sapiens (human)"	"4.676"
"Arginine biosynthesis - Homo sapiens (human)"	"4.65"
"Pentose and glucuronate interconversions - Homo sapiens (human)"	"4.619"
"Aldosterone synthesis and secretion - Homo sapiens (human)"	"4.617"
"Pertussis - Homo sapiens (human)"	"4.594"
"Leishmaniasis - Homo sapiens (human)"	"4.58"
"MAPK signaling pathway - Homo sapiens (human)"	"4.549"
"Insulin signaling pathway - Homo sapiens (human)"	"4.395"
"Thyroid hormone synthesis - Homo sapiens (human)"	"4.325"
"Oxytocin signaling pathway - Homo sapiens (human)"	"4.285"
"Salivary secretion - Homo sapiens (human)"	"4.149"
"Rheumatoid arthritis - Homo sapiens (human)"	"4.03"
"Apoptosis - Homo sapiens (human)"	"3.927"
"GnRH signaling pathway - Homo sapiens (human)"	"3.926"
"Cellular senescence - Homo sapiens (human)"	"3.879"
"Folate biosynthesis - Homo sapiens (human)"	"3.871"
"Neomycin, kanamycin and gentamicin biosynthesis - Homo sapiens (human)"	"3.739"
"C-type lectin receptor signaling pathway - Homo sapiens (human)"	"3.711"
"ABC transporters - Homo sapiens (human)"	"3.678"
"Ascorbate and aldarate metabolism - Homo sapiens (human)"	"3.678"
"Fatty acid degradation - Homo sapiens (human)"	"3.551"
"Vascular smooth muscle contraction - Homo sapiens (human)"	"3.499"
"Estrogen signaling pathway - Homo sapiens (human)"	"3.455"
"Salmonella infection - Homo sapiens (human)"	"3.445"
"Neurotrophin signaling pathway - Homo sapiens (human)"	"3.392"
"RNA transport - Homo sapiens (human)"	"3.322"
"cGMP-PKG signaling pathway - Homo sapiens (human)"	"3.32"
"Base excision repair - Homo sapiens (human)"	"3.259"
"Oocyte meiosis - Homo sapiens (human)"	"3.254"
"Tuberculosis - Homo sapiens (human)"	"3.239"
"TNF signaling pathway - Homo sapiens (human)"	"3.199"
"Lysine degradation - Homo sapiens (human)"	"3.183"
"RNA polymerase - Homo sapiens (human)"	"3.104"
