"ID"	"Pathway"	"zscore"	"obs"	"mean"	"std"
"hsa00190"	"Oxidative phosphorylation"	"21.443"	"207"	"53.718"	"7.148"
"hsa05012"	"Parkinson's disease"	"19.033"	"241"	"76.658"	"8.635"
"hsa00480"	"Glutathione metabolism"	"17.416"	"76"	"13.083"	"3.613"
"hsa04723"	"Retrograde endocannabinoid signaling"	"16.667"	"200"	"67.351"	"7.959"
"hsa05010"	"Alzheimer's disease"	"15.855"	"219"	"82.63"	"8.601"
"hsa04714"	"Thermogenesis"	"15.622"	"250"	"102.857"	"9.419"
"hsa00010"	"Glycolysis / Gluconeogenesis"	"15.386"	"205"	"77.005"	"8.319"
"hsa00983"	"Drug metabolism - other enzymes"	"13.05"	"75"	"19.179"	"4.278"
"hsa05016"	"Huntington's disease"	"13.049"	"283"	"138.636"	"11.064"
"hsa00260"	"Glycine, serine and threonine metabolism"	"11.723"	"83"	"25.722"	"4.886"
"hsa00620"	"Pyruvate metabolism"	"10.956"	"93"	"33.047"	"5.472"
"hsa00020"	"Citrate cycle (TCA cycle)"	"10.649"	"89"	"30.468"	"5.496"
"hsa04932"	"Non-alcoholic fatty liver disease (NAFLD)"	"10.55"	"170"	"79.78"	"8.551"
"hsa00051"	"Fructose and mannose metabolism"	"10.244"	"73"	"24.358"	"4.749"
"hsa00270"	"Cysteine and methionine metabolism"	"10.181"	"78"	"26.805"	"5.028"
"hsa00630"	"Glyoxylate and dicarboxylate metabolism"	"9.543"	"54"	"16.511"	"3.928"
"hsa00280"	"Valine, leucine and isoleucine degradation"	"9.251"	"58"	"19.685"	"4.142"
"hsa00520"	"Amino sugar and nucleotide sugar metabolism"	"9.069"	"72"	"26.993"	"4.963"
"hsa00400"	"Phenylalanine, tyrosine and tryptophan biosynthesis"	"9.06"	"14"	"1.919"	"1.333"
"hsa00230"	"Purine metabolism"	"8.982"	"159"	"83.005"	"8.461"
"hsa05418"	"Fluid shear stress and atherosclerosis"	"8.618"	"233"	"139.851"	"10.809"
"hsa00330"	"Arginine and proline metabolism"	"8.578"	"52"	"17.416"	"4.032"
"hsa00500"	"Starch and sucrose metabolism"	"8.532"	"57"	"20.253"	"4.307"
"hsa00072"	"Synthesis and degradation of ketone bodies"	"8.514"	"20"	"3.961"	"1.884"
"hsa00030"	"Pentose phosphate pathway"	"8.507"	"65"	"24.592"	"4.75"
"hsa00970"	"Aminoacyl-tRNA biosynthesis"	"8.391"	"62"	"22.473"	"4.711"
"hsa00350"	"Tyrosine metabolism"	"8.089"	"24"	"5.692"	"2.263"
"hsa04145"	"Phagosome"	"7.963"	"226"	"138.35"	"11.007"
"hsa00240"	"Pyrimidine metabolism"	"7.8"	"133"	"71.439"	"7.892"
"hsa00982"	"Drug metabolism - cytochrome P450"	"7.533"	"34"	"10.582"	"3.109"
"hsa00360"	"Phenylalanine metabolism"	"7.504"	"21"	"4.987"	"2.134"
"hsa00052"	"Galactose metabolism"	"7.503"	"56"	"22.051"	"4.524"
"hsa00900"	"Terpenoid backbone biosynthesis"	"7.241"	"26"	"7.402"	"2.568"
"hsa00561"	"Glycerolipid metabolism"	"7.141"	"39"	"13.742"	"3.537"
"hsa00650"	"Butanoate metabolism"	"7.107"	"21"	"5.497"	"2.181"
"hsa00980"	"Metabolism of xenobiotics by cytochrome P450"	"7.031"	"37"	"12.888"	"3.429"
"hsa00250"	"Alanine, aspartate and glutamate metabolism"	"6.802"	"39"	"15.112"	"3.512"
"hsa05230"	"Central carbon metabolism in cancer"	"6.797"	"146"	"87.374"	"8.625"
"hsa00640"	"Propanoate metabolism"	"6.614"	"41"	"15.292"	"3.887"
"hsa04966"	"Collecting duct acid secretion"	"6.577"	"54"	"23.862"	"4.583"
"hsa04146"	"Peroxisome"	"6.526"	"49"	"19.836"	"4.469"
"hsa05110"	"Vibrio cholerae infection"	"6.38"	"103"	"56.505"	"7.287"
"hsa05204"	"Chemical carcinogenesis"	"6.227"	"37"	"14.525"	"3.609"
"hsa05130"	"Pathogenic Escherichia coli infection"	"6.191"	"172"	"110.461"	"9.94"
"hsa04612"	"Antigen processing and presentation"	"6.069"	"147"	"94.95"	"8.577"
"hsa05134"	"Legionellosis"	"6.069"	"152"	"97.802"	"8.931"
"hsa00290"	"Valine, leucine and isoleucine biosynthesis"	"6.054"	"16"	"4.081"	"1.969"
"hsa05169"	"Epstein-Barr virus infection"	"6.034"	"410"	"308.904"	"16.754"
"hsa05014"	"Amyotrophic lateral sclerosis (ALS)"	"5.995"	"66"	"33.027"	"5.5"
"hsa04922"	"Glucagon signaling pathway"	"5.887"	"135"	"84.193"	"8.631"
"hsa04621"	"NOD-like receptor signaling pathway"	"5.833"	"171"	"111.996"	"10.115"
"hsa00380"	"Tryptophan metabolism"	"5.731"	"37"	"15.312"	"3.784"
"hsa04141"	"Protein processing in endoplasmic reticulum"	"5.729"	"259"	"186.345"	"12.683"
"hsa04530"	"Tight junction"	"5.726"	"223"	"156.832"	"11.557"
"hsa05120"	"Epithelial cell signaling in Helicobacter pylori infection"	"5.696"	"120"	"73.868"	"8.1"
"hsa04066"	"HIF-1 signaling pathway"	"5.632"	"149"	"96.972"	"9.237"
"hsa05145"	"Toxoplasmosis"	"5.552"	"174"	"116.956"	"10.274"
"hsa00340"	"Histidine metabolism"	"5.476"	"27"	"10.467"	"3.019"
"hsa04975"	"Fat digestion and absorption"	"5.457"	"20"	"6.277"	"2.515"
"hsa03050"	"Proteasome"	"5.423"	"93"	"55.338"	"6.945"
"hsa04540"	"Gap junction"	"5.298"	"181"	"125.041"	"10.561"
"hsa04217"	"Necroptosis"	"5.15"	"181"	"128.4"	"10.214"
"hsa00590"	"Arachidonic acid metabolism"	"5.045"	"17"	"5.173"	"2.344"
"hsa00410"	"beta-Alanine metabolism"	"4.959"	"30"	"13.029"	"3.423"
"hsa05020"	"Prion diseases"	"4.959"	"67"	"38.806"	"5.685"
"hsa05164"	"Influenza A"	"4.921"	"234"	"174.129"	"12.166"
"hsa04261"	"Adrenergic signaling in cardiomyocytes"	"4.799"	"145"	"99.116"	"9.561"
"hsa03022"	"Basal transcription factors"	"4.676"	"77"	"46.538"	"6.514"
"hsa00220"	"Arginine biosynthesis"	"4.65"	"22"	"8.618"	"2.878"
"hsa00040"	"Pentose and glucuronate interconversions"	"4.619"	"17"	"5.968"	"2.388"
"hsa04925"	"Aldosterone synthesis and secretion"	"4.617"	"74"	"44.27"	"6.439"
