"Pathway"	"Z-score"
"Glycolysis / Gluconeogenesis"	"9.722"
"Glycerophospholipid metabolism"	"8.561"
"Taste transduction"	"8.387"
"Oocyte meiosis"	"8.042"
"Progesterone-mediated oocyte maturation"	"7.539"
"Proteasome"	"7.279"
"Alcoholism"	"6.956"
"Pentose phosphate pathway"	"6.913"
"Cell cycle"	"6.83"
"Thiamine metabolism"	"6.789"
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	"6.748"
"Fructose and mannose metabolism"	"6.349"
"Peroxisome"	"6.322"
"RNA degradation"	"6.086"
"Glycerolipid metabolism"	"5.941"
"Amino sugar and nucleotide sugar metabolism"	"5.874"
"Glycine, serine and threonine metabolism"	"5.597"
"Starch and sucrose metabolism"	"5.509"
"Systemic lupus erythematosus"	"5.478"
"Glutathione metabolism"	"5.468"
"Alanine, aspartate and glutamate metabolism"	"5.423"
"Pyruvate metabolism"	"5.406"
"Gap junction"	"5.369"
"Glyoxylate and dicarboxylate metabolism"	"5.141"
"Aminoacyl-tRNA biosynthesis"	"5.054"
"Phosphonate and phosphinate metabolism"	"4.914"
"N-Glycan biosynthesis"	"4.905"
"DNA replication"	"4.871"
"Pathogenic Escherichia coli infection"	"4.829"
"Protein processing in endoplasmic reticulum"	"4.647"
"Homologous recombination"	"4.637"
"Terpenoid backbone biosynthesis"	"4.495"
"Cellular senescence"	"4.478"
"Dopaminergic synapse"	"4.453"
"Citrate cycle (TCA cycle)"	"4.438"
"Galactose metabolism"	"4.369"
"Glucagon signaling pathway"	"4.329"
"Tyrosine metabolism"	"4.209"
"Propanoate metabolism"	"4.152"
"Sphingolipid signaling pathway"	"4.132"
"One carbon pool by folate"	"4.128"
"Arginine and proline metabolism"	"3.924"
"Ribosome"	"3.825"
"Necroptosis"	"3.715"
"Glutamatergic synapse"	"3.673"
"Vitamin B6 metabolism"	"3.66"
"Prion diseases"	"3.627"
"Chemokine signaling pathway"	"3.614"
"Legionellosis"	"3.594"
"Adrenergic signaling in cardiomyocytes"	"3.468"
"Purine metabolism"	"3.407"
"Phagosome"	"3.397"
"Vibrio cholerae infection"	"3.363"
"Nucleotide excision repair"	"3.331"
"Mismatch repair"	"3.287"
"Fanconi anemia pathway"	"3.217"
"Base excision repair"	"3.158"
"Morphine addiction"	"3.154"
"Sulfur relay system"	"3.119"
"Fatty acid degradation"	"3.073"
"Arginine biosynthesis"	"3.004"
"p53 signaling pathway"	"2.967"
"AMPK signaling pathway"	"2.895"
"Histidine metabolism"	"2.889"
"Valine, leucine and isoleucine degradation"	"2.884"
"Pantothenate and CoA biosynthesis"	"2.798"
"Tryptophan metabolism"	"2.774"
"Nicotinate and nicotinamide metabolism"	"2.765"
"Fatty acid biosynthesis"	"2.747"
"Longevity regulating pathway - multiple species"	"2.734"
"Cysteine and methionine metabolism"	"2.714"
"Riboflavin metabolism"	"2.68"
"Insulin signaling pathway"	"2.605"
"Tight junction"	"2.575"
"Autophagy - animal"	"2.571"
"Porphyrin and chlorophyll metabolism"	"2.549"
"Biosynthesis of unsaturated fatty acids"	"2.493"
"ABC transporters"	"2.404"
"Steroid biosynthesis"	"2.381"
"beta-Alanine metabolism"	"2.379"
"Biotin metabolism"	"2.261"
"Lipoic acid metabolism"	"2.248"
"Folate biosynthesis"	"2.196"
"Phenylalanine metabolism"	"2.196"
"Sphingolipid metabolism"	"2.173"
"Lysosome"	"2.166"
"Neuroactive ligand-receptor interaction"	"2.127"
"PPAR signaling pathway"	"2.113"
"Fat digestion and absorption"	"2.105"
"cGMP-PKG signaling pathway"	"2.029"
"Taurine and hypotaurine metabolism"	"2.024"
"Serotonergic synapse"	"2.021"
"GABAergic synapse"	"1.994"
"Synaptic vesicle cycle"	"1.986"
"mTOR signaling pathway"	"1.974"
"Regulation of lipolysis in adipocytes"	"1.961"
"Neomycin, kanamycin and gentamicin biosynthesis"	"1.958"
"Vasopressin-regulated water reabsorption"	"1.875"
"Collecting duct acid secretion"	"1.873"
"Central carbon metabolism in cancer"	"1.846"
"Non-homologous end-joining"	"1.837"
"Long-term depression"	"1.829"
"Renin secretion"	"1.822"
"Cocaine addiction"	"1.821"
"Long-term potentiation"	"1.816"
"Amphetamine addiction"	"1.784"
"Selenocompound metabolism"	"1.763"
"Ubiquinone and other terpenoid-quinone biosynthesis"	"1.758"
"Primary bile acid biosynthesis"	"1.747"
