Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_ALL	GO:0046332~SMAD binding	18	33.33333333333333	6.700141856296273E-29	ENSG00000197323, ENSG00000101665, ENSG00000177426, ENSG00000108854, ENSG00000166949, ENSG00000157933, ENSG00000064393, ENSG00000107779, ENSG00000170365, ENSG00000136603, ENSG00000106799, ENSG00000168036, ENSG00000137834, ENSG00000124225, ENSG00000198742, ENSG00000100614, ENSG00000115170, ENSG00000125845	52	71	16881	82.30173347778982	2.3450496497036958E-26	2.3450496497036958E-26	9.163643157614129E-26
GOTERM_MF_ALL	GO:0005160~transforming growth factor beta receptor binding	9	16.666666666666664	1.9034135339158146E-12	ENSG00000137834, ENSG00000143768, ENSG00000101665, ENSG00000105329, ENSG00000108854, ENSG00000166949, ENSG00000106991, ENSG00000106799, ENSG00000125845	52	50	16881	58.43423076923077	6.661782236960789E-10	3.3308911184803947E-10	2.603195436989836E-9
GOTERM_MF_ALL	GO:0070411~I-SMAD binding	6	11.11111111111111	9.376876746543526E-11	ENSG00000137834, ENSG00000101665, ENSG00000198742, ENSG00000170365, ENSG00000168036, ENSG00000106799	52	11	16881	177.0734265734266	3.281906912899757E-8	1.0939689820688159E-8	1.2824558082158433E-7
GOTERM_MF_ALL	GO:0005057~receptor signaling protein activity	10	18.51851851851852	5.014482424930681E-10	ENSG00000137834, ENSG00000101665, ENSG00000204217, ENSG00000166949, ENSG00000135341, ENSG00000106991, ENSG00000107779, ENSG00000170365, ENSG00000115170, ENSG00000106799	52	147	16881	22.0839874411303	1.7550686037814955E-7	4.38767179256061E-8	6.858201784254447E-7
GOTERM_MF_ALL	GO:0070412~R-SMAD binding	6	11.11111111111111	4.037242567025711E-9	ENSG00000197323, ENSG00000137834, ENSG00000124225, ENSG00000166949, ENSG00000100614, ENSG00000198742	52	21	16881	92.75274725274726	1.4130338936713116E-6	2.826069384065377E-7	5.521651602613531E-6
GOTERM_MF_ALL	GO:0005072~transforming growth factor beta receptor, cytoplasmic mediator activity	5	9.25925925925926	1.530901669611628E-8	ENSG00000137834, ENSG00000101665, ENSG00000166949, ENSG00000106991, ENSG00000170365	52	10	16881	162.3173076923077	5.358141538458483E-6	8.930255834815881E-7	2.093781829026753E-5
GOTERM_MF_ALL	GO:0070410~co-SMAD binding	5	9.25925925925926	3.592497550015591E-8	ENSG00000197323, ENSG00000137834, ENSG00000177426, ENSG00000166949, ENSG00000170365	52	12	16881	135.26442307692307	1.2573662619197457E-5	1.796247196539369E-6	4.9133822610514244E-5
GOTERM_MF_ALL	GO:0004675~transmembrane receptor protein serine/threonine kinase activity	5	9.25925925925926	1.7081546413850103E-7	ENSG00000204217, ENSG00000106991, ENSG00000107779, ENSG00000115170, ENSG00000106799	52	17	16881	95.48076923076924	5.978363043102064E-5	7.473149268855117E-6	2.3362046620567511E-4
GOTERM_MF_ALL	GO:0003714~transcription corepressor activity	9	16.666666666666664	3.537506408669529E-7	ENSG00000177426, ENSG00000064393, ENSG00000157933, ENSG00000117318, ENSG00000116478, ENSG00000136603, ENSG00000171223, ENSG00000018408, ENSG00000196498	52	226	16881	12.92792716133424	1.2380508172959992E-4	1.3756877174531112E-5	4.838162297127191E-4
GOTERM_MF_ALL	GO:0005515~protein binding	49	90.74074074074075	5.282948641160812E-7	ENSG00000197323, ENSG00000101665, ENSG00000108854, ENSG00000115306, ENSG00000101966, ENSG00000064393, ENSG00000107779, ENSG00000087074, ENSG00000168036, ENSG00000171223, ENSG00000140564, ENSG00000204217, ENSG00000117318, ENSG00000116478, ENSG00000125845, ENSG00000183691, ENSG00000106366, ENSG00000119681, ENSG00000106991, ENSG00000054267, ENSG00000196498, ENSG00000137834, ENSG00000155090, ENSG00000137936, ENSG00000039068, ENSG00000124225, ENSG00000134982, ENSG00000168522, ENSG00000018408, ENSG00000105329, ENSG00000166949, ENSG00000170365, ENSG00000136603, ENSG00000106799, ENSG00000125968, ENSG00000129757, ENSG00000137801, ENSG00000135341, ENSG00000109332, ENSG00000100614, ENSG00000104067, ENSG00000067560, ENSG00000177426, ENSG00000157933, ENSG00000143768, ENSG00000198742, ENSG00000172531, ENSG00000115738, ENSG00000115170	52	10806	16881	1.472061461581173	1.8488615771616868E-4	1.849015418187161E-5	7.225353596429507E-4
GOTERM_MF_ALL	GO:0005126~cytokine receptor binding	9	16.666666666666664	1.4724296158669709E-6	ENSG00000137834, ENSG00000143768, ENSG00000101665, ENSG00000105329, ENSG00000108854, ENSG00000166949, ENSG00000106991, ENSG00000106799, ENSG00000125845	52	273	16881	10.702240067624682	5.152179745877561E-4	4.684897027762425E-5	0.0020137922358332006
GOTERM_MF_ALL	GO:0034713~type I transforming growth factor beta receptor binding	4	7.4074074074074066	2.154446085795673E-6	ENSG00000137834, ENSG00000101665, ENSG00000105329, ENSG00000106991	52	9	16881	144.28205128205127	7.537727128125171E-4	6.283610425450448E-5	0.0029465503803671744
GOTERM_MF_ALL	GO:0019838~growth factor binding	7	12.962962962962962	2.300658591739997E-6	ENSG00000140564, ENSG00000119681, ENSG00000204217, ENSG00000137801, ENSG00000106991, ENSG00000115170, ENSG00000106799	52	128	16881	17.753455528846153	8.049073215634639E-4	6.193896119510711E-5	0.0031465165041599796
GOTERM_MF_ALL	GO:0048185~activin binding	4	7.4074074074074066	5.60659166445642E-6	ENSG00000101665, ENSG00000106991, ENSG00000198742, ENSG00000115170	52	12	16881	108.21153846153845	0.0019603885069326976	1.401553618565199E-4	0.007667745059536379
GOTERM_MF_ALL	GO:0044212~transcription regulatory region DNA binding	13	24.074074074074073	6.565700323455671E-6	ENSG00000137834, ENSG00000155090, ENSG00000101665, ENSG00000177426, ENSG00000166949, ENSG00000157933, ENSG00000116478, ENSG00000170365, ENSG00000136603, ENSG00000171223, ENSG00000168036, ENSG00000054267, ENSG00000196498	52	853	16881	4.947538100820633	0.0022953642704923727	1.5318844259915032E-4	0.008979396606934031
GOTERM_MF_ALL	GO:0000975~regulatory region DNA binding	13	24.074074074074073	6.804812785541736E-6	ENSG00000137834, ENSG00000155090, ENSG00000101665, ENSG00000177426, ENSG00000166949, ENSG00000157933, ENSG00000116478, ENSG00000170365, ENSG00000136603, ENSG00000171223, ENSG00000168036, ENSG00000054267, ENSG00000196498	52	856	16881	4.930198598130842	0.0023788585990176525	1.488447076803956E-4	0.009306397980646253
