"GO.ID"	"GO.Term"	"Z-score"
"GO:0048179"	"activin receptor complex"	"31.445"
"GO:0005667"	"transcription factor complex"	"24.584"
"GO:0071141"	"SMAD protein complex"	"24.072"
"GO:0034673"	"inhibin-betaglycan-ActRII complex"	"21.241"
"GO:0070022"	"transforming growth factor beta receptor homodimeric complex"	"18.309"
"GO:0016342"	"catenin complex"	"17.244"
"GO:0070724"	"BMP receptor complex"	"16.161"
"GO:0043235"	"receptor complex"	"15.971"
"GO:1990718"	"axonemal central pair projection"	"15.772"
"GO:0071144"	"SMAD2-SMAD3 protein complex"	"15.646"
"GO:0032444"	"activin responsive factor complex"	"15.592"
"GO:0005923"	"bicellular tight junction"	"15.066"
"GO:0044214"	"spanning component of plasma membrane"	"14.202"
"GO:0005737"	"cytoplasm"	"12.885"
"GO:0031012"	"extracellular matrix"	"12.545"
"GO:0030877"	"beta-catenin destruction complex"	"12.497"
"GO:0005654"	"nucleoplasm"	"11.589"
"GO:0005913"	"cell-cell adherens junction"	"11.572"
"GO:0000790"	"nuclear chromatin"	"11.517"
"GO:0062023"	NA	"11.353"
"GO:0090575"	"RNA polymerase II transcription factor complex"	"10.957"
"GO:0016513"	"core-binding factor complex"	"10.691"
"GO:0005637"	"nuclear inner membrane"	"10.194"
"GO:0017053"	"transcriptional repressor complex"	"9.963"
"GO:0000118"	"histone deacetylase complex"	"9.941"
"GO:0005953"	"CAAX-protein geranylgeranyltransferase complex"	"9.759"
"GO:0071148"	"TEAD-1-YAP complex"	"9.52"
"GO:0043512"	"inhibin A complex"	"9.459"
"GO:1990907"	"beta-catenin-TCF complex"	"9.373"
"GO:0016592"	"mediator complex"	"8.9"
"GO:0032991"	"macromolecular complex"	"8.776"
"GO:0016028"	"rhabdomere"	"8.686"
"GO:0031260"	"pseudopodium membrane"	"8.658"
"GO:0005912"	"adherens junction"	"7.978"
"GO:0005587"	"collagen type IV trimer"	"7.916"
"GO:0016328"	"lateral plasma membrane"	"7.817"
"GO:0043509"	"activin A complex"	"7.77"
"GO:0005588"	"collagen type V trimer"	"7.497"
"GO:0005586"	"collagen type III trimer"	"7.492"
"GO:0005634"	"nucleus"	"7.458"
"GO:0005938"	"cell cortex"	"7.421"
"GO:0031416"	"NatB complex"	"7.297"
"GO:0070369"	"beta-catenin-TCF7L2 complex"	"7.295"
"GO:0005901"	"caveola"	"7.185"
"GO:0071149"	"TEAD-2-YAP complex"	"7.169"
"GO:1990909"	"Wnt signalosome"	"6.996"
"GO:1990712"	"HFE-transferrin receptor complex"	"6.978"
"GO:0009986"	"cell surface"	"6.857"
"GO:0043296"	"apical junction complex"	"6.722"
"GO:0097733"	NA	"6.631"
"GO:0005615"	"extracellular space"	"6.52"
"GO:0000151"	"ubiquitin ligase complex"	"6.433"
"GO:0016605"	"PML body"	"6.271"
"GO:0016604"	"nuclear body"	"6.257"
"GO:0044798"	"nuclear transcription factor complex"	"6.256"
"GO:0016580"	"Sin3 complex"	"6.25"
"GO:0016327"	"apicolateral plasma membrane"	"6.175"
"GO:0032993"	"protein-DNA complex"	"6.108"
"GO:0005911"	"cell-cell junction"	"6.09"
"GO:0005585"	"collagen type II trimer"	"6.039"
"GO:0005915"	"zonula adherens"	"5.831"
"GO:0000308"	"cytoplasmic cyclin-dependent protein kinase holoenzyme complex"	"5.791"
"GO:0031477"	"myosin VII complex"	"5.597"
"GO:1990435"	"upper tip-link density"	"5.597"
"GO:0005604"	"basement membrane"	"5.59"
"GO:0043513"	"inhibin B complex"	"5.588"
"GO:0005886"	"plasma membrane"	"5.541"
"GO:0016602"	"CCAAT-binding factor complex"	"5.46"
"GO:0031225"	"anchored component of membrane"	"5.434"
"GO:0034423"	"autophagosome lumen"	"5.411"
"GO:0042406"	"extrinsic component of endoplasmic reticulum membrane"	"5.405"
"GO:0072563"	"endothelial microparticle"	"5.375"
"GO:0008385"	"IkappaB kinase complex"	"5.304"
"GO:0001527"	"microfibril"	"5.234"
"GO:0030054"	"cell junction"	"5.229"
"GO:0071944"	"cell periphery"	"5.218"
"GO:0005856"	"cytoskeleton"	"5.163"
"GO:0005968"	"Rab-protein geranylgeranyltransferase complex"	"5.141"
"GO:0019005"	"SCF ubiquitin ligase complex"	"5.099"
"GO:0098831"	"presynaptic active zone cytoplasmic component"	"5.034"
"GO:0035631"	"CD40 receptor complex"	"5.033"
"GO:0016514"	"SWI/SNF complex"	"5.032"
"GO:0030056"	"hemidesmosome"	"5.029"
"GO:0071565"	"nBAF complex"	"4.999"
"GO:0071564"	"npBAF complex"	"4.943"
"GO:0005965"	"protein farnesyltransferase complex"	"4.908"
"GO:0005592"	"collagen type XI trimer"	"4.827"
"GO:0031523"	"Myb complex"	"4.776"
"GO:0005916"	"fascia adherens"	"4.738"
"GO:0005680"	"anaphase-promoting complex"	"4.703"
"GO:0030018"	"Z disc"	"4.693"
"GO:0033553"	"rDNA heterochromatin"	"4.69"
"GO:0005584"	"collagen type I trimer"	"4.677"
"GO:0070822"	"Sin3-type complex"	"4.661"
"GO:0016324"	"apical plasma membrane"	"4.652"
"GO:0009925"	"basal plasma membrane"	"4.619"
"GO:0000164"	"protein phosphatase type 1 complex"	"4.556"
"GO:0005677"	"chromatin silencing complex"	"4.492"
"GO:0032449"	"CBM complex"	"4.448"
"GO:0016600"	"flotillin complex"	"4.416"
