"ID"	"Pathway"	"zscore"	"obs"	"mean"	"std"
"hsa04350"	"TGF-beta signaling pathway"	"36.326"	"523"	"125.774"	"10.935"
"hsa04390"	"Hippo signaling pathway"	"25.44"	"624"	"234.962"	"15.293"
"hsa04550"	"Signaling pathways regulating pluripotency of stem cells"	"25.026"	"483"	"166.89"	"12.631"
"hsa05200"	"Pathways in cancer"	"19.049"	"1118"	"641.226"	"25.029"
"hsa05226"	"Gastric cancer"	"17.911"	"442"	"191.972"	"13.96"
"hsa04310"	"Wnt signaling pathway"	"17.35"	"442"	"198.798"	"14.017"
"hsa04520"	"Adherens junction"	"17.295"	"358"	"149.037"	"12.082"
"hsa05225"	"Hepatocellular carcinoma"	"17.092"	"484"	"222.525"	"15.298"
"hsa05210"	"Colorectal cancer"	"16.525"	"380"	"168.558"	"12.795"
"hsa04933"	"AGE-RAGE signaling pathway in diabetic complications"	"16.484"	"333"	"147.504"	"11.253"
"hsa05161"	"Hepatitis B"	"15.995"	"498"	"252.163"	"15.37"
"hsa05212"	"Pancreatic cancer"	"15.376"	"333"	"143.773"	"12.307"
"hsa04120"	"Ubiquitin mediated proteolysis"	"15.184"	"425"	"215.057"	"13.827"
"hsa05217"	"Basal cell carcinoma"	"14.976"	"151"	"48.176"	"6.866"
"hsa05166"	"HTLV-I infection"	"14.654"	"631"	"358.272"	"18.612"
"hsa05165"	"Human papillomavirus infection"	"14.482"	"674"	"386.749"	"19.835"
"hsa05220"	"Chronic myeloid leukemia"	"13.344"	"341"	"169.008"	"12.889"
"hsa04068"	"FoxO signaling pathway"	"12.935"	"418"	"230.415"	"14.502"
"hsa05202"	"Transcriptional misregulation in cancer"	"12.586"	"393"	"215.125"	"14.133"
"hsa04330"	"Notch signaling pathway"	"12.52"	"156"	"62.075"	"7.502"
"hsa04218"	"Cellular senescence"	"12.468"	"492"	"285.808"	"16.538"
"hsa04659"	"Th17 cell differentiation"	"12.104"	"302"	"158.216"	"11.879"
"hsa05205"	"Proteoglycans in cancer"	"11.925"	"506"	"306.542"	"16.726"
"hsa04510"	"Focal adhesion"	"11.482"	"415"	"246.252"	"14.697"
"hsa04919"	"Thyroid hormone signaling pathway"	"11.289"	"374"	"215.998"	"13.996"
"hsa05206"	"MicroRNAs in cancer"	"11.042"	"390"	"229.17"	"14.565"
"hsa04380"	"Osteoclast differentiation"	"11.003"	"293"	"159.759"	"12.109"
"hsa05321"	"Inflammatory bowel disease (IBD)"	"10.774"	"129"	"54.045"	"6.957"
"hsa04060"	"Cytokine-cytokine receptor interaction"	"10.759"	"237"	"122.297"	"10.661"
"hsa05213"	"Endometrial cancer"	"10.711"	"231"	"119.107"	"10.447"
"hsa05224"	"Breast cancer"	"10.7"	"361"	"205.319"	"14.55"
"hsa05418"	"Fluid shear stress and atherosclerosis"	"10.571"	"406"	"250.698"	"14.691"
"hsa04620"	"Toll-like receptor signaling pathway"	"10.401"	"234"	"124.579"	"10.521"
"hsa04110"	"Cell cycle"	"10.062"	"453"	"285.711"	"16.626"
"hsa05142"	"Chagas disease (American trypanosomiasis)"	"9.794"	"294"	"172.609"	"12.394"
"hsa05215"	"Prostate cancer"	"9.674"	"324"	"193.041"	"13.537"
"hsa05222"	"Small cell lung cancer"	"9.628"	"259"	"146.732"	"11.66"
"hsa04010"	"MAPK signaling pathway"	"9.273"	"580"	"401.294"	"19.271"
"hsa04934"	"Cushing's syndrome"	"9.025"	"264"	"154.683"	"12.113"
"hsa05221"	"Acute myeloid leukemia"	"8.69"	"199"	"110.289"	"10.209"
"hsa04668"	"TNF signaling pathway"	"8.617"	"251"	"149.696"	"11.756"
"hsa04392"	"Hippo signaling pathway - multiple species"	"8.495"	"63"	"23.584"	"4.64"
"hsa04974"	"Protein digestion and absorption"	"8.08"	"52"	"17.031"	"4.328"
"hsa04926"	"Relaxin signaling pathway"	"7.911"	"320"	"209.171"	"14.009"
"hsa05160"	"Hepatitis C"	"7.903"	"290"	"185.36"	"13.241"
"hsa05144"	"Malaria"	"7.781"	"60"	"24.486"	"4.564"
"hsa04630"	"Jak-STAT signaling pathway"	"7.65"	"192"	"114.131"	"10.179"
"hsa04215"	"Apoptosis - multiple species"	"7.629"	"66"	"27.567"	"5.038"
"hsa05167"	"Kaposi's sarcoma-associated herpesvirus infection"	"7.607"	"428"	"298.619"	"17.009"
"hsa04340"	"Hedgehog signaling pathway"	"7.311"	"141"	"78.847"	"8.501"
"hsa04622"	"RIG-I-like receptor signaling pathway"	"7.229"	"139"	"77.002"	"8.576"
"hsa04360"	"Axon guidance"	"7.174"	"253"	"164.19"	"12.379"
"hsa04931"	"Insulin resistance"	"7.174"	"212"	"133.516"	"10.94"
"hsa05412"	"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	"7.059"	"109"	"58.608"	"7.138"
"hsa05168"	"Herpes simplex infection"	"6.942"	"388"	"275.283"	"16.238"
"hsa04512"	"ECM-receptor interaction"	"6.887"	"73"	"34.037"	"5.658"
"hsa05152"	"Tuberculosis"	"6.628"	"276"	"189.662"	"13.027"
"hsa04064"	"NF-kappa B signaling pathway"	"6.522"	"193"	"124.267"	"10.538"
"hsa04621"	"NOD-like receptor signaling pathway"	"6.281"	"285"	"202.586"	"13.121"
"hsa04670"	"Leukocyte transendothelial migration"	"6.256"	"191"	"125.564"	"10.459"
"hsa04657"	"IL-17 signaling pathway"	"6.175"	"225"	"153.03"	"11.655"
"hsa05140"	"Leishmaniasis"	"6.165"	"147"	"89.98"	"9.249"
"hsa04115"	"p53 signaling pathway"	"6.021"	"139"	"85.569"	"8.874"
"hsa05211"	"Renal cell carcinoma"	"5.949"	"192"	"128.192"	"10.726"
"hsa05162"	"Measles"	"5.612"	"309"	"226.437"	"14.711"
"hsa04144"	"Endocytosis"	"5.552"	"461"	"357.505"	"18.641"
"hsa05145"	"Toxoplasmosis"	"5.432"	"286"	"208.914"	"14.19"
"hsa04371"	"Apelin signaling pathway"	"5.401"	"249"	"178.982"	"12.963"
"hsa04530"	"Tight junction"	"5.373"	"372"	"284.875"	"16.215"
"hsa05219"	"Bladder cancer"	"5.338"	"146"	"95.961"	"9.375"
"hsa05216"	"Thyroid cancer"	"5.258"	"131"	"85.56"	"8.643"
"hsa04625"	"C-type lectin receptor signaling pathway"	"5.201"	"211"	"151.374"	"11.465"
"hsa05218"	"Melanoma"	"5.138"	"157"	"106.72"	"9.786"
"hsa04137"	"Mitophagy - animal"	"4.927"	"175"	"123.059"	"10.542"
"hsa04932"	"Non-alcoholic fatty liver disease (NAFLD)"	"4.893"	"201"	"146.795"	"11.078"
"hsa04920"	"Adipocytokine signaling pathway"	"4.863"	"127"	"84.148"	"8.812"
"hsa04917"	"Prolactin signaling pathway"	"4.796"	"172"	"119.614"	"10.922"
"hsa04151"	"PI3K-Akt signaling pathway"	"4.781"	"545"	"445.069"	"20.901"
"hsa04514"	"Cell adhesion molecules (CAMs)"	"4.582"	"76"	"46.292"	"6.484"
"hsa05223"	"Non-small cell lung cancer"	"4.525"	"169"	"120.38"	"10.744"
"hsa04722"	"Neurotrophin signaling pathway"	"4.42"	"275"	"215.146"	"13.541"
"hsa04210"	"Apoptosis"	"4.255"	"299"	"237.364"	"14.487"
"hsa04916"	"Melanogenesis"	"3.969"	"155"	"114.95"	"10.092"
"hsa04658"	"Th1 and Th2 cell differentiation"	"3.905"	"148"	"108.958"	"9.998"
"hsa05146"	"Amoebiasis"	"3.762"	"131"	"96.754"	"9.103"
"hsa04660"	"T cell receptor signaling pathway"	"3.687"	"209"	"163.223"	"12.416"
"hsa04015"	"Rap1 signaling pathway"	"3.669"	"277"	"225.037"	"14.163"
"hsa04662"	"B cell receptor signaling pathway"	"3.554"	"160"	"121.283"	"10.892"
"hsa05164"	"Influenza A"	"3.552"	"373"	"310.981"	"17.461"
"hsa05014"	"Amyotrophic lateral sclerosis (ALS)"	"3.407"	"87"	"61.551"	"7.47"
"hsa04810"	"Regulation of actin cytoskeleton"	"3.399"	"298"	"247.096"	"14.976"
"hsa05203"	"Viral carcinogenesis"	"3.369"	"515"	"445.822"	"20.535"
"hsa04370"	"VEGF signaling pathway"	"3.29"	"120"	"90.908"	"8.843"
"hsa05231"	"Choline metabolism in cancer"	"3.269"	"152"	"117.905"	"10.429"
"hsa05410"	"Hypertrophic cardiomyopathy (HCM)"	"3.235"	"99"	"72.469"	"8.201"
"hsa04664"	"Fc epsilon RI signaling pathway"	"3.201"	"129"	"99.372"	"9.257"
"hsa04012"	"ErbB signaling pathway"	"3.185"	"201"	"161.317"	"12.461"
"hsa04710"	"Circadian rhythm"	"3.128"	"76"	"54.562"	"6.854"
"hsa05214"	"Glioma"	"3.028"	"172"	"137.241"	"11.48"
"hsa04014"	"Ras signaling pathway"	"2.782"	"290"	"248.775"	"14.818"
"hsa05131"	"Shigellosis"	"2.779"	"164"	"132.212"	"11.437"
"hsa04611"	"Platelet activation"	"2.54"	"183"	"153.592"	"11.577"
"hsa04140"	"Autophagy - animal"	"2.504"	"188"	"158.558"	"11.757"
"hsa04960"	"Aldosterone-regulated sodium reabsorption"	"2.427"	"64"	"48.227"	"6.498"
"hsa04211"	"Longevity regulating pathway"	"2.333"	"146"	"121.323"	"10.576"
"hsa04973"	"Carbohydrate digestion and absorption"	"2.328"	"43"	"30.799"	"5.24"
"hsa05120"	"Epithelial cell signaling in Helicobacter pylori infection"	"2.312"	"160"	"134.603"	"10.983"
"hsa04910"	"Insulin signaling pathway"	"2.304"	"256"	"223.355"	"14.17"
"hsa04930"	"Type II diabetes mellitus"	"2.277"	"86"	"68.579"	"7.652"
"hsa04071"	"Sphingolipid signaling pathway"	"2.27"	"211"	"181.705"	"12.906"
"hsa05133"	"Pertussis"	"2.158"	"133"	"111.823"	"9.813"
"hsa04914"	"Progesterone-mediated oocyte maturation"	"2.055"	"174"	"150.451"	"11.46"
"hsa04720"	"Long-term potentiation"	"1.98"	"135"	"114.614"	"10.295"
"hsa05031"	"Amphetamine addiction"	"1.918"	"123"	"104.273"	"9.765"
"hsa04217"	"Necroptosis"	"1.898"	"260"	"232.05"	"14.725"
"hsa04978"	"Mineral absorption"	"1.892"	"21"	"13.998"	"3.702"
"hsa04152"	"AMPK signaling pathway"	"1.627"	"209"	"187.979"	"12.916"
"hsa04912"	"GnRH signaling pathway"	"1.551"	"155"	"137.564"	"11.245"
