goId	name	refNum	interestNum	interestGene	expect	ratio	pValue	FDR
GO:0007166	cell surface receptor signaling pathway	2546	33	ACVR1|1;APC|1;XIAP|1;RHOA|1;BMP2|1;BMPR1A|1;BMPR2|1;CTNNB1|1;ENG|1;FKBP1A|1;FNTA|1;HDAC1|1;ID1|1;JUNB|1;SMAD1|1;SMAD3|1;SMAD6|1;SMAD7|1;PPM1A|1;PPP1CA|1;SKI|1;SKIL|1;SPTBN1|1;MAP3K7|1;TGFB1|1;TGFBR1|1;THBS1|1;UBE2D3|1;WWTR1|1;HIPK2|1;TRIM33|1;SMURF1|1;SMURF2|1	7.5108520053382035	4.393642688811581	0	0
GO:0007167	enzyme linked receptor protein signaling pathway	938	30	ACVR1|1;APC|1;XIAP|1;RHOA|1;BMP2|1;BMPR1A|1;BMPR2|1;CTNNB1|1;ENG|1;FKBP1A|1;FNTA|1;ID1|1;SMAD1|1;SMAD3|1;SMAD6|1;SMAD7|1;PPM1A|1;SKI|1;SKIL|1;SPTBN1|1;MAP3K7|1;TGFB1|1;TGFBR1|1;THBS1|1;UBE2D3|1;WWTR1|1;HIPK2|1;TRIM33|1;SMURF1|1;SMURF2|1	2.7671560019667067	10.841455985379225	0	0
GO:0007178	transmembrane receptor protein serine/threonine kinase signaling pathway	307	28	ACVR1|1;XIAP|1;RHOA|1;BMP2|1;BMPR1A|1;BMPR2|1;ENG|1;FKBP1A|1;FNTA|1;ID1|1;SMAD1|1;SMAD3|1;SMAD6|1;SMAD7|1;PPM1A|1;SKI|1;SKIL|1;SPTBN1|1;MAP3K7|1;TGFB1|1;TGFBR1|1;THBS1|1;UBE2D3|1;WWTR1|1;HIPK2|1;TRIM33|1;SMURF1|1;SMURF2|1	0.9056683290018965	30.916395222584146	0	0
GO:0007179	transforming growth factor beta receptor signaling pathway	176	22	ACVR1|1;RHOA|1;BMPR1A|1;BMPR2|1;ENG|1;FNTA|1;ID1|1;SMAD1|1;SMAD3|1;SMAD6|1;SMAD7|1;PPM1A|1;SKI|1;SKIL|1;MAP3K7|1;TGFB1|1;TGFBR1|1;THBS1|1;HIPK2|1;TRIM33|1;SMURF1|1;SMURF2|1	0.5192105078317062	42.3720238095238	0	0
GO:0009719	response to endogenous stimulus	1497	31	ACVR1|1;APC|1;XIAP|1;RHOA|1;BMP2|1;BMPR1A|1;BMPR2|1;CDH1|1;CTNNB1|1;ENG|1;FNTA|1;HDAC1|1;ID1|1;JUNB|1;SMAD1|1;SMAD3|1;SMAD6|1;SMAD7|1;PPM1A|1;SKI|1;SKIL|1;MAP3K7|1;TGFB1|1;TGFBR1|1;THBS1|1;UBE2D3|1;NCOR2|1;HIPK2|1;TRIM33|1;SMURF1|1;SMURF2|1	4.416239376273092	7.019547030569074	0	0
GO:0010033	response to organic substance	2893	35	ACVR1|1;APC|1;XIAP|1;RHOA|1;BMP2|1;BMPR1A|1;BMPR2|1;CDH1|1;CDK9|1;CTNNB1|1;ENG|1;FNTA|1;HDAC1|1;ID1|1;ID3|1;JUNB|1;SMAD1|1;SMAD3|1;SMAD6|1;SMAD7|1;PPM1A|1;SKI|1;SKIL|1;MAP3K7|1;TGFB1|1;TGFBR1|1;TGIF1|1;THBS1|1;UBE2D3|1;NCOR2|1;PPP1R15A|1;HIPK2|1;TRIM33|1;SMURF1|1;SMURF2|1	8.53452272248367	4.100990897568844	0	0
GO:0017015	regulation of transforming growth factor beta receptor signaling pathway	104	14	ENG|1;SMAD3|1;SMAD6|1;SMAD7|1;PPM1A|1;SKI|1;SKIL|1;TGFB1|1;TGFBR1|1;THBS1|1;HIPK2|1;TRIM33|1;SMURF1|1;SMURF2|1	0.3068062091732809	45.631410256410255	0	0
GO:0030509	BMP signaling pathway	131	18	ACVR1|1;XIAP|1;BMP2|1;BMPR1A|1;BMPR2|1;ENG|1;ID1|1;SMAD1|1;SMAD6|1;SMAD7|1;PPM1A|1;SKI|1;SKIL|1;UBE2D3|1;HIPK2|1;TRIM33|1;SMURF1|1;SMURF2|1	0.3864578211701904	46.57688113413304	0	0
GO:0030510	regulation of BMP signaling pathway	73	12	XIAP|1;BMPR2|1;ENG|1;SMAD6|1;SMAD7|1;PPM1A|1;SKI|1;SKIL|1;HIPK2|1;TRIM33|1;SMURF1|1;SMURF2|1	0.21535435836201447	55.72211350293542	0	0
GO:0070848	response to growth factor	651	27	ACVR1|1;XIAP|1;RHOA|1;BMP2|1;BMPR1A|1;BMPR2|1;CTNNB1|1;ENG|1;FNTA|1;ID1|1;SMAD1|1;SMAD3|1;SMAD6|1;SMAD7|1;PPM1A|1;SKI|1;SKIL|1;MAP3K7|1;TGFB1|1;TGFBR1|1;TGIF1|1;THBS1|1;UBE2D3|1;HIPK2|1;TRIM33|1;SMURF1|1;SMURF2|1	1.920488867036595	14.05892034233048	0	0
