Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	40	20.2020202020202	2.076902449922719E-26	ENSG00000275302, ENSG00000115008, ENSG00000115009, ENSG00000049249, ENSG00000168884, ENSG00000073756, ENSG00000170345, ENSG00000172216, ENSG00000163739, ENSG00000173039, ENSG00000137462, ENSG00000162924, ENSG00000104856, ENSG00000184371, ENSG00000169248, ENSG00000136244, ENSG00000163661, ENSG00000125538, ENSG00000169245, ENSG00000118503, ENSG00000123610, ENSG00000125845, ENSG00000176170, ENSG00000116044, ENSG00000150782, ENSG00000108691, ENSG00000232810, ENSG00000113916, ENSG00000173391, ENSG00000164251, ENSG00000145901, ENSG00000124875, ENSG00000163734, ENSG00000104312, ENSG00000121797, ENSG00000271503, ENSG00000110944, ENSG00000109320, ENSG00000077150, ENSG00000081041	191	379	16792	9.27875782232107	4.039575265099689E-23	4.039575265099689E-23	3.5592341680187734E-23
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	55	27.77777777777778	2.9257574641048846E-23	ENSG00000125740, ENSG00000115008, ENSG00000185022, ENSG00000128342, ENSG00000102908, ENSG00000170345, ENSG00000105835, ENSG00000171223, ENSG00000173039, ENSG00000161011, ENSG00000125347, ENSG00000137462, ENSG00000142871, ENSG00000122641, ENSG00000125845, ENSG00000116044, ENSG00000150782, ENSG00000106366, ENSG00000122877, ENSG00000114315, ENSG00000145901, ENSG00000110944, ENSG00000132510, ENSG00000075426, ENSG00000100906, ENSG00000136997, ENSG00000168884, ENSG00000112715, ENSG00000166949, ENSG00000172216, ENSG00000119508, ENSG00000177606, ENSG00000153234, ENSG00000157557, ENSG00000163660, ENSG00000104856, ENSG00000162924, ENSG00000136244, ENSG00000125538, ENSG00000101384, ENSG00000169245, ENSG00000078401, ENSG00000120738, ENSG00000123358, ENSG00000136826, ENSG00000221869, ENSG00000162772, ENSG00000232810, ENSG00000107201, ENSG00000175592, ENSG00000164251, ENSG00000127528, ENSG00000104312, ENSG00000077150, ENSG00000109320	191	981	16792	4.929044515960315	5.690598267684001E-20	2.8452991338420003E-20	5.013935986240252E-20
GOTERM_BP_DIRECT	GO:0071222~cellular response to lipopolysaccharide	19	9.595959595959595	5.132757363577659E-16	ENSG00000115009, ENSG00000168884, ENSG00000108691, ENSG00000106366, ENSG00000232810, ENSG00000113302, ENSG00000184588, ENSG00000172216, ENSG00000189067, ENSG00000173039, ENSG00000165029, ENSG00000090339, ENSG00000128016, ENSG00000164400, ENSG00000109320, ENSG00000136244, ENSG00000169245, ENSG00000121594, ENSG00000118503	191	113	16792	14.782375017374784	1.0796918914479647E-12	3.5993430458347575E-13	9.547918011776346E-13
GOTERM_BP_DIRECT	GO:0006955~immune response	27	13.636363636363635	1.862490358380689E-12	ENSG00000115008, ENSG00000275302, ENSG00000115009, ENSG00000049249, ENSG00000128342, ENSG00000166949, ENSG00000164949, ENSG00000172216, ENSG00000163739, ENSG00000171522, ENSG00000137462, ENSG00000164400, ENSG00000169248, ENSG00000136244, ENSG00000125538, ENSG00000169245, ENSG00000150782, ENSG00000108691, ENSG00000232810, ENSG00000125657, ENSG00000168685, ENSG00000124875, ENSG00000163734, ENSG00000169508, ENSG00000271503, ENSG00000165030, ENSG00000081041	191	421	16792	5.638333063884295	3.6225822341862113E-9	9.056455585465528E-10	3.1918245824158475E-9
GOTERM_BP_DIRECT	GO:0007267~cell-cell signaling	21	10.606060606060606	1.0309516216713189E-11	ENSG00000275302, ENSG00000169242, ENSG00000115009, ENSG00000150782, ENSG00000110218, ENSG00000105835, ENSG00000125657, ENSG00000155090, ENSG00000124875, ENSG00000271503, ENSG00000169248, ENSG00000179431, ENSG00000142871, ENSG00000109321, ENSG00000122641, ENSG00000125538, ENSG00000169245, ENSG00000123610, ENSG00000121594, ENSG00000125845, ENSG00000078401	191	254	16792	7.268664715339902	2.0052037585926996E-8	4.01040756159432E-9	1.766767843136563E-8
GOTERM_BP_DIRECT	GO:0043066~negative regulation of apoptotic process	27	13.636363636363635	1.0754733833351602E-11	ENSG00000100906, ENSG00000136997, ENSG00000112715, ENSG00000166949, ENSG00000140379, ENSG00000143384, ENSG00000173039, ENSG00000161011, ENSG00000134352, ENSG00000023445, ENSG00000110330, ENSG00000026508, ENSG00000179388, ENSG00000142871, ENSG00000136244, ENSG00000124762, ENSG00000176170, ENSG00000120129, ENSG00000137331, ENSG00000197632, ENSG00000003402, ENSG00000184557, ENSG00000011422, ENSG00000104312, ENSG00000145632, ENSG00000109320, ENSG00000145779	191	455	16792	5.217007076692941	2.0917950482868264E-8	3.486325117485478E-9	1.8430623693888037E-8
GOTERM_BP_DIRECT	GO:0071347~cellular response to interleukin-1	13	6.565656565656567	2.221907974681725E-11	ENSG00000275302, ENSG00000115009, ENSG00000127528, ENSG00000136997, ENSG00000108691, ENSG00000090339, ENSG00000136560, ENSG00000271503, ENSG00000109320, ENSG00000136244, ENSG00000172216, ENSG00000078401, ENSG00000173039	191	71	16792	16.09733795442814	4.3216178635674396E-8	6.1737399636996315E-9	3.807739679118072E-8
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription from RNA polymerase II promoter	33	16.666666666666664	2.804809677904431E-11	ENSG00000125740, ENSG00000169242, ENSG00000136997, ENSG00000112715, ENSG00000166949, ENSG00000178860, ENSG00000059728, ENSG00000171223, ENSG00000159388, ENSG00000173039, ENSG00000161011, ENSG00000119508, ENSG00000153234, ENSG00000157557, ENSG00000110092, ENSG00000104856, ENSG00000162924, ENSG00000125845, ENSG00000078401, ENSG00000120738, ENSG00000136826, ENSG00000177426, ENSG00000162772, ENSG00000232810, ENSG00000113916, ENSG00000114315, ENSG00000134107, ENSG00000155090, ENSG00000128016, ENSG00000115738, ENSG00000109320, ENSG00000077150, ENSG00000165030	191	720	16792	4.029493891797556	5.455359075590138E-8	6.819198983265551E-9	4.8066683966396795E-8
GOTERM_BP_DIRECT	GO:0032496~response to lipopolysaccharide	17	8.585858585858585	5.4523458303667337E-11	ENSG00000049249, ENSG00000073756, ENSG00000170345, ENSG00000173334, ENSG00000171223, ENSG00000163739, ENSG00000171522, ENSG00000124875, ENSG00000177606, ENSG00000137462, ENSG00000163734, ENSG00000169248, ENSG00000077150, ENSG00000081041, ENSG00000169245, ENSG00000131979, ENSG00000078401	191	164	16792	9.113267781892478	1.0604819566939483E-7	1.1783133357923248E-8	9.343813500706233E-8
GOTERM_BP_DIRECT	GO:0048661~positive regulation of smooth muscle cell proliferation	12	6.0606060606060606	6.15713544459776E-11	ENSG00000119508, ENSG00000150782, ENSG00000136997, ENSG00000177606, ENSG00000073756, ENSG00000232810, ENSG00000271503, ENSG00000115738, ENSG00000105835, ENSG00000136244, ENSG00000113070, ENSG00000078401	191	60	16792	17.58324607329843	1.1975617830728424E-7	1.197561849686224E-8	1.0551611806519645E-7
