"GO.ID"	"GO.Term"	"Z-score"
"GO:0035631"	"CD40 receptor complex"	"18.641"
"GO:0005667"	"transcription factor complex"	"16.969"
"GO:0005887"	"integral component of plasma membrane"	"15.825"
"GO:0005886"	"plasma membrane"	"15.82"
"GO:0005576"	"extracellular region"	"15.155"
"GO:0005615"	"extracellular space"	"14.817"
"GO:0097342"	"ripoptosome"	"14.335"
"GO:0035525"	"NF-kappaB p50/p65 complex"	"14.044"
"GO:0009897"	"external side of plasma membrane"	"13.834"
"GO:0008385"	"IkappaB kinase complex"	"13.005"
"GO:0031264"	"death-inducing signaling complex"	"12.887"
"GO:1990617"	"CHOP-ATF4 complex"	"11.797"
"GO:0000790"	"nuclear chromatin"	"11.709"
"GO:0005737"	"cytoplasm"	"11.579"
"GO:1990622"	"CHOP-ATF3 complex"	"11.45"
"GO:0043514"	"interleukin-12 complex"	"11.128"
"GO:0090575"	"RNA polymerase II transcription factor complex"	"10.847"
"GO:0017053"	"transcriptional repressor complex"	"10.72"
"GO:0031265"	"CD95 death-inducing signaling complex"	"10.716"
"GO:0005896"	"interleukin-6 receptor complex"	"10.116"
"GO:0031906"	"late endosome lumen"	"9.85"
"GO:0070110"	"ciliary neurotrophic factor receptor complex"	"9.815"
"GO:0009898"	"cytoplasmic side of plasma membrane"	"9.803"
"GO:0036488"	"CHOP-C/EBP complex"	"9.729"
"GO:0005622"	"intracellular"	"9.52"
"GO:0070743"	"interleukin-23 complex"	"9.483"
"GO:0033257"	"Bcl3/NF-kappaB2 complex"	"9.322"
"GO:0043235"	"receptor complex"	"8.991"
"GO:0035976"	"transcription factor AP-1 complex"	"8.837"
"GO:0032449"	"CBM complex"	"8.668"
"GO:0071565"	"nBAF complex"	"8.655"
"GO:0000118"	"histone deacetylase complex"	"8.635"
"GO:1990590"	"ATF1-ATF4 transcription factor complex"	"8.606"
"GO:0045121"	"membrane raft"	"8.584"
"GO:1990589"	"ATF4-CREB1 transcription factor complex"	"8.48"
"GO:0032993"	"protein-DNA complex"	"8.362"
"GO:0097179"	"protease inhibitor complex"	"8.361"
"GO:0019005"	"SCF ubiquitin ligase complex"	"8.321"
"GO:0032002"	"interleukin-28 receptor complex"	"8.033"
"GO:0071797"	"LUBAC complex"	"8"
"GO:0097059"	"CNTFR-CLCF1 complex"	"7.853"
"GO:0071564"	"npBAF complex"	"7.815"
"GO:0062023"	NA	"7.79"
"GO:0009986"	"cell surface"	"7.787"
"GO:0033256"	"I-kappaB/NF-kappaB complex"	"7.658"
"GO:0072558"	"NLRP1 inflammasome complex"	"7.4"
"GO:0031012"	"extracellular matrix"	"7.359"
"GO:0016514"	"SWI/SNF complex"	"7.34"
"GO:0071141"	"SMAD protein complex"	"7.227"
"GO:0044798"	"nuclear transcription factor complex"	"7.147"
"GO:0010008"	"endosome membrane"	"7.116"
"GO:0000123"	"histone acetyltransferase complex"	"6.991"
"GO:0097129"	"cyclin D2-CDK4 complex"	"6.918"
"GO:0032996"	"Bcl3-Bcl10 complex"	"6.683"
"GO:0032991"	"macromolecular complex"	"6.405"
"GO:1990037"	"Lewy body core"	"6.405"
"GO:0072557"	"IPAF inflammasome complex"	"6.331"
"GO:0005741"	"mitochondrial outer membrane"	"6.18"
"GO:0097169"	"AIM2 inflammasome complex"	"6.127"
"GO:0071144"	"SMAD2-SMAD3 protein complex"	"5.884"
"GO:0034366"	"spherical high-density lipoprotein particle"	"5.747"
"GO:0005796"	"Golgi lumen"	"5.63"
"GO:0005900"	"oncostatin-M receptor complex"	"5.597"
"GO:0031226"	"intrinsic component of plasma membrane"	"5.594"
"GO:0097058"	"CRLF-CLCF1 complex"	"5.519"
"GO:0048179"	"activin receptor complex"	"5.46"
"GO:0045092"	"interleukin-18 receptor complex"	"5.368"
"GO:0005767"	"secondary lysosome"	"5.298"
"GO:0005788"	"endoplasmic reticulum lumen"	"5.281"
"GO:1990604"	"IRE1-TRAF2-ASK1 complex"	"5.229"
"GO:0005901"	"caveola"	"5.199"
"GO:0070822"	"Sin3-type complex"	"5.137"
"GO:0045323"	"interleukin-1 receptor complex"	"5.134"
"GO:0016580"	"Sin3 complex"	"5.11"
"GO:0032444"	"activin responsive factor complex"	"5.108"
"GO:0097136"	"Bcl-2 family protein complex"	"5.1"
"GO:0030061"	"mitochondrial crista"	"5.09"
"GO:0017101"	"aminoacyl-tRNA synthetase multienzyme complex"	"5.086"
"GO:0005623"	"cell"	"5.081"
"GO:0005654"	"nucleoplasm"	"5.077"
"GO:0031232"	"extrinsic component of external side of plasma membrane"	"5.049"
"GO:0016021"	"integral component of membrane"	"5.019"
"GO:0008287"	"protein serine/threonine phosphatase complex"	"4.963"
"GO:0046581"	"intercellular canaliculus"	"4.913"
"GO:0031093"	"platelet alpha granule lumen"	"4.813"
"GO:0099055"	"integral component of postsynaptic membrane"	"4.803"
"GO:0099033"	"anchored component of postsynaptic recycling endosome membrane"	"4.755"
"GO:1990246"	"uniplex complex"	"4.726"
"GO:0020005"	"symbiont-containing vacuole membrane"	"4.595"
"GO:0019008"	"molybdopterin synthase complex"	"4.542"
"GO:0030895"	"apolipoprotein B mRNA editing enzyme complex"	"4.542"
"GO:0016363"	"nuclear matrix"	"4.541"
"GO:0072559"	"NLRP3 inflammasome complex"	"4.508"
"GO:0042627"	"chylomicron"	"4.399"
"GO:0043190"	"ATP-binding cassette (ABC) transporter complex"	"4.391"
"GO:0034361"	"very-low-density lipoprotein particle"	"4.374"
"GO:0005942"	"phosphatidylinositol 3-kinase complex"	"4.322"
"GO:0043679"	"axon terminus"	"4.295"
"GO:0044218"	"other organism cell membrane"	"4.27"
"GO:1902911"	"protein kinase complex"	"4.23"
