"Pathway"	"Z-score"
"TNF signaling pathway - Homo sapiens (human)"	"32.845"
"Cytokine-cytokine receptor interaction - Homo sapiens (human)"	"32.353"
"RIG-I-like receptor signaling pathway - Homo sapiens (human)"	"31.79"
"Toll-like receptor signaling pathway - Homo sapiens (human)"	"31.684"
"NF-kappa B signaling pathway - Homo sapiens (human)"	"30.441"
"Hepatitis B - Homo sapiens (human)"	"29.058"
"Pathways in cancer - Homo sapiens (human)"	"27.775"
"NOD-like receptor signaling pathway - Homo sapiens (human)"	"26.759"
"IL-17 signaling pathway - Homo sapiens (human)"	"26.703"
"Osteoclast differentiation - Homo sapiens (human)"	"25.632"
"Kaposi,s sarcoma-associated herpesvirus infection - Homo sapiens (human)"	"25.571"
"Jak-STAT signaling pathway - Homo sapiens (human)"	"22.685"
"Chemokine signaling pathway - Homo sapiens (human)"	"22.596"
"Chagas disease (American trypanosomiasis) - Homo sapiens (human)"	"22.527"
"Herpes simplex infection - Homo sapiens (human)"	"22.089"
"Hepatitis C - Homo sapiens (human)"	"21.863"
"C-type lectin receptor signaling pathway - Homo sapiens (human)"	"21.307"
"Apoptosis - Homo sapiens (human)"	"21.073"
"Tuberculosis - Homo sapiens (human)"	"20.638"
"Th17 cell differentiation - Homo sapiens (human)"	"20.531"
"Adipocytokine signaling pathway - Homo sapiens (human)"	"20.123"
"Pertussis - Homo sapiens (human)"	"20.094"
"Pancreatic cancer - Homo sapiens (human)"	"19.804"
"Leishmaniasis - Homo sapiens (human)"	"19.29"
"HTLV-I infection - Homo sapiens (human)"	"19.212"
"AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human)"	"19.054"
"Inflammatory bowel disease (IBD) - Homo sapiens (human)"	"18.863"
"Acute myeloid leukemia - Homo sapiens (human)"	"18.459"
"Chronic myeloid leukemia - Homo sapiens (human)"	"18.272"
"Prostate cancer - Homo sapiens (human)"	"18.205"
"Small cell lung cancer - Homo sapiens (human)"	"18.115"
"Th1 and Th2 cell differentiation - Homo sapiens (human)"	"17.999"
"MAPK signaling pathway - Homo sapiens (human)"	"17.798"
"Toxoplasmosis - Homo sapiens (human)"	"17.793"
"Human papillomavirus infection - Homo sapiens (human)"	"17.638"
"Transcriptional misregulation in cancer - Homo sapiens (human)"	"17.516"
"Measles - Homo sapiens (human)"	"17.415"
"Influenza A - Homo sapiens (human)"	"16.605"
"Cytosolic DNA-sensing pathway - Homo sapiens (human)"	"16.299"
"T cell receptor signaling pathway - Homo sapiens (human)"	"16.257"
"TGF-beta signaling pathway - Homo sapiens (human)"	"16.05"
"Neuroactive ligand-receptor interaction - Homo sapiens (human)"	"15.919"
"Non-alcoholic fatty liver disease (NAFLD) - Homo sapiens (human)"	"15.784"
"Viral carcinogenesis - Homo sapiens (human)"	"15.751"
"B cell receptor signaling pathway - Homo sapiens (human)"	"15.575"
"Shigellosis - Homo sapiens (human)"	"15.575"
"Apoptosis - multiple species - Homo sapiens (human)"	"15.066"
"Prolactin signaling pathway - Homo sapiens (human)"	"15.066"
"Sphingolipid signaling pathway - Homo sapiens (human)"	"14.906"
"Relaxin signaling pathway - Homo sapiens (human)"	"14.781"
"cAMP signaling pathway - Homo sapiens (human)"	"14.672"
"MicroRNAs in cancer - Homo sapiens (human)"	"14.623"
"Wnt signaling pathway - Homo sapiens (human)"	"14.494"
"Neurotrophin signaling pathway - Homo sapiens (human)"	"14.377"
"Taste transduction - Homo sapiens (human)"	"14.375"
"PI3K-Akt signaling pathway - Homo sapiens (human)"	"14.118"
"FoxO signaling pathway - Homo sapiens (human)"	"14.113"
"Thyroid hormone signaling pathway - Homo sapiens (human)"	"14.006"
"Insulin resistance - Homo sapiens (human)"	"13.684"
"Fluid shear stress and atherosclerosis - Homo sapiens (human)"	"13.357"
"Epstein-Barr virus infection - Homo sapiens (human)"	"13.197"
"Cellular senescence - Homo sapiens (human)"	"13.121"
"Colorectal cancer - Homo sapiens (human)"	"13.117"
"Malaria - Homo sapiens (human)"	"12.851"
"Longevity regulating pathway - Homo sapiens (human)"	"12.285"
"HIF-1 signaling pathway - Homo sapiens (human)"	"12.206"
"Cocaine addiction - Homo sapiens (human)"	"11.937"
"Salmonella infection - Homo sapiens (human)"	"11.747"
"Hepatocellular carcinoma - Homo sapiens (human)"	"11.56"
"Proteoglycans in cancer - Homo sapiens (human)"	"11.203"
"Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human)"	"10.911"
"Ras signaling pathway - Homo sapiens (human)"	"10.878"
"Necroptosis - Homo sapiens (human)"	"10.633"
"Non-small cell lung cancer - Homo sapiens (human)"	"10.572"
"Amoebiasis - Homo sapiens (human)"	"10.3"
"Signaling pathways regulating pluripotency of stem cells - Homo sapiens (human)"	"10.047"
"Fc epsilon RI signaling pathway - Homo sapiens (human)"	"10"
"Breast cancer - Homo sapiens (human)"	"9.731"
"Mitophagy - animal - Homo sapiens (human)"	"9.591"
"Type II diabetes mellitus - Homo sapiens (human)"	"9.519"
"Adherens junction - Homo sapiens (human)"	"9.326"
"Gastric cancer - Homo sapiens (human)"	"9.213"
"Endometrial cancer - Homo sapiens (human)"	"8.999"
"Complement and coagulation cascades - Homo sapiens (human)"	"8.922"
"Amyotrophic lateral sclerosis (ALS) - Homo sapiens (human)"	"8.771"
"p53 signaling pathway - Homo sapiens (human)"	"8.747"
"Cell cycle - Homo sapiens (human)"	"8.704"
"Focal adhesion - Homo sapiens (human)"	"8.7"
"Choline metabolism in cancer - Homo sapiens (human)"	"8.547"
"Melanoma - Homo sapiens (human)"	"8.486"
"Renal cell carcinoma - Homo sapiens (human)"	"8.455"
