"ID"	"Pathway"	"zscore"	"obs"	"mean"	"std"
"hsa04668"	"TNF signaling pathway"	"32.845"	"879"	"314.017"	"17.201"
"hsa04060"	"Cytokine-cytokine receptor interaction"	"32.353"	"772"	"267.769"	"15.585"
"hsa04622"	"RIG-I-like receptor signaling pathway"	"31.79"	"542"	"162.298"	"11.944"
"hsa04620"	"Toll-like receptor signaling pathway"	"31.684"	"753"	"264.431"	"15.42"
"hsa04064"	"NF-kappa B signaling pathway"	"30.441"	"703"	"260.851"	"14.525"
"hsa05161"	"Hepatitis B"	"29.058"	"1180"	"532.145"	"22.295"
"hsa05200"	"Pathways in cancer"	"27.775"	"2327"	"1370.85"	"34.425"
"hsa04621"	"NOD-like receptor signaling pathway"	"26.759"	"945"	"431.043"	"19.207"
"hsa04657"	"IL-17 signaling pathway"	"26.703"	"770"	"325.614"	"16.642"
"hsa04380"	"Osteoclast differentiation"	"25.632"	"790"	"337.949"	"17.636"
"hsa05167"	"Kaposi's sarcoma-associated herpesvirus infection"	"25.571"	"1240"	"628.736"	"23.905"
"hsa04630"	"Jak-STAT signaling pathway"	"22.685"	"583"	"249.606"	"14.696"
"hsa04062"	"Chemokine signaling pathway"	"22.596"	"1030"	"542.528"	"21.573"
"hsa05142"	"Chagas disease (American trypanosomiasis)"	"22.527"	"766"	"362.618"	"17.907"
"hsa05168"	"Herpes simplex infection"	"22.089"	"1084"	"581.848"	"22.733"
"hsa05160"	"Hepatitis C"	"21.863"	"803"	"389.505"	"18.913"
"hsa04625"	"C-type lectin receptor signaling pathway"	"21.307"	"663"	"317.796"	"16.202"
"hsa04210"	"Apoptosis"	"21.073"	"939"	"503.123"	"20.684"
"hsa05152"	"Tuberculosis"	"20.638"	"787"	"402.783"	"18.617"
"hsa04659"	"Th17 cell differentiation"	"20.531"	"706"	"334.827"	"18.078"
"hsa04920"	"Adipocytokine signaling pathway"	"20.123"	"434"	"175.3"	"12.856"
"hsa05133"	"Pertussis"	"20.094"	"517"	"236.505"	"13.959"
"hsa05212"	"Pancreatic cancer"	"19.804"	"636"	"302.079"	"16.861"
"hsa05140"	"Leishmaniasis"	"19.29"	"436"	"191.311"	"12.685"
"hsa05166"	"HTLV-I infection"	"19.212"	"1269"	"757.476"	"26.625"
"hsa04933"	"AGE-RAGE signaling pathway in diabetic complications"	"19.054"	"632"	"310.7"	"16.862"
"hsa05321"	"Inflammatory bowel disease (IBD)"	"18.863"	"318"	"116.354"	"10.69"
"hsa05221"	"Acute myeloid leukemia"	"18.459"	"497"	"232.785"	"14.314"
"hsa05220"	"Chronic myeloid leukemia"	"18.272"	"681"	"356.486"	"17.76"
"hsa05215"	"Prostate cancer"	"18.205"	"755"	"409.362"	"18.986"
"hsa05222"	"Small cell lung cancer"	"18.115"	"629"	"310.806"	"17.565"
"hsa04658"	"Th1 and Th2 cell differentiation"	"17.999"	"486"	"229.689"	"14.241"
"hsa04010"	"MAPK signaling pathway"	"17.798"	"1340"	"863.987"	"26.745"
"hsa05145"	"Toxoplasmosis"	"17.793"	"796"	"451.163"	"19.38"
"hsa05165"	"Human papillomavirus infection"	"17.638"	"1295"	"821.085"	"26.869"
"hsa05202"	"Transcriptional misregulation in cancer"	"17.516"	"810"	"461.889"	"19.873"
"hsa05162"	"Measles"	"17.415"	"857"	"489.886"	"21.08"
"hsa05164"	"Influenza A"	"16.605"	"1074"	"668.888"	"24.397"
"hsa04623"	"Cytosolic DNA-sensing pathway"	"16.299"	"342"	"153.428"	"11.569"
"hsa04660"	"T cell receptor signaling pathway"	"16.257"	"629"	"343.039"	"17.59"
"hsa04350"	"TGF-beta signaling pathway"	"16.05"	"516"	"267.872"	"15.459"
"hsa04080"	"Neuroactive ligand-receptor interaction"	"15.919"	"896"	"544.152"	"22.102"
"hsa04932"	"Non-alcoholic fatty liver disease (NAFLD)"	"15.784"	"578"	"309.94"	"16.983"
"hsa05203"	"Viral carcinogenesis"	"15.751"	"1396"	"935.195"	"29.256"
"hsa04662"	"B cell receptor signaling pathway"	"15.575"	"487"	"255.325"	"14.875"
"hsa05131"	"Shigellosis"	"15.575"	"504"	"276.25"	"14.622"
"hsa04215"	"Apoptosis - multiple species"	"15.066"	"171"	"57.976"	"7.502"
"hsa04917"	"Prolactin signaling pathway"	"15.066"	"476"	"251.791"	"14.882"
"hsa04071"	"Sphingolipid signaling pathway"	"14.906"	"646"	"380.356"	"17.822"
"hsa04926"	"Relaxin signaling pathway"	"14.781"	"739"	"443.372"	"20"
"hsa04024"	"cAMP signaling pathway"	"14.672"	"832"	"519.05"	"21.33"
"hsa05206"	"MicroRNAs in cancer"	"14.623"	"777"	"485.083"	"19.963"
"hsa04310"	"Wnt signaling pathway"	"14.494"	"704"	"422.484"	"19.423"
"hsa04722"	"Neurotrophin signaling pathway"	"14.377"	"743"	"454.461"	"20.07"
"hsa04742"	"Taste transduction"	"14.375"	"333"	"158.273"	"12.155"
"hsa04151"	"PI3K-Akt signaling pathway"	"14.118"	"1358"	"951.284"	"28.808"
"hsa04068"	"FoxO signaling pathway"	"14.113"	"771"	"482.739"	"20.425"
"hsa04919"	"Thyroid hormone signaling pathway"	"14.006"	"731"	"455.965"	"19.637"
"hsa04931"	"Insulin resistance"	"13.684"	"503"	"280.08"	"16.291"
"hsa05418"	"Fluid shear stress and atherosclerosis"	"13.357"	"838"	"536.579"	"22.567"
"hsa05169"	"Epstein-Barr virus infection"	"13.197"	"1606"	"1172.938"	"32.816"
"hsa04218"	"Cellular senescence"	"13.121"	"895"	"602.11"	"22.322"
"hsa05210"	"Colorectal cancer"	"13.117"	"586"	"355.977"	"17.536"
"hsa05144"	"Malaria"	"12.851"	"140"	"53.578"	"6.725"
"hsa04211"	"Longevity regulating pathway"	"12.285"	"430"	"254.972"	"14.247"
"hsa04066"	"HIF-1 signaling pathway"	"12.206"	"597"	"373.054"	"18.346"
"hsa05030"	"Cocaine addiction"	"11.937"	"297"	"153.095"	"12.055"
"hsa05132"	"Salmonella infection"	"11.747"	"481"	"294.356"	"15.889"
"hsa05225"	"Hepatocellular carcinoma"	"11.56"	"707"	"473.987"	"20.157"
"hsa05205"	"Proteoglycans in cancer"	"11.203"	"919"	"645.512"	"24.413"
"hsa05120"	"Epithelial cell signaling in Helicobacter pylori infection"	"10.911"	"454"	"281.065"	"15.85"
"hsa04014"	"Ras signaling pathway"	"10.878"	"763"	"530.322"	"21.389"
"hsa04217"	"Necroptosis"	"10.633"	"718"	"492.151"	"21.24"
"hsa05223"	"Non-small cell lung cancer"	"10.572"	"413"	"252.286"	"15.201"
"hsa05146"	"Amoebiasis"	"10.3"	"348"	"205.307"	"13.854"
"hsa04550"	"Signaling pathways regulating pluripotency of stem cells"	"10.047"	"536"	"355.238"	"17.992"
"hsa04664"	"Fc epsilon RI signaling pathway"	"10"	"339"	"208.133"	"13.087"
"hsa05224"	"Breast cancer"	"9.731"	"631"	"437.237"	"19.912"
"hsa04137"	"Mitophagy - animal"	"9.591"	"412"	"258.177"	"16.039"
"hsa04930"	"Type II diabetes mellitus"	"9.519"	"248"	"143.342"	"10.994"
"hsa04520"	"Adherens junction"	"9.326"	"467"	"314.434"	"16.359"
"hsa05226"	"Gastric cancer"	"9.213"	"586"	"409.151"	"19.196"
"hsa05213"	"Endometrial cancer"	"8.999"	"384"	"251.638"	"14.708"
"hsa04610"	"Complement and coagulation cascades"	"8.922"	"156"	"77.955"	"8.748"
"hsa05014"	"Amyotrophic lateral sclerosis (ALS)"	"8.771"	"222"	"128.561"	"10.653"
"hsa04115"	"p53 signaling pathway"	"8.747"	"295"	"181.292"	"13"
"hsa04110"	"Cell cycle"	"8.704"	"800"	"601.128"	"22.848"
"hsa04510"	"Focal adhesion"	"8.7"	"705"	"524.876"	"20.704"
"hsa05231"	"Choline metabolism in cancer"	"8.547"	"378"	"249.535"	"15.03"
"hsa05218"	"Melanoma"	"8.486"	"346"	"225.935"	"14.148"
"hsa05211"	"Renal cell carcinoma"	"8.455"	"400"	"271.133"	"15.242"
"hsa04725"	"Cholinergic synapse"	"8.362"	"385"	"261.329"	"14.789"
"hsa04912"	"GnRH signaling pathway"	"8.095"	"419"	"290.658"	"15.854"
"hsa05219"	"Bladder cancer"	"8.054"	"311"	"202.683"	"13.449"
"hsa04672"	"Intestinal immune network for IgA production"	"8.015"	"125"	"62.072"	"7.851"
"hsa04120"	"Ubiquitin mediated proteolysis"	"7.912"	"608"	"451.219"	"19.816"
"hsa04330"	"Notch signaling pathway"	"7.9"	"219"	"132.678"	"10.927"
"hsa04916"	"Melanogenesis"	"7.799"	"358"	"244.355"	"14.572"
"hsa04140"	"Autophagy - animal"	"7.726"	"470"	"336.04"	"17.339"
"hsa05143"	"African trypanosomiasis"	"7.687"	"108"	"53.003"	"7.155"
"hsa04015"	"Rap1 signaling pathway"	"7.569"	"631"	"478.3"	"20.176"
"hsa04934"	"Cushing's syndrome"	"7.528"	"465"	"330.078"	"17.922"
"hsa04710"	"Circadian rhythm"	"7.453"	"188"	"113.932"	"9.938"
"hsa05214"	"Glioma"	"7.301"	"405"	"288.564"	"15.948"
"hsa04072"	"Phospholipase D signaling pathway"	"7.16"	"462"	"341.907"	"16.772"
"hsa04012"	"ErbB signaling pathway"	"7.126"	"466"	"339.645"	"17.732"
"hsa04650"	"Natural killer cell mediated cytotoxicity"	"7.009"	"354"	"249.542"	"14.904"
"hsa04927"	"Cortisol synthesis and secretion"	"6.84"	"160"	"96.105"	"9.342"
"hsa04022"	"cGMP-PKG signaling pathway"	"6.825"	"515"	"388.327"	"18.561"
"hsa05134"	"Legionellosis"	"6.598"	"493"	"373.811"	"18.064"
"hsa05031"	"Amphetamine addiction"	"6.549"	"313"	"220.532"	"14.119"
"hsa05216"	"Thyroid cancer"	"6.545"	"263"	"182.753"	"12.261"
"hsa04370"	"VEGF signaling pathway"	"6.328"	"270"	"190.514"	"12.561"
"hsa05323"	"Rheumatoid arthritis"	"6.235"	"272"	"190.966"	"12.996"
"hsa04390"	"Hippo signaling pathway"	"6.184"	"623"	"498.056"	"20.204"
"hsa05020"	"Prion diseases"	"5.907"	"218"	"148.707"	"11.731"
"hsa04915"	"Estrogen signaling pathway"	"5.763"	"764"	"632.124"	"22.884"
"hsa04923"	"Regulation of lipolysis in adipocytes"	"5.676"	"187"	"126.611"	"10.639"
"hsa04371"	"Apelin signaling pathway"	"5.66"	"483"	"380.638"	"18.084"
"hsa04340"	"Hedgehog signaling pathway"	"5.548"	"234"	"166.233"	"12.215"
"hsa05340"	"Primary immunodeficiency"	"5.507"	"80"	"44.177"	"6.505"
"hsa05330"	"Allograft rejection"	"5.328"	"80"	"45.177"	"6.536"
"hsa04720"	"Long-term potentiation"	"5.25"	"317"	"240.218"	"14.625"
"hsa04728"	"Dopaminergic synapse"	"4.971"	"497"	"403.138"	"18.881"
"hsa04726"	"Serotonergic synapse"	"4.924"	"332"	"256.892"	"15.254"
"hsa04918"	"Thyroid hormone synthesis"	"4.731"	"185"	"132.721"	"11.05"
"hsa04914"	"Progesterone-mediated oocyte maturation"	"4.63"	"395"	"319.743"	"16.253"
"hsa04640"	"Hematopoietic cell lineage"	"4.562"	"124"	"83.534"	"8.869"
"hsa00531"	"Glycosaminoglycan degradation"	"4.523"	"13"	"4.05"	"1.979"
"hsa05217"	"Basal cell carcinoma"	"4.481"	"146"	"103.649"	"9.451"
"hsa04611"	"Platelet activation"	"4.459"	"401"	"326.713"	"16.659"
"hsa04921"	"Oxytocin signaling pathway"	"4.312"	"492"	"411.135"	"18.753"
"hsa04960"	"Aldosterone-regulated sodium reabsorption"	"4.301"	"140"	"100.779"	"9.12"
"hsa04922"	"Glucagon signaling pathway"	"4.281"	"397"	"324.541"	"16.925"
"hsa04910"	"Insulin signaling pathway"	"4.277"	"558"	"469.506"	"20.689"
"hsa05310"	"Asthma"	"4.264"	"49"	"27.222"	"5.108"
"hsa05332"	"Graft-versus-host disease"	"4.038"	"71"	"44.402"	"6.587"
"hsa04750"	"Inflammatory mediator regulation of TRP channels"	"3.963"	"324"	"264.029"	"15.131"
"hsa04713"	"Circadian entrainment"	"3.94"	"290"	"231.092"	"14.95"
"hsa05230"	"Central carbon metabolism in cancer"	"3.752"	"398"	"334.575"	"16.905"
"hsa04666"	"Fc gamma R-mediated phagocytosis"	"3.668"	"301"	"245.783"	"15.054"
"hsa04925"	"Aldosterone synthesis and secretion"	"3.658"	"216"	"171.42"	"12.188"
"hsa04940"	"Type I diabetes mellitus"	"3.616"	"92"	"64.737"	"7.54"
"hsa04150"	"mTOR signaling pathway"	"3.612"	"456"	"389.716"	"18.352"
"hsa05150"	"Staphylococcus aureus infection"	"3.551"	"94"	"65.103"	"8.137"
"hsa04714"	"Thermogenesis"	"3.518"	"470"	"403.48"	"18.909"
"hsa04973"	"Carbohydrate digestion and absorption"	"3.512"	"92"	"65.354"	"7.586"
"hsa00600"	"Sphingolipid metabolism"	"3.418"	"36"	"20.578"	"4.512"
"hsa04730"	"Long-term depression"	"3.413"	"208"	"166.947"	"12.027"
"hsa04360"	"Axon guidance"	"3.391"	"411"	"351"	"17.694"
"hsa04670"	"Leukocyte transendothelial migration"	"3.305"	"315"	"266.485"	"14.679"
"hsa05010"	"Alzheimer's disease"	"3.222"	"379"	"323.301"	"17.288"
"hsa05032"	"Morphine addiction"	"3.051"	"192"	"155.151"	"12.076"
"hsa04261"	"Adrenergic signaling in cardiomyocytes"	"2.982"	"440"	"385.36"	"18.323"
"hsa04724"	"Glutamatergic synapse"	"2.948"	"280"	"235.725"	"15.019"
"hsa04152"	"AMPK signaling pathway"	"2.913"	"454"	"399.169"	"18.822"
"hsa04114"	"Oocyte meiosis"	"2.692"	"531"	"478.06"	"19.666"
"hsa04911"	"Insulin secretion"	"2.61"	"173"	"142.407"	"11.722"
"hsa05320"	"Autoimmune thyroid disease"	"2.551"	"70"	"51.669"	"7.186"
"hsa00534"	"Glycosaminoglycan biosynthesis - heparan sulfate / heparin"	"2.527"	"26"	"16.58"	"3.728"
"hsa00563"	"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	"2.503"	"16"	"8.778"	"2.885"
"hsa03320"	"PPAR signaling pathway"	"2.453"	"253"	"216.346"	"14.943"
"hsa04810"	"Regulation of actin cytoskeleton"	"2.247"	"573"	"523.916"	"21.845"
"hsa00970"	"Aminoacyl-tRNA biosynthesis"	"2.174"	"108"	"88.648"	"8.903"
"hsa05016"	"Huntington's disease"	"2.119"	"579"	"532.189"	"22.088"
"hsa04614"	"Renin-angiotensin system"	"2.054"	"30"	"20.847"	"4.456"
"hsa04270"	"Vascular smooth muscle contraction"	"1.891"	"292"	"263.441"	"15.104"
"hsa04975"	"Fat digestion and absorption"	"1.822"	"33"	"24.788"	"4.507"
"hsa02010"	"ABC transporters"	"1.799"	"28"	"20.402"	"4.224"
"hsa00592"	"alpha-Linolenic acid metabolism"	"1.796"	"9"	"5.144"	"2.147"
"hsa04979"	"Cholesterol metabolism"	"1.745"	"80"	"66.894"	"7.508"
"hsa00740"	"Riboflavin metabolism"	"1.728"	"5"	"2.362"	"1.526"
"hsa04540"	"Gap junction"	"1.702"	"510"	"475.804"	"20.094"
"hsa04977"	"Vitamin digestion and absorption"	"1.655"	"13"	"8.408"	"2.775"
"hsa04913"	"Ovarian steroidogenesis"	"1.62"	"72"	"59.934"	"7.446"
"hsa04213"	"Longevity regulating pathway - multiple species"	"1.616"	"390"	"361.764"	"17.476"
"hsa00330"	"Arginine and proline metabolism"	"1.567"	"81"	"68.591"	"7.921"
"hsa05416"	"Viral myocarditis"	"1.395"	"154"	"138.597"	"11.04"
"hsa00471"	"D-Glutamine and D-glutamate metabolism"	"1.333"	"5"	"2.816"	"1.638"
"hsa05034"	"Alcoholism"	"1.326"	"752"	"718.782"	"25.056"
"hsa04723"	"Retrograde endocannabinoid signaling"	"1.315"	"283"	"262.342"	"15.712"
"hsa00750"	"Vitamin B6 metabolism"	"1.241"	"6"	"3.636"	"1.906"
"hsa04974"	"Protein digestion and absorption"	"1.202"	"48"	"40.262"	"6.44"
"hsa04512"	"ECM-receptor interaction"	"1.174"	"86"	"76.065"	"8.465"
"hsa04146"	"Peroxisome"	"1.162"	"90"	"79.937"	"8.663"
"hsa00430"	"Taurine and hypotaurine metabolism"	"1.044"	"4"	"2.42"	"1.514"
"hsa00780"	"Biotin metabolism"	"1.018"	"2"	"0.982"	"0.961"
"hsa04144"	"Endocytosis"	"1.006"	"789"	"763.865"	"24.996"
"hsa05130"	"Pathogenic Escherichia coli infection"	"0.968"	"436"	"417.763"	"18.833"
"hsa05033"	"Nicotine addiction"	"0.959"	"30"	"25.307"	"4.895"
"hsa00604"	"Glycosphingolipid biosynthesis - ganglio series"	"0.926"	"6"	"4.131"	"2.018"
"hsa00590"	"Arachidonic acid metabolism"	"0.914"	"26"	"21.774"	"4.624"
"hsa04978"	"Mineral absorption"	"0.913"	"36"	"31.057"	"5.414"
"hsa04971"	"Gastric acid secretion"	"0.909"	"181"	"169.658"	"12.477"
"hsa04216"	"Ferroptosis"	"0.908"	"103"	"94.506"	"9.359"
"hsa00062"	"Fatty acid elongation"	"0.872"	"24"	"20.231"	"4.321"
"hsa04020"	"Calcium signaling pathway"	"0.791"	"417"	"401.853"	"19.142"
"hsa04976"	"Bile secretion"	"0.776"	"79"	"72.54"	"8.326"
"hsa00510"	"N-Glycan biosynthesis"	"0.725"	"39"	"34.801"	"5.794"
"hsa00232"	"Caffeine metabolism"	"0.691"	"3"	"2.043"	"1.385"
"hsa00220"	"Arginine biosynthesis"	"0.678"	"37"	"33.262"	"5.514"
"hsa00760"	"Nicotinate and nicotinamide metabolism"	"0.641"	"13"	"10.885"	"3.301"
"hsa04070"	"Phosphatidylinositol signaling system"	"0.631"	"126"	"119.458"	"10.367"
"hsa04964"	"Proximal tubule bicarbonate reclamation"	"0.615"	"22"	"19.378"	"4.266"
"hsa00790"	"Folate biosynthesis"	"0.609"	"25"	"22.292"	"4.45"
"hsa04530"	"Tight junction"	"0.575"	"612"	"598.818"	"22.919"
"hsa04142"	"Lysosome"	"0.466"	"134"	"128.911"	"10.916"
