"GO.ID"	"GO.Term"	"Z-score"
"GO:0008134"	"transcription factor binding"	"23.409"
"GO:0000978"	"RNA polymerase II core promoter proximal region sequence-specific DNA binding"	"23.401"
"GO:0001077"	"transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding"	"21.684"
"GO:0004930"	"G-protein coupled receptor activity"	"20.135"
"GO:0003700"	"transcription factor activity, sequence-specific DNA binding"	"19.442"
"GO:0005164"	"tumor necrosis factor receptor binding"	"18.061"
"GO:0008009"	"chemokine activity"	"17.646"
"GO:0000977"	"RNA polymerase II regulatory region sequence-specific DNA binding"	"17.076"
"GO:0005125"	"cytokine activity"	"16.808"
"GO:0000980"	"RNA polymerase II distal enhancer sequence-specific DNA binding"	"16.267"
"GO:0044212"	"transcription regulatory region DNA binding"	"14.978"
"GO:0001085"	"RNA polymerase II transcription factor binding"	"14.638"
"GO:0032003"	"interleukin-28 receptor binding"	"14.523"
"GO:0033038"	"bitter taste receptor activity"	"14.274"
"GO:0097383"	"dIDP diphosphatase activity"	"14.1"
"GO:1901640"	"XTP binding"	"14.1"
"GO:1901641"	"ITP binding"	"14.1"
"GO:1990003"	"IDP phosphatase activity"	"14.1"
"GO:0001228"	"transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding"	"13.547"
"GO:0003713"	"transcription coactivator activity"	"13.414"
"GO:0051059"	"NF-kappaB binding"	"13.404"
"GO:0001078"	"transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding"	"13.297"
"GO:0005123"	"death receptor binding"	"13.196"
"GO:0003705"	"transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding"	"13.146"
"GO:0043565"	"sequence-specific DNA binding"	"12.958"
"GO:0019955"	"cytokine binding"	"12.927"
"GO:0019957"	"C-C chemokine binding"	"12.918"
"GO:0004896"	"cytokine receptor activity"	"12.781"
"GO:0042805"	"actinin binding"	"12.71"
"GO:0016493"	"C-C chemokine receptor activity"	"12.365"
"GO:0019956"	"chemokine binding"	"12.276"
"GO:0031490"	"chromatin DNA binding"	"12.274"
"GO:0000976"	"transcription regulatory region sequence-specific DNA binding"	"12.241"
"GO:0001205"	"transcriptional activator activity, RNA polymerase II distal enhancer sequence-specific binding"	"12.218"
"GO:0019901"	"protein kinase binding"	"12.061"
"GO:0031730"	"CCR5 chemokine receptor binding"	"11.991"
"GO:0097153"	"cysteine-type endopeptidase activity involved in apoptotic process"	"11.727"
"GO:0005515"	"protein binding"	"11.725"
"GO:0008384"	"IkappaB kinase activity"	"11.606"
"GO:0042803"	"protein homodimerization activity"	"11.512"
"GO:0033613"	"activating transcription factor binding"	"11.501"
"GO:0004897"	"ciliary neurotrophic factor receptor activity"	"11.491"
"GO:0042826"	"histone deacetylase binding"	"11.463"
"GO:0001103"	"RNA polymerase II repressing transcription factor binding"	"11.304"
"GO:0001102"	"RNA polymerase II activating transcription factor binding"	"11.124"
"GO:0000983"	"transcription factor activity, RNA polymerase II core promoter sequence-specific"	"10.985"
"GO:0004842"	"ubiquitin-protein transferase activity"	"10.905"
"GO:0008013"	"beta-catenin binding"	"10.897"
"GO:0005138"	"interleukin-6 receptor binding"	"10.849"
"GO:0003682"	"chromatin binding"	"10.829"
"GO:0070491"	"repressing transcription factor binding"	"10.818"
"GO:0042802"	"identical protein binding"	"10.759"
"GO:0034212"	"peptide N-acetyltransferase activity"	"10.524"
"GO:0016922"	"ligand-dependent nuclear receptor binding"	"10.523"
"GO:0003714"	"transcription corepressor activity"	"10.393"
"GO:0050700"	"CARD domain binding"	"10.387"
"GO:0046982"	"protein heterodimerization activity"	"10.329"
"GO:0044549"	"GTP cyclohydrolase binding"	"10.257"
"GO:0048020"	"CCR chemokine receptor binding"	"10.231"
"GO:0097199"	"cysteine-type endopeptidase activity involved in apoptotic signaling pathway"	"10.223"
"GO:0004950"	"chemokine receptor activity"	"10.192"
"GO:0005143"	"interleukin-12 receptor binding"	"9.938"
"GO:0035035"	"histone acetyltransferase binding"	"9.938"
"GO:0008083"	"growth factor activity"	"9.817"
"GO:0008270"	"zinc ion binding"	"9.667"
"GO:0045519"	"interleukin-23 receptor binding"	"9.483"
"GO:0004879"	"RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding"	"9.462"
"GO:0000987"	"core promoter proximal region sequence-specific DNA binding"	"9.46"
"GO:0008527"	"taste receptor activity"	"9.443"
"GO:0045523"	"interleukin-27 receptor binding"	"9.376"
"GO:0005127"	"ciliary neurotrophic factor receptor binding"	"9.372"
"GO:0031625"	"ubiquitin protein ligase binding"	"9.371"
"GO:0042164"	"interleukin-12 alpha subunit binding"	"9.275"
"GO:0071532"	"ankyrin repeat binding"	"9.247"
"GO:0008140"	"cAMP response element binding protein binding"	"9.216"
"GO:0042007"	"interleukin-18 binding"	"9.127"
"GO:0001191"	"transcriptional repressor activity, RNA polymerase II transcription factor binding"	"9.054"
"GO:0002039"	"p53 binding"	"9.046"
"GO:0042923"	"neuropeptide binding"	"9.027"
"GO:0043425"	"bHLH transcription factor binding"	"9.015"
"GO:0035877"	"death effector domain binding"	"8.887"
