Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0036498~IRE1-mediated unfolded protein response	27	24.545454545454547	1.857218173864125E-43	ENSG00000109501, ENSG00000044574, ENSG00000120742, ENSG00000157014, ENSG00000101199, ENSG00000138073, ENSG00000149428, ENSG00000070540, ENSG00000159720, ENSG00000144867, ENSG00000204843, ENSG00000124783, ENSG00000100196, ENSG00000154832, ENSG00000138674, ENSG00000174851, ENSG00000108433, ENSG00000160691, ENSG00000143870, ENSG00000178607, ENSG00000106080, ENSG00000184205, ENSG00000134109, ENSG00000102580, ENSG00000100219, ENSG00000116809, ENSG00000128590	102	59	16792	75.33798604187437	1.5136328116992618E-40	1.5136328116992618E-40	2.857793696787524E-40
GOTERM_BP_DIRECT	GO:0036499~PERK-mediated unfolded protein response	9	8.181818181818182	6.250774350624241E-16	ENSG00000172071, ENSG00000044574, ENSG00000108691, ENSG00000162772, ENSG00000128272, ENSG00000134001, ENSG00000051108, ENSG00000146678, ENSG00000070669	102	12	16792	123.47058823529413	5.428990590417015E-13	2.7144952952085077E-13	1.021405182655144E-12
GOTERM_BP_DIRECT	GO:0043928~exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay	10	9.090909090909092	6.485337659667464E-14	ENSG00000077348, ENSG00000130713, ENSG00000172795, ENSG00000038358, ENSG00000130520, ENSG00000123737, ENSG00000272886, ENSG00000175324, ENSG00000113300, ENSG00000171311	102	29	16792	56.76808654496281	5.284217508005895E-11	1.7614021352585496E-11	9.976464099281657E-11
GOTERM_BP_DIRECT	GO:0000289~nuclear-transcribed mRNA poly(A) tail shortening	9	8.181818181818182	4.9961255789967436E-12	ENSG00000172239, ENSG00000151247, ENSG00000161960, ENSG00000140694, ENSG00000114867, ENSG00000080802, ENSG00000141543, ENSG00000111596, ENSG00000113300	102	29	16792	51.091277890466536	4.0718334259892686E-9	1.0179583842528928E-9	7.687772640707635E-9
GOTERM_BP_DIRECT	GO:0034976~response to endoplasmic reticulum stress	11	10.0	2.357488407436242E-11	ENSG00000172071, ENSG00000109501, ENSG00000143870, ENSG00000178607, ENSG00000128272, ENSG00000167658, ENSG00000149428, ENSG00000134001, ENSG00000051108, ENSG00000172216, ENSG00000100219	102	75	16792	24.145359477124185	1.921355941014724E-8	3.842711926438369E-9	3.627589340027271E-8
GOTERM_BP_DIRECT	GO:0006364~rRNA processing	14	12.727272727272727	4.94222359885339E-10	ENSG00000105171, ENSG00000179409, ENSG00000077348, ENSG00000177971, ENSG00000039123, ENSG00000166197, ENSG00000130713, ENSG00000114767, ENSG00000171824, ENSG00000164587, ENSG00000123737, ENSG00000141543, ENSG00000087269, ENSG00000171311	102	214	16792	10.77002015759575	4.027911176818222E-7	6.713186417872663E-8	7.604843976771747E-7
GOTERM_BP_DIRECT	GO:1990440~positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress	6	5.454545454545454	5.456416647403699E-9	ENSG00000044574, ENSG00000162772, ENSG00000128272, ENSG00000118217, ENSG00000172216, ENSG00000100219	102	12	16792	82.31372549019608	4.446969695592884E-6	6.352825958622077E-7	8.396058537307738E-6
GOTERM_BP_DIRECT	GO:0030968~endoplasmic reticulum unfolded protein response	8	7.2727272727272725	8.681762129395878E-9	ENSG00000172071, ENSG00000109501, ENSG00000044574, ENSG00000120742, ENSG00000118217, ENSG00000134109, ENSG00000113739, ENSG00000100219	102	45	16792	29.26710239651416	7.0756110993608345E-6	8.844541252717164E-7	1.3359056982853446E-5
GOTERM_BP_DIRECT	GO:0043488~regulation of mRNA stability	9	8.181818181818182	1.920929856664996E-7	ENSG00000077348, ENSG00000130713, ENSG00000172795, ENSG00000140694, ENSG00000114867, ENSG00000164924, ENSG00000123737, ENSG00000272886, ENSG00000171311	102	103	16792	14.384922901199316	1.5654354410488125E-4	1.7394937409043187E-5	2.955825937234202E-4
GOTERM_BP_DIRECT	GO:0090503~RNA phosphodiester bond hydrolysis, exonucleolytic	6	5.454545454545454	6.273293189858767E-7	ENSG00000077348, ENSG00000172795, ENSG00000171824, ENSG00000140694, ENSG00000111596, ENSG00000113300	102	28	16792	35.27731092436975	5.111428772490711E-4	5.112604854917713E-5	9.652983737673537E-4
