"GO.ID"	"GO.Term"	"zscore"	"obs"	"mean"	"std"
"GO:0000178"	"exosome (RNase complex)"	"24.479"	"181"	"35.158"	"5.958"
"GO:0000176"	"nuclear exosome (RNase complex)"	"23.523"	"169"	"33.301"	"5.769"
"GO:0022627"	"cytosolic small ribosomal subunit"	"22.536"	"714"	"309.251"	"17.96"
"GO:0000177"	"cytoplasmic exosome (RNase complex)"	"22.095"	"124"	"22.086"	"4.613"
"GO:0032040"	"small-subunit processome"	"20.514"	"450"	"179.064"	"13.207"
"GO:0005730"	"nucleolus"	"20.23"	"3392"	"2305.994"	"53.683"
"GO:0022625"	"cytosolic large ribosomal subunit"	"20.059"	"729"	"336.644"	"19.56"
"GO:0030014"	"CCR4-NOT complex"	"18.046"	"132"	"33.031"	"5.484"
"GO:0016020"	"membrane"	"16.435"	"5848"	"4572.712"	"77.598"
"GO:0042788"	"polysomal ribosome"	"16.319"	"357"	"156.511"	"12.286"
"GO:0000932"	"cytoplasmic mRNA processing body"	"14.725"	"463"	"243.468"	"14.909"
"GO:0005840"	"ribosome"	"14.696"	"460"	"238.629"	"15.063"
"GO:0070062"	"extracellular exosome"	"13.197"	"6567"	"5288.084"	"96.911"
"GO:0015935"	"small ribosomal subunit"	"13.171"	"228"	"101.868"	"9.576"
"GO:0030686"	"90S preribosome"	"11.755"	"111"	"40.796"	"5.972"
"GO:0005783"	"endoplasmic reticulum"	"11.658"	"1732"	"1341.489"	"33.498"
"GO:0005829"	"cytosol"	"11.632"	"12969"	"11314.698"	"142.214"
"GO:1990904"	"ribonucleoprotein complex"	"11.489"	"1194"	"816.117"	"32.892"
"GO:0016281"	"eukaryotic translation initiation factor 4F complex"	"10.713"	"125"	"52.046"	"6.81"
"GO:0005844"	"polysome"	"10.672"	"298"	"165.112"	"12.452"
"GO:0005925"	"focal adhesion"	"10.5"	"1921"	"1451.549"	"44.712"
"GO:0033290"	"eukaryotic 48S preinitiation complex"	"10.319"	"164"	"75.736"	"8.553"
"GO:0016282"	"eukaryotic 43S preinitiation complex"	"10.256"	"167"	"78.198"	"8.658"
"GO:0005851"	"eukaryotic translation initiation factor 2B complex"	"10.12"	"79"	"28.163"	"5.024"
"GO:0030015"	"CCR4-NOT core complex"	"10.12"	"48"	"13.491"	"3.41"
"GO:0005852"	"eukaryotic translation initiation factor 3 complex"	"9.9"	"183"	"91.026"	"9.29"
"GO:1904813"	"ficolin-1-rich granule lumen"	"8.672"	"898"	"656.356"	"27.864"
"GO:0005737"	"cytoplasm"	"8.65"	"8798"	"7968.402"	"95.911"
"GO:0036464"	"cytoplasmic ribonucleoprotein granule"	"8.379"	"440"	"294.018"	"17.422"
"GO:0005759"	"mitochondrial matrix"	"8.344"	"878"	"675.545"	"24.263"
"GO:0034663"	"endoplasmic reticulum chaperone complex"	"8.185"	"94"	"42.683"	"6.269"
"GO:0030688"	"preribosome, small subunit precursor"	"8.085"	"105"	"50.88"	"6.694"
"GO:0098556"	"cytoplasmic side of rough endoplasmic reticulum membrane"	"7.733"	"62"	"25.51"	"4.719"
"GO:0034455"	"t-UTP complex"	"7.705"	"41"	"13.99"	"3.505"
"GO:0071541"	"eukaryotic translation initiation factor 3 complex, eIF3m"	"7.538"	"80"	"36.699"	"5.745"
"GO:0034388"	"Pwp2p-containing subcomplex of 90S preribosome"	"7.533"	"75"	"32.628"	"5.625"
"GO:0005850"	"eukaryotic translation initiation factor 2 complex"	"7.354"	"56"	"22.817"	"4.512"
"GO:0010494"	"cytoplasmic stress granule"	"7.307"	"384"	"267.75"	"15.91"
"GO:0035327"	"transcriptionally active chromatin"	"7.223"	"135"	"75.397"	"8.252"
"GO:0034774"	"secretory granule lumen"	"7.201"	"757"	"573.683"	"25.457"
"GO:0016442"	"RISC complex"	"7.069"	"92"	"45.584"	"6.566"
"GO:0032545"	"CURI complex"	"6.834"	"30"	"9.782"	"2.959"
"GO:0034456"	"UTP-C complex"	"6.834"	"30"	"9.782"	"2.959"
"GO:0031428"	"box C/D snoRNP complex"	"6.805"	"86"	"42.358"	"6.413"
"GO:0042470"	"melanosome"	"6.751"	"592"	"441.475"	"22.296"
"GO:0005732"	"small nucleolar ribonucleoprotein complex"	"6.683"	"85"	"42.711"	"6.328"
"GO:0034457"	"Mpp10 complex"	"6.638"	"30"	"9.957"	"3.019"
