"ID"	"Pathway"	"Z-score"
"hsa03018"	"RNA degradation"	"23.655"
"hsa03008"	"Ribosome biogenesis in eukaryotes"	"22.618"
"hsa03010"	"Ribosome"	"18.027"
"hsa03013"	"RNA transport"	"13.152"
"hsa04141"	"Protein processing in endoplasmic reticulum"	"11.138"
"hsa00270"	"Cysteine and methionine metabolism"	"8.255"
"hsa03015"	"mRNA surveillance pathway"	"8.027"
"hsa04612"	"Antigen processing and presentation"	"7.98"
"hsa00520"	"Amino sugar and nucleotide sugar metabolism"	"7.741"
"hsa04145"	"Phagosome"	"7.114"
"hsa00010"	"Glycolysis / Gluconeogenesis"	"6.898"
"hsa00970"	"Aminoacyl-tRNA biosynthesis"	"6.723"
"hsa00030"	"Pentose phosphate pathway"	"6.401"
"hsa05134"	"Legionellosis"	"6.247"
"hsa00620"	"Pyruvate metabolism"	"6.104"
"hsa00051"	"Fructose and mannose metabolism"	"6.002"
"hsa05110"	"Vibrio cholerae infection"	"5.847"
"hsa03060"	"Protein export"	"5.658"
"hsa00250"	"Alanine, aspartate and glutamate metabolism"	"5.596"
"hsa00561"	"Glycerolipid metabolism"	"5.564"
"hsa05322"	"Systemic lupus erythematosus"	"5.295"
"hsa00630"	"Glyoxylate and dicarboxylate metabolism"	"5.014"
"hsa00052"	"Galactose metabolism"	"4.892"
"hsa04213"	"Longevity regulating pathway - multiple species"	"4.653"
"hsa03040"	"Spliceosome"	"4.55"
"hsa00500"	"Starch and sucrose metabolism"	"4.514"
"hsa00020"	"Citrate cycle (TCA cycle)"	"4.508"
"hsa04217"	"Necroptosis"	"4.433"
"hsa00670"	"One carbon pool by folate"	"4.419"
"hsa00900"	"Terpenoid backbone biosynthesis"	"4.412"
"hsa00380"	"Tryptophan metabolism"	"4.338"
"hsa00260"	"Glycine, serine and threonine metabolism"	"4.269"
"hsa05162"	"Measles"	"4.176"
"hsa04966"	"Collecting duct acid secretion"	"4.144"
"hsa05164"	"Influenza A"	"4.051"
"hsa00480"	"Glutathione metabolism"	"3.924"
"hsa04066"	"HIF-1 signaling pathway"	"3.798"
"hsa00220"	"Arginine biosynthesis"	"3.783"
"hsa00330"	"Arginine and proline metabolism"	"3.747"
"hsa04150"	"mTOR signaling pathway"	"3.595"
"hsa00770"	"Pantothenate and CoA biosynthesis"	"3.568"
"hsa05130"	"Pathogenic Escherichia coli infection"	"3.542"
"hsa00280"	"Valine, leucine and isoleucine degradation"	"3.524"
