"GO.ID"	"GO.Term"	"Z-score"
"GO:0003723"	"RNA binding"	"22.384"
"GO:0004584"	"dolichyl-phosphate-mannose-glycolipid alpha-mannosyltransferase activity"	"22.327"
"GO:0047734"	"CDP-glycerol diphosphatase activity"	"22.327"
"GO:0004532"	"exoribonuclease activity"	"20.561"
"GO:0003735"	"structural constituent of ribosome"	"19.685"
"GO:0000175"	"3'-5'-exoribonuclease activity"	"18.73"
"GO:0003743"	"translation initiation factor activity"	"18.337"
"GO:0004535"	"poly(A)-specific ribonuclease activity"	"13.871"
"GO:0019843"	"rRNA binding"	"12.658"
"GO:0005524"	"ATP binding"	"12.181"
"GO:0004059"	"aralkylamine N-acetyltransferase activity"	"11.13"
"GO:0043022"	"ribosome binding"	"10.831"
"GO:0030515"	"snoRNA binding"	"10.682"
"GO:0008135"	"translation factor activity, RNA binding"	"10.673"
"GO:0004652"	"polynucleotide adenylyltransferase activity"	"10.225"
"GO:0048027"	"mRNA 5'-UTR binding"	"9.903"
"GO:0051082"	"unfolded protein binding"	"9.856"
"GO:0070034"	"telomerase RNA binding"	"9.074"
"GO:0102294"	NA	"9.069"
"GO:0051787"	"misfolded protein binding"	"8.79"
"GO:0003729"	"mRNA binding"	"8.7"
"GO:0031369"	"translation initiation factor binding"	"8.644"
"GO:0042623"	"ATPase activity, coupled"	"8.428"
"GO:0000016"	"lactase activity"	"8.388"
"GO:1990948"	"ubiquitin ligase inhibitor activity"	"8.345"
"GO:0044183"	"protein binding involved in protein folding"	"8.203"
"GO:0003730"	"mRNA 3'-UTR binding"	"7.963"
"GO:0043169"	"cation binding"	"7.947"
"GO:0045182"	"translation regulator activity"	"7.927"
"GO:0004510"	"tryptophan 5-monooxygenase activity"	"7.777"
"GO:0031072"	"heat shock protein binding"	"7.764"
"GO:0015037"	"peptide disulfide oxidoreductase activity"	"7.719"
"GO:0000339"	"RNA cap binding"	"7.708"
"GO:0016896"	"exoribonuclease activity, producing 5'-phosphomonoesters"	"7.648"
"GO:0016887"	"ATPase activity"	"7.61"
"GO:0034057"	"RNA strand-exchange activity"	"7.347"
"GO:0003756"	"protein disulfide isomerase activity"	"7.243"
"GO:0004534"	"5'-3' exoribonuclease activity"	"7.199"
"GO:0004668"	"protein-arginine deiminase activity"	"7.15"
"GO:0034511"	"U3 snoRNA binding"	"7.113"
"GO:0004004"	"ATP-dependent RNA helicase activity"	"6.998"
"GO:0017042"	"glycosylceramidase activity"	"6.996"
"GO:0045296"	"cadherin binding"	"6.848"
"GO:0004571"	"mannosyl-oligosaccharide 1,2-alpha-mannosidase activity"	"6.585"
"GO:0070001"	"aspartic-type peptidase activity"	"6.514"
"GO:0070002"	"glutamic-type peptidase activity"	"6.514"
"GO:0035597"	"N6-isopentenyladenosine methylthiotransferase activity"	"6.489"
"GO:0004521"	"endoribonuclease activity"	"6.428"
"GO:0004519"	"endonuclease activity"	"6.298"
"GO:0070180"	"large ribosomal subunit rRNA binding"	"6.261"
"GO:0030170"	"pyridoxal phosphate binding"	"6.254"
"GO:0008143"	"poly(A) binding"	"6.23"
"GO:0003746"	"translation elongation factor activity"	"6.123"
"GO:0003725"	"double-stranded RNA binding"	"6.113"
"GO:0008097"	"5S rRNA binding"	"6.089"
"GO:0004802"	"transketolase activity"	"6.048"
"GO:0015347"	"sodium-independent organic anion transmembrane transporter activity"	"5.946"
"GO:0004478"	"methionine adenosyltransferase activity"	"5.887"
"GO:0033592"	"RNA strand annealing activity"	"5.883"
"GO:1990174"	"phosphodiesterase decapping endonuclease activity"	"5.851"
"GO:0070181"	"small ribosomal subunit rRNA binding"	"5.817"
"GO:0051087"	"chaperone binding"	"5.777"
"GO:0004117"	"calmodulin-dependent cyclic-nucleotide phosphodiesterase activity"	"5.636"
"GO:0015036"	"disulfide oxidoreductase activity"	"5.532"
"GO:0004126"	"cytidine deaminase activity"	"5.502"
"GO:0008266"	"poly(U) RNA binding"	"5.43"
"GO:0055131"	"C3HC4-type RING finger domain binding"	"5.394"
"GO:0016671"	"oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor"	"5.389"
"GO:0004163"	"diphosphomevalonate decarboxylase activity"	"5.381"
"GO:0005200"	"structural constituent of cytoskeleton"	"5.23"
"GO:0043021"	"ribonucleoprotein complex binding"	"5.227"
"GO:0004561"	"alpha-N-acetylglucosaminidase activity"	"5.191"
"GO:0004610"	"phosphoacetylglucosamine mutase activity"	"5.039"
"GO:0023026"	"MHC class II protein complex binding"	"5.029"
"GO:0005525"	"GTP binding"	"4.966"
"GO:0019153"	"protein-disulfide reductase (glutathione) activity"	"4.936"
"GO:0070037"	"rRNA (pseudouridine) methyltransferase activity"	"4.929"
"GO:0047844"	"deoxycytidine deaminase activity"	"4.906"
"GO:0003724"	"RNA helicase activity"	"4.725"
"GO:0003846"	"2-acylglycerol O-acyltransferase activity"	"4.719"
"GO:0017091"	"AU-rich element binding"	"4.707"
"GO:0001226"	"RNA polymerase II transcription corepressor binding"	"4.69"
"GO:0008139"	"nuclear localization sequence binding"	"4.645"
"GO:0017070"	"U6 snRNA binding"	"4.628"
"GO:0004859"	"phospholipase inhibitor activity"	"4.605"
"GO:0016597"	"amino acid binding"	"4.603"
"GO:0034513"	"box H/ACA snoRNA binding"	"4.591"
"GO:0004029"	"aldehyde dehydrogenase (NAD) activity"	"4.561"
"GO:0000049"	"tRNA binding"	"4.559"
"GO:0015420"	"cobalamin-transporting ATPase activity"	"4.52"
"GO:0004526"	"ribonuclease P activity"	"4.518"
"GO:0098601"	"selenomethionine adenosyltransferase activity"	"4.38"
"GO:0008745"	"N-acetylmuramoyl-L-alanine amidase activity"	"4.373"
"GO:0008494"	"translation activator activity"	"4.369"
"GO:0050145"	"nucleoside phosphate kinase activity"	"4.366"
"GO:0004376"	"glycolipid mannosyltransferase activity"	"4.357"
"GO:0003883"	"CTP synthase activity"	"4.313"
"GO:0030235"	"nitric-oxide synthase regulator activity"	"4.31"
"GO:0043024"	"ribosomal small subunit binding"	"4.302"
"GO:0004058"	"aromatic-L-amino-acid decarboxylase activity"	"4.265"
