"GO.ID"	"GO.Term"	"Z-score"
"GO:0036403"	"arachidonate 8(S)-lipoxygenase activity"	"28.27"
"GO:0099104"	NA	"22.327"
"GO:0004713"	"protein tyrosine kinase activity"	"21.841"
"GO:0001784"	"phosphotyrosine binding"	"19.872"
"GO:0005070"	"SH3/SH2 adaptor activity"	"19.324"
"GO:0004715"	"non-membrane spanning protein tyrosine kinase activity"	"18.771"
"GO:0005088"	"Ras guanyl-nucleotide exchange factor activity"	"17.448"
"GO:0005160"	"transforming growth factor beta receptor binding"	"17.251"
"GO:0046875"	"ephrin receptor binding"	"16.524"
"GO:1903924"	"estradiol binding"	"15.772"
"GO:0017124"	"SH3 domain binding"	"15.55"
"GO:0019901"	"protein kinase binding"	"15.55"
"GO:0046934"	"phosphatidylinositol-4,5-bisphosphate 3-kinase activity"	"15.488"
"GO:0005518"	"collagen binding"	"15.457"
"GO:0005515"	"protein binding"	"15.199"
"GO:0005509"	"calcium ion binding"	"15.1"
"GO:0005201"	"extracellular matrix structural constituent"	"14.939"
"GO:0000978"	"RNA polymerase II core promoter proximal region sequence-specific DNA binding"	"14.696"
"GO:0008013"	"beta-catenin binding"	"14.114"
"GO:0046332"	"SMAD binding"	"14.086"
"GO:0005158"	"insulin receptor binding"	"13.844"
"GO:0005178"	"integrin binding"	"13.592"
"GO:0046935"	"1-phosphatidylinositol-3-kinase regulator activity"	"13.117"
"GO:0001077"	"transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding"	"13.014"
"GO:0004888"	"transmembrane signaling receptor activity"	"12.953"
"GO:0003834"	"beta-carotene 15,15'-monooxygenase activity"	"12.865"
"GO:0010436"	"carotenoid dioxygenase activity"	"12.865"
"GO:0034713"	"type I transforming growth factor beta receptor binding"	"12.516"
"GO:0043548"	"phosphatidylinositol 3-kinase binding"	"12.475"
"GO:0008134"	"transcription factor binding"	"12.316"
"GO:0050431"	"transforming growth factor beta binding"	"12.305"
"GO:0004972"	"NMDA glutamate receptor activity"	"12.231"
"GO:0005001"	"transmembrane receptor protein tyrosine phosphatase activity"	"12.136"
"GO:0019838"	"growth factor binding"	"12.131"
"GO:0005005"	"transmembrane-ephrin receptor activity"	"11.996"
"GO:0004697"	"protein kinase C activity"	"11.993"
"GO:0019903"	"protein phosphatase binding"	"11.845"
"GO:0005024"	"transforming growth factor beta-activated receptor activity"	"11.698"
"GO:0070411"	"I-SMAD binding"	"11.628"
"GO:0005114"	"type II transforming growth factor beta receptor binding"	"11.545"
"GO:0005068"	"transmembrane receptor protein tyrosine kinase adaptor activity"	"11.304"
"GO:0022849"	"glutamate-gated calcium ion channel activity"	"11.263"
"GO:0008083"	"growth factor activity"	"11.249"
"GO:0042803"	"protein homodimerization activity"	"11.045"
"GO:0034714"	"type III transforming growth factor beta receptor binding"	"11.002"
"GO:0030618"	"transforming growth factor beta receptor, pathway-specific cytoplasmic mediator activity"	"10.62"
"GO:0004714"	"transmembrane receptor protein tyrosine kinase activity"	"10.6"
"GO:0033829"	"O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase activity"	"10.479"
"GO:0001085"	"RNA polymerase II transcription factor binding"	"10.471"
"GO:0030971"	"receptor tyrosine kinase binding"	"10.423"
"GO:0015651"	"quaternary ammonium group transmembrane transporter activity"	"10.419"
"GO:0003700"	"transcription factor activity, sequence-specific DNA binding"	"10.402"
"GO:0031994"	"insulin-like growth factor I binding"	"10.398"
"GO:0008022"	"protein C-terminus binding"	"10.379"
"GO:0005026"	"transforming growth factor beta receptor activity, type II"	"10.267"
"GO:0004725"	"protein tyrosine phosphatase activity"	"10.251"
"GO:0048185"	"activin binding"	"10.212"
"GO:0019955"	"cytokine binding"	"10.167"
"GO:0005154"	"epidermal growth factor receptor binding"	"10.166"
"GO:0048407"	"platelet-derived growth factor binding"	"10.034"
"GO:0034711"	"inhibin binding"	"10.024"
"GO:0035257"	"nuclear hormone receptor binding"	"9.977"
"GO:0005102"	"receptor binding"	"9.85"
"GO:0043560"	"insulin receptor substrate binding"	"9.783"
"GO:0050840"	"extracellular matrix binding"	"9.736"
"GO:0008269"	"JAK pathway signal transduction adaptor activity"	"9.696"
"GO:0044325"	"ion channel binding"	"9.672"
"GO:0042169"	"SH2 domain binding"	"9.592"
"GO:0016702"	"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen"	"9.514"
"GO:0005161"	"platelet-derived growth factor receptor binding"	"9.492"
"GO:0050681"	"androgen receptor binding"	"9.346"
"GO:0070410"	"co-SMAD binding"	"9.315"
"GO:0016595"	"glutamate binding"	"9.151"
"GO:0031490"	"chromatin DNA binding"	"9.068"
"GO:0005125"	"cytokine activity"	"9.025"
"GO:0016303"	"1-phosphatidylinositol-3-kinase activity"	"9"
"GO:0030374"	"ligand-dependent nuclear receptor transcription coactivator activity"	"8.956"
"GO:0017151"	"DEAD/H-box RNA helicase binding"	"8.905"
"GO:0008092"	"cytoskeletal protein binding"	"8.856"
"GO:0031418"	"L-ascorbic acid binding"	"8.753"
"GO:0004674"	"protein serine/threonine kinase activity"	"8.723"
"GO:0003779"	"actin binding"	"8.671"
"GO:0042802"	"identical protein binding"	"8.659"
"GO:0016430"	"tRNA (adenine-N6-)-methyltransferase activity"	"8.533"
"GO:0086020"	"gap junction channel activity involved in SA node cell-atrial cardiac muscle cell electrical coupling"	"8.487"
"GO:0086077"	"gap junction channel activity involved in AV node cell-bundle of His cell electrical coupling"	"8.487"
"GO:0004675"	"transmembrane receptor protein serine/threonine kinase activity"	"8.478"
"GO:0001540"	"beta-amyloid binding"	"8.463"
"GO:0043565"	"sequence-specific DNA binding"	"8.447"
"GO:0050473"	"arachidonate 15-lipoxygenase activity"	"8.432"
