"GO.ID"	"GO.Term"	"zscore"
"GO:0005584"	"collagen type I trimer"	"15.617"
"GO:0035866"	"alphav-beta3 integrin-PKCalpha complex"	"13.64"
"GO:0034673"	"inhibin-betaglycan-ActRII complex"	"13.303"
"GO:0005586"	"collagen type III trimer"	"12.98"
"GO:0035867"	"alphav-beta3 integrin-IGF-1-IGF1R complex"	"12.101"
"GO:0043235"	"receptor complex"	"11.87"
"GO:0070022"	"transforming growth factor beta receptor homodimeric complex"	"11.761"
"GO:0097457"	"hippocampal mossy fiber"	"11.581"
"GO:1990707"	"nuclear subtelomeric heterochromatin"	"11.206"
"GO:0005901"	"caveola"	"10.364"
"GO:0005899"	"insulin receptor complex"	"10.135"
"GO:0062023"	NA	"9.41"
"GO:0097443"	"sorting endosome"	"9.26"
"GO:0035749"	"myelin sheath adaxonal region"	"9.124"
"GO:0002945"	"cyclin K-CDK13 complex"	"8.713"
"GO:0034683"	"integrin alphav-beta3 complex"	"8.58"
"GO:0031933"	"telomeric heterochromatin"	"8.392"
"GO:0032116"	"SMC loading complex"	"8.273"
"GO:0090694"	"Scc2-Scc4 cohesin loading complex"	"8.273"
"GO:0071144"	"SMAD2-SMAD3 protein complex"	"8.158"
"GO:0033256"	"I-kappaB/NF-kappaB complex"	"8.076"
"GO:1990666"	"PCSK9-LDLR complex"	"8.049"
"GO:1990667"	"PCSK9-AnxA2 complex"	"7.867"
"GO:0005592"	"collagen type XI trimer"	"7.72"
"GO:1905286"	"serine-type peptidase complex"	"7.673"
"GO:0031315"	"extrinsic component of mitochondrial outer membrane"	"7.604"
"GO:0043220"	"Schmidt-Lanterman incisure"	"7.158"
"GO:0031012"	"extracellular matrix"	"7.118"
"GO:0016942"	"insulin-like growth factor binding protein complex"	"6.844"
"GO:0035868"	"alphav-beta3 integrin-HMGB1 complex"	"6.746"
"GO:0071062"	"alphav-beta3 integrin-vitronectin complex"	"6.746"
"GO:1990429"	"peroxisomal importomer complex"	"6.73"
"GO:0043260"	"laminin-11 complex"	"6.652"
"GO:0005737"	"cytoplasm"	"6.607"
"GO:0005606"	"laminin-1 complex"	"6.606"
"GO:0032937"	"SREBP-SCAP-Insig complex"	"6.576"
"GO:0036477"	"somatodendritic compartment"	"6.56"
"GO:0005588"	"collagen type V trimer"	"6.546"
"GO:0043259"	"laminin-10 complex"	"6.517"
"GO:0019908"	"nuclear cyclin-dependent protein kinase holoenzyme complex"	"6.488"
"GO:0014069"	"postsynaptic density"	"6.268"
"GO:0016513"	"core-binding factor complex"	"6.245"
"GO:0009898"	"cytoplasmic side of plasma membrane"	"6.059"
"GO:0045121"	"membrane raft"	"5.885"
"GO:0043219"	"lateral loop"	"5.87"
"GO:0042567"	"insulin-like growth factor ternary complex"	"5.828"
"GO:0005886"	"plasma membrane"	"5.805"
"GO:0099059"	"integral component of presynaptic active zone membrane"	"5.784"
"GO:0071953"	"elastic fiber"	"5.776"
"GO:0044326"	"dendritic spine neck"	"5.696"
"GO:0045263"	"proton-transporting ATP synthase complex, coupling factor F(o)"	"5.686"
"GO:0033268"	"node of Ranvier"	"5.647"
"GO:0042272"	"nuclear RNA export factor complex"	"5.638"
"GO:0043218"	"compact myelin"	"5.628"
"GO:0048471"	"perinuclear region of cytoplasm"	"5.604"
"GO:0005947"	"mitochondrial alpha-ketoglutarate dehydrogenase complex"	"5.591"
"GO:0016323"	"basolateral plasma membrane"	"5.42"
"GO:0005921"	"gap junction"	"5.416"
"GO:0031233"	"intrinsic component of external side of plasma membrane"	"5.33"
"GO:0009986"	"cell surface"	"5.318"
"GO:0005788"	"endoplasmic reticulum lumen"	"5.277"
"GO:0005887"	"integral component of plasma membrane"	"5.202"
"GO:0070545"	"PeBoW complex"	"5.024"
"GO:0097025"	"MPP7-DLG1-LIN7 complex"	"4.964"
"GO:0005913"	"cell-cell adherens junction"	"4.939"
"GO:0098978"	"glutamatergic synapse"	"4.898"
"GO:0005942"	"phosphatidylinositol 3-kinase complex"	"4.852"
"GO:0035748"	"myelin sheath abaxonal region"	"4.58"
"GO:0044354"	"macropinosome"	"4.569"
"GO:0005849"	"mRNA cleavage factor complex"	"4.549"
"GO:0042629"	"mast cell granule"	"4.545"
"GO:0032991"	"macromolecular complex"	"4.484"
"GO:0042584"	"chromaffin granule membrane"	"4.406"
"GO:0016607"	"nuclear speck"	"4.305"
"GO:0000790"	"nuclear chromatin"	"4.276"
"GO:0043292"	"contractile fiber"	"4.274"
"GO:0048179"	"activin receptor complex"	"4.274"
"GO:0097386"	"glial cell projection"	"4.257"
"GO:1990712"	"HFE-transferrin receptor complex"	"4.219"
"GO:0005905"	"clathrin-coated pit"	"4.212"
"GO:0005790"	"smooth endoplasmic reticulum"	"4.076"
"GO:0071141"	"SMAD protein complex"	"4.064"
"GO:0044300"	"cerebellar mossy fiber"	"4.056"
"GO:0005925"	"focal adhesion"	"4.004"
"GO:0042995"	"cell projection"	"3.964"
"GO:0032153"	"cell division site"	"3.941"
"GO:0043197"	"dendritic spine"	"3.861"
"GO:0008024"	"cyclin/CDK positive transcription elongation factor complex"	"3.857"
"GO:0005952"	"cAMP-dependent protein kinase complex"	"3.806"
"GO:0016324"	"apical plasma membrane"	"3.797"
"GO:0005883"	"neurofilament"	"3.784"
"GO:0097441"	"basilar dendrite"	"3.777"
"GO:0005654"	"nucleoplasm"	"3.76"
"GO:0005916"	"fascia adherens"	"3.708"
"GO:0036057"	"slit diaphragm"	"3.673"
"GO:0031256"	"leading edge membrane"	"3.599"
"GO:0031253"	"cell projection membrane"	"3.582"
"GO:0005911"	"cell-cell junction"	"3.546"
"GO:0031618"	"nuclear pericentric heterochromatin"	"3.545"
"GO:0030669"	"clathrin-coated endocytic vesicle membrane"	"3.506"
"GO:0090575"	"RNA polymerase II transcription factor complex"	"3.475"
"GO:0030424"	"axon"	"3.451"
"GO:0009925"	"basal plasma membrane"	"3.41"
"GO:0031985"	"Golgi cisterna"	"3.399"
"GO:0043198"	"dendritic shaft"	"3.396"
"GO:0001527"	"microfibril"	"3.355"
"GO:0034098"	"VCP-NPL4-UFD1 AAA ATPase complex"	"3.355"
"GO:0043231"	"intracellular membrane-bounded organelle"	"3.299"
"GO:0061700"	"GATOR2 complex"	"3.29"
"GO:0005923"	"bicellular tight junction"	"3.285"
"GO:0030018"	"Z disc"	"3.248"
"GO:0034993"	"LINC complex"	"3.242"
"GO:0005615"	"extracellular space"	"3.186"
"GO:0002116"	"semaphorin receptor complex"	"3.045"
"GO:0001650"	"fibrillar center"	"3.026"
"GO:0005938"	"cell cortex"	"3.025"
"GO:0005634"	"nucleus"	"3.02"
"GO:0045211"	"postsynaptic membrane"	"2.987"
"GO:0014704"	"intercalated disc"	"2.985"
"GO:0005721"	"pericentric heterochromatin"	"2.973"
"GO:0030315"	"T-tubule"	"2.935"
"GO:0032591"	"dendritic spine membrane"	"2.933"
"GO:0042641"	"actomyosin"	"2.926"
"GO:0008328"	"ionotropic glutamate receptor complex"	"2.913"
"GO:0000780"	"condensed nuclear chromosome, centromeric region"	"2.902"
"GO:0030425"	"dendrite"	"2.898"
"GO:0031464"	"Cul4A-RING E3 ubiquitin ligase complex"	"2.881"
"GO:0030864"	"cortical actin cytoskeleton"	"2.864"
"GO:0042405"	"nuclear inclusion body"	"2.813"
"GO:0032587"	"ruffle membrane"	"2.766"
"GO:0034362"	"low-density lipoprotein particle"	"2.742"
"GO:0001518"	"voltage-gated sodium channel complex"	"2.733"
"GO:0042383"	"sarcolemma"	"2.686"
"GO:0097038"	"perinuclear endoplasmic reticulum"	"2.683"
"GO:0036020"	"endolysosome membrane"	"2.66"
"GO:0005856"	"cytoskeleton"	"2.655"
"GO:0031410"	"cytoplasmic vesicle"	"2.619"
"GO:0099092"	NA	"2.619"
"GO:0099524"	"postsynaptic cytosol"	"2.582"
"GO:0097440"	"apical dendrite"	"2.556"
"GO:0005576"	"extracellular region"	"2.55"
"GO:0098688"	NA	"2.527"
"GO:0043679"	"axon terminus"	"2.488"
"GO:0031527"	"filopodium membrane"	"2.461"
"GO:0031092"	"platelet alpha granule membrane"	"2.45"
"GO:0043296"	"apical junction complex"	"2.432"
"GO:0016328"	"lateral plasma membrane"	"2.407"
"GO:0016581"	"NuRD complex"	"2.36"
"GO:0005768"	"endosome"	"2.317"
"GO:0043194"	"axon initial segment"	"2.31"
"GO:0030660"	"Golgi-associated vesicle membrane"	"2.271"
"GO:0030672"	"synaptic vesicle membrane"	"2.253"
"GO:0034361"	"very-low-density lipoprotein particle"	"2.251"
"GO:0098982"	"GABA-ergic synapse"	"2.249"
"GO:0009897"	"external side of plasma membrane"	"2.233"
"GO:0002080"	"acrosomal membrane"	"2.231"
"GO:0016020"	"membrane"	"2.138"
"GO:0005922"	"connexin complex"	"2.131"
"GO:0098839"	"postsynaptic density membrane"	"2.13"
"GO:0030687"	"preribosome, large subunit precursor"	"2.125"
"GO:0005720"	"nuclear heterochromatin"	"2.109"
"GO:0097228"	"sperm principal piece"	"2.101"
"GO:0005829"	"cytosol"	"2.097"
"GO:0045177"	"apical part of cell"	"2.088"
"GO:0030054"	"cell junction"	"2.087"
"GO:0043025"	"neuronal cell body"	"2.047"
"GO:0044853"	"plasma membrane raft"	"2.001"
"GO:0031258"	"lamellipodium membrane"	"1.999"
"GO:0005774"	"vacuolar membrane"	"1.968"
"GO:0005794"	"Golgi apparatus"	"1.946"
"GO:0031528"	"microvillus membrane"	"1.939"
"GO:0005640"	"nuclear outer membrane"	"1.926"
"GO:0032809"	"neuronal cell body membrane"	"1.919"
"GO:0005811"	"lipid particle"	"1.872"
"GO:0019897"	"extrinsic component of plasma membrane"	"1.862"
"GO:0098685"	NA	"1.846"
"GO:0008305"	"integrin complex"	"1.788"
"GO:0032039"	"integrator complex"	"1.774"
"GO:0002102"	"podosome"	"1.761"
"GO:0016342"	"catenin complex"	"1.759"
"GO:0005891"	"voltage-gated calcium channel complex"	"1.756"
"GO:0000932"	"cytoplasmic mRNA processing body"	"1.748"
"GO:0012506"	"vesicle membrane"	"1.743"
"GO:0043005"	"neuron projection"	"1.741"
"GO:0005763"	"mitochondrial small ribosomal subunit"	"1.734"
"GO:0005769"	"early endosome"	"1.701"
"GO:0005604"	"basement membrane"	"1.696"
"GO:0005771"	"multivesicular body"	"1.693"
"GO:0031430"	"M band"	"1.673"
"GO:0043202"	"lysosomal lumen"	"1.615"
"GO:0005875"	"microtubule associated complex"	"1.606"
"GO:0000794"	"condensed nuclear chromosome"	"1.604"
"GO:0033017"	"sarcoplasmic reticulum membrane"	"1.562"
"GO:0000228"	"nuclear chromosome"	"1.538"
"GO:0030027"	"lamellipodium"	"1.535"
"GO:0005635"	"nuclear envelope"	"1.516"
"GO:0001772"	"immunological synapse"	"1.509"
"GO:0097546"	"ciliary base"	"1.502"
"GO:0016605"	"PML body"	"1.495"
"GO:0045202"	"synapse"	"1.494"
"GO:0042470"	"melanosome"	"1.433"
"GO:0031226"	"intrinsic component of plasma membrane"	"1.429"
"GO:0005796"	"Golgi lumen"	"1.417"
"GO:0000307"	"cyclin-dependent protein kinase holoenzyme complex"	"1.392"
"GO:0036126"	"sperm flagellum"	"1.391"
"GO:0008021"	"synaptic vesicle"	"1.371"
"GO:0031463"	"Cul3-RING ubiquitin ligase complex"	"1.371"
"GO:0016529"	"sarcoplasmic reticulum"	"1.369"
"GO:0016363"	"nuclear matrix"	"1.341"
"GO:0031252"	"cell leading edge"	"1.328"
"GO:0071944"	"cell periphery"	"1.327"
"GO:0030017"	"sarcomere"	"1.321"
"GO:0005765"	"lysosomal membrane"	"1.307"
"GO:0000922"	"spindle pole"	"1.281"
"GO:0070062"	"extracellular exosome"	"1.276"
"GO:0034774"	"secretory granule lumen"	"1.232"
"GO:0000139"	"Golgi membrane"	"1.23"
"GO:0099055"	"integral component of postsynaptic membrane"	"1.205"
"GO:0005819"	"spindle"	"1.201"
"GO:0005637"	"nuclear inner membrane"	"1.188"
"GO:0030426"	"growth cone"	"1.159"
"GO:0005770"	"late endosome"	"1.153"
"GO:0005874"	"microtubule"	"1.147"
"GO:0015629"	"actin cytoskeleton"	"1.137"
"GO:1904813"	"ficolin-1-rich granule lumen"	"1.128"
"GO:0030665"	"clathrin-coated vesicle membrane"	"1.106"
"GO:0005903"	"brush border"	"1.089"
"GO:0005881"	"cytoplasmic microtubule"	"1.041"
"GO:0031965"	"nuclear membrane"	"0.918"
"GO:0030139"	"endocytic vesicle"	"0.911"
"GO:0005778"	"peroxisomal membrane"	"0.908"
"GO:0001750"	"photoreceptor outer segment"	"0.901"
"GO:0031234"	"extrinsic component of cytoplasmic side of plasma membrane"	"0.901"
"GO:0030136"	"clathrin-coated vesicle"	"0.891"
"GO:0010494"	"cytoplasmic stress granule"	"0.883"
"GO:1990904"	"ribonucleoprotein complex"	"0.868"
"GO:0005802"	"trans-Golgi network"	"0.83"
"GO:0019898"	"extrinsic component of membrane"	"0.807"
"GO:0005581"	"collagen trimer"	"0.784"
"GO:0005815"	"microtubule organizing center"	"0.763"
"GO:0035580"	"specific granule lumen"	"0.762"
"GO:0005739"	"mitochondrion"	"0.758"
"GO:0005622"	"intracellular"	"0.74"
"GO:0031093"	"platelet alpha granule lumen"	"0.714"
"GO:0030666"	"endocytic vesicle membrane"	"0.676"
"GO:0044297"	"cell body"	"0.651"
"GO:0005884"	"actin filament"	"0.639"
"GO:0031594"	"neuromuscular junction"	"0.601"
"GO:0031090"	"organelle membrane"	"0.481"
"GO:0001726"	"ruffle"	"0.452"
"GO:0001669"	"acrosomal vesicle"	"0.45"
"GO:0030141"	"secretory granule"	"0.45"
"GO:0005667"	"transcription factor complex"	"0.427"
"GO:0008076"	"voltage-gated potassium channel complex"	"0.426"
"GO:0010008"	"endosome membrane"	"0.424"
"GO:0005681"	"spliceosomal complex"	"0.408"
"GO:0035578"	"azurophil granule lumen"	"0.374"
"GO:0030667"	"secretory granule membrane"	"0.366"
"GO:0031966"	"mitochondrial membrane"	"0.337"
"GO:0031225"	"anchored component of membrane"	"0.318"
"GO:0005882"	"intermediate filament"	"0.264"
"GO:0000785"	"chromatin"	"0.263"
"GO:0005743"	"mitochondrial inner membrane"	"0.243"
"GO:0005777"	"peroxisome"	"0.239"
"GO:0000784"	"nuclear chromosome, telomeric region"	"0.216"
"GO:0031902"	"late endosome membrane"	"0.21"
"GO:0005764"	"lysosome"	"0.141"
"GO:0005789"	"endoplasmic reticulum membrane"	"0.139"
"GO:0005694"	"chromosome"	"0.114"
