"GO.ID"	"GO.Term"	"Z-score"
"GO:0031259"	"uropod membrane"	"31.591"
"GO:0005759"	"mitochondrial matrix"	"13.386"
"GO:0070062"	"extracellular exosome"	"11.704"
"GO:0005739"	"mitochondrion"	"10.325"
"GO:0043209"	"myelin sheath"	"8.849"
"GO:0005829"	"cytosol"	"7.76"
"GO:1904813"	"ficolin-1-rich granule lumen"	"7.656"
"GO:0005737"	"cytoplasm"	"7.41"
"GO:0016020"	"membrane"	"7.129"
"GO:0034774"	"secretory granule lumen"	"7.064"
"GO:0005741"	"mitochondrial outer membrane"	"6.632"
"GO:0001536"	"radial spoke stalk"	"6.406"
"GO:0046930"	"pore complex"	"6.388"
"GO:0000786"	"nucleosome"	"5.811"
"GO:0008287"	"protein serine/threonine phosphatase complex"	"5.784"
"GO:0034466"	"chromaffin granule lumen"	"5.784"
"GO:0045254"	"pyruvate dehydrogenase complex"	"5.625"
"GO:0022624"	"proteasome accessory complex"	"5.429"
"GO:0030123"	"AP-3 adaptor complex"	"5.169"
"GO:0000502"	"proteasome complex"	"5.166"
"GO:0005811"	"lipid particle"	"5.096"
"GO:0060473"	"cortical granule"	"5.029"
"GO:0030136"	"clathrin-coated vesicle"	"5.008"
"GO:0031305"	"integral component of mitochondrial inner membrane"	"4.976"
"GO:0036117"	"hyaluranon cable"	"4.897"
"GO:0030015"	"CCR4-NOT core complex"	"4.865"
"GO:0032982"	"myosin filament"	"4.834"
"GO:0005782"	"peroxisomal matrix"	"4.736"
"GO:1990617"	"CHOP-ATF4 complex"	"4.73"
"GO:0016471"	"vacuolar proton-transporting V-type ATPase complex"	"4.7"
"GO:0016282"	"eukaryotic 43S preinitiation complex"	"4.672"
"GO:0005757"	"mitochondrial permeability transition pore complex"	"4.634"
"GO:0036266"	"Cdc48p-Npl4p-Vms1p AAA ATPase complex"	"4.634"
"GO:0097418"	"neurofibrillary tangle"	"4.633"
"GO:0005765"	"lysosomal membrane"	"4.625"
"GO:0072563"	"endothelial microparticle"	"4.605"
"GO:0005777"	"peroxisome"	"4.596"
"GO:0016234"	"inclusion body"	"4.559"
"GO:0030014"	"CCR4-NOT complex"	"4.534"
"GO:0005858"	"axonemal dynein complex"	"4.485"
"GO:0030665"	"clathrin-coated vesicle membrane"	"4.469"
"GO:0005892"	"acetylcholine-gated channel complex"	"4.342"
"GO:0048471"	"perinuclear region of cytoplasm"	"4.232"
"GO:0070110"	"ciliary neurotrophic factor receptor complex"	"4.153"
"GO:0036156"	"inner dynein arm"	"4.143"
"GO:0035578"	"azurophil granule lumen"	"4.121"
"GO:1990005"	"granular vesicle"	"4.104"
"GO:0005885"	"Arp2/3 protein complex"	"4.102"
"GO:0097059"	"CNTFR-CLCF1 complex"	"4.009"
"GO:0008540"	"proteasome regulatory particle, base subcomplex"	"4.008"
"GO:0042645"	"mitochondrial nucleoid"	"3.991"
"GO:0033290"	"eukaryotic 48S preinitiation complex"	"3.941"
"GO:0032991"	"macromolecular complex"	"3.894"
"GO:0005832"	"chaperonin-containing T-complex"	"3.864"
"GO:0005658"	"alpha DNA polymerase:primase complex"	"3.815"
"GO:0005783"	"endoplasmic reticulum"	"3.783"
"GO:0005789"	"endoplasmic reticulum membrane"	"3.781"
"GO:0002199"	"zona pellucida receptor complex"	"3.77"
"GO:0097136"	"Bcl-2 family protein complex"	"3.77"
"GO:0016281"	"eukaryotic translation initiation factor 4F complex"	"3.711"
"GO:0071439"	"clathrin complex"	"3.704"
"GO:0030891"	"VCB complex"	"3.679"
"GO:0042824"	"MHC class I peptide loading complex"	"3.636"
"GO:0016469"	"proton-transporting two-sector ATPase complex"	"3.633"
"GO:0005925"	"focal adhesion"	"3.596"
"GO:0005945"	"6-phosphofructokinase complex"	"3.593"
"GO:0030135"	"coated vesicle"	"3.576"
"GO:0045252"	"oxoglutarate dehydrogenase complex"	"3.566"
"GO:0030017"	"sarcomere"	"3.547"
"GO:0005851"	"eukaryotic translation initiation factor 2B complex"	"3.544"
"GO:0033179"	"proton-transporting V-type ATPase, V0 domain"	"3.543"
"GO:1990590"	"ATF1-ATF4 transcription factor complex"	"3.529"
"GO:0000221"	"vacuolar proton-transporting V-type ATPase, V1 domain"	"3.522"
"GO:0042470"	"melanosome"	"3.486"
"GO:0097058"	"CRLF-CLCF1 complex"	"3.447"
"GO:0031306"	"intrinsic component of mitochondrial outer membrane"	"3.445"
"GO:0035658"	"Mon1-Ccz1 complex"	"3.431"
