Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_ALL	GO:0010033tresponse to organic substance	72	46.45161290322581	2.390876974891704E-18	ENSG00000125740, ENSG00000105173, ENSG00000169684, ENSG00000137563, ENSG00000165272, ENSG00000124702, ENSG00000170345, ENSG00000171223, ENSG00000163882, ENSG00000134352, ENSG00000125347, ENSG00000140564, ENSG00000172270, ENSG00000140465, ENSG00000126803, ENSG00000115457, ENSG00000143819, ENSG00000125845, ENSG00000204444, ENSG00000068001, ENSG00000183072, ENSG00000155097, ENSG00000004478, ENSG00000157227, ENSG00000070669, ENSG00000169856, ENSG00000254087, ENSG00000096401, ENSG00000086061, ENSG00000132002, ENSG00000173786, ENSG00000129596, ENSG00000104267, ENSG00000131979, ENSG00000165732, ENSG00000100906, ENSG00000165731, ENSG00000100292, ENSG00000204231, ENSG00000163932, ENSG00000140538, ENSG00000072062, ENSG00000159388, ENSG00000156427, ENSG00000153187, ENSG00000069482, ENSG00000129757, ENSG00000099804, ENSG00000147883, ENSG00000136244, ENSG00000128524, ENSG00000204642, ENSG00000030110, ENSG00000123358, ENSG00000139644, ENSG00000163132, ENSG00000162772, ENSG00000164305, ENSG00000169836, ENSG00000135966, ENSG00000110721, ENSG00000153094, ENSG00000141480, ENSG00000165916, ENSG00000090339, ENSG00000211445, ENSG00000133639, ENSG00000139219, ENSG00000081041, ENSG00000015475, ENSG00000128059, ENSG00000010932	151	2822	16792	2.837271954980029	1.0146881881440392E-14	1.0146881881440392E-14	4.471445919624199E-15
GOTERM_BP_ALL	GO:0042221tresponse to chemical	84	54.19354838709678	5.034827751933776E-16	ENSG00000125740, ENSG00000072274, ENSG00000105173, ENSG00000169684, ENSG00000137563, ENSG00000165272, ENSG00000124702, ENSG00000170345, ENSG00000171223, ENSG00000163882, ENSG00000115694, ENSG00000134352, ENSG00000125347, ENSG00000140564, ENSG00000172270, ENSG00000140465, ENSG00000126803, ENSG00000115457, ENSG00000143819, ENSG00000125845, ENSG00000123374, ENSG00000204444, ENSG00000068001, ENSG00000183072, ENSG00000155097, ENSG00000004478, ENSG00000157227, ENSG00000143878, ENSG00000171428, ENSG00000070669, ENSG00000169856, ENSG00000254087, ENSG00000096401, ENSG00000132002, ENSG00000086061, ENSG00000173786, ENSG00000129596, ENSG00000178980, ENSG00000104267, ENSG00000106689, ENSG00000055118, ENSG00000131979, ENSG00000165732, ENSG00000100906, ENSG00000165731, ENSG00000100292, ENSG00000204231, ENSG00000163932, ENSG00000140538, ENSG00000072062, ENSG00000159388, ENSG00000156427, ENSG00000153187, ENSG00000069482, ENSG00000129757, ENSG00000099804, ENSG00000196502, ENSG00000147883, ENSG00000136244, ENSG00000128524, ENSG00000204642, ENSG00000030110, ENSG00000123358, ENSG00000085563, ENSG00000139644, ENSG00000162772, ENSG00000163132, ENSG00000164305, ENSG00000169836, ENSG00000108179, ENSG00000135966, ENSG00000110721, ENSG00000153094, ENSG00000187094, ENSG00000141480, ENSG00000165916, ENSG00000090339, ENSG00000211445, ENSG00000133639, ENSG00000139219, ENSG00000081041, ENSG00000015475, ENSG00000128059, ENSG00000010932	151	4117	16792	2.2689446279117274	2.355893258254582E-12	1.177946629127291E-12	1.0436096431476471E-12
GOTERM_BP_ALL	GO:0014070tresponse to organic cyclic compound	37	23.870967741935484	1.8893917427300088E-14	ENSG00000100906, ENSG00000125740, ENSG00000165732, ENSG00000105173, ENSG00000169684, ENSG00000165272, ENSG00000100292, ENSG00000170345, ENSG00000204231, ENSG00000171223, ENSG00000140538, ENSG00000072062, ENSG00000159388, ENSG00000153187, ENSG00000172270, ENSG00000140465, ENSG00000115457, ENSG00000136244, ENSG00000143819, ENSG00000125845, ENSG00000030110, ENSG00000123358, ENSG00000163132, ENSG00000164305, ENSG00000004478, ENSG00000169836, ENSG00000157227, ENSG00000110721, ENSG00000141480, ENSG00000070669, ENSG00000254087, ENSG00000086061, ENSG00000096401, ENSG00000129596, ENSG00000090339, ENSG00000104267, ENSG00000015475	151	906	16792	4.5414967179802055	8.01003707806558E-11	2.6700086586117777E-11	3.5293989952833726E-11
GOTERM_BP_ALL	GO:0009719tresponse to endogenous stimulus	48	30.967741935483872	1.9888379733941882E-14	ENSG00000100906, ENSG00000125740, ENSG00000105173, ENSG00000169684, ENSG00000137563, ENSG00000100292, ENSG00000170345, ENSG00000204231, ENSG00000171223, ENSG00000163932, ENSG00000163882, ENSG00000140538, ENSG00000159388, ENSG00000072062, ENSG00000156427, ENSG00000153187, ENSG00000140564, ENSG00000069482, ENSG00000129757, ENSG00000172270, ENSG00000115457, ENSG00000136244, ENSG00000147883, ENSG00000128524, ENSG00000125845, ENSG00000123358, ENSG00000068001, ENSG00000139644, ENSG00000163132, ENSG00000183072, ENSG00000164305, ENSG00000155097, ENSG00000004478, ENSG00000169836, ENSG00000135966, ENSG00000157227, ENSG00000141480, ENSG00000169856, ENSG00000070669, ENSG00000254087, ENSG00000086061, ENSG00000096401, ENSG00000129596, ENSG00000090339, ENSG00000104267, ENSG00000133639, ENSG00000139219, ENSG00000128059	151	1548	16792	3.4482262949843423	8.434097864551404E-11	2.108524466137851E-11	3.717026686445024E-11
GOTERM_BP_ALL	GO:0070887tcellular response to chemical stimulus	62	40.0	1.8450191004621684E-13	ENSG00000125740, ENSG00000072274, ENSG00000105173, ENSG00000124702, ENSG00000170345, ENSG00000171223, ENSG00000163882, ENSG00000134352, ENSG00000115694, ENSG00000125347, ENSG00000140564, ENSG00000140465, ENSG00000115457, ENSG00000143819, ENSG00000125845, ENSG00000123374, ENSG00000068001, ENSG00000183072, ENSG00000155097, ENSG00000004478, ENSG00000143878, ENSG00000171428, ENSG00000070669, ENSG00000169856, ENSG00000254087, ENSG00000096401, ENSG00000086061, ENSG00000104267, ENSG00000055118, ENSG00000131979, ENSG00000100906, ENSG00000165731, ENSG00000100292, ENSG00000204231, ENSG00000163932, ENSG00000140538, ENSG00000156427, ENSG00000072062, ENSG00000153187, ENSG00000129757, ENSG00000099804, ENSG00000196502, ENSG00000136244, ENSG00000147883, ENSG00000128524, ENSG00000204642, ENSG00000030110, ENSG00000123358, ENSG00000139644, ENSG00000163132, ENSG00000162772, ENSG00000164305, ENSG00000135966, ENSG00000108179, ENSG00000153094, ENSG00000141480, ENSG00000165916, ENSG00000090339, ENSG00000139219, ENSG00000081041, ENSG00000128059, ENSG00000010932	151	2648	16792	2.603749424781417	7.830989190438231E-10	1.566198282176856E-10	3.450906227442374E-10
GOTERM_BP_ALL	GO:1901700tresponse to oxygen-containing compound	45	29.03225806451613	2.68282650913138E-13	ENSG00000100906, ENSG00000125740, ENSG00000165731, ENSG00000137563, ENSG00000165272, ENSG00000100292, ENSG00000170345, ENSG00000171223, ENSG00000163932, ENSG00000140538, ENSG00000072062, ENSG00000159388, ENSG00000153187, ENSG00000115694, ENSG00000069482, ENSG00000172270, ENSG00000140465, ENSG00000115457, ENSG00000136244, ENSG00000128524, ENSG00000123374, ENSG00000030110, ENSG00000204444, ENSG00000123358, ENSG00000068001, ENSG00000139644, ENSG00000164305, ENSG00000155097, ENSG00000169836, ENSG00000108179, ENSG00000143878, ENSG00000070669, ENSG00000254087, ENSG00000096401, ENSG00000173786, ENSG00000129596, ENSG00000090339, ENSG00000104267, ENSG00000211445, ENSG00000133639, ENSG00000081041, ENSG00000131979, ENSG00000128059, ENSG00000010932, ENSG00000015475	151	1466	16792	3.41353234010643	1.1383676223886141E-9	1.8972790005733486E-10	5.016431714466307E-10
GOTERM_BP_ALL	GO:0010604tpositive regulation of macromolecule metabolic process	60	38.70967741935484	6.046391758790476E-11	ENSG00000125740, ENSG00000072274, ENSG00000123843, ENSG00000105173, ENSG00000170345, ENSG00000171223, ENSG00000008735, ENSG00000153879, ENSG00000163882, ENSG00000161011, ENSG00000134352, ENSG00000115694, ENSG00000125347, ENSG00000140564, ENSG00000072518, ENSG00000133740, ENSG00000126803, ENSG00000011451, ENSG00000125845, ENSG00000123374, ENSG00000068001, ENSG00000183072, ENSG00000157227, ENSG00000169856, ENSG00000254087, ENSG00000130558, ENSG00000106689, ENSG00000165732, ENSG00000100906, ENSG00000165731, ENSG00000100292, ENSG00000204231, ENSG00000163932, ENSG00000140538, ENSG00000156427, ENSG00000159388, ENSG00000072062, ENSG00000153187, ENSG00000069482, ENSG00000129757, ENSG00000069974, ENSG00000136244, ENSG00000147883, ENSG00000030110, ENSG00000123358, ENSG00000188486, ENSG00000163132, ENSG00000162772, ENSG00000164305, ENSG00000112576, ENSG00000153094, ENSG00000141480, ENSG00000187094, ENSG00000165916, ENSG00000172575, ENSG00000090339, ENSG00000163918, ENSG00000119888, ENSG00000168779, ENSG00000015475	151	2856	16792	2.336245756580778	2.566090437916557E-7	3.6658438840042606E-8	1.1308041170110528E-7
GOTERM_BP_ALL	GO:0050896tresponse to stimulus	114	73.54838709677419	8.628391489694992E-11	ENSG00000125740, ENSG00000072274, ENSG00000123843, ENSG00000165272, ENSG00000124702, ENSG00000008735, ENSG00000171223, ENSG00000163882, ENSG00000148680, ENSG00000115694, ENSG00000125347, ENSG00000131238, ENSG00000140465, ENSG00000126803, ENSG00000125845, ENSG00000123374, ENSG00000166592, ENSG00000143878, ENSG00000157227, ENSG00000168496, ENSG00000171428, ENSG00000070669, ENSG00000169856, ENSG00000254087, ENSG00000096401, ENSG00000086061, ENSG00000173786, ENSG00000129596, ENSG00000178980, ENSG00000130558, ENSG00000106689, ENSG00000055118, ENSG00000131979, ENSG00000168394, ENSG00000153707, ENSG00000165732, ENSG00000100906, ENSG00000165731, ENSG00000092445, ENSG00000204231, ENSG00000159388, ENSG00000156427, ENSG00000153187, ENSG00000129757, ENSG00000168439, ENSG00000099804, ENSG00000069974, ENSG00000147883, ENSG00000128524, ENSG00000204642, ENSG00000085563, ENSG00000139644, ENSG00000163132, ENSG00000162772, ENSG00000164305, ENSG00000169836, ENSG00000108179, ENSG00000135966, ENSG00000110721, ENSG00000147955, ENSG00000106244, ENSG00000141480, ENSG00000165916, ENSG00000172575, ENSG00000090339, ENSG00000211445, ENSG00000119888, ENSG00000133639, ENSG00000168779, ENSG00000081041, ENSG00000015475, ENSG00000128059, ENSG00000105173, ENSG00000169684, ENSG00000137563, ENSG00000170345, ENSG00000153879, ENSG00000161011, ENSG00000134352, ENSG00000140564, ENSG00000172270, ENSG00000072518, ENSG00000115457, ENSG00000143819, ENSG00000204444, ENSG00000068001, ENSG00000183072, ENSG00000155097, ENSG00000004478, ENSG00000132002, ENSG00000178719, ENSG00000104267, ENSG00000100292, ENSG00000163932, ENSG00000140538, ENSG00000072062, ENSG00000069482, ENSG00000042753, ENSG00000196502, ENSG00000136244, ENSG00000030110, ENSG00000123358, ENSG00000188486, ENSG00000129484, ENSG00000115896, ENSG00000112576, ENSG00000184203, ENSG00000153094, ENSG00000187094, ENSG00000132535, ENSG00000163918, ENSG00000139219, ENSG00000256525, ENSG00000010932	151	8329	16792	1.52207995839956	3.6618867271798194E-7	4.577359147273086E-8	1.6136909586350612E-7
GOTERM_BP_ALL	GO:0009725tresponse to hormone	31	20.0	8.831181867664016E-11	ENSG00000125740, ENSG00000105173, ENSG00000137563, ENSG00000170345, ENSG00000204231, ENSG00000171223, ENSG00000163932, ENSG00000140538, ENSG00000072062, ENSG00000159388, ENSG00000153187, ENSG00000069482, ENSG00000172270, ENSG00000115457, ENSG00000136244, ENSG00000128524, ENSG00000123358, ENSG00000164305, ENSG00000155097, ENSG00000004478, ENSG00000157227, ENSG00000141480, ENSG00000070669, ENSG00000254087, ENSG00000096401, ENSG00000086061, ENSG00000129596, ENSG00000090339, ENSG00000104267, ENSG00000133639, ENSG00000128059	151	854	16792	4.036726274485475	3.747952188604131E-7	4.164392009009532E-8	1.6516176204461885E-7
GOTERM_BP_ALL	GO:1901698tresponse to nitrogen compound	31	20.0	2.743161954641074E-10	ENSG00000100906, ENSG00000165732, ENSG00000125740, ENSG00000169684, ENSG00000137563, ENSG00000100292, ENSG00000170345, ENSG00000171223, ENSG00000163932, ENSG00000072062, ENSG00000159388, ENSG00000069482, ENSG00000172270, ENSG00000115457, ENSG00000136244, ENSG00000128524, ENSG00000123374, ENSG00000123358, ENSG00000139644, ENSG00000163132, ENSG00000164305, ENSG00000155097, ENSG00000169836, ENSG00000070669, ENSG00000254087, ENSG00000096401, ENSG00000129596, ENSG00000090339, ENSG00000104267, ENSG00000133639, ENSG00000128059	151	895	16792	3.851803618335861	1.164197429681657E-6	1.1641980401932983E-7	5.130294189470419E-7
