Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04310:Wnt signaling pathway	20	47.61904761904761	2.0040701625299808E-23	ENSG00000165879, ENSG00000136997, ENSG00000118971, ENSG00000138795, ENSG00000112033, ENSG00000157240, ENSG00000115596, ENSG00000004975, ENSG00000103126, ENSG00000111186, ENSG00000140807, ENSG00000168036, ENSG00000107984, ENSG00000081059, ENSG00000055130, ENSG00000141510, ENSG00000104371, ENSG00000168646, ENSG00000213923, ENSG00000125084	38	138	6879	26.23569794050343	1.8237038479022825E-21	1.8237038479022825E-21	2.184820801583403E-20
KEGG_PATHWAY	hsa04330:Notch signaling pathway	14	33.33333333333333	4.9564120980369926E-20	ENSG00000168214, ENSG00000161021, ENSG00000143801, ENSG00000204301, ENSG00000108773, ENSG00000196591, ENSG00000004975, ENSG00000196498, ENSG00000162736, ENSG00000184916, ENSG00000151694, ENSG00000101384, ENSG00000198719, ENSG00000148400	38	48	6879	52.79934210526315	4.510335009213663E-18	2.2551675046068316E-18	5.403439687630626E-17
KEGG_PATHWAY	hsa05217:Basal cell carcinoma	12	28.57142857142857	1.7130931404070475E-15	ENSG00000138795, ENSG00000081059, ENSG00000185920, ENSG00000141510, ENSG00000157240, ENSG00000115596, ENSG00000004975, ENSG00000103126, ENSG00000111186, ENSG00000168036, ENSG00000168646, ENSG00000125084	38	54	6879	40.228070175438596	1.5154544286133387E-13	5.051514762044462E-14	1.8207657603852567E-12
KEGG_PATHWAY	hsa04390:Hippo signaling pathway	13	30.952380952380953	9.325509861732626E-12	ENSG00000136997, ENSG00000118971, ENSG00000138795, ENSG00000157240, ENSG00000115596, ENSG00000004975, ENSG00000103126, ENSG00000111186, ENSG00000168036, ENSG00000081059, ENSG00000168646, ENSG00000125084, ENSG00000213923	38	151	6879	15.5850470547229	8.486241709348974E-10	2.1215607048929996E-10	1.0166623098939453E-8
KEGG_PATHWAY	hsa05200:Pathways in cancer	17	40.476190476190474	4.064352642337998E-11	ENSG00000136997, ENSG00000138795, ENSG00000112033, ENSG00000157240, ENSG00000115596, ENSG00000196591, ENSG00000004975, ENSG00000103126, ENSG00000111186, ENSG00000168036, ENSG00000127955, ENSG00000081059, ENSG00000185920, ENSG00000141510, ENSG00000145604, ENSG00000168646, ENSG00000125084	38	393	6879	7.830654881478505	3.69855746029657E-9	7.397115142637745E-10	4.430920075293443E-8
KEGG_PATHWAY	hsa04916:Melanogenesis	9	21.428571428571427	4.099522556755153E-8	ENSG00000127955, ENSG00000138795, ENSG00000081059, ENSG00000157240, ENSG00000115596, ENSG00000004975, ENSG00000111186, ENSG00000168036, ENSG00000125084	38	100	6879	16.29236842105263	3.73055864277827E-6	6.217607402270175E-7	4.469264850426313E-5
KEGG_PATHWAY	hsa05213:Endometrial cancer	7	16.666666666666664	2.696458841841918E-7	ENSG00000136997, ENSG00000138795, ENSG00000081059, ENSG00000141510, ENSG00000103126, ENSG00000168036, ENSG00000168646	38	52	6879	24.368927125506072	2.453747771946624E-5	3.5053908230553432E-6	2.939653318212443E-4
KEGG_PATHWAY	hsa04550:Signaling pathways regulating pluripotency of stem cells	9	21.428571428571427	5.65159125284123E-7	ENSG00000136997, ENSG00000157240, ENSG00000115596, ENSG00000004975, ENSG00000103126, ENSG00000111186, ENSG00000168036, ENSG00000168646, ENSG00000125084	38	140	6879	11.637406015037595	5.14281724592891E-5	6.428666202706879E-6	6.161301042362233E-4
KEGG_PATHWAY	hsa05210:Colorectal cancer	7	16.666666666666664	7.83217466112197E-7	ENSG00000136997, ENSG00000138795, ENSG00000081059, ENSG00000141510, ENSG00000103126, ENSG00000168036, ENSG00000168646	38	62	6879	20.438455008488962	7.127027747966252E-5	7.919170568415623E-6	8.538539262081812E-4
KEGG_PATHWAY	hsa05166:HTLV-I infection	10	23.809523809523807	5.5607079052518815E-6	ENSG00000136997, ENSG00000118971, ENSG00000141510, ENSG00000108773, ENSG00000157240, ENSG00000115596, ENSG00000004975, ENSG00000111186, ENSG00000168036, ENSG00000125084	38	254	6879	7.127020306672192	5.058978168344108E-4	5.0601302341912735E-5	0.006062071108747791
