"GO.ID"	"GO.Term"	"zscore"	"obs"	"mean"	"std"
"GO:0060070"	"canonical Wnt signaling pathway"	"26.152"	"229"	"49.216"	"6.874"
"GO:0000122"	"negative regulation of transcription from RNA polymerase II promoter"	"23.936"	"1415"	"766.802"	"27.081"
"GO:0045944"	"positive regulation of transcription from RNA polymerase II promoter"	"23.052"	"1603"	"943.162"	"28.623"
"GO:0045893"	"positive regulation of transcription, DNA-templated"	"22.587"	"1034"	"533.962"	"22.139"
"GO:0045892"	"negative regulation of transcription, DNA-templated"	"21.325"	"878"	"445.284"	"20.292"
"GO:0090090"	"negative regulation of canonical Wnt signaling pathway"	"19.895"	"299"	"104.055"	"9.799"
"GO:1904886"	"beta-catenin destruction complex disassembly"	"19.663"	"131"	"29.276"	"5.173"
"GO:0016055"	"Wnt signaling pathway"	"18.338"	"436"	"196.581"	"13.056"
"GO:0007219"	"Notch signaling pathway"	"17.032"	"257"	"100.728"	"9.175"
"GO:0045747"	"positive regulation of Notch signaling pathway"	"15.473"	"136"	"40.154"	"6.195"
"GO:0007221"	"positive regulation of transcription of Notch receptor target"	"15.338"	"108"	"29.866"	"5.094"
"GO:0061314"	"Notch signaling involved in heart development"	"15.213"	"49"	"8.165"	"2.684"
"GO:0060412"	"ventricular septum morphogenesis"	"14.634"	"80"	"19.63"	"4.125"
"GO:0035567"	"non-canonical Wnt signaling pathway"	"13.999"	"61"	"12.324"	"3.477"
"GO:1904837"	"beta-catenin-TCF complex assembly"	"13.655"	"152"	"55.887"	"7.039"
"GO:1904953"	"Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation"	"13.389"	"29"	"3.62"	"1.896"
"GO:0090179"	"planar cell polarity pathway involved in neural tube closure"	"13.275"	"46"	"8.641"	"2.814"
"GO:0033278"	"cell proliferation in midbrain"	"12.849"	"19"	"1.841"	"1.335"
"GO:0030182"	"neuron differentiation"	"12.812"	"175"	"75.155"	"7.793"
"GO:0030514"	"negative regulation of BMP signaling pathway"	"12.546"	"81"	"24.12"	"4.534"
"GO:0001756"	"somitogenesis"	"12.529"	"97"	"30.95"	"5.272"
"GO:0001837"	"epithelial to mesenchymal transition"	"12.449"	"121"	"45.461"	"6.068"
"GO:0045165"	"cell fate commitment"	"12.421"	"85"	"24.766"	"4.849"
"GO:0016575"	"histone deacetylation"	"12.031"	"148"	"59.529"	"7.354"
