"GO.ID"	"GO.Term"	"Z-score"
"GO:0005667"	"transcription factor complex"	"17.138"
"GO:1990909"	"Wnt signalosome"	"15.449"
"GO:0000118"	"histone deacetylase complex"	"15.362"
"GO:0017053"	"transcriptional repressor complex"	"14.434"
"GO:1990851"	"Wnt-Frizzled-LRP5/6 complex"	"14.262"
"GO:0005654"	"nucleoplasm"	"14.216"
"GO:0030877"	"beta-catenin destruction complex"	"14.016"
"GO:0016342"	"catenin complex"	"13.642"
"GO:0002193"	"MAML1-RBP-Jkappa- ICN1 complex"	"12.53"
"GO:0000790"	"nuclear chromatin"	"10.552"
"GO:0005634"	"nucleus"	"10.116"
"GO:0016592"	"mediator complex"	"10.052"
"GO:0044798"	"nuclear transcription factor complex"	"9.679"
"GO:1990907"	"beta-catenin-TCF complex"	"9.202"
"GO:0090575"	"RNA polymerase II transcription factor complex"	"8.963"
"GO:0019005"	"SCF ubiquitin ligase complex"	"8.915"
"GO:0030914"	"STAGA complex"	"8.386"
"GO:0016513"	"core-binding factor complex"	"8.117"
"GO:0032993"	"protein-DNA complex"	"7.979"
"GO:0035097"	"histone methyltransferase complex"	"7.926"
"GO:0005719"	"nuclear euchromatin"	"7.368"
"GO:0070765"	"gamma-secretase complex"	"6.936"
"GO:0032991"	"macromolecular complex"	"6.702"
"GO:0016580"	"Sin3 complex"	"6.457"
"GO:0016328"	"lateral plasma membrane"	"6.344"
"GO:0071565"	"nBAF complex"	"6.336"
"GO:0070369"	"beta-catenin-TCF7L2 complex"	"6.335"
"GO:0071141"	"SMAD protein complex"	"6.304"
"GO:0005671"	"Ada2/Gcn5/Ada3 transcription activator complex"	"6.303"
"GO:1990246"	"uniplex complex"	"6.26"
"GO:0000123"	"histone acetyltransferase complex"	"6.258"
"GO:0001536"	"radial spoke stalk"	"6.242"
"GO:0042568"	"insulin-like growth factor binary complex"	"6.242"
"GO:0016581"	"NuRD complex"	"6.187"
"GO:0071144"	"SMAD2-SMAD3 protein complex"	"6.177"
"GO:0005737"	"cytoplasm"	"6.012"
"GO:0070822"	"Sin3-type complex"	"6.005"
"GO:0097541"	"axonemal basal plate"	"6"
"GO:0016514"	"SWI/SNF complex"	"5.968"
"GO:0031464"	"Cul4A-RING E3 ubiquitin ligase complex"	"5.889"
"GO:0071564"	"npBAF complex"	"5.848"
"GO:0097197"	"tetraspanin-enriched microdomain"	"5.774"
"GO:0070847"	"core mediator complex"	"5.766"
"GO:0000307"	"cyclin-dependent protein kinase holoenzyme complex"	"5.731"
"GO:0030666"	"endocytic vesicle membrane"	"5.708"
"GO:0016605"	"PML body"	"5.633"
"GO:0033276"	"transcription factor TFTC complex"	"5.583"
"GO:0000785"	"chromatin"	"5.48"
"GO:0005913"	"cell-cell adherens junction"	"5.451"
"GO:0005677"	"chromatin silencing complex"	"5.325"
"GO:0090571"	"RNA polymerase II transcription repressor complex"	"5.314"
"GO:0005680"	"anaphase-promoting complex"	"5.302"
"GO:0016363"	"nuclear matrix"	"5.132"
"GO:0097440"	"apical dendrite"	"5.125"
"GO:0005637"	"nuclear inner membrane"	"5.095"
"GO:0016604"	"nuclear body"	"4.946"
"GO:0000151"	"ubiquitin ligase complex"	"4.867"
"GO:0022627"	"cytosolic small ribosomal subunit"	"4.806"
"GO:0043657"	"host cell"	"4.804"
"GO:0005912"	"adherens junction"	"4.744"
"GO:0005876"	"spindle microtubule"	"4.583"
"GO:0031465"	"Cul4B-RING E3 ubiquitin ligase complex"	"4.565"
"GO:0000124"	"SAGA complex"	"4.469"
"GO:0001939"	"female pronucleus"	"4.466"
"GO:0097431"	"mitotic spindle pole"	"4.314"
"GO:1990032"	"parallel fiber"	"4.309"
"GO:0000125"	"PCAF complex"	"4.253"
"GO:0015935"	"small ribosomal subunit"	"4.122"
"GO:0044301"	"climbing fiber"	"4.094"
"GO:0080008"	"Cul4-RING E3 ubiquitin ligase complex"	"4.067"
"GO:0000839"	"Hrd1p ubiquitin ligase ERAD-L complex"	"4.056"
"GO:0043235"	"receptor complex"	"4.035"
"GO:0031085"	"BLOC-3 complex"	"4.028"
"GO:0033553"	"rDNA heterochromatin"	"3.998"
"GO:0042564"	"NLS-dependent protein nuclear import complex"	"3.979"
"GO:0031467"	"Cul7-RING ubiquitin ligase complex"	"3.965"
"GO:0070877"	"microprocessor complex"	"3.958"
"GO:0097232"	"lamellar body membrane"	"3.956"
"GO:0097233"	"alveolar lamellar body membrane"	"3.956"
"GO:0098547"	"lumenal side of Golgi membrane"	"3.924"
"GO:0098831"	"presynaptic active zone cytoplasmic component"	"3.913"
"GO:0032444"	"activin responsive factor complex"	"3.897"
"GO:0043224"	"nuclear SCF ubiquitin ligase complex"	"3.885"
"GO:0000836"	"Hrd1p ubiquitin ligase complex"	"3.876"
"GO:0005720"	"nuclear heterochromatin"	"3.867"
"GO:0043596"	"nuclear replication fork"	"3.851"
"GO:0000792"	"heterochromatin"	"3.846"
"GO:0031462"	"Cul2-RING ubiquitin ligase complex"	"3.818"
"GO:0031466"	"Cul5-RING ubiquitin ligase complex"	"3.813"
"GO:0001527"	"microfibril"	"3.765"
"GO:0072534"	"perineuronal net"	"3.659"
"GO:0030124"	"AP-4 adaptor complex"	"3.658"
"GO:0005741"	"mitochondrial outer membrane"	"3.599"
"GO:0034777"	"recycling endosome lumen"	"3.588"
"GO:0043190"	"ATP-binding cassette (ABC) transporter complex"	"3.584"
"GO:0019008"	"molybdopterin synthase complex"	"3.562"
"GO:1990589"	"ATF4-CREB1 transcription factor complex"	"3.548"
"GO:0005923"	"bicellular tight junction"	"3.409"
"GO:0001940"	"male pronucleus"	"3.399"
"GO:0043514"	"interleukin-12 complex"	"3.379"
"GO:0000127"	"transcription factor TFIIIC complex"	"3.363"
"GO:0070743"	"interleukin-23 complex"	"3.332"
"GO:0097136"	"Bcl-2 family protein complex"	"3.271"
"GO:0099617"	"matrix side of mitochondrial inner membrane"	"3.26"
"GO:0042406"	"extrinsic component of endoplasmic reticulum membrane"	"3.253"
"GO:0005721"	"pericentric heterochromatin"	"3.229"
"GO:0035525"	"NF-kappaB p50/p65 complex"	"3.227"
"GO:1990622"	"CHOP-ATF3 complex"	"3.175"
"GO:1990391"	"DNA repair complex"	"3.149"
"GO:0016935"	"glycine-gated chloride channel complex"	"3.122"
"GO:0017054"	"negative cofactor 2 complex"	"3.075"
"GO:0097504"	"Gemini of coiled bodies"	"3.046"
"GO:0044666"	"MLL3/4 complex"	"3.004"
"GO:0035692"	"macrophage migration inhibitory factor receptor complex"	"2.98"
"GO:0009986"	"cell surface"	"2.95"
"GO:0072669"	"tRNA-splicing ligase complex"	"2.917"
"GO:0070860"	"RNA polymerase I core factor complex"	"2.896"
"GO:0033256"	"I-kappaB/NF-kappaB complex"	"2.893"
"GO:0035098"	"ESC/E(Z) complex"	"2.869"
"GO:0032797"	"SMN complex"	"2.81"
"GO:0036488"	"CHOP-C/EBP complex"	"2.806"
"GO:0097129"	"cyclin D2-CDK4 complex"	"2.768"
"GO:0032010"	"phagolysosome"	"2.758"
"GO:1990635"	"proximal dendrite"	"2.723"
"GO:0000333"	"telomerase catalytic core complex"	"2.693"
"GO:0031379"	"RNA-directed RNA polymerase complex"	"2.693"
"GO:1990572"	"TERT-RMRP complex"	"2.693"
"GO:0071944"	"cell periphery"	"2.691"
"GO:0045263"	"proton-transporting ATP synthase complex, coupling factor F(o)"	"2.66"
"GO:0043260"	"laminin-11 complex"	"2.638"
"GO:1990843"	"subsarcolemmal mitochondrion"	"2.618"
"GO:1990844"	"interfibrillar mitochondrion"	"2.618"
"GO:0043220"	"Schmidt-Lanterman incisure"	"2.614"
"GO:0044214"	"spanning component of plasma membrane"	"2.61"
"GO:0031410"	"cytoplasmic vesicle"	"2.596"
"GO:0046695"	"SLIK (SAGA-like) complex"	"2.596"
"GO:0034657"	"GID complex"	"2.568"
