"Pathway"	"zscore"
"Notch signaling pathway"	"26.747"
"Basal cell carcinoma"	"23.374"
"Wnt signaling pathway"	"19.697"
"Breast cancer"	"17.204"
"Human papillomavirus infection"	"15.686"
"Hepatocellular carcinoma"	"14.96"
"Pathways in cancer"	"14.307"
"Gastric cancer"	"14.134"
"Hippo signaling pathway"	"13.852"
"Cushing's syndrome"	"13.205"
"HTLV-I infection"	"12.843"
"Thyroid hormone signaling pathway"	"12.768"
"Signaling pathways regulating pluripotency of stem cells"	"11.324"
"Cell cycle"	"11.109"
"Transcriptional misregulation in cancer"	"10.818"
"MicroRNAs in cancer"	"10.654"
"Melanogenesis"	"9.341"
"Th1 and Th2 cell differentiation"	"8.987"
"Ubiquitin mediated proteolysis"	"8.644"
"p53 signaling pathway"	"8.149"
"TGF-beta signaling pathway"	"7.768"
"Colorectal cancer"	"7.587"
"Hedgehog signaling pathway"	"7.58"
"Other types of O-glycan biosynthesis"	"7.55"
"Endometrial cancer"	"7.111"
"Hepatitis B"	"6.974"
"Adherens junction"	"6.803"
"Circadian rhythm"	"6.744"
"Prostate cancer"	"6.656"
"Thyroid cancer"	"6.581"
"Cellular senescence"	"6.554"
"Chronic myeloid leukemia"	"6.416"
"FoxO signaling pathway"	"6.137"
"Small cell lung cancer"	"5.319"
"Pancreatic cancer"	"5.305"
"Proteoglycans in cancer"	"5.151"
"Th17 cell differentiation"	"4.774"
"Viral carcinogenesis"	"4.505"
"Acute myeloid leukemia"	"4.381"
"Bladder cancer"	"4.307"
"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	"4.282"
"mTOR signaling pathway"	"4.259"
"Adipocytokine signaling pathway"	"4.24"
"Kaposi's sarcoma-associated herpesvirus infection"	"3.839"
"AGE-RAGE signaling pathway in diabetic complications"	"3.573"
"Inflammatory bowel disease (IBD)"	"3.486"
"Herpes simplex infection"	"3.453"
"IL-17 signaling pathway"	"3.414"
"Longevity regulating pathway"	"3.374"
"Oocyte meiosis"	"3.247"
"alpha-Linolenic acid metabolism"	"3.203"
"Non-small cell lung cancer"	"3.101"
"Mitophagy - animal"	"3.056"
"Progesterone-mediated oocyte maturation"	"2.823"
"Insulin resistance"	"2.65"
"Melanoma"	"2.602"
"RIG-I-like receptor signaling pathway"	"2.527"
"Jak-STAT signaling pathway"	"2.521"
"Non-homologous end-joining"	"2.282"
"Arachidonic acid metabolism"	"2.211"
"Shigellosis"	"2.162"
"Lysine degradation"	"2.118"
"Hippo signaling pathway - multiple species"	"2.108"
"TNF signaling pathway"	"2.096"
"Taurine and hypotaurine metabolism"	"2.049"
"Ether lipid metabolism"	"2.01"
"Selenocompound metabolism"	"1.906"
"Non-alcoholic fatty liver disease (NAFLD)"	"1.815"
"Prolactin signaling pathway"	"1.813"
"HIF-1 signaling pathway"	"1.717"
"Pantothenate and CoA biosynthesis"	"1.68"
"Osteoclast differentiation"	"1.645"
"Apoptosis - multiple species"	"1.572"
"Apelin signaling pathway"	"1.55"
"Mannose type O-glycan biosynthesis"	"1.55"
"Neurotrophin signaling pathway"	"1.527"
"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate"	"1.522"
"PI3K-Akt signaling pathway"	"1.482"
"Nitrogen metabolism"	"1.476"
"Leishmaniasis"	"1.409"
"Mineral absorption"	"1.38"
"Renal cell carcinoma"	"1.363"
"Sphingolipid metabolism"	"1.337"
"Folate biosynthesis"	"1.293"
"Sulfur relay system"	"1.272"
"Glycosphingolipid biosynthesis - lacto and neolacto series"	"1.236"
