"GO.ID"	"GO.Term"	"zscore"	"obs"	"mean"	"std"
"GO:0008013"	"beta-catenin binding"	"23.012"	"285"	"83.491"	"8.757"
"GO:0005109"	"frizzled binding"	"20.289"	"92"	"15.77"	"3.757"
"GO:0003713"	"transcription coactivator activity"	"19.074"	"607"	"300.916"	"16.047"
"GO:0008134"	"transcription factor binding"	"18.76"	"763"	"397.905"	"19.461"
"GO:0003700"	"transcription factor activity, sequence-specific DNA binding"	"18.547"	"842"	"464.638"	"20.346"
"GO:0000978"	"RNA polymerase II core promoter proximal region sequence-specific DNA binding"	"18.459"	"685"	"356.248"	"17.81"
"GO:0003714"	"transcription corepressor activity"	"18.459"	"433"	"188.579"	"13.241"
"GO:0044212"	"transcription regulatory region DNA binding"	"16.909"	"469"	"231.463"	"14.048"
"GO:0003682"	"chromatin binding"	"15.688"	"702"	"402.452"	"19.094"
"GO:0017147"	"Wnt-protein binding"	"15.368"	"61"	"10.812"	"3.266"
"GO:0043565"	"sequence-specific DNA binding"	"14.858"	"416"	"209.663"	"13.887"
"GO:0001077"	"transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding"	"14.367"	"401"	"208.046"	"13.431"
"GO:0042826"	"histone deacetylase binding"	"14.226"	"366"	"182.653"	"12.888"
"GO:0001085"	"RNA polymerase II transcription factor binding"	"13.307"	"148"	"55.35"	"6.963"
"GO:0001078"	"transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding"	"13.036"	"232"	"102.84"	"9.908"
"GO:0071936"	"coreceptor activity involved in Wnt signaling pathway"	"12.946"	"14"	"1.054"	"0.977"
"GO:1904928"	"coreceptor activity involved in canonical Wnt signaling pathway"	"12.946"	"14"	"1.054"	"0.977"
"GO:0000977"	"RNA polymerase II regulatory region sequence-specific DNA binding"	"12.151"	"295"	"150.19"	"11.917"
"GO:0004407"	"histone deacetylase activity"	"12.108"	"136"	"53.025"	"6.853"
"GO:0070491"	"repressing transcription factor binding"	"11.575"	"149"	"63.194"	"7.413"
"GO:0003712"	"transcription cofactor activity"	"11.107"	"167"	"75.999"	"8.193"
"GO:0042813"	"Wnt-activated receptor activity"	"11.106"	"34"	"6.256"	"2.498"
"GO:0035257"	"nuclear hormone receptor binding"	"11.053"	"105"	"40.115"	"5.87"
"GO:0004842"	"ubiquitin-protein transferase activity"	"11.036"	"464"	"282.394"	"16.455"
"GO:0019534"	"toxin transporter activity"	"10.856"	"15"	"1.611"	"1.233"
"GO:0000976"	"transcription regulatory region sequence-specific DNA binding"	"10.851"	"148"	"64.272"	"7.716"
"GO:0061630"	"ubiquitin protein ligase activity"	"10.702"	"333"	"192.665"	"13.113"
"GO:0031490"	"chromatin DNA binding"	"10.681"	"155"	"71.591"	"7.809"
"GO:0016922"	"ligand-dependent nuclear receptor binding"	"10.337"	"62"	"18.709"	"4.188"
"GO:0048018"	"receptor agonist activity"	"10.247"	"36"	"8.078"	"2.725"
"GO:0070097"	"delta-catenin binding"	"10.224"	"15"	"1.695"	"1.301"
"GO:0030374"	"ligand-dependent nuclear receptor transcription coactivator activity"	"10.193"	"134"	"57.781"	"7.478"
"GO:0000980"	"RNA polymerase II distal enhancer sequence-specific DNA binding"	"10.071"	"229"	"124.921"	"10.335"
