"GO.ID"	"GO.Term"	"zscore"
"GO:0009912"	"auditory receptor cell fate commitment"	"39.428"
"GO:0061314"	"Notch signaling involved in heart development"	"34.306"
"GO:0060842"	"arterial endothelial cell differentiation"	"32.974"
"GO:0036304"	"umbilical cord morphogenesis"	"31.621"
"GO:0003160"	"endocardium morphogenesis"	"31.233"
"GO:0072070"	"loop of Henle development"	"30.498"
"GO:0062043"	NA	"30.15"
"GO:0003162"	"atrioventricular node development"	"28.866"
"GO:1904886"	"beta-catenin destruction complex disassembly"	"28.567"
"GO:0061324"	"canonical Wnt signaling pathway involved in positive regulation of cardiac outflow tract cell proliferation"	"26.706"
"GO:0045747"	"positive regulation of Notch signaling pathway"	"26.145"
"GO:0060948"	"cardiac vascular smooth muscle cell development"	"26.037"
"GO:0070602"	"regulation of centromeric sister chromatid cohesion"	"26.037"
"GO:0044336"	"canonical Wnt signaling pathway involved in negative regulation of apoptotic process"	"25.606"
"GO:2000820"	"negative regulation of transcription from RNA polymerase II promoter involved in smooth muscle cell differentiation"	"25.606"
"GO:0045608"	"negative regulation of auditory receptor cell differentiation"	"25.399"
"GO:0060411"	"cardiac septum morphogenesis"	"25.059"
"GO:2001212"	"regulation of vasculogenesis"	"24.806"
"GO:0072017"	"distal tubule development"	"24.252"
"GO:0042492"	"gamma-delta T cell differentiation"	"24.232"
"GO:1990134"	"epithelial cell apoptotic process involved in palatal shelf morphogenesis"	"24.232"
"GO:0003256"	"regulation of transcription from RNA polymerase II promoter involved in myocardial precursor cell differentiation"	"24.076"
"GO:0060070"	"canonical Wnt signaling pathway"	"24.011"
"GO:0035912"	"dorsal aorta morphogenesis"	"23.704"
"GO:0032423"	"regulation of mismatch repair"	"23.548"
"GO:0072365"	"regulation of cellular ketone metabolic process by negative regulation of transcription from RNA polymerase II promoter"	"23.548"
"GO:0009957"	"epidermal cell fate specification"	"23.093"
"GO:1904954"	"canonical Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation"	"23.093"
"GO:0003184"	"pulmonary valve morphogenesis"	"23.059"
"GO:0061170"	"negative regulation of hair follicle placode formation"	"22.919"
"GO:2000723"	"negative regulation of cardiac vascular smooth muscle cell differentiation"	"22.919"
"GO:0021688"	"cerebellar molecular layer formation"	"22.337"
"GO:0048631"	"regulation of skeletal muscle tissue growth"	"22.337"
"GO:0060844"	"arterial endothelial cell fate commitment"	"22.337"
"GO:0060853"	"Notch signaling pathway involved in arterial endothelial cell fate commitment"	"22.337"
"GO:0097101"	"blood vessel endothelial cell fate specification"	"22.337"
"GO:0098773"	"skin epidermis development"	"22.337"
"GO:1901186"	"positive regulation of ERBB signaling pathway"	"22.337"
"GO:1901189"	"positive regulation of ephrin receptor signaling pathway"	"22.337"
"GO:1901297"	"positive regulation of canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment"	"22.337"
"GO:0007386"	"compartment pattern specification"	"21.952"
"GO:0072006"	"nephron development"	"21.821"
"GO:0003182"	"coronary sinus valve morphogenesis"	"21.798"
"GO:0003213"	"cardiac right atrium morphogenesis"	"21.798"
"GO:0003270"	"Notch signaling pathway involved in regulation of secondary heart field cardioblast proliferation"	"21.798"
"GO:0007440"	"foregut morphogenesis"	"21.798"
"GO:0021515"	"cell differentiation in spinal cord"	"21.798"
"GO:0021588"	"cerebellum formation"	"21.798"
"GO:0022004"	"midbrain-hindbrain boundary maturation during brain development"	"21.798"
"GO:0036520"	"astrocyte-dopaminergic neuron signaling"	"21.798"
"GO:0060768"	"regulation of epithelial cell proliferation involved in prostate gland development"	"21.798"
"GO:0060843"	"venous endothelial cell differentiation"	"21.798"
"GO:1903849"	"positive regulation of aorta morphogenesis"	"21.798"
"GO:0007220"	"Notch receptor processing"	"21.777"
"GO:0001709"	"cell fate determination"	"21.226"
"GO:0009798"	"axis specification"	"20.826"
"GO:0061444"	"endocardial cushion cell development"	"20.826"
"GO:0072079"	"nephron tubule formation"	"20.826"
"GO:0003214"	"cardiac left ventricle morphogenesis"	"20.521"
"GO:0014031"	"mesenchymal cell development"	"20.41"
"GO:0003208"	"cardiac ventricle morphogenesis"	"20.208"
"GO:0007219"	"Notch signaling pathway"	"20.085"
"GO:0061156"	"pulmonary artery morphogenesis"	"19.334"
"GO:1904837"	"beta-catenin-TCF complex assembly"	"19.247"
"GO:0045813"	"positive regulation of Wnt signaling pathway, calcium modulating pathway"	"19.218"
"GO:0090096"	"positive regulation of metanephric cap mesenchymal cell proliferation"	"19.218"
"GO:1901296"	"negative regulation of canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment"	"19.218"
"GO:1904723"	"negative regulation of Wnt-Frizzled-LRP5/6 complex assembly"	"19.218"
"GO:1904958"	"positive regulation of midbrain dopaminergic neuron differentiation"	"19.218"
