"GO.ID"	"GO.Term"	"zscore"
"GO:0002193"	"MAML1-RBP-Jkappa- ICN1 complex"	"36.42"
"GO:0030877"	"beta-catenin destruction complex"	"18.929"
"GO:0000118"	"histone deacetylase complex"	"14.079"
"GO:1990907"	"beta-catenin-TCF complex"	"13.636"
"GO:1990909"	"Wnt signalosome"	"13.39"
"GO:0070369"	"beta-catenin-TCF7L2 complex"	"12.764"
"GO:0097129"	"cyclin D2-CDK4 complex"	"12.175"
"GO:0016580"	"Sin3 complex"	"11.762"
"GO:1990452"	"Parkin-FBXW7-Cul1 ubiquitin ligase complex"	"11.352"
"GO:0005912"	"adherens junction"	"10.823"
"GO:1990851"	"Wnt-Frizzled-LRP5/6 complex"	"10.612"
"GO:0030666"	"endocytic vesicle membrane"	"10.042"
"GO:0070765"	"gamma-secretase complex"	"8.747"
"GO:0017053"	"transcriptional repressor complex"	"8.631"
"GO:0045252"	"oxoglutarate dehydrogenase complex"	"8.422"
"GO:0005719"	"nuclear euchromatin"	"8.25"
"GO:0016328"	"lateral plasma membrane"	"8.185"
"GO:0000790"	"nuclear chromatin"	"8.04"
"GO:0070822"	"Sin3-type complex"	"7.969"
"GO:0071944"	"cell periphery"	"6.606"
"GO:0044294"	"dendritic growth cone"	"6.432"
"GO:0032993"	"protein-DNA complex"	"6.238"
"GO:0005796"	"Golgi lumen"	"6.072"
"GO:0030914"	"STAGA complex"	"6.061"
"GO:0099738"	"cell cortex region"	"6.038"
"GO:0031461"	"cullin-RING ubiquitin ligase complex"	"6.026"
"GO:0005654"	"nucleoplasm"	"5.979"
"GO:0033276"	"transcription factor TFTC complex"	"5.563"
"GO:0099056"	"integral component of presynaptic membrane"	"5.467"
"GO:0005667"	"transcription factor complex"	"5.452"
"GO:0016324"	"apical plasma membrane"	"5.4"
"GO:0005671"	"Ada2/Gcn5/Ada3 transcription activator complex"	"5.388"
"GO:0005634"	"nucleus"	"5.357"
"GO:0019005"	"SCF ubiquitin ligase complex"	"5.292"
"GO:0009986"	"cell surface"	"5.229"
"GO:0035098"	"ESC/E(Z) complex"	"4.925"
"GO:0016581"	"NuRD complex"	"4.893"
"GO:0045177"	"apical part of cell"	"4.705"
"GO:0005925"	"focal adhesion"	"4.434"
"GO:0000159"	"protein phosphatase type 2A complex"	"4.364"
"GO:0016604"	"nuclear body"	"4.326"
"GO:0019897"	"extrinsic component of plasma membrane"	"4.102"
"GO:0005886"	"plasma membrane"	"4.048"
"GO:0044295"	"axonal growth cone"	"4.038"
"GO:0045334"	"clathrin-coated endocytic vesicle"	"3.91"
"GO:0005813"	"centrosome"	"3.907"
"GO:0016342"	"catenin complex"	"3.896"
"GO:0045121"	"membrane raft"	"3.755"
"GO:0016363"	"nuclear matrix"	"3.613"
"GO:0005834"	"heterotrimeric G-protein complex"	"3.561"
"GO:0031410"	"cytoplasmic vesicle"	"3.538"
"GO:0032991"	"macromolecular complex"	"3.517"
"GO:0005737"	"cytoplasm"	"3.293"
"GO:0000307"	"cyclin-dependent protein kinase holoenzyme complex"	"3.261"
"GO:0005730"	"nucleolus"	"3.23"
"GO:0005669"	"transcription factor TFIID complex"	"3.111"
"GO:0005938"	"cell cortex"	"3.064"
"GO:0005788"	"endoplasmic reticulum lumen"	"3.028"
"GO:0005637"	"nuclear inner membrane"	"3.013"
"GO:0016235"	"aggresome"	"2.936"
"GO:0030496"	"midbody"	"2.846"
"GO:0005911"	"cell-cell junction"	"2.827"
"GO:0005576"	"extracellular region"	"2.73"
"GO:0005887"	"integral component of plasma membrane"	"2.656"
"GO:0060170"	"ciliary membrane"	"2.645"
"GO:0035577"	"azurophil granule membrane"	"2.501"
"GO:0030136"	"clathrin-coated vesicle"	"2.494"
"GO:0016323"	"basolateral plasma membrane"	"2.473"
"GO:0072686"	"mitotic spindle"	"2.214"
"GO:0048471"	"perinuclear region of cytoplasm"	"2.195"
"GO:0005794"	"Golgi apparatus"	"2.159"
"GO:0005901"	"caveola"	"2.147"
"GO:0090575"	"RNA polymerase II transcription factor complex"	"2.14"
"GO:0001669"	"acrosomal vesicle"	"1.928"
"GO:0031012"	"extracellular matrix"	"1.912"
"GO:0000776"	"kinetochore"	"1.908"
"GO:0042995"	"cell projection"	"1.814"
"GO:0005615"	"extracellular space"	"1.791"
"GO:0005765"	"lysosomal membrane"	"1.784"
"GO:0042470"	"melanosome"	"1.758"
"GO:0016605"	"PML body"	"1.724"
"GO:0005913"	"cell-cell adherens junction"	"1.699"
"GO:0032587"	"ruffle membrane"	"1.699"
"GO:0000785"	"chromatin"	"1.66"
"GO:0000922"	"spindle pole"	"1.514"
"GO:0000139"	"Golgi membrane"	"1.503"
"GO:0030018"	"Z disc"	"1.448"
"GO:0043231"	"intracellular membrane-bounded organelle"	"1.38"
"GO:0016607"	"nuclear speck"	"1.298"
"GO:0031901"	"early endosome membrane"	"1.255"
"GO:0005829"	"cytosol"	"1.157"
"GO:0005622"	"intracellular"	"0.957"
"GO:0016020"	"membrane"	"0.913"
"GO:0043235"	"receptor complex"	"0.826"
"GO:0015629"	"actin cytoskeleton"	"0.817"
"GO:0005789"	"endoplasmic reticulum membrane"	"0.78"
"GO:0070062"	"extracellular exosome"	"0.763"
"GO:0005783"	"endoplasmic reticulum"	"0.679"
"GO:0014069"	"postsynaptic density"	"0.67"
"GO:0005769"	"early endosome"	"0.668"
"GO:0031965"	"nuclear membrane"	"0.651"
"GO:0045202"	"synapse"	"0.578"
"GO:0098978"	"glutamatergic synapse"	"0.361"
"GO:0005759"	"mitochondrial matrix"	"0.26"
"GO:0043025"	"neuronal cell body"	"0.258"
"GO:0005575"	"cellular_component"	"0.08"
"GO:0030054"	"cell junction"	"-0.142"
"GO:0005739"	"mitochondrion"	"-1.013"
"GO:0016021"	"integral component of membrane"	"-1.228"
