"GO.ID"	"GO.Term"	"zscore"
"GO:0005112"	"Notch binding"	"27.447"
"GO:0035939"	"microsatellite binding"	"22.501"
"GO:0001074"	"transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding involved in preinitiation complex assembly"	"21.296"
"GO:0070411"	"I-SMAD binding"	"19.681"
"GO:0043997"	"histone acetyltransferase activity (H4-K12 specific)"	"19.218"
"GO:0106078"	NA	"19.218"
"GO:0070539"	"linoleic acid binding"	"18.871"
"GO:0032041"	"NAD-dependent histone deacetylase activity (H3-K14 specific)"	"18.637"
"GO:0005109"	"frizzled binding"	"16.741"
"GO:0010484"	"H3 histone acetyltransferase activity"	"14.25"
"GO:0045294"	"alpha-catenin binding"	"14.141"
"GO:0070016"	"armadillo repeat domain binding"	"14.069"
"GO:0042826"	"histone deacetylase binding"	"13.722"
"GO:0033558"	"protein deacetylase activity"	"12.852"
"GO:0008134"	"transcription factor binding"	"12.221"
"GO:0000150"	"recombinase activity"	"12.085"
"GO:0005119"	"smoothened binding"	"11.661"
"GO:0039706"	"co-receptor binding"	"11.617"
"GO:0008013"	"beta-catenin binding"	"11.527"
"GO:0008158"	"hedgehog receptor activity"	"11.065"
"GO:0097108"	"hedgehog family protein binding"	"10.865"
"GO:0000983"	"transcription factor activity, RNA polymerase II core promoter sequence-specific"	"10.842"
"GO:0031821"	"G-protein coupled serotonin receptor binding"	"10.674"
"GO:0001103"	"RNA polymerase II repressing transcription factor binding"	"10.406"
"GO:0042813"	"Wnt-activated receptor activity"	"10.352"
"GO:0061733"	"peptide-lysine-N-acetyltransferase activity"	"9.9"
"GO:0070491"	"repressing transcription factor binding"	"9.827"
"GO:0004407"	"histone deacetylase activity"	"9.779"
"GO:0001046"	"core promoter sequence-specific DNA binding"	"9.354"
"GO:1990837"	"sequence-specific double-stranded DNA binding"	"9.087"
"GO:0048019"	"receptor antagonist activity"	"9.08"
"GO:0001085"	"RNA polymerase II transcription factor binding"	"8.911"
"GO:0030165"	"PDZ domain binding"	"8.723"
"GO:0030284"	"estrogen receptor activity"	"8.613"
"GO:0042500"	"aspartic endopeptidase activity, intramembrane cleaving"	"7.996"
"GO:0016015"	"morphogen activity"	"7.969"
"GO:0051059"	"NF-kappaB binding"	"7.894"
"GO:0005138"	"interleukin-6 receptor binding"	"7.365"
"GO:0005113"	"patched binding"	"7.344"
"GO:0019903"	"protein phosphatase binding"	"7.303"
"GO:0019213"	"deacetylase activity"	"7.224"
"GO:0000978"	"RNA polymerase II core promoter proximal region sequence-specific DNA binding"	"7.082"
"GO:0030957"	"Tat protein binding"	"7.018"
"GO:0003682"	"chromatin binding"	"6.899"
"GO:0017147"	"Wnt-protein binding"	"6.774"
"GO:0001094"	"TFIID-class transcription factor binding"	"6.652"
"GO:0044212"	"transcription regulatory region DNA binding"	"6.603"
"GO:0030331"	"estrogen receptor binding"	"6.466"
"GO:0045295"	"gamma-catenin binding"	"6.39"
"GO:0043565"	"sequence-specific DNA binding"	"6.374"
"GO:0019899"	"enzyme binding"	"6.333"
"GO:0001102"	"RNA polymerase II activating transcription factor binding"	"6.215"
"GO:1990841"	"promoter-specific chromatin binding"	"5.958"
"GO:0047485"	"protein N-terminus binding"	"5.893"
"GO:0035591"	"signaling adaptor activity"	"5.86"
"GO:0046332"	"SMAD binding"	"5.776"
"GO:0032794"	"GTPase activating protein binding"	"5.657"
"GO:0031625"	"ubiquitin protein ligase binding"	"5.609"
"GO:0043621"	"protein self-association"	"5.493"
"GO:0003700"	"transcription factor activity, sequence-specific DNA binding"	"5.475"
"GO:0001077"	"transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding"	"5.336"
"GO:0035326"	"enhancer binding"	"5.298"
"GO:0070742"	"C2H2 zinc finger domain binding"	"5.282"
"GO:0005515"	"protein binding"	"5.165"
"GO:0001190"	"transcriptional activator activity, RNA polymerase II transcription factor binding"	"5.123"
"GO:0008301"	"DNA binding, bending"	"5.018"
"GO:0004190"	"aspartic-type endopeptidase activity"	"4.678"
"GO:0031683"	"G-protein beta/gamma-subunit complex binding"	"4.678"
"GO:0000977"	"RNA polymerase II regulatory region sequence-specific DNA binding"	"4.593"
"GO:0016922"	"ligand-dependent nuclear receptor binding"	"4.508"
"GO:0004175"	"endopeptidase activity"	"4.501"
"GO:0008083"	"growth factor activity"	"4.472"
"GO:0050750"	"low-density lipoprotein particle receptor binding"	"4.373"
"GO:0001078"	"transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding"	"4.364"
"GO:0030159"	"receptor signaling complex scaffold activity"	"4.359"
"GO:0003713"	"transcription coactivator activity"	"4.339"
"GO:0005504"	"fatty acid binding"	"4.177"
"GO:0043027"	"cysteine-type endopeptidase inhibitor activity involved in apoptotic process"	"4.157"
"GO:0019901"	"protein kinase binding"	"4.138"
"GO:0035257"	"nuclear hormone receptor binding"	"4.098"
"GO:0046982"	"protein heterodimerization activity"	"4.071"
"GO:0000980"	"RNA polymerase II distal enhancer sequence-specific DNA binding"	"4.065"
"GO:0042605"	"peptide antigen binding"	"3.944"
"GO:0005509"	"calcium ion binding"	"3.937"
"GO:0048018"	"receptor agonist activity"	"3.883"
"GO:0051721"	"protein phosphatase 2A binding"	"3.774"
"GO:0016538"	"cyclin-dependent protein serine/threonine kinase regulator activity"	"3.756"
"GO:0004857"	"enzyme inhibitor activity"	"3.738"
"GO:0001227"	"transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding"	"3.693"
"GO:0097718"	"disordered domain specific binding"	"3.686"
"GO:0035035"	"histone acetyltransferase binding"	"3.634"
"GO:0003714"	"transcription corepressor activity"	"3.505"
"GO:0030332"	"cyclin binding"	"3.495"
"GO:0033613"	"activating transcription factor binding"	"3.401"
"GO:0000981"	"RNA polymerase II transcription factor activity, sequence-specific DNA binding"	"3.147"
"GO:0031492"	"nucleosomal DNA binding"	"3.01"
"GO:0046983"	"protein dimerization activity"	"2.951"
"GO:0001228"	"transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding"	"2.926"
"GO:0004879"	"RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding"	"2.913"
"GO:0050681"	"androgen receptor binding"	"2.88"
"GO:0015485"	"cholesterol binding"	"2.838"
