"Pathway"	"Z-score"
"Notch signaling pathway"	"44.961"
"Wnt signaling pathway"	"37.233"
"Breast cancer"	"36.603"
"Basal cell carcinoma"	"34.486"
"Hippo signaling pathway"	"25.616"
"Human papillomavirus infection"	"25.601"
"Pathways in cancer"	"25.513"
"Gastric cancer"	"24.052"
"Hepatocellular carcinoma"	"22.688"
"Melanogenesis"	"21.203"
"Cushing's syndrome"	"20.565"
"Endometrial cancer"	"18.986"
"Signaling pathways regulating pluripotency of stem cells"	"17.792"
"Thyroid cancer"	"17.362"
"Colorectal cancer"	"15.496"
"HTLV-I infection"	"14.348"
"Th1 and Th2 cell differentiation"	"13.387"
"Thyroid hormone signaling pathway"	"13.222"
"Proteoglycans in cancer"	"13.049"
"Hedgehog signaling pathway"	"12.117"
"mTOR signaling pathway"	"11.868"
"Viral carcinogenesis"	"11.365"
"Cell cycle"	"11.205"
"Acute myeloid leukemia"	"10.362"
"Epstein-Barr virus infection"	"9.868"
"MicroRNAs in cancer"	"8.155"
"Prostate cancer"	"8.127"
"Circadian rhythm"	"7.576"
"Adherens junction"	"7.244"
"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	"7.183"
"Chronic myeloid leukemia"	"6.961"
"Bladder cancer"	"6.381"
"Small cell lung cancer"	"6.091"
"Transcriptional misregulation in cancer"	"5.828"
"Alcoholism"	"5.819"
"FoxO signaling pathway"	"5.052"
"Apelin signaling pathway"	"5.019"
"p53 signaling pathway"	"4.887"
"Central carbon metabolism in cancer"	"4.808"
"Cellular senescence"	"4.527"
"Alzheimer's disease"	"4.323"
"TGF-beta signaling pathway"	"4.236"
"Axon guidance"	"4.212"
"Kaposi's sarcoma-associated herpesvirus infection"	"4.136"
"Herpes simplex infection"	"4.109"
"Hippo signaling pathway - multiple species"	"3.834"
"Leukocyte transendothelial migration"	"3.57"
"Neurotrophin signaling pathway"	"3.442"
"Sphingolipid signaling pathway"	"3.378"
"Fluid shear stress and atherosclerosis"	"3.189"
"Measles"	"3.144"
"Prion diseases"	"3.144"
"Ferroptosis"	"3.091"
"Ubiquitin mediated proteolysis"	"3.08"
"Hepatitis B"	"3.033"
"Jak-STAT signaling pathway"	"2.838"
"Cocaine addiction"	"2.772"
"Amyotrophic lateral sclerosis (ALS)"	"2.64"
"PI3K-Akt signaling pathway"	"2.567"
"Regulation of lipolysis in adipocytes"	"2.535"
"Pathogenic Escherichia coli infection"	"2.513"
"cAMP signaling pathway"	"2.433"
"Huntington's disease"	"2.404"
"Focal adhesion"	"2.39"
"Long-term depression"	"2.379"
"Rap1 signaling pathway"	"2.349"
"Longevity regulating pathway - multiple species"	"2.336"
"Renin secretion"	"2.292"
"Epithelial cell signaling in Helicobacter pylori infection"	"2.283"
"Non-small cell lung cancer"	"2.184"
"Mitophagy - animal"	"2.178"
"Prolactin signaling pathway"	"2.173"
"Glioma"	"2.122"
"PPAR signaling pathway"	"2.103"
"Gastric acid secretion"	"2.093"
"Melanoma"	"2.092"
"Bacterial invasion of epithelial cells"	"2.064"
"Pertussis"	"2.059"
"Pancreatic cancer"	"2.05"
"ErbB signaling pathway"	"1.876"
"Gap junction"	"1.862"
"GABAergic synapse"	"1.839"
"Longevity regulating pathway"	"1.824"
"Morphine addiction"	"1.819"
"Circadian entrainment"	"1.762"
"Progesterone-mediated oocyte maturation"	"1.735"
"MAPK signaling pathway"	"1.729"
"Chagas disease (American trypanosomiasis)"	"1.69"
"TNF signaling pathway"	"1.599"
"Glutamatergic synapse"	"1.549"
"Serotonergic synapse"	"1.545"
"Cholinergic synapse"	"1.515"
"Toxoplasmosis"	"1.508"
"Platelet activation"	"1.466"
"Oocyte meiosis"	"1.445"
"Relaxin signaling pathway"	"1.397"
"Dopaminergic synapse"	"1.375"
"Hepatitis C"	"1.355"
"Apoptosis"	"1.289"
"Estrogen signaling pathway"	"1.289"
"Adrenergic signaling in cardiomyocytes"	"1.259"
"Parkinson's disease"	"1.25"
"Retrograde endocannabinoid signaling"	"1.224"
"Oxytocin signaling pathway"	"1.189"
"cGMP-PKG signaling pathway"	"1.135"
"Protein processing in endoplasmic reticulum"	"1.076"
"Chemokine signaling pathway"	"0.969"
"D-Arginine and D-ornithine metabolism"	"-0.042"
"Lipoic acid metabolism"	"-0.081"
"Biotin metabolism"	"-0.09"
"Valine, leucine and isoleucine biosynthesis"	"-0.094"
"Phenylalanine, tyrosine and tryptophan biosynthesis"	"-0.103"
"Caffeine metabolism"	"-0.104"
"Neomycin, kanamycin and gentamicin biosynthesis"	"-0.108"
"D-Glutamine and D-glutamate metabolism"	"-0.11"
"Vitamin B6 metabolism"	"-0.111"
"Phosphonate and phosphinate metabolism"	"-0.114"
"Riboflavin metabolism"	"-0.125"
"Sulfur relay system"	"-0.135"
"Sulfur metabolism"	"-0.146"
"Ubiquinone and other terpenoid-quinone biosynthesis"	"-0.147"
"Synthesis and degradation of ketone bodies"	"-0.15"
"Taurine and hypotaurine metabolism"	"-0.156"
"Fatty acid biosynthesis"	"-0.172"
"Non-homologous end-joining"	"-0.174"
"Glycosaminoglycan biosynthesis - keratan sulfate"	"-0.175"
"Other glycan degradation"	"-0.177"
"Thiamine metabolism"	"-0.179"
"Glycosphingolipid biosynthesis - globo and isoglobo series"	"-0.18"
"Glycosphingolipid biosynthesis - ganglio series"	"-0.181"
"Selenocompound metabolism"	"-0.191"
"Primary bile acid biosynthesis"	"-0.193"
"Ascorbate and aldarate metabolism"	"-0.194"
"Nitrogen metabolism"	"-0.195"
"Glycosaminoglycan degradation"	"-0.197"
"Phenylalanine metabolism"	"-0.197"
"Steroid biosynthesis"	"-0.199"
"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate"	"-0.202"
"One carbon pool by folate"	"-0.207"
"Biosynthesis of unsaturated fatty acids"	"-0.212"
"Pantothenate and CoA biosynthesis"	"-0.212"
"Arginine biosynthesis"	"-0.213"
"Mismatch repair"	"-0.223"
"Proximal tubule bicarbonate reclamation"	"-0.223"
"Histidine metabolism"	"-0.224"
"Protein export"	"-0.224"
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	"-0.226"
"Mannose type O-glycan biosynthesis"	"-0.226"
"Glycosaminoglycan biosynthesis - heparan sulfate / heparin"	"-0.227"
"Other types of O-glycan biosynthesis"	"-0.227"
"Pentose and glucuronate interconversions"	"-0.228"
"Collecting duct acid secretion"	"-0.233"
"alpha-Linolenic acid metabolism"	"-0.234"
"Folate biosynthesis"	"-0.234"
"Fatty acid elongation"	"-0.235"
"Maturity onset diabetes of the young"	"-0.235"
"Renin-angiotensin system"	"-0.235"
"Terpenoid backbone biosynthesis"	"-0.236"
"Glyoxylate and dicarboxylate metabolism"	"-0.237"
"Glycosphingolipid biosynthesis - lacto and neolacto series"	"-0.24"
"Vitamin digestion and absorption"	"-0.24"
"Phototransduction"	"-0.246"
"Nicotinate and nicotinamide metabolism"	"-0.247"
"Asthma"	"-0.251"
"Butanoate metabolism"	"-0.254"
"Linoleic acid metabolism"	"-0.254"
"Propanoate metabolism"	"-0.255"
"Citrate cycle (TCA cycle)"	"-0.257"
"RNA polymerase"	"-0.258"
"Galactose metabolism"	"-0.26"
"Pentose phosphate pathway"	"-0.26"
"Apoptosis - multiple species"	"-0.261"
"beta-Alanine metabolism"	"-0.261"
"Fructose and mannose metabolism"	"-0.261"
"Mucin type O-glycan biosynthesis"	"-0.261"
"Porphyrin and chlorophyll metabolism"	"-0.264"
"Autophagy - other"	"-0.267"
"Base excision repair"	"-0.272"
"DNA replication"	"-0.273"
"SNARE interactions in vesicular transport"	"-0.273"
"Allograft rejection"	"-0.276"
"Tyrosine metabolism"	"-0.281"
"African trypanosomiasis"	"-0.282"
"Primary immunodeficiency"	"-0.282"
"Pyruvate metabolism"	"-0.284"
